Date,AR Raw Price,ET Raw Price,AR Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,35.57,19.0293,3.5715,2.94598,0.0888722,16.5407,0.683442
2025-01-03,34.94,18.9617,3.55363,2.94242,0.0975278,15.9783,0.683442
2025-01-06,36.01,18.9424,3.5838,2.9414,0.0758933,17.0676,0.683442
2025-01-07,36.68,18.8169,3.60223,2.93475,0.056646,17.8631,0.683442
2025-01-08,37.86,19.0486,3.6339,2.94699,0.0472448,18.8114,0.683442
2025-01-10,38.32,18.7493,3.64597,2.93116,0.0231541,19.5707,0.683442
2025-01-13,38.3,18.7976,3.64545,2.93373,0.0260823,19.5024,0.683442
2025-01-14,38.59,19.2417,3.65299,2.95708,0.0442782,19.3483,0.683442
2025-01-15,40.23,19.3479,3.69461,2.96258,0.0213377,20.8821,0.683442
2025-01-16,40.57,19.5506,3.70303,2.97301,0.0260104,21.0194,0.683442
2025-01-17,40.46,19.5893,3.70031,2.97498,0.0298393,20.8707,0.683442
2025-01-21,39.93,20.1878,3.68713,3.00508,0.0689504,19.7422,0.683442
2025-01-22,40.74,20.1975,3.70721,3.00556,0.0557034,20.5425,0.683442
2025-01-23,40.55,20.3327,3.70254,3.01223,0.0655681,20.2173,0.683442
2025-01-24,40.15,20.323,3.69262,3.01175,0.0718682,19.827,0.683442
2025-01-27,36.35,19.1258,3.59319,2.95104,0.079108,17.2242,0.683442
2025-01-28,37.22,19.6472,3.61685,2.97793,0.0898373,17.5728,0.683442
2025-01-29,37.35,19.821,3.62033,2.98674,0.0962607,17.529,0.683442
2025-01-30,37.85,20.352,3.63363,3.01318,0.11361,17.498,0.683442
2025-01-31,37.32,19.7727,3.61953,2.9843,0.0943714,17.5473,0.683442
2025-02-03,38.33,20.043,3.64623,2.99788,0.0897003,18.287,0.683442
2025-02-04,38.73,20.0527,3.65661,2.99836,0.0830867,18.6773,0.683442
2025-02-05,39.6,20.072,3.67883,2.99932,0.0688669,19.528,0.683442
2025-02-06,38.3,19.6665,3.64545,2.97892,0.0712707,18.6335,0.683442
2025-02-07,37.85,19.5537,3.63363,2.97316,0.0735946,18.2963,0.683442
2025-02-10,40.02,19.7106,3.68938,2.98116,0.0434899,20.3094,0.683442
2025-02-11,40.02,19.4359,3.68938,2.96712,0.0294545,20.5841,0.683442
2025-02-12,39.38,19.2789,3.67326,2.95901,0.0323629,20.1011,0.683442
2025-02-13,40.15,19.4457,3.69262,2.96763,0.0277427,20.7043,0.683442
2025-02-14,39.84,19.6125,3.68487,2.97617,0.0415807,20.2275,0.683442
2025-02-18,39.74,19.9167,3.68236,2.99156,0.058687,19.8233,0.683442
2025-02-19,40.35,19.7401,3.69759,2.98265,0.0393697,20.6099,0.683442
2025-02-20,39.51,19.5635,3.67655,2.97366,0.044761,19.9465,0.683442
2025-02-21,38.15,19.0239,3.64153,2.94569,0.0407302,19.1261,0.683442
2025-02-24,37.9,18.6118,3.63495,2.9238,0.0233249,19.2882,0.683442
2025-02-25,37.35,18.5627,3.62033,2.92116,0.0306765,18.7873,0.683442
2025-02-26,37.04,18.7982,3.612,2.93376,0.0489778,18.2418,0.683442
2025-02-27,35.58,18.5824,3.57178,2.92221,0.0649135,16.9976,0.683442
2025-02-28,36.7,18.9257,3.60278,2.94052,0.0620423,17.7743,0.683442
2025-03-03,36.15,18.6707,3.58768,2.92695,0.058792,17.4793,0.683442
2025-03-04,36.52,18.1212,3.59786,2.89708,0.0219636,18.3988,0.683442
2025-03-05,36.38,17.8563,3.59402,2.88236,0.00986248,18.5237,0.683442
2025-03-06,33.78,17.3658,3.51987,2.8545,0.0326829,16.4142,0.683442
2025-03-07,33.64,17.1303,3.51572,2.84085,0.0218691,16.5097,0.683442
2025-03-10,34.69,16.9341,3.54645,2.82933,-0.0106577,17.7559,0.683442
2025-03-11,35.86,17.4933,3.57962,2.86182,-0.000837419,18.3667,0.683442
2025-03-12,36.01,18.0526,3.5838,2.89329,0.027778,17.9574,0.683442
2025-03-13,36.37,17.8269,3.59374,2.88071,0.00840066,18.5431,0.683442
2025-03-14,37.57,18.3763,3.62621,2.91106,0.0165695,19.1937,0.683442
2025-03-17,38.9,18.5431,3.66099,2.9201,0.0018291,20.3569,0.683442
2025-03-18,39.87,18.3273,3.68562,2.90839,-0.0267124,21.5427,0.683442
2025-03-19,41.02,18.5824,3.71406,2.92221,-0.0323238,22.4376,0.683442
2025-03-20,40.97,18.4941,3.71284,2.91745,-0.0362535,22.4759,0.683442
2025-03-21,40.77,18.2488,3.70795,2.9041,-0.0462602,22.5212,0.683442
2025-03-24,41.21,18.5235,3.71868,2.91904,-0.0386551,22.6865,0.683442
2025-03-25,41.42,18.5235,3.72376,2.91904,-0.042129,22.8965,0.683442
2025-03-26,40.97,18.5725,3.71284,2.92168,-0.0320184,22.3975,0.683442
2025-03-27,39.53,18.5235,3.67706,2.91904,-0.0102096,21.0065,0.683442
2025-03-28,39.69,18.3567,3.6811,2.90999,-0.0220152,21.3333,0.683442
2025-03-31,40.44,18.239,3.69982,2.90356,-0.0412436,22.201,0.683442
2025-04-01,40.92,18.3763,3.71162,2.91106,-0.0418053,22.5437,0.683442
2025-04-02,42,18.5725,3.73767,2.92168,-0.0489879,23.4275,0.683442
2025-04-03,38.79,17.3952,3.65816,2.85619,-0.0601393,21.3948,0.683442
2025-04-04,33.46,15.8548,3.51035,2.76348,-0.0518376,17.6052,0.683442
2025-04-07,34.15,15.5703,3.53076,2.74537,-0.0838965,18.5797,0.683442
2025-04-08,32.24,15.3545,3.47321,2.73141,-0.0585209,16.8855,0.683442
2025-04-09,34.89,16.3552,3.5522,2.79455,-0.0493677,18.5348,0.683442
2025-04-10,31.92,15.6096,3.46323,2.74788,-0.0352265,16.3104,0.683442
2025-04-11,33.1,16.0216,3.49953,2.77394,-0.0339797,17.0784,0.683442
2025-04-14,33.23,16.5024,3.50345,2.8035,-0.00709389,16.7276,0.683442
2025-04-15,33.1,16.7869,3.49953,2.8206,0.0126796,16.3131,0.683442
2025-04-16,34.3,16.6005,3.53515,2.80943,-0.022826,17.6995,0.683442
2025-04-17,34.42,16.9439,3.53864,2.82991,-0.00473826,17.4761,0.683442
2025-04-21,32.06,16.2473,3.46761,2.78793,0.00182478,15.8127,0.683442
2025-04-22,32.83,16.6594,3.49134,2.81297,0.0106503,16.1706,0.683442
2025-04-23,34.29,16.7771,3.53485,2.82001,-0.0120446,17.5129,0.683442
2025-04-24,34.54,17.2578,3.54212,2.84827,0.0112428,17.2822,0.683442
2025-04-25,35.33,17.1205,3.56473,2.84028,-0.0122037,18.2095,0.683442
2025-04-28,35.93,16.9537,3.58157,2.83049,-0.0335028,18.9763,0.683442
2025-04-29,36.18,16.7182,3.58851,2.8165,-0.052228,19.4618,0.683442
2025-04-30,34.83,16.2277,3.55048,2.78672,-0.0560204,18.6023,0.683442
2025-05-01,34.65,16.2179,3.5453,2.78611,-0.053084,18.4321,0.683442
2025-05-02,35.76,16.3552,3.57683,2.79455,-0.0662006,19.4048,0.683442
2025-05-05,35.49,15.8843,3.56925,2.76533,-0.0902378,19.6057,0.683442
2025-05-06,35.5,15.5115,3.56953,2.74158,-0.114181,19.9885,0.683442
2025-05-07,36.71,16.5711,3.60305,2.80766,-0.0710089,20.1389,0.683442
2025-05-08,37.39,17.042,3.6214,2.83568,-0.05553,20.348,0.683442
2025-05-09,38.71,17.21,3.6561,2.84549,-0.0694322,21.5,0.683442
2025-05-12,39.4,17.44,3.67377,2.85877,-0.0682313,21.96,0.683442
2025-05-13,41.04,18,3.71455,2.89037,-0.0644976,23.04,0.683442
2025-05-14,40.5,18.16,3.7013,2.89922,-0.0465957,22.34,0.683442
2025-05-15,40.23,17.97,3.69461,2.8887,-0.0525418,22.26,0.683442
2025-05-16,39.8,17.95,3.68387,2.88759,-0.046311,21.85,0.683442
2025-05-19,39.42,18,3.67427,2.89037,-0.0369727,21.42,0.683442
2025-05-20,39.77,18.14,3.68311,2.89812,-0.0352664,21.63,0.683442
2025-05-21,39.11,17.76,3.66638,2.87695,-0.0449999,21.35,0.683442
2025-05-22,39.05,17.88,3.66484,2.88368,-0.0372166,21.17,0.683442
2025-05-23,39.49,17.85,3.67605,2.882,-0.0465536,21.64,0.683442
2025-05-27,40.17,17.95,3.69312,2.88759,-0.0526352,22.22,0.683442
2025-05-28,38.97,17.76,3.66279,2.87695,-0.0425491,21.21,0.683442
2025-05-29,38.84,17.68,3.65945,2.87243,-0.04478,21.16,0.683442
2025-05-30,37.45,17.48,3.62301,2.86106,-0.0312495,19.97,0.683442
2025-06-02,38.65,17.48,3.65455,2.86106,-0.0528053,21.17,0.683442
2025-06-03,38.36,17.9,3.64702,2.8848,-0.0239145,20.46,0.683442
2025-06-04,37.3,17.53,3.61899,2.86391,-0.0256501,19.77,0.683442
2025-06-05,37.19,17.67,3.61604,2.87187,-0.0156771,19.52,0.683442
2025-06-06,38.65,17.93,3.65455,2.88648,-0.0273873,20.72,0.683442
2025-06-09,38.92,17.71,3.66151,2.87413,-0.0444909,21.21,0.683442
2025-06-10,38.39,17.99,3.6478,2.88982,-0.0194335,20.4,0.683442
2025-06-11,39.22,18.25,3.66919,2.90417,-0.0197031,20.97,0.683442
2025-06-12,40.04,18.45,3.68988,2.91506,-0.0229457,21.59,0.683442
2025-06-13,41.66,18.32,3.72954,2.90799,-0.0571237,23.34,0.683442
