Date,CVX Raw Price,PSX Raw Price,CVX Log Price,PSX Log Price,Residual,Spread,Beta
2025-01-02,143.354,112.306,4.96532,4.72123,-0.0059459,31.0484,0.981974
2025-01-03,144.468,113.955,4.97306,4.73581,0.00103041,30.5132,0.981974
2025-01-06,143.892,113.052,4.96906,4.72785,-0.00299944,30.8398,0.981974
2025-01-07,146.169,113.072,4.98476,4.72802,-0.0182413,33.0968,0.981974
2025-01-08,146.862,114.112,4.9895,4.73718,-0.013731,32.7501,0.981974
2025-01-10,149.637,111.835,5.00822,4.71702,-0.0522717,37.8025,0.981974
2025-01-13,151.797,113.847,5.02254,4.73486,-0.0485079,37.9496,0.981974
2025-01-14,153.311,115.114,5.03247,4.74592,-0.0471958,38.1979,0.981974
2025-01-15,154.709,116.812,5.04154,4.76056,-0.0414606,37.897,0.981974
2025-01-16,155.735,117.43,5.04815,4.76584,-0.0426711,38.3046,0.981974
2025-01-17,157.777,118.314,5.06118,4.77334,-0.0479693,39.4633,0.981974
2025-01-21,154.621,118.274,5.04098,4.77301,-0.028459,36.3465,0.981974
2025-01-22,152.833,116.37,5.02934,4.75677,-0.0332684,36.4626,0.981974
2025-01-23,152.442,120.365,5.02678,4.79053,0.00300145,32.0766,0.981974
2025-01-24,152.09,119.619,5.02447,4.78431,-0.000947317,32.4709,0.981974
2025-01-27,153.634,120.817,5.03457,4.79427,-0.000903353,32.8172,0.981974
2025-01-28,152.637,118.952,5.02806,4.77872,-0.0100698,33.6856,0.981974
2025-01-29,152.129,119.914,5.02473,4.78677,0.00125916,32.2155,0.981974
2025-01-30,152.745,118.618,5.02877,4.77591,-0.0135707,34.1268,0.981974
2025-01-31,145.778,115.702,4.98208,4.75102,0.00738725,30.0753,0.981974
2025-02-03,145.924,115.693,4.98309,4.75094,0.00631569,30.2317,0.981974
2025-02-04,149.716,121.337,5.00874,4.79857,0.0287627,28.3787,0.981974
2025-02-05,149.491,121.052,5.00724,4.79622,0.027889,28.4386,0.981974
2025-02-06,148.426,118.598,5.00009,4.77574,0.0144296,29.8275,0.981974
2025-02-07,149.129,118.088,5.00481,4.77143,0.0054729,31.0415,0.981974
2025-02-10,152.207,121.435,5.02524,4.79938,0.0133632,30.7722,0.981974
2025-02-11,153.839,127.168,5.03591,4.84551,0.0490183,26.6714,0.981974
2025-02-12,151.357,122.741,5.01964,4.81007,0.0295567,28.6165,0.981974
2025-02-13,152.315,123.231,5.02595,4.81406,0.0273543,29.0833,0.981974
2025-02-14,153.471,125.685,5.03351,4.83378,0.0396484,27.7852,0.981974
2025-02-18,154.281,127.884,5.03877,4.85113,0.0518218,26.3965,0.981974
2025-02-19,155.338,127.57,5.0456,4.84867,0.0426572,27.7677,0.981974
2025-02-20,156.879,129.131,5.05548,4.86083,0.0451224,27.7482,0.981974
2025-02-21,155.032,126.412,5.04363,4.83955,0.0354738,28.6198,0.981974
2025-02-24,155.99,125.867,5.04979,4.83523,0.0251038,30.1229,0.981974
2025-02-25,154.538,125.055,5.04044,4.82875,0.0278156,29.4827,0.981974
2025-02-26,153.273,124.243,5.03222,4.82224,0.0293685,29.0303,0.981974
2025-02-27,154.785,126.194,5.04203,4.83782,0.0353144,28.5907,0.981974
2025-02-28,156.711,128.452,5.0544,4.85556,0.0409044,28.259,0.981974
2025-03-03,151.248,123.797,5.01892,4.81864,0.0388369,27.4507,0.981974
2025-03-04,150.171,121.123,5.01177,4.79681,0.024015,29.048,0.981974
2025-03-05,148.995,118.597,5.00391,4.77573,0.0106605,30.398,0.981974
2025-03-06,151.109,121.618,5.018,4.80089,0.0219771,29.4914,0.981974
2025-03-07,154.459,124.976,5.03993,4.82812,0.0276842,29.4829,0.981974
2025-03-10,155.674,124.926,5.04776,4.82772,0.0195923,30.7477,0.981974
2025-03-11,152.226,122.371,5.02537,4.80706,0.0209193,29.855,0.981974
2025-03-12,150.833,122.797,5.01617,4.81053,0.0334211,28.0361,0.981974
2025-03-13,151.761,121.331,5.02231,4.79852,0.0153843,30.4307,0.981974
2025-03-14,155.13,125.52,5.04427,4.83247,0.0277717,29.61,0.981974
2025-03-17,156.81,127.957,5.05503,4.85169,0.0364227,28.853,0.981974
2025-03-18,158.875,127.184,5.06812,4.84564,0.0175207,31.6904,0.981974
2025-03-19,162.076,127.769,5.08806,4.85022,0.00251662,34.3071,0.981974
2025-03-20,162.787,127.591,5.09244,4.84883,-0.00318001,35.1967,0.981974
2025-03-21,162.767,124.292,5.09232,4.82264,-0.0292509,38.4752,0.981974
2025-03-24,163.034,125.263,5.09396,4.83042,-0.0230798,37.7713,0.981974
2025-03-25,163.943,124.292,5.09952,4.82264,-0.0363182,39.6508,0.981974
2025-03-26,165.949,125.362,5.11168,4.83121,-0.0396887,40.5867,0.981974
2025-03-27,164.645,123.53,5.10379,4.81648,-0.0466656,41.1149,0.981974
2025-03-28,164.091,120.598,5.10042,4.79246,-0.0673796,43.4934,0.981974
2025-03-31,165.277,122.301,5.10762,4.80649,-0.0604216,42.9754,0.981974
2025-04-01,166.482,123.163,5.11489,4.81351,-0.0605359,43.319,0.981974
2025-04-02,164.467,122.876,5.10271,4.81118,-0.0509103,41.5908,0.981974
2025-04-03,154.241,106.157,5.03852,4.66492,-0.134133,48.0842,0.981974
2025-04-04,141.556,97.8669,4.95269,4.58361,-0.131167,43.6889,0.981974
2025-04-07,138.463,95.6681,4.93061,4.56089,-0.132201,42.7953,0.981974
2025-04-08,135.282,91.9836,4.90736,4.52161,-0.148651,43.2986,0.981974
2025-04-09,144.273,102.146,4.97171,4.6264,-0.107044,42.127,0.981974
2025-04-10,133.356,96.0643,4.89302,4.56502,-0.0911591,37.2914,0.981974
2025-04-11,133.998,96.4506,4.89782,4.56903,-0.0918636,37.5473,0.981974
2025-04-14,133.692,96.8864,4.89554,4.57354,-0.0851084,36.8052,0.981974
