Date,CVX Raw Price,PSX Raw Price,CVX Log Price,PSX Log Price,Residual,Spread,Beta
2025-04-15,132.921,95.2917,4.88975,4.55694,-0.0960275,37.6292,0.981974
2025-04-16,133.731,95.6483,4.89583,4.56068,-0.0982595,38.0828,0.981974
2025-04-17,136.211,98.1542,4.9142,4.58654,-0.0904403,38.0567,0.981974
2025-04-21,132.121,96.0841,4.88372,4.56522,-0.0818169,36.0366,0.981974
2025-04-22,135.648,99.937,4.91006,4.60454,-0.0683715,35.7108,0.981974
2025-04-23,135.035,101.799,4.90554,4.623,-0.0454664,33.2362,0.981974
2025-04-24,137.396,103.691,4.92287,4.64141,-0.0440761,33.7057,0.981974
2025-04-25,137.061,102.978,4.92042,4.63451,-0.0485735,34.0829,0.981974
2025-04-28,138.414,104.77,4.93025,4.65177,-0.0409643,33.6437,0.981974
2025-04-29,137.624,104.988,4.92452,4.65385,-0.0332633,32.6354,0.981974
2025-04-30,134.423,103.067,4.90099,4.63538,-0.028625,31.3559,0.981974
2025-05-01,134.62,102.473,4.90246,4.62959,-0.03585,32.1477,0.981974
2025-05-02,136.833,106.127,4.91876,4.66464,-0.0168169,30.706,0.981974
2025-05-05,133.869,105.88,4.89686,4.6623,0.0023511,27.9897,0.981974
2025-05-06,133.968,104.384,4.8976,4.64808,-0.0125994,29.5841,0.981974
2025-05-07,134.156,104.543,4.899,4.64959,-0.0124572,29.6133,0.981974
2025-05-08,135.391,108.148,4.90817,4.6835,0.0124494,27.243,0.981974
2025-05-09,136.823,109.861,4.91869,4.69922,0.0178334,26.9621,0.981974
2025-05-12,139.916,117.547,4.94104,4.76684,0.0635087,22.3685,0.981974
2025-05-13,140.637,124.372,4.94618,4.82327,0.114892,16.2655,0.981974
2025-05-14,139.965,123.51,4.94139,4.81632,0.112642,16.4554,0.981974
2025-05-15,140.548,123.579,4.94555,4.81688,0.109122,16.9689,0.981974
2025-05-16,140.39,124.53,4.94442,4.82455,0.117892,15.86,0.981974
2025-05-19,138.49,122.18,4.9308,4.8055,0.112221,16.31,0.981974
2025-05-20,137.27,120.9,4.92195,4.79496,0.110378,16.37,0.981974
2025-05-21,135.56,111.78,4.90941,4.71653,0.0442568,23.78,0.981974
2025-05-22,135.29,112.98,4.90742,4.72721,0.0568928,22.31,0.981974
2025-05-23,136.54,113.13,4.91662,4.72854,0.0491883,23.41,0.981974
2025-05-27,137.83,114.33,4.92602,4.73909,0.0505058,23.5,0.981974
2025-05-28,136.02,112.77,4.9128,4.72535,0.0497479,23.25,0.981974
2025-05-29,137.91,114.68,4.9266,4.74215,0.0529926,23.23,0.981974
2025-05-30,136.7,113.48,4.91779,4.73163,0.0511274,23.22,0.981974
2025-06-02,137.84,114.28,4.92609,4.73865,0.0499971,23.56,0.981974
2025-06-03,139.55,115.97,4.93842,4.75333,0.05257,23.58,0.981974
2025-06-04,137.37,112.48,4.92268,4.72278,0.0374751,24.89,0.981974
2025-06-05,136.9,112.23,4.91925,4.72055,0.0386155,24.67,0.981974
2025-06-06,140.21,114.29,4.94314,4.73874,0.0333442,25.92,0.981974
2025-06-09,140.76,116.1,4.94706,4.75445,0.0452126,24.66,0.981974
2025-06-10,143.35,118.7,4.96529,4.7766,0.0494557,24.65,0.981974
2025-06-11,144.78,120.95,4.97522,4.79538,0.0584865,23.83,0.981974
2025-06-12,144.97,121.52,4.97653,4.80008,0.0619003,23.45,0.981974
2025-06-13,145.91,122.15,4.98299,4.80525,0.0607246,23.76,0.981974
