Date,DVN Raw Price,OKE Raw Price,DVN Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,32.9309,99.4384,3.49441,4.59954,0.101858,66.5074,0.972141
2025-01-03,33.4535,100.542,3.51016,4.61058,0.0975956,67.089,0.972141
2025-01-06,33.276,99.2918,3.50484,4.59806,0.0902492,66.0158,0.972141
2025-01-07,34.2028,99.282,3.53231,4.59796,0.0634451,65.0792,0.972141
2025-01-08,34.6564,100.494,3.54548,4.61009,0.0627686,65.8373,0.972141
2025-01-10,35.4846,99.4188,3.5691,4.59934,0.0290572,63.9343,0.972141
2025-01-13,36.2536,101.598,3.59054,4.62102,0.0298932,65.3441,0.972141
2025-01-14,36.6578,103.611,3.60163,4.64064,0.0387312,66.9527,0.972141
2025-01-15,37.8903,104.431,3.63469,4.64853,0.0144753,66.541,0.972141
2025-01-16,37.8804,106.171,3.63443,4.66505,0.0312454,68.2901,0.972141
2025-01-17,37.417,106.464,3.62213,4.6678,0.0459681,69.0466,0.972141
2025-01-21,36.2142,107.333,3.58945,4.67594,0.0858684,71.1191,0.972141
2025-01-22,35.948,103.865,3.58207,4.64309,0.0601906,67.9166,0.972141
2025-01-23,35.9381,102.487,3.5818,4.62973,0.047104,66.5488,0.972141
2025-01-24,35.455,102.135,3.56826,4.6263,0.0568233,66.6802,0.972141
2025-01-27,34.8338,98.1486,3.55059,4.58648,0.0341914,63.3148,0.972141
2025-01-28,34.3901,98.2952,3.53777,4.58798,0.0481453,63.905,0.972141
2025-01-29,34.5775,98.0802,3.5432,4.58579,0.040675,63.5027,0.972141
2025-01-30,34.5578,97.5819,3.54263,4.58069,0.036136,63.0242,0.972141
2025-01-31,33.6211,94.9438,3.51515,4.55328,0.0354414,61.3227,0.972141
2025-02-03,33.276,96.4152,3.50484,4.56866,0.0608502,63.1392,0.972141
2025-02-04,33.9366,95.8128,3.52449,4.5624,0.0354728,61.8762,0.972141
2025-02-05,33.6605,96.6917,3.51633,4.57153,0.0525449,63.0312,0.972141
2025-02-06,32.9506,94.6278,3.49501,4.54995,0.0516891,61.6771,0.972141
2025-02-07,32.6844,94.6179,3.4869,4.54985,0.0594705,61.9334,0.972141
2025-02-10,33.7789,97.462,3.51983,4.57946,0.0570688,63.6832,0.972141
2025-02-11,34.6268,97.6991,3.54463,4.58189,0.0353962,63.0723,0.972141
2025-02-12,33.4929,96.4054,3.51133,4.56856,0.0544314,62.9124,0.972141
2025-02-13,33.7394,97.7386,3.51867,4.5823,0.0610376,63.9991,0.972141
2025-02-14,34.1535,96.6325,3.53087,4.57092,0.0377976,62.479,0.972141
2025-02-18,34.3901,97.4127,3.53777,4.57896,0.0391265,63.0225,0.972141
2025-02-19,37.0424,97.9657,3.61206,4.58462,-0.0274349,60.9233,0.972141
2025-02-20,38.0086,97.4028,3.63781,4.57885,-0.0582302,59.3942,0.972141
2025-02-21,36.9635,96.8794,3.60993,4.57347,-0.0365133,59.9159,0.972141
2025-02-24,36.786,96.8991,3.60512,4.57367,-0.0316306,60.1131,0.972141
2025-02-25,35.3761,94.5784,3.56604,4.54943,-0.0178798,59.2023,0.972141
2025-02-26,34.962,94.5685,3.55426,4.54932,-0.00653742,59.6065,0.972141
2025-02-27,35.3761,95.4375,3.56604,4.55847,-0.00883655,60.0614,0.972141
2025-02-28,35.7113,99.1409,3.57547,4.59654,0.0200647,63.4296,0.972141
2025-03-03,33.9267,95.5561,3.5242,4.55971,0.0330719,61.6293,0.972141
2025-03-04,33.769,92.623,3.51954,4.52854,0.00642721,58.854,0.972141
2025-03-05,33.1873,90.7269,3.50217,4.50785,0.00263588,57.5396,0.972141
2025-03-06,33.3943,88.6234,3.50839,4.4844,-0.0268684,55.2291,0.972141
2025-03-07,34.2225,88.4555,3.53288,4.4825,-0.0525802,54.233,0.972141
2025-03-10,33.7296,90.2825,3.51837,4.50294,-0.0180309,56.5529,0.972141
2025-03-11,33.9267,91.4676,3.5242,4.51598,-0.0106567,57.5408,0.972141
2025-03-12,34.262,91.8132,3.53404,4.51976,-0.0164433,57.5512,0.972141
2025-03-13,33.3155,92.3366,3.50602,4.52544,0.0164753,59.0212,0.972141
2025-03-14,34.3085,95.2302,3.53539,4.5563,0.0187789,60.9217,0.972141
2025-03-17,34.8645,97.2152,3.55147,4.57693,0.0237783,62.3506,0.972141
2025-03-18,35.1227,96.7905,3.55885,4.57255,0.012228,61.6678,0.972141
2025-03-19,35.798,98.8051,3.57789,4.59315,0.0143163,63.0071,0.972141
2025-03-20,35.8774,99.3977,3.58011,4.59913,0.0181403,63.5202,0.972141
2025-03-21,35.8973,98.104,3.58066,4.58603,0.00450152,62.2067,0.972141
2025-03-24,36.7016,101.027,3.60282,4.61539,0.012321,64.3255,0.972141
