Date,DVN Raw Price,OKE Raw Price,DVN Log Price,OKE Log Price,Residual,Spread,Beta
2025-03-25,36.7115,101.106,3.60309,4.61617,0.0128397,64.3946,0.972141
2025-03-26,37.208,100,3.61653,4.60517,-0.0112198,62.792,0.972141
2025-03-27,36.6222,97.4522,3.60065,4.57936,-0.0215999,60.83,0.972141
2025-03-28,36.503,97.2547,3.59739,4.57733,-0.0204604,60.7516,0.972141
2025-03-31,37.1385,97.9855,3.61466,4.58482,-0.0297538,60.8469,0.972141
2025-04-01,37.3074,98.262,3.61919,4.58764,-0.0313446,60.9546,0.972141
2025-04-02,37.6549,99.1211,3.62846,4.59634,-0.0316533,61.4662,0.972141
2025-04-03,32.9282,91.5466,3.49433,4.51685,0.0192492,58.6184,0.972141
2025-04-04,29.1051,79.8539,3.37091,4.3802,0.00257731,50.7488,0.972141
2025-04-07,28.41,79.9033,3.34674,4.38082,0.0266946,51.4933,0.972141
2025-04-08,26.6126,77.7306,3.28139,4.35325,0.0626611,51.118,0.972141
2025-04-09,30.8528,83.8041,3.42923,4.42848,-0.00582847,52.9513,0.972141
2025-04-10,27.556,80.2292,3.31622,4.38489,0.0604351,52.6732,0.972141
2025-04-11,28.0326,81.5327,3.33337,4.401,0.059881,53.5001,0.972141
2025-04-14,28.5291,82.3425,3.35093,4.41089,0.0526967,53.8134,0.972141
2025-04-15,28.3305,83.1128,3.34394,4.4202,0.068799,54.7823,0.972141
2025-04-16,29.0952,83.7449,3.37057,4.42777,0.0504855,54.6497,0.972141
2025-04-17,30.0981,85.1571,3.40446,4.4445,0.034262,55.059,0.972141
2025-04-21,29.2739,80.8019,3.3767,4.392,0.0087576,51.528,0.972141
2025-04-22,30.9819,83.0042,3.4334,4.41889,-0.0194785,52.0223,0.972141
2025-04-23,30.8627,83.6066,3.42955,4.42612,-0.00850088,52.7439,0.972141
2025-04-24,31.25,85.2065,3.44202,4.44508,-0.00166913,53.9565,0.972141
2025-04-25,31.1308,85.2361,3.4382,4.44542,0.00239252,54.1052,0.972141
2025-04-28,31.3294,86.7767,3.44456,4.46334,0.0141234,55.4472,0.972141
2025-04-29,31.0812,86.7668,3.4366,4.46322,0.0217434,55.6856,0.972141
2025-04-30,30.1974,81.1377,3.40776,4.39615,-0.0172897,50.9403,0.972141
2025-05-01,30.9422,79.923,3.43212,4.38106,-0.0560587,48.9809,0.972141
2025-05-02,31.2202,81.75,3.44107,4.40367,-0.0421533,50.5298,0.972141
2025-05-05,30.4059,80.15,3.41464,4.3839,-0.0362279,49.7441,0.972141
2025-05-06,30.3761,79.29,3.41366,4.37311,-0.0460628,48.9139,0.972141
2025-05-07,30.0782,80.25,3.4038,4.38515,-0.0244472,50.1718,0.972141
2025-05-08,31.7068,82.25,3.45653,4.40976,-0.05109,50.5432,0.972141
2025-05-09,32.3026,82.3,3.47515,4.41037,-0.0685802,49.9974,0.972141
2025-05-12,33.3155,85.04,3.50602,4.44312,-0.0658436,51.7245,0.972141
2025-05-13,34.0503,86.51,3.52784,4.46026,-0.0699145,52.4597,0.972141
2025-05-14,33.7226,86.61,3.51817,4.46142,-0.0593582,52.8874,0.972141
2025-05-15,33.1665,86.03,3.50154,4.4547,-0.0499133,52.8635,0.972141
2025-05-16,33.0275,85.67,3.49734,4.4505,-0.0500231,52.6425,0.972141
2025-05-19,32.4615,84.73,3.48005,4.43947,-0.0442514,52.2685,0.972141
2025-05-20,31.9451,83.71,3.46402,4.42736,-0.0407745,51.7649,0.972141
2025-05-21,31.2798,81.83,3.44297,4.40464,-0.0430286,50.5502,0.972141
2025-05-22,30.9223,81.37,3.43148,4.39901,-0.0374917,50.4477,0.972141
2025-05-23,30.9422,81.14,3.43212,4.39618,-0.0409465,50.1978,0.972141
2025-05-27,31.1308,81.74,3.4382,4.40354,-0.0394888,50.6092,0.972141
2025-05-28,30.6443,80.59,3.42245,4.38937,-0.0383432,49.9457,0.972141
2025-05-29,30.8925,80.68,3.43051,4.39049,-0.0450707,49.7875,0.972141
2025-05-30,30.0485,80.84,3.40281,4.39247,-0.0161588,50.7915,0.972141
2025-06-02,30.9223,82.51,3.43148,4.41292,-0.0235789,51.5877,0.972141
2025-06-03,31.7862,83.24,3.45903,4.42173,-0.0415579,51.4538,0.972141
2025-06-04,31.3394,80.52,3.44487,4.38851,-0.0610169,49.1806,0.972141
2025-06-05,31.2003,81.19,3.44043,4.39679,-0.0484084,49.9897,0.972141
2025-06-06,32.0643,81.72,3.46774,4.4033,-0.0684538,49.6557,0.972141
2025-06-09,32.4217,81.12,3.47883,4.39593,-0.0866014,48.6983,0.972141
2025-06-10,33.236,81.72,3.50363,4.4033,-0.103346,48.484,0.972141
2025-06-11,34.229,82.9,3.53307,4.41764,-0.117629,48.671,0.972141
2025-06-12,34.09,82.65,3.529,4.41461,-0.116693,48.56,0.972141
2025-06-13,35.11,83.75,3.55849,4.42784,-0.132132,48.64,0.972141
