Date,CVX Raw Price,BP Raw Price,CVX Log Price,BP Log Price,Residual,Spread,Beta
2025-01-02,143.354,29.0449,4.96532,3.36884,-0.0224153,114.31,0.982879
2025-01-03,144.468,29.5689,4.97306,3.38672,-0.0121419,114.9,0.982879
2025-01-06,143.892,30.1026,4.96906,3.40461,0.00967786,113.789,0.982879
2025-01-07,146.169,30.8887,4.98476,3.43039,0.0200252,115.28,0.982879
2025-01-08,146.862,30.1997,4.9895,3.40783,-0.00718747,116.663,0.982879
2025-01-10,149.637,30.3646,5.00822,3.41328,-0.0201383,119.273,0.982879
2025-01-13,151.797,30.2967,5.02254,3.41104,-0.0364608,121.5,0.982879
2025-01-14,153.311,30.1706,5.03247,3.40687,-0.0503915,123.141,0.982879
2025-01-15,154.709,30.3743,5.04154,3.4136,-0.0525771,124.334,0.982879
2025-01-16,155.735,30.8402,5.04815,3.42882,-0.0438547,124.895,0.982879
2025-01-17,157.777,30.7528,5.06118,3.42598,-0.0594957,127.024,0.982879
2025-01-21,154.621,30.5878,5.04098,3.4206,-0.0450141,124.033,0.982879
2025-01-22,152.833,30.2094,5.02934,3.40815,-0.0460313,122.623,0.982879
2025-01-23,152.442,30.5587,5.02678,3.41965,-0.0320165,121.883,0.982879
2025-01-24,152.09,30.5199,5.02447,3.41838,-0.0310169,121.57,0.982879
2025-01-27,153.634,30.5199,5.03457,3.41838,-0.0409438,123.114,0.982879
2025-01-28,152.637,30.2385,5.02806,3.40912,-0.0438106,122.399,0.982879
2025-01-29,152.129,30.2094,5.02473,3.40815,-0.0414965,121.92,0.982879
2025-01-30,152.745,30.6752,5.02877,3.42345,-0.0301641,122.07,0.982879
2025-01-31,145.778,30.1414,4.98208,3.4059,-0.00183165,115.636,0.982879
2025-02-03,145.924,29.9571,4.98309,3.39977,-0.00895524,115.967,0.982879
2025-02-04,149.716,30.7043,5.00874,3.4244,-0.00952807,119.011,0.982879
2025-02-05,149.491,30.7334,5.00724,3.42535,-0.00710386,118.757,0.982879
2025-02-06,148.426,31.0148,5.00009,3.43447,0.00903919,117.411,0.982879
2025-02-07,149.129,31.3157,5.00481,3.44412,0.0140444,117.814,0.982879
2025-02-10,152.207,33.4021,5.02524,3.50862,0.0584644,118.805,0.982879
2025-02-11,153.839,33.5282,5.03591,3.51239,0.0517528,120.311,0.982879
2025-02-12,151.357,33.6544,5.01964,3.51614,0.0714947,117.703,0.982879
2025-02-13,152.315,33.47,5.02595,3.51065,0.0598022,118.845,0.982879
2025-02-14,153.471,33.9649,5.03351,3.52533,0.06705,119.506,0.982879
2025-02-18,154.281,34.2658,5.03877,3.53415,0.0706934,120.015,0.982879
2025-02-19,155.338,33.5185,5.0456,3.5121,0.0419336,121.819,0.982879
2025-02-20,156.879,33.6253,5.05548,3.51528,0.0354095,123.254,0.982879
2025-02-21,155.032,33.3497,5.04363,3.50705,0.0388249,121.682,0.982879
2025-02-24,155.99,33.2021,5.04979,3.50261,0.0283321,122.788,0.982879
2025-02-25,154.538,32.7003,5.04044,3.48738,0.0222948,121.837,0.982879
2025-02-26,153.273,32.159,5.03222,3.47069,0.0136811,121.114,0.982879
2025-02-27,154.785,32.592,5.04203,3.48407,0.0174094,122.193,0.982879
2025-02-28,156.711,32.592,5.0544,3.48407,0.00525149,124.119,0.982879
2025-03-03,151.248,31.3029,5.01892,3.44371,-0.000227238,119.945,0.982879
2025-03-04,150.171,30.9388,5.01177,3.43201,-0.00490391,119.232,0.982879
2025-03-05,148.995,31.3718,5.00391,3.44591,0.0167191,117.623,0.982879
2025-03-06,151.109,31.2045,5.018,3.44056,-0.00247667,119.905,0.982879
2025-03-07,154.459,31.5588,5.03993,3.45185,-0.0127344,122.9,0.982879
2025-03-10,155.674,31.6965,5.04776,3.45621,-0.016081,123.977,0.982879
2025-03-11,152.226,31.4702,5.02537,3.44904,-0.00123295,120.756,0.982879
2025-03-12,150.833,31.6867,5.01617,3.4559,0.0146587,119.146,0.982879
2025-03-13,151.761,31.854,5.02231,3.46116,0.0138912,119.908,0.982879
2025-03-14,155.13,32.8577,5.04427,3.49219,0.0233352,122.273,0.982879
2025-03-17,156.81,33.2218,5.05503,3.50321,0.0237713,123.588,0.982879
2025-03-18,158.875,33.6745,5.06812,3.51674,0.0244471,125.2,0.982879
2025-03-19,162.076,34.0583,5.08806,3.52807,0.0161732,128.018,0.982879
2025-03-20,162.787,34.196,5.09244,3.53211,0.0159058,128.591,0.982879
2025-03-21,162.767,33.9992,5.09232,3.52634,0.0102531,128.768,0.982879
2025-03-24,163.034,33.5662,5.09396,3.51352,-0.0041733,129.468,0.982879
2025-03-25,163.943,33.7434,5.09952,3.51878,-0.00437445,130.2,0.982879
2025-03-26,165.949,33.8713,5.11168,3.52257,-0.0125415,132.077,0.982879
2025-03-27,164.645,33.8615,5.10379,3.52228,-0.00507746,130.783,0.982879
2025-03-28,164.091,33.3202,5.10042,3.50616,-0.0178819,130.771,0.982879
2025-03-31,165.277,33.2513,5.10762,3.50409,-0.0270272,132.026,0.982879
2025-04-01,166.482,33.271,5.11489,3.50469,-0.0335773,133.211,0.982879
2025-04-02,164.467,33.271,5.10271,3.50469,-0.0216058,131.196,0.982879
2025-04-03,154.241,30.8404,5.03852,3.42883,-0.0343762,123.401,0.982879
2025-04-04,141.556,27.9276,4.95269,3.32961,-0.049232,113.628,0.982879
2025-04-07,138.463,26.7369,4.93061,3.28604,-0.0710938,111.727,0.982879
2025-04-08,135.282,25.6938,4.90736,3.24625,-0.0880434,109.588,0.982879
2025-04-09,144.273,27.4552,4.97171,3.31256,-0.0849757,116.817,0.982879
2025-04-10,133.356,25.8119,4.89302,3.25083,-0.0693604,107.544,0.982879
2025-04-11,133.998,26.1661,4.89782,3.26447,-0.0604507,107.832,0.982879
2025-04-14,133.692,26.481,4.89554,3.27643,-0.046239,107.211,0.982879
2025-04-15,132.921,26.7762,4.88975,3.28751,-0.0294705,106.145,0.982879
2025-04-16,133.731,27.2191,4.89583,3.30392,-0.01904,106.512,0.982879
2025-04-17,136.211,27.8685,4.9142,3.3275,-0.0135178,108.342,0.982879
2025-04-21,132.121,27.6324,4.88372,3.31899,0.00793785,104.488,0.982879
2025-04-22,135.648,28.4098,4.91006,3.34673,0.00978888,107.238,0.982879
2025-04-23,135.035,28.1441,4.90554,3.33734,0.00484108,106.891,0.982879
2025-04-24,137.396,28.5377,4.92287,3.35123,0.00169192,108.859,0.982879
2025-04-25,137.061,28.7247,4.92042,3.35776,0.0106283,108.336,0.982879
2025-04-28,138.414,28.6656,4.93025,3.3557,-0.00108813,109.748,0.982879
2025-04-29,137.624,27.6225,4.92452,3.31863,-0.0325267,110.001,0.982879
2025-04-30,134.423,27.0222,4.90099,3.29666,-0.0313667,107.4,0.982879
2025-05-01,134.62,27.4355,4.90246,3.31184,-0.0176312,107.185,0.982879
2025-05-02,136.833,27.6717,4.91876,3.32041,-0.025086,109.162,0.982879
2025-05-05,133.869,28.7148,4.89686,3.35741,0.0334401,105.155,0.982879
2025-05-06,133.968,27.9473,4.8976,3.33032,0.00562061,106.021,0.982879
2025-05-07,134.156,27.6816,4.899,3.32077,-0.00530809,106.474,0.982879
2025-05-08,135.391,28.1342,4.90817,3.33699,0.00190601,107.257,0.982879
2025-05-09,136.823,29.2954,4.91869,3.37743,0.0320049,107.528,0.982879
2025-05-12,139.916,29.7087,4.94104,3.39144,0.024048,110.207,0.982879
2025-05-13,140.637,30.0728,4.94618,3.40362,0.0311757,110.564,0.982879
2025-05-14,139.965,29.876,4.94139,3.39706,0.0293162,110.089,0.982879
2025-05-15,140.548,29.63,4.94555,3.38879,0.0169629,110.918,0.982879
2025-05-16,140.39,29.76,4.94442,3.39317,0.0224466,110.63,0.982879
2025-05-19,138.49,29.4,4.9308,3.38099,0.023669,109.09,0.982879
2025-05-20,137.27,29.2,4.92195,3.37417,0.0255399,108.07,0.982879
2025-05-21,135.56,28.88,4.90941,3.36315,0.0268413,106.68,0.982879
2025-05-22,135.29,28.94,4.90742,3.36522,0.0308764,106.35,0.982879
2025-05-23,136.54,29.09,4.91662,3.37039,0.0270066,107.45,0.982879
2025-05-27,137.83,29.15,4.92602,3.37245,0.0198245,108.68,0.982879
2025-05-28,136.02,28.94,4.9128,3.36522,0.0255871,107.08,0.982879
2025-05-29,137.91,29.17,4.9266,3.37314,0.0199401,108.74,0.982879
2025-05-30,136.7,29.1,4.91779,3.37074,0.0261992,107.6,0.982879
2025-06-02,137.84,29.58,4.92609,3.3871,0.0343968,108.26,0.982879
2025-06-03,139.55,29.56,4.93842,3.38642,0.0216021,109.99,0.982879
2025-06-04,137.37,28.92,4.92268,3.36453,0.0151889,108.45,0.982879
2025-06-05,136.9,29.05,4.91925,3.36902,0.0230426,107.85,0.982879
2025-06-06,140.21,29.29,4.94314,3.37725,0.00778867,110.92,0.982879
2025-06-09,140.76,29.46,4.94706,3.38303,0.00972796,111.3,0.982879
2025-06-10,143.35,30.23,4.96529,3.40883,0.0176086,113.12,0.982879
2025-06-11,144.78,30.81,4.97522,3.42784,0.0268569,113.97,0.982879
2025-06-12,144.97,30.92,4.97653,3.4314,0.0291318,114.05,0.982879
2025-06-13,145.91,31.72,4.98299,3.45695,0.0483234,114.19,0.982879
