Date,MUR Raw Price,ET Raw Price,MUR Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,30.1631,19.0293,3.40662,2.94598,-0.0269853,11.1338,0.380703
2025-01-03,30.0559,18.9617,3.40306,2.94242,-0.029188,11.0942,0.380703
2025-01-06,29.9682,18.9424,3.40014,2.9414,-0.0290946,11.0258,0.380703
2025-01-07,30.8256,18.8169,3.42834,2.93475,-0.0464811,12.0087,0.380703
2025-01-08,31.9265,19.0486,3.46344,2.94699,-0.0476017,12.8779,0.380703
2025-01-10,32.3746,18.7493,3.47738,2.93116,-0.0687453,13.6253,0.380703
2025-01-13,32.9592,18.7976,3.49527,2.93373,-0.0729867,14.1616,0.380703
2025-01-14,33.0274,19.2417,3.49734,2.95708,-0.0504223,13.7857,0.380703
2025-01-15,32.5987,19.3479,3.48427,2.96258,-0.0399443,13.2508,0.380703
2025-01-16,32.1993,19.5506,3.47194,2.97301,-0.0248262,12.6486,0.380703
2025-01-17,31.4101,19.5893,3.44713,2.97498,-0.0134063,11.8209,0.380703
2025-01-21,30.6794,20.1878,3.42359,3.00508,0.0256541,10.4916,0.380703
2025-01-22,30.0656,20.1975,3.40338,3.00556,0.033826,9.86815,0.380703
2025-01-23,29.6175,20.3327,3.38836,3.01223,0.0462132,9.28482,0.380703
2025-01-24,28.9745,20.323,3.36642,3.01175,0.0540945,8.65147,0.380703
2025-01-27,28.7894,19.1258,3.36001,2.95104,-0.0041791,9.66353,0.380703
2025-01-28,28.4484,19.6472,3.34809,2.97793,0.0272511,8.80119,0.380703
2025-01-29,28.4289,19.821,3.34741,2.98674,0.0363183,8.60792,0.380703
2025-01-30,26.7629,20.352,3.28702,3.01318,0.085746,6.41094,0.380703
2025-01-31,25.9445,19.7727,3.25596,2.9843,0.0686932,6.17183,0.380703
2025-02-03,24.8923,20.043,3.21456,2.99788,0.098034,4.84931,0.380703
2025-02-04,25.7886,20.0527,3.24993,2.99836,0.0850483,5.73597,0.380703
2025-02-05,25.9932,20.072,3.25784,2.99932,0.0830024,5.92126,0.380703
