Date,APA Raw Price,AR Raw Price,APA Log Price,AR Log Price,Residual,Spread,Beta
2025-05-21,16.71,39.11,2.81601,3.66638,0.0741281,22.4,0.265807
2025-05-22,16.74,39.05,2.8178,3.66484,0.072116,22.31,0.265807
2025-05-23,16.85,39.49,2.82435,3.67605,0.0815797,22.64,0.265807
2025-05-27,17.31,40.17,2.85128,3.69312,0.0914935,22.86,0.265807
2025-05-28,17.18,38.97,2.84375,3.66279,0.063169,21.79,0.265807
2025-05-29,17.34,38.84,2.85302,3.65945,0.0573634,21.5,0.265807
2025-05-30,17.01,37.45,2.8338,3.62301,0.0260269,20.44,0.265807
2025-06-02,17.33,38.65,2.85244,3.65455,0.0526129,21.32,0.265807
2025-06-03,18.27,38.36,2.90526,3.64702,0.0310411,20.09,0.265807
2025-06-04,17.92,37.3,2.88592,3.61899,0.00816063,19.38,0.265807
2025-06-05,17.85,37.19,2.882,3.61604,0.00624753,19.34,0.265807
2025-06-06,18.5,38.65,2.91777,3.65455,0.0352473,20.15,0.265807
2025-06-09,18.63,38.92,2.92477,3.66151,0.0403474,20.29,0.265807
2025-06-10,19.28,38.39,2.95907,3.6478,0.0175203,19.11,0.265807
2025-06-11,19.61,39.22,2.97604,3.66919,0.034399,19.61,0.265807
2025-06-12,19.95,40.04,2.99323,3.68988,0.0505221,20.09,0.265807
2025-06-13,21.01,41.66,3.045,3.72954,0.0764238,20.65,0.265807
