Date,APA Raw Price,AR Raw Price,APA Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,22.7603,35.57,3.12502,3.5715,-0.102884,12.8097,0.265807
2025-01-03,22.7992,34.94,3.12673,3.55363,-0.121209,12.1408,0.265807
2025-01-06,23.0328,36.01,3.13692,3.5838,-0.0937546,12.9772,0.265807
2025-01-07,23.0328,36.68,3.13692,3.60223,-0.0753195,13.6472,0.265807
2025-01-08,23.0523,37.86,3.13777,3.6339,-0.0438806,14.8077,0.265807
2025-01-10,23.0523,38.32,3.13777,3.64597,-0.0318039,15.2677,0.265807
2025-01-13,23.7337,38.3,3.1669,3.64545,-0.0400695,14.5662,0.265807
2025-01-14,24.1913,38.59,3.18599,3.65299,-0.0376017,14.3987,0.265807
2025-01-15,24.7754,40.23,3.20985,3.69461,-0.00232352,15.4546,0.265807
2025-01-16,24.4833,40.57,3.19799,3.70303,0.00924429,16.0867,0.265807
2025-01-17,23.7532,40.46,3.16772,3.70031,0.0145765,16.7068,0.265807
2025-01-21,23.0718,39.93,3.13861,3.68713,0.00912772,16.8582,0.265807
2025-01-22,22.9832,40.74,3.13476,3.70721,0.0302324,17.7568,0.265807
2025-01-23,23.1308,40.55,3.14117,3.70254,0.0238563,17.4192,0.265807
2025-01-24,22.9439,40.15,3.13305,3.69262,0.0160999,17.2061,0.265807
2025-01-27,23.0029,36.35,3.13562,3.59319,-0.0840114,13.3471,0.265807
2025-01-28,22.9635,37.22,3.13391,3.61685,-0.0599041,14.2565,0.265807
2025-01-29,22.8061,37.35,3.12703,3.62033,-0.0545891,14.5439,0.265807
2025-01-30,22.6192,37.85,3.1188,3.63363,-0.0391033,15.2308,0.265807
2025-01-31,21.5763,37.32,3.0716,3.61953,-0.0406578,15.7437,0.265807
2025-02-03,21.1237,38.33,3.0504,3.64623,-0.00831937,17.2063,0.265807
2025-02-04,22.0289,38.73,3.09235,3.65661,-0.00909052,16.7011,0.265807
2025-02-05,21.8321,39.6,3.08338,3.67883,0.0155091,17.7679,0.265807
2025-02-06,21.291,38.3,3.05828,3.64545,-0.0111988,17.009,0.265807
2025-02-07,21.3205,37.85,3.05967,3.63363,-0.023386,16.5295,0.265807
2025-02-10,22.6192,40.02,3.1188,3.68938,0.0166451,17.4008,0.265807
2025-02-11,22.934,40.02,3.13262,3.68938,0.0129708,17.086,0.265807
2025-02-12,22.0092,39.38,3.09146,3.67326,0.00779062,17.3708,0.265807
2025-02-13,22.1273,40.15,3.09681,3.69262,0.025733,18.0227,0.265807
2025-02-14,22.7668,39.84,3.1253,3.68487,0.0104086,17.0732,0.265807
2025-02-18,23.1898,39.74,3.14371,3.68236,0.00300135,16.5502,0.265807
2025-02-19,23.2095,40.35,3.14456,3.69759,0.018009,17.1405,0.265807
2025-02-20,23.239,39.51,3.14583,3.67655,-0.00336645,16.271,0.265807
2025-02-21,22.4224,38.15,3.11006,3.64153,-0.028886,15.7276,0.265807
2025-02-24,22.5011,37.9,3.11357,3.63495,-0.0363921,15.3989,0.265807
2025-02-25,22.019,37.35,3.09191,3.62033,-0.0452534,15.331,0.265807
2025-02-26,21.655,37.04,3.07524,3.612,-0.0491566,15.385,0.265807
2025-02-27,20.0906,35.58,3.00025,3.57178,-0.0694405,15.4894,0.265807
2025-02-28,20.3661,36.7,3.01387,3.60278,-0.0420675,16.3339,0.265807
2025-03-03,18.5853,36.15,2.92237,3.58768,-0.0328456,17.5647,0.265807
2025-03-04,18.2705,36.52,2.90529,3.59786,-0.0181211,18.2495,0.265807
2025-03-05,18.241,36.38,2.90367,3.59402,-0.0215323,18.139,0.265807
2025-03-06,18.4476,33.78,2.91493,3.51987,-0.0986764,15.3324,0.265807
2025-03-07,18.5361,33.64,2.91972,3.51572,-0.104102,15.1039,0.265807
2025-03-10,18.7132,34.69,2.92923,3.54645,-0.0758942,15.9768,0.265807
2025-03-11,18.8903,35.86,2.93865,3.57962,-0.0452268,16.9697,0.265807
2025-03-12,19.3331,36.01,2.96182,3.5838,-0.0472107,16.6769,0.265807
2025-03-13,18.7329,36.37,2.93028,3.59374,-0.0288808,17.6371,0.265807
2025-03-14,19.2937,37.57,2.95978,3.62621,-0.00425982,18.2763,0.265807
2025-03-17,19.7069,38.9,2.98097,3.66099,0.0248958,19.1931,0.265807
2025-03-18,19.8447,39.87,2.98794,3.68562,0.0476742,20.0253,0.265807
2025-03-19,20.4744,41.02,3.01917,3.71406,0.0678068,20.5456,0.265807
2025-03-20,20.2382,40.97,3.00757,3.71284,0.0696705,20.7318,0.265807
2025-03-21,20.2776,40.77,3.00952,3.70795,0.0642605,20.4924,0.265807
2025-03-24,20.5039,41.21,3.02061,3.71868,0.072045,20.7061,0.265807
2025-03-25,20.5531,41.42,3.02301,3.72376,0.0764909,20.8669,0.265807
2025-03-26,20.7597,40.97,3.03301,3.71284,0.0629085,20.2103,0.265807
2025-03-27,20.8581,39.53,3.03774,3.67706,0.0258714,18.6719,0.265807
2025-03-28,20.5826,39.69,3.02445,3.6811,0.0334449,19.1074,0.265807
2025-03-31,20.681,40.44,3.02921,3.69982,0.0508974,19.759,0.265807
2025-04-01,20.7892,40.92,3.03443,3.71162,0.0613096,20.1308,0.265807
2025-04-02,20.8974,42,3.03963,3.73767,0.0859802,21.1026,0.265807
2025-04-03,17.4539,38.79,2.85956,3.65816,0.0543354,21.3361,0.265807
2025-04-04,14.9352,33.46,2.70372,3.51035,-0.0520522,18.5248,0.265807
2025-04-07,14.7187,34.15,2.68912,3.53076,-0.0277597,19.4313,0.265807
2025-04-08,13.8037,32.24,2.62494,3.47321,-0.0682543,18.4363,0.265807
2025-04-09,16.4405,34.89,2.79975,3.5522,-0.0357277,18.4495,0.265807
2025-04-10,14.3645,31.92,2.66476,3.46323,-0.0888149,17.5555,0.265807
2025-04-11,14.7974,33.1,2.69445,3.49953,-0.0604068,18.3026,0.265807
2025-04-14,14.9548,33.23,2.70503,3.50345,-0.0592997,18.2752,0.265807
2025-04-15,14.6498,33.1,2.68443,3.49953,-0.0577425,18.4502,0.265807
2025-04-16,15.1221,34.3,2.71616,3.53515,-0.0305638,19.1779,0.265807
2025-04-17,15.8502,34.42,2.76318,3.53864,-0.0395704,18.5698,0.265807
2025-04-21,15.25,32.06,2.72458,3.46761,-0.100339,16.81,0.265807
2025-04-22,15.86,32.83,2.7638,3.49134,-0.0870302,16.97,0.265807
2025-04-23,15.65,34.29,2.75047,3.53485,-0.0399762,18.64,0.265807
2025-04-24,16.26,34.54,2.78871,3.54212,-0.0428756,18.28,0.265807
2025-04-25,16.35,35.33,2.79423,3.56473,-0.0217284,18.98,0.265807
2025-04-28,16.55,35.93,2.80639,3.58157,-0.00812005,19.38,0.265807
2025-04-29,16.24,36.18,2.78748,3.58851,0.00383991,19.94,0.265807
2025-04-30,15.54,34.83,2.74342,3.55048,-0.022476,19.29,0.265807
2025-05-01,16.22,34.65,2.78625,3.5453,-0.0390413,18.43,0.265807
2025-05-02,16.46,35.76,2.80093,3.57683,-0.0114133,19.3,0.265807
2025-05-05,15.5,35.49,2.74084,3.56925,-0.00301904,19.99,0.265807
2025-05-06,15.73,35.5,2.75557,3.56953,-0.00665261,19.77,0.265807
2025-05-07,15.48,36.71,2.73955,3.60305,0.0311223,21.23,0.265807
2025-05-08,16.18,37.39,2.78378,3.6214,0.0377205,21.21,0.265807
2025-05-09,16.72,38.71,2.81661,3.6561,0.0636889,21.99,0.265807
2025-05-12,17.71,39.4,2.87413,3.67377,0.0660665,21.69,0.265807
2025-05-13,18.46,41.04,2.91561,3.71455,0.0958231,22.58,0.265807
2025-05-14,18.17,40.5,2.89977,3.7013,0.0867867,22.33,0.265807
2025-05-15,17.76,40.23,2.87695,3.69461,0.0861642,22.47,0.265807
2025-05-16,17.59,39.8,2.86733,3.68387,0.0779747,22.21,0.265807
2025-05-19,17.32,39.42,2.85186,3.67427,0.0724928,22.1,0.265807
2025-05-20,17.25,39.77,2.84781,3.68311,0.0824089,22.52,0.265807
