Date,BP Raw Price,MTDR Raw Price,BP Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,29.0449,57.3103,3.36884,4.04848,0.224178,28.2654,1.36476
2025-01-03,29.5689,58.2872,3.38672,4.06538,0.216677,28.7183,1.36476
2025-01-06,30.1026,57.5767,3.40461,4.05312,0.179998,27.4741,1.36476
2025-01-07,30.8887,58.9286,3.43039,4.07633,0.168026,28.0399,1.36476
2025-01-08,30.1997,59.2838,3.40783,4.08234,0.204823,29.0841,1.36476
2025-01-10,30.3646,60.4383,3.41328,4.10162,0.216675,30.0736,1.36476
2025-01-13,30.2967,61.1389,3.41104,4.11315,0.231257,30.8422,1.36476
2025-01-14,30.1706,61.8987,3.40687,4.1255,0.249302,31.7281,1.36476
2025-01-15,30.3743,62.7769,3.4136,4.13959,0.254203,32.4025,1.36476
2025-01-16,30.8402,62.5401,3.42882,4.13581,0.229653,31.6999,1.36476
2025-01-17,30.7528,62.9249,3.42598,4.14194,0.239658,32.1721,1.36476
2025-01-21,30.5878,61.8888,3.4206,4.12534,0.230396,31.301,1.36476
2025-01-22,30.2094,62.2046,3.40815,4.13043,0.252477,31.9952,1.36476
2025-01-23,30.5587,61.3757,3.41965,4.11701,0.22337,30.817,1.36476
2025-01-24,30.5199,60.31,3.41838,4.0995,0.207589,29.7901,1.36476
2025-01-27,30.5199,58.8102,3.41838,4.07431,0.182405,28.2902,1.36476
2025-01-28,30.2385,59.4811,3.40912,4.08566,0.206393,29.2427,1.36476
2025-01-29,30.2094,59.4614,3.40815,4.08533,0.207376,29.252,1.36476
2025-01-30,30.6752,58.751,3.42345,4.07331,0.174473,28.0758,1.36476
2025-01-31,30.1414,57.2314,3.4059,4.0471,0.172223,27.0899,1.36476
2025-02-03,29.9571,56.7775,3.39977,4.03914,0.172634,26.8204,1.36476
2025-02-04,30.7043,57.5965,3.4244,4.05346,0.153332,26.8922,1.36476
2025-02-05,30.7334,57.2018,3.42535,4.04658,0.145162,26.4684,1.36476
2025-02-06,31.0148,55.7216,3.43447,4.02037,0.106506,24.7068,1.36476
2025-02-07,31.3157,55.9289,3.44412,4.02408,0.0970437,24.6132,1.36476
2025-02-10,33.4021,58.4747,3.50862,4.06859,0.0535302,25.0726,1.36476
2025-02-11,33.5282,58.5832,3.51239,4.07045,0.0502399,25.055,1.36476
2025-02-12,33.6544,55.6723,3.51614,4.01948,-0.00585106,22.0179,1.36476
2025-02-13,33.47,56.363,3.51065,4.03181,0.0139772,22.893,1.36476
2025-02-14,33.9649,56.4321,3.52533,4.03304,-0.00483095,22.4672,1.36476
2025-02-18,34.2658,57.034,3.53415,4.04365,-0.00625583,22.7683,1.36476
2025-02-19,33.5185,55.8795,3.5121,4.0232,0.0033848,22.361,1.36476
2025-02-20,33.6253,55.7315,3.51528,4.02055,-0.00360707,22.1062,1.36476
2025-02-21,33.3497,52.4062,3.50705,3.95902,-0.053899,19.0564,1.36476
2025-02-24,33.2021,52.6923,3.50261,3.96447,-0.0423996,19.4902,1.36476
2025-02-25,32.7003,51.7648,3.48738,3.94671,-0.0393726,19.0645,1.36476
2025-02-26,32.159,51.4392,3.47069,3.9404,-0.0229054,19.2801,1.36476
2025-02-27,32.592,51.8141,3.48407,3.94766,-0.0338948,19.2221,1.36476
2025-02-28,32.592,51.9561,3.48407,3.9504,-0.0311589,19.3641,1.36476
2025-03-03,31.3029,47.3898,3.44371,3.85841,-0.068073,16.0869,1.36476
2025-03-04,30.9388,46.0894,3.43201,3.83058,-0.0799295,15.1506,1.36476
2025-03-05,31.3718,45.3846,3.44591,3.81517,-0.114307,14.0128,1.36476
2025-03-06,31.2045,44.4614,3.44056,3.79462,-0.127561,13.257,1.36476
2025-03-07,31.5588,44.9379,3.45185,3.80528,-0.132308,13.3792,1.36476
2025-03-10,31.6965,44.6898,3.45621,3.79974,-0.14379,12.9932,1.36476
2025-03-11,31.4702,46.6552,3.44904,3.84279,-0.0909692,15.1851,1.36476
2025-03-12,31.6867,47.9258,3.4559,3.86965,-0.073456,16.2392,1.36476
2025-03-13,31.854,46.5858,3.46116,3.84129,-0.109003,14.7318,1.36476
2025-03-14,32.8577,48.2634,3.49219,3.87667,-0.115966,15.4056,1.36476
2025-03-17,33.2218,49.9906,3.50321,3.91183,-0.0958431,16.7688,1.36476
2025-03-18,33.6745,50.1891,3.51674,3.9158,-0.11035,16.5146,1.36476
2025-03-19,34.0583,52.234,3.52807,3.95573,-0.0858803,18.1758,1.36476
2025-03-20,34.196,51.9263,3.53211,3.94983,-0.0972984,17.7303,1.36476
2025-03-21,33.9992,51.1322,3.52634,3.93441,-0.104833,17.1329,1.36476
2025-03-24,33.5662,52.5814,3.51352,3.96236,-0.0593908,19.0152,1.36476
2025-03-25,33.7434,51.9362,3.51878,3.95002,-0.0789209,18.1928,1.36476
2025-03-26,33.8713,51.8568,3.52257,3.94849,-0.0856151,17.9855,1.36476
2025-03-27,33.8615,51.1222,3.52228,3.93422,-0.0994853,17.2608,1.36476
2025-03-28,33.3202,50.1395,3.50616,3.91481,-0.0969058,16.8193,1.36476
2025-03-31,33.2513,50.7152,3.50409,3.92623,-0.0826639,17.4639,1.36476
2025-04-01,33.271,50.7351,3.50469,3.92662,-0.0830802,17.4641,1.36476
2025-04-02,33.271,51.8469,3.50469,3.94829,-0.0614033,18.5759,1.36476
2025-04-03,30.8404,44.2431,3.42883,3.7897,-0.116467,13.4027,1.36476
2025-04-04,27.9276,38.0985,3.32961,3.64017,-0.130592,10.1709,1.36476
2025-04-07,26.7369,38.0488,3.28604,3.63887,-0.0724316,11.312,1.36476
2025-04-08,25.6938,36.401,3.24625,3.5946,-0.0623949,10.7072,1.36476
2025-04-09,27.4552,42.1882,3.31256,3.74214,-0.00534471,14.733,1.36476
2025-04-10,25.8119,37.5624,3.25083,3.626,-0.0372449,11.7506,1.36476
2025-04-11,26.1661,39.1209,3.26447,3.66666,-0.0151958,12.9548,1.36476
2025-04-14,26.481,38.9422,3.27643,3.66208,-0.0360999,12.4612,1.36476
2025-04-15,26.7762,38.6643,3.28751,3.65492,-0.0583935,11.8881,1.36476
2025-04-16,27.2191,39.8356,3.30392,3.68476,-0.050934,12.6166,1.36476
2025-04-17,27.8685,41.1658,3.3275,3.71761,-0.0502702,13.2973,1.36476
2025-04-21,27.6324,39.7364,3.31899,3.68227,-0.0739963,12.104,1.36476
2025-04-22,28.4098,40.7191,3.34673,3.7067,-0.0874315,12.3093,1.36476
2025-04-23,28.1441,40.5404,3.33734,3.7023,-0.0790056,12.3964,1.36476
2025-04-24,28.5377,40.4511,3.35123,3.70009,-0.100167,11.9134,1.36476
2025-04-25,28.7247,40.7687,3.35776,3.70792,-0.101257,12.0441,1.36476
2025-04-28,28.6656,41.2353,3.3557,3.71929,-0.0870702,12.5697,1.36476
2025-04-29,27.6225,40.7191,3.31863,3.7067,-0.0490795,13.0966,1.36476
2025-04-30,27.0222,39.25,3.29666,3.66995,-0.0558412,12.2277,1.36476
2025-05-01,27.4355,40.193,3.31184,3.69369,-0.052815,12.7574,1.36476
2025-05-02,27.6717,40.7886,3.32041,3.7084,-0.0498034,13.1169,1.36476
2025-05-05,28.7148,39.3592,3.35741,3.67273,-0.135977,10.6443,1.36476
2025-05-06,27.9473,40.0342,3.33032,3.68973,-0.0819946,12.0869,1.36476
2025-05-07,27.6816,39.7463,3.32077,3.68252,-0.0761744,12.0647,1.36476
2025-05-08,28.1342,42.357,3.33699,3.74613,-0.0346943,14.2228,1.36476
2025-05-09,29.2954,42.75,3.37743,3.75537,-0.0806554,13.4546,1.36476
2025-05-12,29.7087,44.69,3.39144,3.79975,-0.0553946,14.9813,1.36476
2025-05-13,30.0728,46.36,3.40362,3.83644,-0.0353316,16.2872,1.36476
2025-05-14,29.876,45.89,3.39706,3.82625,-0.0365605,16.014,1.36476
2025-05-15,29.63,44.59,3.38879,3.79751,-0.0540135,14.96,1.36476
2025-05-16,29.76,44.54,3.39317,3.79639,-0.0611101,14.78,1.36476
2025-05-19,29.4,44.29,3.38099,3.79076,-0.0501289,14.89,1.36476
2025-05-20,29.2,44.28,3.37417,3.79053,-0.041039,15.08,1.36476
2025-05-21,28.88,43.55,3.36315,3.77391,-0.0426235,14.67,1.36476
2025-05-22,28.94,43.6,3.36522,3.77506,-0.0443086,14.66,1.36476
2025-05-23,29.09,43.4,3.37039,3.77046,-0.0559617,14.31,1.36476
2025-05-27,29.15,44.16,3.37245,3.78782,-0.0414137,15.01,1.36476
2025-05-28,28.94,43.83,3.36522,3.78032,-0.0390471,14.89,1.36476
2025-05-29,29.17,44.04,3.37314,3.7851,-0.0450709,14.87,1.36476
2025-05-30,29.1,43.01,3.37074,3.76143,-0.0654576,13.91,1.36476
2025-06-02,29.58,43.51,3.3871,3.77299,-0.0762273,13.93,1.36476
2025-06-03,29.56,45.8,3.38642,3.82428,-0.0240109,16.24,1.36476
2025-06-04,28.92,45.01,3.36453,3.80688,-0.0115375,16.09,1.36476
2025-06-05,29.05,44.77,3.36902,3.80154,-0.0230049,15.72,1.36476
2025-06-06,29.29,45.79,3.37725,3.82407,-0.0117064,16.5,1.36476
2025-06-09,29.46,46.66,3.38303,3.84289,-0.000782965,17.2,1.36476
2025-06-10,30.23,47.93,3.40883,3.86974,-0.00914137,17.7,1.36476
2025-06-11,30.81,49.02,3.42784,3.89223,-0.0125912,18.21,1.36476
2025-06-12,30.92,49.5,3.4314,3.90197,-0.00771084,18.58,1.36476
2025-06-13,31.72,51.64,3.45695,3.9443,-0.000248617,19.92,1.36476
