Date,BP Raw Price,HES Raw Price,BP Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,29.0449,134.963,3.36884,4.905,-0.00393195,105.918,0.798655
2025-01-03,29.5689,135.93,3.38672,4.91214,-0.0110756,106.361,0.798655
2025-01-06,30.1026,135.461,3.40461,4.90869,-0.0288152,105.359,0.798655
2025-01-07,30.8887,138.142,3.43039,4.92828,-0.0298043,107.253,0.798655
2025-01-08,30.1997,139.338,3.40783,4.9369,-0.00316782,109.138,0.798655
2025-01-10,30.3646,141.929,3.41328,4.95533,0.0109071,111.565,0.798655
2025-01-13,30.2967,144.341,3.41104,4.97218,0.0295463,114.044,0.798655
2025-01-14,30.1706,146.185,3.40687,4.98487,0.0455715,116.014,0.798655
2025-01-15,30.3743,148.417,3.4136,5.00003,0.0553509,118.043,0.798655
2025-01-16,30.8402,149.225,3.42882,5.00545,0.0486206,118.384,0.798655
2025-01-17,30.7528,150.839,3.42598,5.01621,0.0616471,120.086,0.798655
2025-01-21,30.5878,148.158,3.4206,4.99828,0.0480097,117.57,0.798655
2025-01-22,30.2094,145.099,3.40815,4.97741,0.0370857,114.889,0.798655
2025-01-23,30.5587,144.371,3.41965,4.97239,0.022876,113.812,0.798655
2025-01-24,30.5199,143.913,3.41838,4.96921,0.0207106,113.393,0.798655
2025-01-27,30.5199,145.617,3.41838,4.98098,0.0324832,115.097,0.798655
2025-01-28,30.2385,144.56,3.40912,4.9737,0.0326005,114.322,0.798655
2025-01-29,30.2094,144.67,3.40815,4.97446,0.0341279,114.461,0.798655
2025-01-30,30.6752,145.358,3.42345,4.9792,0.0266493,114.683,0.798655
2025-01-31,30.1414,138.561,3.4059,4.93131,-0.00722107,108.419,0.798655
2025-02-03,29.9571,138.361,3.39977,4.92987,-0.00376016,108.404,0.798655
2025-02-04,30.7043,142.298,3.4244,4.95792,0.00461807,111.594,0.798655
2025-02-05,30.7334,142.258,3.42535,4.95764,0.00358091,111.525,0.798655
2025-02-06,31.0148,141.451,3.43447,4.95195,-0.00938985,110.436,0.798655
2025-02-07,31.3157,142.458,3.44412,4.95904,-0.0100082,111.142,0.798655
2025-02-10,33.4021,145.338,3.50862,4.97906,-0.0415046,111.936,0.798655
2025-02-11,33.5282,146.504,3.51239,4.98705,-0.0365243,112.976,0.798655
2025-02-12,33.6544,144.311,3.51614,4.97197,-0.0546028,110.657,0.798655
2025-02-13,33.47,145.358,3.51065,4.9792,-0.0429901,111.888,0.798655
2025-02-14,33.9649,146.055,3.52533,4.98399,-0.0499252,112.09,0.798655
2025-02-18,34.2658,147.471,3.53415,4.99363,-0.0473251,113.205,0.798655
2025-02-19,33.5185,148.766,3.5121,5.00238,-0.0209689,115.248,0.798655
2025-02-20,33.6253,150.45,3.51528,5.01363,-0.0122503,116.825,0.798655
2025-02-21,33.3497,147.61,3.50705,4.99457,-0.0247386,114.26,0.798655
2025-02-24,33.2021,148.248,3.50261,4.99889,-0.016884,115.046,0.798655
2025-02-25,32.7003,146.454,3.48738,4.98671,-0.0168943,113.754,0.798655
2025-02-26,32.159,144.979,3.47069,4.97659,-0.0136875,112.82,0.798655
2025-02-27,32.592,146.414,3.48407,4.98644,-0.0145184,113.822,0.798655
2025-02-28,32.592,148.437,3.48407,5.00016,-0.000794987,115.845,0.798655
2025-03-03,31.3029,143.604,3.44371,4.96706,-0.00166946,112.301,0.798655
2025-03-04,30.9388,141.909,3.43201,4.95519,-0.00419373,110.971,0.798655
2025-03-05,31.3718,140.863,3.44591,4.94779,-0.0226948,109.491,0.798655
2025-03-06,31.2045,142.856,3.44056,4.96184,-0.00437347,111.652,0.798655
2025-03-07,31.5588,146.932,3.45185,4.98997,0.0147446,115.374,0.798655
2025-03-10,31.6965,147.74,3.45621,4.99545,0.0167449,116.043,0.798655
2025-03-11,31.4702,144.122,3.44904,4.97066,-0.00232389,112.652,0.798655
2025-03-12,31.6867,143.544,3.4559,4.96664,-0.0118182,111.857,0.798655
2025-03-13,31.854,143.434,3.46116,4.96588,-0.0167876,111.58,0.798655
2025-03-14,32.8577,147.63,3.49219,4.99471,-0.0127327,114.772,0.798655
2025-03-17,33.2218,150.45,3.50321,5.01363,-0.00261232,117.228,0.798655
2025-03-18,33.6745,152.82,3.51674,5.02926,0.00220893,119.146,0.798655
2025-03-19,34.0583,156.38,3.52807,5.05229,0.0161865,122.322,0.798655
2025-03-20,34.196,157.37,3.53211,5.0586,0.0192731,123.174,0.798655
2025-03-21,33.9992,156.58,3.52634,5.05357,0.0188503,122.581,0.798655
2025-03-24,33.5662,157.35,3.51352,5.05847,0.0339922,123.784,0.798655
2025-03-25,33.7434,158.29,3.51878,5.06443,0.0357448,124.547,0.798655
2025-03-26,33.8713,160.52,3.52257,5.07842,0.0467126,126.649,0.798655
2025-03-27,33.8615,159.07,3.52228,5.06934,0.0378704,125.209,0.798655
2025-03-28,33.3202,158.45,3.50616,5.06544,0.0468336,125.13,0.798655
2025-03-31,33.2513,159.73,3.50409,5.07348,0.0565323,126.479,0.798655
2025-04-01,33.271,161.29,3.50469,5.0832,0.0657787,128.019,0.798655
2025-04-02,33.271,160.02,3.50469,5.0753,0.0578736,126.749,0.798655
2025-04-03,30.8404,148.38,3.42883,4.99978,0.0429385,117.54,0.798655
2025-04-04,27.9276,133.56,3.32961,4.89455,0.0169477,105.632,0.798655
2025-04-07,26.7369,130.59,3.28604,4.87206,0.0292579,103.853,0.798655
2025-04-08,25.6938,127.51,3.24625,4.84819,0.0371726,101.816,0.798655
2025-04-09,27.4552,137.97,3.31256,4.92704,0.0630566,110.515,0.798655
2025-04-10,25.8119,127.16,3.25083,4.84545,0.0307618,101.348,0.798655
2025-04-11,26.1661,128.5,3.26447,4.85593,0.0303577,102.334,0.798655
2025-04-14,26.481,127.91,3.27643,4.85133,0.0162016,101.429,0.798655
2025-04-15,26.7762,127.21,3.28751,4.84584,0.00185959,100.434,0.798655
2025-04-16,27.2191,127.95,3.30392,4.85164,-0.00544031,100.731,0.798655
2025-04-17,27.8685,130.64,3.3275,4.87245,-0.00346739,102.771,0.798655
2025-04-21,27.6324,126.32,3.31899,4.83882,-0.0302974,98.6876,0.798655
2025-04-22,28.4098,130.38,3.34673,4.87045,-0.0208215,101.97,0.798655
2025-04-23,28.1441,130.03,3.33734,4.86777,-0.0160052,101.886,0.798655
2025-04-24,28.5377,132.38,3.35123,4.88568,-0.00918638,103.842,0.798655
2025-04-25,28.7247,132.34,3.35776,4.88537,-0.0147042,103.615,0.798655
2025-04-28,28.6656,133.84,3.3557,4.89665,-0.00179009,105.174,0.798655
2025-04-29,27.6225,132.54,3.31863,4.88688,0.0180531,104.917,0.798655
2025-04-30,27.0222,129.05,3.29666,4.8602,0.00891594,102.028,0.798655
2025-05-01,27.4355,129.79,3.31184,4.86592,0.00251074,102.354,0.798655
2025-05-02,27.6717,132.31,3.32041,4.88515,0.014895,104.638,0.798655
2025-05-05,28.7148,128.8,3.35741,4.85826,-0.041544,100.085,0.798655
2025-05-06,27.9473,128.87,3.33032,4.8588,-0.0193617,100.923,0.798655
2025-05-07,27.6816,129.09,3.32077,4.86051,-0.0100267,101.408,0.798655
2025-05-08,28.1342,130.88,3.33699,4.87428,-0.0092102,102.746,0.798655
2025-05-09,29.2954,132.37,3.37743,4.8856,-0.030191,103.075,0.798655
2025-05-12,29.7087,135.21,3.39144,4.90683,-0.0201517,105.501,0.798655
2025-05-13,30.0728,135.7,3.40362,4.91045,-0.0262628,105.627,0.798655
2025-05-14,29.876,134.79,3.39706,4.90372,-0.0277475,104.914,0.798655
2025-05-15,29.63,135.07,3.38879,4.90579,-0.0190685,105.44,0.798655
2025-05-16,29.76,134.93,3.39317,4.90476,-0.023602,105.17,0.798655
2025-05-19,29.4,132.79,3.38099,4.88877,-0.0298691,103.39,0.798655
2025-05-20,29.2,132.05,3.37417,4.88318,-0.0300058,102.85,0.798655
2025-05-21,28.88,130.16,3.36315,4.86876,-0.0356212,101.28,0.798655
2025-05-22,28.94,130.02,3.36522,4.86769,-0.038355,101.08,0.798655
2025-05-23,29.09,131.36,3.37039,4.87794,-0.0322305,102.27,0.798655
2025-05-27,29.15,132.58,3.37245,4.88719,-0.0246314,103.43,0.798655
2025-05-28,28.94,131.07,3.36522,4.87573,-0.0303117,102.13,0.798655
2025-05-29,29.17,133.62,3.37314,4.895,-0.0173655,104.45,0.798655
2025-05-30,29.1,132.19,3.37074,4.88424,-0.0262063,103.09,0.798655
2025-06-02,29.58,133.75,3.3871,4.89597,-0.0275404,104.17,0.798655
2025-06-03,29.56,135.96,3.38642,4.91236,-0.0106119,106.4,0.798655
2025-06-04,28.92,133.45,3.36453,4.89373,-0.0117643,104.53,0.798655
2025-06-05,29.05,133.05,3.36902,4.89073,-0.0183481,104,0.798655
2025-06-06,29.29,136.13,3.37725,4.91361,-0.00203392,106.84,0.798655
2025-06-09,29.46,136.63,3.38303,4.91728,-0.00298965,107.17,0.798655
2025-06-10,30.23,138.66,3.40883,4.93202,-0.00884773,108.43,0.798655
2025-06-11,30.81,140.58,3.42784,4.94578,-0.0102739,109.77,0.798655
2025-06-12,30.92,141.14,3.4314,4.94975,-0.00914473,110.22,0.798655
2025-06-13,31.72,142.26,3.45695,4.95766,-0.0216417,110.54,0.798655
