Date,VLO Raw Price,RRC Raw Price,VLO Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,121.125,35.8827,4.79682,3.58026,-0.0149705,85.242,0.722691
2025-01-03,122.216,35.7434,4.80579,3.57636,-0.0253463,86.4731,0.722691
2025-01-06,120.112,36.6392,4.78842,3.60112,0.0119621,83.4725,0.722691
2025-01-07,121.951,36.6093,4.80362,3.6003,0.000164171,85.3416,0.722691
2025-01-08,123.131,37.3459,4.81325,3.62022,0.0131234,85.7853,0.722691
2025-01-10,125.059,37.9929,4.82879,3.6374,0.0190722,87.0661,0.722691
2025-01-13,131.157,38.3114,4.8764,3.64575,-0.00698626,92.8456,0.722691
2025-01-14,131.855,39.4361,4.88171,3.67468,0.0181116,92.4192,0.722691
2025-01-15,135.642,40.1429,4.91002,3.69244,0.015411,95.4992,0.722691
2025-01-16,137.078,41.0984,4.92055,3.71597,0.0313251,95.9796,0.722691
2025-01-17,138.73,40.8794,4.93253,3.71063,0.0173232,97.851,0.722691
2025-01-21,137.235,40.7799,4.9217,3.70819,0.0227157,96.4555,0.722691
2025-01-22,132.859,40.8097,4.88928,3.70892,0.0468718,92.0488,0.722691
2025-01-23,138.396,40.3718,4.93012,3.69813,0.00657186,98.0242,0.722691
2025-01-24,137.334,39.9836,4.92241,3.68847,0.00247808,97.3501,0.722691
2025-01-27,138.986,37.0971,4.93437,3.61354,-0.0810968,101.889,0.722691
2025-01-28,135.858,37.2264,4.91161,3.61702,-0.0611659,98.6319,0.722691
2025-01-29,137.186,37.4156,4.92134,3.62209,-0.0631273,99.7706,0.722691
2025-01-30,134.281,37.3957,4.89993,3.62155,-0.0481898,96.8852,0.722691
2025-01-31,131.881,36.8681,4.8819,3.60735,-0.0493659,95.0131,0.722691
2025-02-03,135.034,37.2663,4.90553,3.61809,-0.0557006,97.7682,0.722691
2025-02-04,141.787,37.5649,4.95433,3.62607,-0.082985,104.222,0.722691
