Date,EOG Raw Price,RRC Raw Price,EOG Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,122.706,35.8827,4.80979,3.58026,-0.0560255,86.8232,0.500506
2025-01-03,124.536,35.7434,4.82459,3.57636,-0.0673263,88.7927,0.500506
2025-01-06,124.359,36.6392,4.82317,3.60112,-0.0418602,87.7197,0.500506
2025-01-07,125.51,36.6093,4.83239,3.6003,-0.0472875,88.9008,0.500506
2025-01-08,126.396,37.3459,4.83942,3.62022,-0.0308865,89.0498,0.500506
2025-01-10,129.298,37.9929,4.86212,3.6374,-0.0250745,91.3054,0.500506
2025-01-13,132.329,38.3114,4.88529,3.64575,-0.0283214,94.0173,0.500506
2025-01-14,133.588,39.4361,4.89476,3.67468,-0.00412697,94.152,0.500506
2025-01-15,134.857,40.1429,4.90422,3.69244,0.00890171,94.7146,0.500506
2025-01-16,135.832,41.0984,4.91142,3.71597,0.0288241,94.7331,0.500506
2025-01-17,135.341,40.8794,4.9078,3.71063,0.0252924,94.4616,0.500506
2025-01-21,134.806,40.7799,4.90384,3.70819,0.0248374,94.026,0.500506
2025-01-22,132.804,40.8097,4.88888,3.70892,0.0330568,91.9945,0.500506
2025-01-23,132.765,40.3718,4.88858,3.69813,0.0224166,92.3928,0.500506
2025-01-24,130.624,39.9836,4.87232,3.68847,0.0208893,90.6406,0.500506
2025-01-27,130.763,37.0971,4.87339,3.61354,-0.0545735,93.6659,0.500506
2025-01-28,129.068,37.2264,4.86034,3.61702,-0.0445634,91.842,0.500506
2025-01-29,129.049,37.4156,4.86019,3.62209,-0.0394192,91.633,0.500506
2025-01-30,128.603,37.3957,4.85673,3.62155,-0.0382189,91.207,0.500506
2025-01-31,124.649,36.8681,4.8255,3.60735,-0.0367972,87.7808,0.500506
2025-02-03,125.253,37.2663,4.83034,3.61809,-0.0284772,87.9871,0.500506
2025-02-04,126.958,37.5649,4.84385,3.62607,-0.0272609,89.3929,0.500506
2025-02-05,126.542,38.7593,4.84057,3.65737,0.00568384,87.7823,0.500506
2025-02-06,125.531,37.4554,4.83255,3.62315,-0.0245227,88.0755,0.500506
