Date,SHEL Raw Price,AR Raw Price,SHEL Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,61.7661,35.57,4.12335,3.5715,0.0143347,26.1961,1.07899
2025-01-03,63.1561,34.94,4.14561,3.55363,-0.0275481,28.2161,1.07899
2025-01-06,63.3812,36.01,4.14917,3.5838,-0.00122326,27.3712,1.07899
2025-01-07,64.5363,36.68,4.16723,3.60223,-0.00227473,27.8563,1.07899
2025-01-08,63.3518,37.86,4.1487,3.6339,0.0493752,25.4918,1.07899
2025-01-10,63.5672,38.32,4.1521,3.64597,0.0577906,25.2472,1.07899
2025-01-13,63.5868,38.3,4.15241,3.64545,0.0569362,25.2868,1.07899
2025-01-14,64.5167,38.59,4.16692,3.65299,0.048814,25.9267,1.07899
2025-01-15,64.9572,40.23,4.17373,3.69461,0.0830921,24.7272,1.07899
2025-01-16,65.0453,40.57,4.17508,3.70303,0.0900456,24.4753,1.07899
2025-01-17,65.3096,40.46,4.17914,3.70031,0.0829553,24.8496,1.07899
2025-01-21,65.3585,39.93,4.17989,3.68713,0.0689612,25.4285,1.07899
2025-01-22,64.5558,40.74,4.16753,3.70721,0.102377,23.8158,1.07899
2025-01-23,65.2508,40.55,4.17824,3.70254,0.086148,24.7008,1.07899
2025-01-24,64.0077,40.15,4.159,3.69262,0.0969899,23.8577,1.07899
2025-01-27,63.763,36.35,4.15517,3.59319,0.00169481,27.413,1.07899
2025-01-28,63.2148,37.22,4.14654,3.61685,0.0346629,25.9948,1.07899
2025-01-29,63.4106,37.35,4.14963,3.62033,0.0348132,26.0606,1.07899
2025-01-30,65.241,37.85,4.17809,3.63363,0.0174051,27.391,1.07899
2025-01-31,64.458,37.32,4.16601,3.61953,0.016333,27.138,1.07899
2025-02-03,63.7923,38.33,4.15563,3.64623,0.0542368,25.4623,1.07899
2025-02-04,65.2215,38.73,4.17779,3.65661,0.0407124,26.4915,1.07899
2025-02-05,65.1236,39.6,4.17629,3.67883,0.0645478,25.5236,1.07899
2025-02-06,64.7614,38.3,4.17071,3.64545,0.037186,26.4614,1.07899
2025-02-07,64.4971,37.85,4.16662,3.63363,0.0297795,26.6471,1.07899
2025-02-10,64.732,40.02,4.17026,3.68938,0.0816048,24.712,1.07899
2025-02-11,65.9556,40.02,4.18898,3.68938,0.0613998,25.9356,1.07899
2025-02-12,65.3487,39.38,4.17974,3.67326,0.0552529,25.9687,1.07899
2025-02-13,65.9458,40.15,4.18883,3.69262,0.0648031,25.7958,1.07899
2025-02-14,66.4168,39.84,4.19595,3.68487,0.049374,26.5768,1.07899
2025-02-18,67.0994,39.74,4.20618,3.68236,0.0358269,27.3594,1.07899
2025-02-19,66.8818,40.35,4.20293,3.69759,0.0545659,26.5318,1.07899
2025-02-20,67.6535,39.51,4.2144,3.67655,0.0211496,28.1435,1.07899
2025-02-21,65.9913,38.15,4.18952,3.64153,0.0129621,27.8413,1.07899
2025-02-24,66.1793,37.9,4.19237,3.63495,0.00331817,28.2793,1.07899
2025-02-25,66.1892,37.35,4.19252,3.62033,-0.0114614,28.8392,1.07899
2025-02-26,66.6839,37.04,4.19996,3.612,-0.0278302,29.6439,1.07899
2025-02-27,66.5553,35.58,4.19803,3.57178,-0.0659616,30.9753,1.07899
2025-02-28,66.7433,36.7,4.20085,3.60278,-0.0380118,30.0433,1.07899
2025-03-03,65.7539,36.15,4.18592,3.58768,-0.0369974,29.6039,1.07899
2025-03-04,65.4966,36.52,4.182,3.59786,-0.0225848,28.9766,1.07899
2025-03-05,65.3977,36.38,4.18049,3.59402,-0.0247945,29.0177,1.07899
2025-03-06,65.3087,33.78,4.17912,3.51987,-0.0974747,31.5287,1.07899
2025-03-07,66.0804,33.64,4.19087,3.51572,-0.114303,32.4404,1.07899
2025-03-10,66.0804,34.69,4.19087,3.54645,-0.0835673,31.3904,1.07899
2025-03-11,66.1002,35.86,4.19117,3.57962,-0.0507192,30.2402,1.07899
