Date,DVN Raw Price,HES Raw Price,DVN Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,32.9309,134.963,3.49441,4.905,-0.0327744,102.032,0.722236
2025-01-03,33.4535,135.93,3.51016,4.91214,-0.0370076,102.476,0.722236
2025-01-06,33.276,135.461,3.50484,4.90869,-0.0366179,102.185,0.722236
2025-01-07,34.2028,138.142,3.53231,4.92828,-0.0368606,103.939,0.722236
2025-01-08,34.6564,139.338,3.54548,4.9369,-0.0377547,104.682,0.722236
2025-01-10,35.4846,141.929,3.5691,4.95533,-0.0363855,106.445,0.722236
2025-01-13,36.2536,144.341,3.59054,4.97218,-0.0350206,108.088,0.722236
2025-01-14,36.6578,146.185,3.60163,4.98487,-0.0303366,109.527,0.722236
2025-01-15,37.8903,148.417,3.63469,5.00003,-0.0390632,110.527,0.722236
2025-01-16,37.8804,149.225,3.63443,5.00545,-0.0334508,111.344,0.722236
2025-01-17,37.417,150.839,3.62213,5.01621,-0.0137996,113.422,0.722236
2025-01-21,36.2142,148.158,3.58945,4.99828,-0.00813332,111.944,0.722236
2025-01-22,35.948,145.099,3.58207,4.97741,-0.023672,109.151,0.722236
2025-01-23,35.9381,144.371,3.5818,4.97239,-0.0285007,108.433,0.722236
2025-01-24,35.455,143.913,3.56826,4.96921,-0.0219062,108.458,0.722236
2025-01-27,34.8338,145.617,3.55059,4.98098,0.00263165,110.783,0.722236
2025-01-28,34.3901,144.56,3.53777,4.9737,0.0046086,110.17,0.722236
2025-01-29,34.5775,144.67,3.5432,4.97446,0.00144326,110.093,0.722236
2025-01-30,34.5578,145.358,3.54263,4.9792,0.00659733,110.8,0.722236
2025-01-31,33.6211,138.561,3.51515,4.93131,-0.0214458,104.94,0.722236
2025-02-03,33.276,138.361,3.50484,4.92987,-0.0154342,105.085,0.722236
2025-02-04,33.9366,142.298,3.52449,4.95792,-0.00157658,108.361,0.722236
2025-02-05,33.6605,142.258,3.51633,4.95764,0.00404251,108.598,0.722236
2025-02-06,32.9506,141.451,3.49501,4.95195,0.0137463,108.5,0.722236
2025-02-07,32.6844,142.458,3.4869,4.95904,0.0266959,109.773,0.722236
2025-02-10,33.7789,145.338,3.51983,4.97906,0.0229251,111.559,0.722236
2025-02-11,34.6268,146.504,3.54463,4.98705,0.0130103,111.877,0.722236
2025-02-12,33.4929,144.311,3.51133,4.97197,0.0219766,110.818,0.722236
2025-02-13,33.7394,145.358,3.51867,4.9792,0.023906,111.618,0.722236
2025-02-14,34.1535,146.055,3.53087,4.98399,0.0198836,111.902,0.722236
2025-02-18,34.3901,147.471,3.53777,4.99363,0.0245396,113.08,0.722236
2025-02-19,37.0424,148.766,3.61206,5.00238,-0.0203696,111.724,0.722236
2025-02-20,38.0086,150.45,3.63781,5.01363,-0.0277091,112.442,0.722236
2025-02-21,36.9635,147.61,3.60993,4.99457,-0.0266317,110.647,0.722236
2025-02-24,36.786,148.248,3.60512,4.99889,-0.0188438,111.462,0.722236
2025-02-25,35.3761,146.454,3.56604,4.98671,-0.00279253,111.078,0.722236
2025-02-26,34.962,144.979,3.55426,4.97659,-0.00441085,110.017,0.722236
2025-02-27,35.3761,146.414,3.56604,4.98644,-0.0030647,111.038,0.722236
2025-02-28,35.7113,148.437,3.57547,5.00016,0.00384699,112.726,0.722236
2025-03-03,33.9267,143.604,3.5242,4.96706,0.0077664,109.677,0.722236
2025-03-04,33.769,141.909,3.51954,4.95519,-0.000735829,108.14,0.722236
2025-03-05,33.1873,140.863,3.50217,4.94779,0.00441254,107.676,0.722236
2025-03-06,33.3943,142.856,3.50839,4.96184,0.0139718,109.462,0.722236
2025-03-07,34.2225,146.932,3.53288,4.98997,0.0244123,112.71,0.722236
2025-03-10,33.7296,147.74,3.51837,4.99545,0.040371,114.01,0.722236
2025-03-11,33.9267,144.122,3.5242,4.97066,0.0113688,110.195,0.722236
2025-03-12,34.262,143.544,3.53404,4.96664,0.000248631,109.282,0.722236
2025-03-13,33.3155,143.434,3.50602,4.96588,0.0197177,110.119,0.722236
2025-03-14,34.3085,147.63,3.53539,4.99471,0.027338,113.322,0.722236
2025-03-17,34.8645,150.45,3.55147,5.01363,0.0346471,115.585,0.722236
2025-03-18,35.1227,152.82,3.55885,5.02926,0.0449485,117.697,0.722236
2025-03-19,35.798,156.38,3.57789,5.05229,0.0542233,120.582,0.722236
2025-03-20,35.8774,157.37,3.58011,5.0586,0.0589329,121.493,0.722236
2025-03-21,35.8973,156.58,3.58066,5.05357,0.0535006,120.683,0.722236
2025-03-24,36.7016,157.35,3.60282,5.05847,0.042402,120.648,0.722236
2025-03-25,36.7115,158.29,3.60309,5.06443,0.0481627,121.578,0.722236
2025-03-26,37.208,160.52,3.61653,5.07842,0.0524501,123.312,0.722236
2025-03-27,36.6222,159.07,3.60065,5.06934,0.0548387,122.448,0.722236
2025-03-28,36.503,158.45,3.59739,5.06544,0.0532873,121.947,0.722236
2025-03-31,37.1385,159.73,3.61466,5.07348,0.0488669,122.591,0.722236
2025-04-01,37.3074,161.29,3.61919,5.0832,0.0553106,123.983,0.722236
2025-04-02,37.6549,160.02,3.62846,5.0753,0.0407084,122.365,0.722236
2025-04-03,32.9282,148.38,3.49433,4.99978,0.0620627,115.452,0.722236
2025-04-04,29.1051,133.56,3.37091,4.89455,0.0459721,104.455,0.722236
2025-04-07,28.41,130.59,3.34674,4.87206,0.0409421,102.18,0.722236
2025-04-08,26.6126,127.51,3.28139,4.84819,0.0642757,100.897,0.722236
2025-04-09,30.8528,137.97,3.42923,4.92704,0.0363411,107.117,0.722236
2025-04-10,27.556,127.16,3.31622,4.84545,0.0363687,99.604,0.722236
2025-04-11,28.0326,128.5,3.33337,4.85593,0.0344655,100.467,0.722236
2025-04-14,28.5291,127.91,3.35093,4.85133,0.0171835,99.3809,0.722236
2025-04-15,28.3305,127.21,3.34394,4.84584,0.0167411,98.8794,0.722236
2025-04-16,29.0952,127.95,3.37057,4.85164,0.0033073,98.8548,0.722236
2025-04-17,30.0981,130.64,3.40446,4.87245,-0.000363499,100.542,0.722236
2025-04-21,29.2739,126.32,3.3767,4.83882,-0.0139373,97.0461,0.722236
2025-04-22,30.9819,130.38,3.4334,4.87045,-0.0232575,99.3981,0.722236
2025-04-23,30.8627,130.03,3.42955,4.86777,-0.0231624,99.1673,0.722236
2025-04-24,31.25,132.38,3.44202,4.88568,-0.0142574,101.13,0.722236
2025-04-25,31.1308,132.34,3.4382,4.88537,-0.0118004,101.209,0.722236
2025-04-28,31.3294,133.84,3.44456,4.89665,-0.00512261,102.511,0.722236
2025-04-29,31.0812,132.54,3.4366,4.88688,-0.00913749,101.459,0.722236
2025-04-30,30.1974,129.05,3.40776,4.8602,-0.0149879,98.8526,0.722236
2025-05-01,30.9422,129.79,3.43212,4.86592,-0.0268665,98.8478,0.722236
2025-05-02,31.2202,132.31,3.44107,4.88515,-0.0140976,101.09,0.722236
2025-05-05,30.4059,128.8,3.41464,4.85826,-0.0218974,98.3941,0.722236
2025-05-06,30.3761,128.87,3.41366,4.8588,-0.0206462,98.4938,0.722236
2025-05-07,30.0782,129.09,3.4038,4.86051,-0.0118225,99.0118,0.722236
2025-05-08,31.7068,130.88,3.45653,4.87428,-0.0361337,99.1732,0.722236
2025-05-09,32.3026,132.37,3.47515,4.8856,-0.0382592,100.067,0.722236
2025-05-12,33.3155,135.21,3.50602,4.90683,-0.0393295,101.895,0.722236
2025-05-13,34.0503,135.7,3.52784,4.91045,-0.0514691,101.65,0.722236
2025-05-14,33.7226,134.79,3.51817,4.90372,-0.0512133,101.067,0.722236
2025-05-15,33.1665,135.07,3.50154,4.90579,-0.0371292,101.904,0.722236
2025-05-16,33.0275,134.93,3.49734,4.90476,-0.0351325,101.903,0.722236
2025-05-19,32.4615,132.79,3.48005,4.88877,-0.038635,100.329,0.722236
2025-05-20,31.9451,132.05,3.46402,4.88318,-0.0326422,100.105,0.722236
2025-05-21,31.2798,130.16,3.44297,4.86876,-0.0318577,98.8802,0.722236
2025-05-22,30.9223,130.02,3.43148,4.86769,-0.0246322,99.0977,0.722236
2025-05-23,30.9422,131.36,3.43212,4.87794,-0.0148426,100.418,0.722236
2025-05-27,31.1308,132.58,3.4382,4.88719,-0.00998848,101.449,0.722236
2025-05-28,30.6443,131.07,3.42245,4.87573,-0.0100655,100.426,0.722236
2025-05-29,30.8925,133.62,3.43051,4.895,0.00337552,102.727,0.722236
2025-05-30,30.0485,132.19,3.40281,4.88424,0.0126237,102.142,0.722236
2025-06-02,30.9223,133.75,3.43148,4.89597,0.00365189,102.828,0.722236
2025-06-03,31.7862,135.96,3.45903,4.91236,0.000138963,104.174,0.722236
2025-06-04,31.3394,133.45,3.44487,4.89373,-0.0082697,102.111,0.722236
2025-06-05,31.2003,133.05,3.44043,4.89073,-0.00806058,101.85,0.722236
2025-06-06,32.0643,136.13,3.46774,4.91361,-0.00490165,104.066,0.722236
2025-06-09,32.4217,136.63,3.47883,4.91728,-0.00924304,104.208,0.722236
2025-06-10,33.236,138.66,3.50363,4.93202,-0.0124096,105.424,0.722236
2025-06-11,34.229,140.58,3.53307,4.94578,-0.0199203,106.351,0.722236
2025-06-12,34.09,141.14,3.529,4.94975,-0.0130053,107.05,0.722236
2025-06-13,35.11,142.26,3.55849,4.95766,-0.0263942,107.15,0.722236
