Date,XOM Raw Price,OXY Raw Price,XOM Log Price,OXY Log Price,Residual,Spread,Beta
2025-03-04,106.559,46.0367,4.66869,3.82944,0.0400521,60.5219,1.71774
2025-03-05,104.478,45.0275,4.64897,3.80727,0.051762,59.4503,1.71774
2025-03-06,106.638,45.2253,4.66944,3.81166,0.0209946,61.4125,1.71774
2025-03-07,108.025,46.7391,4.68236,3.84458,0.0317172,61.2859,1.71774
2025-03-10,110.78,47.0971,4.70754,3.85221,-0.00390552,63.6826,1.71774
2025-03-11,108.164,46.0231,4.68365,3.82914,0.0140749,62.1407,1.71774
2025-03-12,108.134,45.8441,4.68337,3.82525,0.0106502,62.2899,1.71774
2025-03-13,107.678,45.1977,4.67915,3.81105,0.00370593,62.4805,1.71774
2025-03-14,110.879,46.2717,4.70844,3.83453,-0.0231219,64.607,1.71774
2025-03-17,112.722,46.9977,4.72492,3.8501,-0.0358725,65.7241,1.71774
2025-03-18,112.603,47.3855,4.72387,3.85832,-0.025841,65.2174,1.71774
2025-03-19,114.357,47.6938,4.73932,3.8648,-0.0459049,66.663,1.71774
2025-03-20,114.842,47.6938,4.74356,3.8648,-0.0531825,67.1485,1.71774
2025-03-21,114.446,47.6739,4.7401,3.86438,-0.0476609,66.772,1.71774
2025-03-24,114.743,47.654,4.7427,3.86397,-0.0525341,67.0892,1.71774
2025-03-25,115.526,48.738,4.7495,3.88646,-0.0417213,66.788,1.71774
2025-03-26,117.191,49.4739,4.7638,3.90144,-0.0513103,67.7168,1.71774
2025-03-27,116.814,49.2352,4.76058,3.89661,-0.0506182,67.5789,1.71774
2025-03-28,116.656,48.559,4.75923,3.88278,-0.0621151,68.0966,1.71774
2025-03-31,117.845,49.086,4.76937,3.89357,-0.0687395,68.7586,1.71774
2025-04-01,117.954,48.917,4.77029,3.89012,-0.0737776,69.0367,1.71774
2025-04-02,117.587,49.0562,4.76718,3.89297,-0.065588,68.5308,1.71774
2025-04-03,111.404,43.6563,4.71316,3.77635,-0.0894215,67.7476,1.71774
2025-04-04,103.388,40.315,4.63849,3.69672,-0.040773,63.0728,1.71774
2025-04-07,102.001,38.5349,4.62498,3.65156,-0.0627274,63.4656,1.71774
2025-04-08,99.8504,35.9096,4.60367,3.581,-0.0966909,63.9408,1.71774
2025-04-09,104.834,40.0067,4.65238,3.68905,-0.0723184,64.8278,1.71774
2025-04-10,99.018,36.2676,4.5953,3.59092,-0.072392,62.7505,1.71774
2025-04-11,102.199,37.4609,4.62692,3.6233,-0.0943283,64.7378,1.71774
2025-04-14,102.446,37.6896,4.62934,3.62939,-0.0923997,64.7568,1.71774
2025-04-15,102.159,37.5902,4.62653,3.62674,-0.0902169,64.5689,1.71774
2025-04-16,103.239,38.2366,4.63705,3.64379,-0.0912323,65.0026,1.71774
2025-04-17,105.944,39.4896,4.66291,3.67604,-0.103417,66.4546,1.71774
2025-04-21,104.389,38.8034,4.64812,3.65851,-0.0955353,65.5851,1.71774
2025-04-22,107.312,39.7481,4.67574,3.68256,-0.118919,67.5635,1.71774
2025-04-23,106.39,39.6089,4.66711,3.67905,-0.107614,66.7812,1.71774
2025-04-24,107.639,40.1459,4.67878,3.69252,-0.114188,67.4927,1.71774
2025-04-25,107.579,40.136,4.67823,3.69227,-0.113486,67.4432,1.71774
2025-04-28,107.639,40.2851,4.67878,3.69598,-0.110726,67.3535,1.71774
2025-04-29,107.371,40.126,4.67629,3.69203,-0.110409,67.2451,1.71774
2025-04-30,104.666,39.1913,4.65077,3.66845,-0.0901495,65.4748,1.71774
2025-05-01,104.815,40.2155,4.65219,3.69425,-0.0667873,64.5991,1.71774
2025-05-02,105.241,40.3846,4.65625,3.69845,-0.0695608,64.8561,1.71774
2025-05-05,102.328,38.5946,4.62818,3.65311,-0.066678,63.733,1.71774
2025-05-06,103.754,39.062,4.64203,3.66515,-0.0784272,64.6924,1.71774
2025-05-07,103.655,38.7935,4.64107,3.65825,-0.0836835,64.8618,1.71774
2025-05-08,105.102,41.21,4.65493,3.71868,-0.0470629,63.892,1.71774
2025-05-09,106.331,41.926,4.66655,3.73591,-0.049802,64.4047,1.71774
2025-05-12,108.164,43.6166,4.68365,3.77544,-0.0396323,64.5472,1.71774
2025-05-13,108.461,44.1436,4.68639,3.78745,-0.032335,64.3174,1.71774
2025-05-14,107.49,43.5768,4.6774,3.77452,-0.0298107,63.9132,1.71774
2025-05-15,108.58,43.1293,4.68749,3.7642,-0.0574641,65.4507,1.71774
2025-05-16,108.19,42.8011,4.68389,3.75656,-0.0589212,65.3889,1.71774
2025-05-19,106.47,42.0752,4.66786,3.73946,-0.0484998,64.3948,1.71774
2025-05-20,104.95,41.6674,4.65348,3.72972,-0.0335376,63.2826,1.71774
2025-05-21,103.66,40.9017,4.64112,3.71117,-0.0308413,62.7583,1.71774
2025-05-22,102.97,40.852,4.63444,3.70996,-0.0205855,62.118,1.71774
2025-05-23,103.03,41.0608,4.63502,3.71505,-0.0164872,61.9692,1.71774
2025-05-27,103.52,41.389,4.63976,3.72301,-0.0166768,62.131,1.71774
2025-05-28,102.11,40.8918,4.62605,3.71093,-0.00520566,61.2182,1.71774
2025-05-29,102.69,41.2299,4.63171,3.71916,-0.00670062,61.4601,1.71774
2025-05-30,102.3,40.5536,4.62791,3.70263,-0.0167019,61.7464,1.71774
2025-06-02,103.05,41.21,4.63521,3.71868,-0.0131945,61.84,1.71774
2025-06-03,103.8,42.453,4.64247,3.7484,0.00406716,61.347,1.71774
2025-06-04,102.3,41.6774,4.62791,3.72996,0.0106308,60.6226,1.71774
2025-06-05,101.83,41.5879,4.6233,3.72781,0.0163911,60.2421,1.71774
2025-06-06,104.27,42.3039,4.64698,3.74488,-0.00721275,61.9661,1.71774
2025-06-09,104.97,43,4.65367,3.7612,-0.00238487,61.97,1.71774
2025-06-10,107.22,43.91,4.67488,3.78214,-0.017873,63.31,1.71774
2025-06-11,109.31,44.84,4.69419,3.8031,-0.0300754,64.47,1.71774
2025-06-12,109.73,44.76,4.69802,3.80131,-0.0384487,64.97,1.71774
2025-06-13,112.12,46.45,4.71957,3.83838,-0.0383989,65.67,1.71774
