Date,XOM Raw Price,OXY Raw Price,XOM Log Price,OXY Log Price,Residual,Spread,Beta
2025-01-02,105.388,49.2819,4.65765,3.89756,0.127145,56.1061,1.71774
2025-01-03,105.928,49.9745,4.66276,3.91151,0.132319,55.9537,1.71774
2025-01-06,105.81,50.2317,4.66165,3.91665,0.139365,55.5786,1.71774
2025-01-07,106.802,51.0034,4.67098,3.93189,0.138584,55.7988,1.71774
2025-01-08,105.015,50.6472,4.6541,3.92488,0.160567,54.3676,1.71774
2025-01-10,104.632,50.7561,4.65045,3.92703,0.16899,53.8757,1.71774
2025-01-13,107.333,52.1214,4.67593,3.95358,0.151759,55.2111,1.71774
2025-01-14,107.755,51.5278,4.67986,3.94212,0.133559,56.227,1.71774
2025-01-15,109.513,52.1412,4.69604,3.95396,0.117596,57.3716,1.71774
2025-01-16,109.326,51.7455,4.69434,3.94634,0.112907,57.5807,1.71774
2025-01-17,110.308,51.419,4.70328,3.94001,0.0912153,58.8893,1.71774
2025-01-21,109.474,50.014,4.69568,3.9123,0.0765602,59.4595,1.71774
2025-01-22,107.568,49.6677,4.67813,3.90536,0.0997706,57.9005,1.71774
2025-01-23,108.177,49.8063,4.68377,3.90814,0.0928596,58.3709,1.71774
2025-01-24,106.714,48.7674,4.67015,3.88706,0.0951753,57.9464,1.71774
2025-01-27,108.197,49.0345,4.68395,3.89252,0.0769318,59.1623,1.71774
2025-01-28,106.105,48.4805,4.66443,3.88116,0.0991035,57.6245,1.71774
2025-01-29,106.724,48.3123,4.67024,3.87769,0.0856409,58.4114,1.71774
2025-01-30,107.608,48.4013,4.67849,3.87953,0.0733145,59.2062,1.71774
2025-01-31,104.917,46.1554,4.65317,3.83201,0.0693025,58.7612,1.71774
2025-02-03,105.172,45.8784,4.6556,3.82599,0.0591069,59.2936,1.71774
2025-02-04,107.991,47.0854,4.68204,3.85196,0.0396478,60.9051,1.71774
2025-02-05,107.912,46.8579,4.68132,3.84712,0.0360533,61.0541,1.71774
2025-02-06,106.488,46.4819,4.66803,3.83906,0.0508158,60.0061,1.71774
2025-02-07,106.94,46.284,4.67227,3.8348,0.0392776,60.6557,1.71774
2025-02-10,108.982,47.867,4.69119,3.86843,0.040406,61.1154,1.71774
2025-02-11,109.67,48.0946,4.69748,3.87317,0.0343473,61.5753,1.71774
2025-02-12,106.37,47.3229,4.66693,3.85699,0.0706455,59.0474,1.71774
2025-02-13,107.143,47.3723,4.67417,3.85804,0.0592546,59.7708,1.71774
2025-02-14,107.252,47.5504,4.67518,3.86179,0.0612603,59.7018,1.71774
2025-02-18,109.135,48.3222,4.69258,3.87789,0.0474688,60.8127,1.71774
2025-02-19,109.293,50.4494,4.69404,3.92097,0.0880553,58.844,1.71774
2025-02-20,110.978,51.5377,4.70933,3.94231,0.083126,59.4402,1.71774
2025-02-21,109.68,49.8854,4.69757,3.90973,0.0707506,59.7944,1.71774
2025-02-24,110.255,49.3313,4.70279,3.89856,0.0506047,60.9232,1.71774
2025-02-25,108.729,48.3716,4.68885,3.87891,0.0548984,60.357,1.71774
2025-02-26,108.461,48.0352,4.68639,3.87193,0.0521516,60.4258,1.71774
2025-02-27,109.145,48.1342,4.69268,3.87399,0.043415,61.0106,1.71774
2025-02-28,110.314,48.3222,4.70333,3.87789,0.0290092,61.9918,1.71774
2025-03-03,106.777,45.9575,4.67074,3.82772,0.0348208,60.8191,1.71774
