Date,XOM Raw Price,ENB Raw Price,XOM Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,105.388,42.98,4.65765,3.76073,-0.0340435,62.408,-0.129555
2025-01-03,105.928,43.09,4.66276,3.76329,-0.0308251,62.8382,-0.129555
2025-01-06,105.81,42.99,4.66165,3.76097,-0.0332927,62.8203,-0.129555
2025-01-07,106.802,43.64,4.67098,3.77597,-0.0170773,63.1622,-0.129555
2025-01-08,105.015,44.02,4.6541,3.78464,-0.0105939,60.9948,-0.129555
2025-01-10,104.632,43.48,4.65045,3.7723,-0.0234103,61.1518,-0.129555
2025-01-13,107.333,43.4,4.67593,3.77046,-0.0219503,63.9325,-0.129555
2025-01-14,107.755,44.07,4.67986,3.78578,-0.00612173,63.6849,-0.129555
2025-01-15,109.513,44.33,4.69604,3.79166,0.00185722,65.1828,-0.129555
2025-01-16,109.326,44.03,4.69434,3.78487,-0.00515422,65.2962,-0.129555
2025-01-17,110.308,44.51,4.70328,3.79571,0.00684704,65.7983,-0.129555
2025-01-21,109.474,45.31,4.69568,3.81353,0.0236768,64.1635,-0.129555
2025-01-22,107.568,44.76,4.67813,3.80131,0.00918929,62.8082,-0.129555
2025-01-23,108.177,44.86,4.68377,3.80355,0.0121523,63.3171,-0.129555
2025-01-24,106.714,45.06,4.67015,3.80799,0.0148362,61.6538,-0.129555
2025-01-27,108.197,44.7,4.68395,3.79997,0.00860277,63.4968,-0.129555
2025-01-28,106.105,44.46,4.66443,3.79459,0.000689828,61.6449,-0.129555
2025-01-29,106.724,44.26,4.67024,3.79008,-0.0030655,62.4637,-0.129555
2025-01-30,107.608,44.5,4.67849,3.79549,0.00341094,63.1075,-0.129555
2025-01-31,104.917,43.24,4.65317,3.76677,-0.0285932,61.6766,-0.129555
2025-02-03,105.172,42.92,4.6556,3.75934,-0.0357064,62.252,-0.129555
2025-02-04,107.991,43.72,4.68204,3.77781,-0.0138122,64.2705,-0.129555
2025-02-05,107.912,43.93,4.68132,3.7826,-0.00911476,63.982,-0.129555
2025-02-06,106.488,44.2,4.66803,3.78872,-0.00470844,62.2879,-0.129555
2025-02-07,106.94,44.45,4.67227,3.79436,0.0014802,62.4897,-0.129555
2025-02-10,108.982,44.81,4.69119,3.80243,0.011998,64.1725,-0.129555
2025-02-11,109.67,45.25,4.69748,3.8122,0.022584,64.4199,-0.129555
2025-02-12,106.37,45.1,4.66693,3.80888,0.0153058,61.2703,-0.129555
2025-02-13,107.143,45.45,4.67417,3.81661,0.0239743,61.6932,-0.129555
2025-02-14,107.252,43.07,4.67518,3.76283,-0.0296801,64.1822,-0.129555
2025-02-18,109.135,42.75,4.69258,3.75537,-0.0348832,66.3848,-0.129555
2025-02-19,109.293,42.31,4.69404,3.74502,-0.0450408,66.9834,-0.129555
2025-02-20,110.978,41.98,4.70933,3.73719,-0.0508895,68.9979,-0.129555
2025-02-21,109.68,41.78,4.69757,3.73242,-0.0571893,67.8998,-0.129555
2025-02-24,110.255,41.54,4.70279,3.72666,-0.0622731,68.7145,-0.129555
2025-02-25,108.729,41.65,4.68885,3.7293,-0.0614341,67.0786,-0.129555
2025-02-26,108.461,41.75,4.68639,3.7317,-0.0593553,66.7111,-0.129555
2025-02-27,109.145,41.73,4.69268,3.73122,-0.0590203,67.4148,-0.129555
2025-02-28,110.314,42.73,4.70333,3.7549,-0.0339589,67.584,-0.129555
2025-03-03,106.777,42.67,4.67074,3.7535,-0.0395865,64.1066,-0.129555
2025-03-04,106.559,41.55,4.66869,3.7269,-0.0664498,65.0086,-0.129555
2025-03-05,104.478,42.49,4.64897,3.74927,-0.0466335,61.9877,-0.129555
2025-03-06,106.638,41.6,4.66944,3.7281,-0.0651509,65.0378,-0.129555
2025-03-07,108.025,42,4.68236,3.73767,-0.0539069,66.0251,-0.129555
2025-03-10,110.78,42.68,4.70754,3.75373,-0.0345839,68.0997,-0.129555
