Date,CVX Raw Price,APA Raw Price,CVX Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,143.354,22.7603,4.96532,3.12502,0.209943,120.594,1.75792
2025-01-03,144.468,22.7992,4.97306,3.12673,0.198046,121.669,1.75792
2025-01-06,143.892,23.0328,4.96906,3.13692,0.21527,120.859,1.75792
2025-01-07,146.169,23.0328,4.98476,3.13692,0.187674,123.136,1.75792
2025-01-08,146.862,23.0523,4.9895,3.13777,0.180194,123.81,1.75792
2025-01-10,149.637,23.0523,5.00822,3.13777,0.147288,126.585,1.75792
2025-01-13,151.797,23.7337,5.02254,3.1669,0.151232,128.063,1.75792
2025-01-14,153.311,24.1913,5.03247,3.18599,0.152874,129.12,1.75792
2025-01-15,154.709,24.7754,5.04154,3.20985,0.160783,129.933,1.75792
2025-01-16,155.735,24.4833,5.04815,3.19799,0.137305,131.251,1.75792
2025-01-17,157.777,23.7532,5.06118,3.16772,0.0841286,134.024,1.75792
2025-01-21,154.621,23.0718,5.04098,3.13861,0.0905418,131.549,1.75792
2025-01-22,152.833,22.9832,5.02934,3.13476,0.107145,129.849,1.75792
2025-01-23,152.442,23.1308,5.02678,3.14117,0.118047,129.311,1.75792
2025-01-24,152.09,22.9439,5.02447,3.13305,0.113994,129.146,1.75792
2025-01-27,153.634,23.0029,5.03457,3.13562,0.0988085,130.631,1.75792
2025-01-28,152.637,22.9635,5.02806,3.13391,0.108538,129.674,1.75792
2025-01-29,152.129,22.8061,5.02473,3.12703,0.10752,129.323,1.75792
2025-01-30,152.745,22.6192,5.02877,3.1188,0.0921908,130.125,1.75792
2025-01-31,145.778,21.5763,4.98208,3.0716,0.127055,124.201,1.75792
2025-02-03,145.924,21.1237,4.98309,3.0504,0.104089,124.801,1.75792
2025-02-04,149.716,22.0289,5.00874,3.09235,0.100958,127.687,1.75792
2025-02-05,149.491,21.8321,5.00724,3.08338,0.0946258,127.659,1.75792
2025-02-06,148.426,21.291,5.00009,3.05828,0.0820969,127.135,1.75792
2025-02-07,149.129,21.3205,5.00481,3.05967,0.0751696,127.809,1.75792
2025-02-10,152.207,22.6192,5.02524,3.1188,0.0983869,129.588,1.75792
2025-02-11,153.839,22.934,5.03591,3.13262,0.0934636,130.905,1.75792
2025-02-12,151.357,22.0092,5.01964,3.09146,0.0808941,129.348,1.75792
2025-02-13,152.315,22.1273,5.02595,3.09681,0.0751572,130.188,1.75792
2025-02-14,153.471,22.7668,5.03351,3.1253,0.0903587,130.704,1.75792
2025-02-18,154.281,23.1898,5.03877,3.14371,0.0995155,131.091,1.75792
2025-02-19,155.338,23.2095,5.0456,3.14456,0.0883597,132.128,1.75792
2025-02-20,156.879,23.239,5.05548,3.14583,0.0722749,133.64,1.75792
2025-02-21,155.032,22.4224,5.04363,3.11006,0.057328,132.609,1.75792
2025-02-24,155.99,22.5011,5.04979,3.11357,0.0499991,133.489,1.75792
2025-02-25,154.538,22.019,5.04044,3.09191,0.0447841,132.519,1.75792
2025-02-26,153.273,21.655,5.03222,3.07524,0.0425576,131.618,1.75792
2025-02-27,154.785,20.0906,5.04203,3.00025,-0.0496762,134.694,1.75792
2025-02-28,156.711,20.3661,5.0544,3.01387,-0.0578021,136.345,1.75792
2025-03-03,151.248,18.5853,5.01892,2.92237,-0.0869228,132.662,1.75792
2025-03-04,150.171,18.2705,5.01177,2.90529,-0.091447,131.9,1.75792
2025-03-05,148.995,18.241,5.00391,2.90367,-0.079247,130.754,1.75792
2025-03-06,151.109,18.4476,5.018,2.91493,-0.0927534,132.662,1.75792
2025-03-07,154.459,18.5361,5.03993,2.91972,-0.126502,135.923,1.75792
2025-03-10,155.674,18.7132,5.04776,2.92923,-0.13077,136.961,1.75792
2025-03-11,152.226,18.8903,5.02537,2.93865,-0.0819767,133.336,1.75792
2025-03-12,150.833,19.3331,5.01617,2.96182,-0.0426487,131.5,1.75792
2025-03-13,151.761,18.7329,5.02231,2.93028,-0.0849744,133.029,1.75792
2025-03-14,155.13,19.2937,5.04427,2.95978,-0.0940742,135.837,1.75792
2025-03-17,156.81,19.7069,5.05503,2.98097,-0.0918127,137.103,1.75792
2025-03-18,158.875,19.8447,5.06812,2.98794,-0.107844,139.03,1.75792
2025-03-19,162.076,20.4744,5.08806,3.01917,-0.111674,141.602,1.75792
2025-03-20,162.787,20.2382,5.09244,3.00757,-0.130972,142.549,1.75792
2025-03-21,162.767,20.2776,5.09232,3.00952,-0.128816,142.49,1.75792
2025-03-24,163.034,20.5039,5.09396,3.02061,-0.120597,142.53,1.75792
2025-03-25,163.943,20.5531,5.09952,3.02301,-0.127974,143.39,1.75792
2025-03-26,165.949,20.7597,5.11168,3.03301,-0.139346,145.189,1.75792
2025-03-27,164.645,20.8581,5.10379,3.03774,-0.120748,143.786,1.75792
2025-03-28,164.091,20.5826,5.10042,3.02445,-0.128127,143.509,1.75792
2025-03-31,165.277,20.681,5.10762,3.02921,-0.136013,144.596,1.75792
2025-04-01,166.482,20.7892,5.11489,3.03443,-0.143568,145.693,1.75792
2025-04-02,164.467,20.8974,5.10271,3.03963,-0.116964,143.569,1.75792
2025-04-03,154.241,17.4539,5.03852,2.85956,-0.184187,136.787,1.75792
2025-04-04,141.556,14.9352,4.95269,2.70372,-0.189158,126.621,1.75792
2025-04-07,138.463,14.7187,4.93061,2.68912,-0.164929,123.745,1.75792
2025-04-08,135.282,13.8037,4.90736,2.62494,-0.188251,121.479,1.75792
2025-04-09,144.273,16.4405,4.97171,2.79975,-0.12655,127.832,1.75792
2025-04-10,133.356,14.3645,4.89302,2.66476,-0.123213,118.991,1.75792
2025-04-11,133.998,14.7974,4.89782,2.69445,-0.101966,119.2,1.75792
2025-04-14,133.692,14.9548,4.89554,2.70503,-0.0873619,118.737,1.75792
2025-04-15,132.921,14.6498,4.88975,2.68443,-0.0978051,118.271,1.75792
2025-04-16,133.731,15.1221,4.89583,2.71616,-0.0767592,118.609,1.75792
2025-04-17,136.211,15.8502,4.9142,2.76318,-0.0620353,120.361,1.75792
2025-04-21,132.121,15.25,4.88372,2.72458,-0.0470395,116.871,1.75792
2025-04-22,135.648,15.86,4.91006,2.7638,-0.054132,119.788,1.75792
2025-04-23,135.035,15.65,4.90554,2.75047,-0.059505,119.385,1.75792
2025-04-24,137.396,16.26,4.92287,2.78871,-0.0517414,121.136,1.75792
2025-04-25,137.061,16.35,4.92042,2.79423,-0.0419184,120.711,1.75792
2025-04-28,138.414,16.55,4.93025,2.80639,-0.0470353,121.864,1.75792
2025-04-29,137.624,16.24,4.92452,2.78748,-0.0558771,121.384,1.75792
2025-04-30,134.423,15.54,4.90099,2.74342,-0.0585663,118.883,1.75792
2025-05-01,134.62,16.22,4.90246,2.78625,-0.0183207,118.4,1.75792
2025-05-02,136.833,16.46,4.91876,2.80093,-0.0322965,120.373,1.75792
2025-05-05,133.869,15.5,4.89686,2.74084,-0.0538935,118.369,1.75792
2025-05-06,133.968,15.73,4.8976,2.75557,-0.0404608,118.238,1.75792
2025-05-07,134.156,15.48,4.899,2.73955,-0.0589429,118.676,1.75792
2025-05-08,135.391,16.18,4.90817,2.78378,-0.030824,119.211,1.75792
2025-05-09,136.823,16.72,4.91869,2.81661,-0.0164972,120.103,1.75792
2025-05-12,139.916,17.71,4.94104,2.87413,0.00173863,122.206,1.75792
2025-05-13,140.637,18.46,4.94618,2.91561,0.0341772,122.177,1.75792
2025-05-14,139.965,18.17,4.94139,2.89977,0.0267605,121.795,1.75792
2025-05-15,140.548,17.76,4.94555,2.87695,-0.00336833,122.788,1.75792
2025-05-16,140.39,17.59,4.94442,2.86733,-0.0110086,122.8,1.75792
2025-05-19,138.49,17.32,4.9308,2.85186,-0.0025235,121.17,1.75792
2025-05-20,137.27,17.25,4.92195,2.84781,0.00898142,120.02,1.75792
2025-05-21,135.56,16.71,4.90941,2.81601,-0.000787073,118.85,1.75792
2025-05-22,135.29,16.74,4.90742,2.8178,0.00451155,118.55,1.75792
2025-05-23,136.54,16.85,4.91662,2.82435,-0.00510638,119.69,1.75792
2025-05-27,137.83,17.31,4.92602,2.85128,0.00529672,120.52,1.75792
2025-05-28,136.02,17.18,4.9128,2.84375,0.0209964,118.84,1.75792
2025-05-29,137.91,17.34,4.9266,2.85302,0.00600829,120.57,1.75792
2025-05-30,136.7,17.01,4.91779,2.8338,0.00228556,119.69,1.75792
2025-06-02,137.84,17.33,4.92609,2.85244,0.00632401,120.51,1.75792
2025-06-03,139.55,18.27,4.93842,2.90526,0.0374712,121.28,1.75792
2025-06-04,137.37,17.92,4.92268,2.88592,0.0458066,119.45,1.75792
2025-06-05,136.9,17.85,4.91925,2.882,0.0479177,119.05,1.75792
2025-06-06,140.21,18.5,4.94314,2.91777,0.041687,121.71,1.75792
2025-06-09,140.76,18.63,4.94706,2.92477,0.0418073,122.13,1.75792
2025-06-10,143.35,19.28,4.96529,2.95907,0.0440505,124.07,1.75792
2025-06-11,144.78,19.61,4.97522,2.97604,0.0435725,125.17,1.75792
2025-06-12,144.97,19.95,4.97653,2.99323,0.0584565,125.02,1.75792
2025-06-13,145.91,21.01,4.98299,3.045,0.0988641,124.9,1.75792
