Date,MUR Raw Price,HES Raw Price,MUR Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,30.1631,134.963,3.40662,4.905,-0.107652,104.8,0.338822
2025-01-03,30.0559,135.93,3.40306,4.91214,-0.0993089,105.874,0.338822
2025-01-06,29.9682,135.461,3.40014,4.90869,-0.101771,105.493,0.338822
2025-01-07,30.8256,138.142,3.42834,4.92828,-0.0917303,107.317,0.338822
2025-01-08,31.9265,139.338,3.46344,4.9369,-0.095,107.412,0.338822
2025-01-10,32.3746,141.929,3.47738,4.95533,-0.0812971,109.555,0.338822
2025-01-13,32.9592,144.341,3.49527,4.97218,-0.0705099,111.382,0.338822
2025-01-14,33.0274,146.185,3.49734,4.98487,-0.0585176,113.157,0.338822
2025-01-15,32.5987,148.417,3.48427,5.00003,-0.0389351,115.819,0.338822
2025-01-16,32.1993,149.225,3.47194,5.00545,-0.0293334,117.025,0.338822
2025-01-17,31.4101,150.839,3.44713,5.01621,-0.0101645,119.429,0.338822
2025-01-21,30.6794,148.158,3.42359,4.99828,-0.0201226,117.479,0.338822
2025-01-22,30.0656,145.099,3.40338,4.97741,-0.0341427,115.033,0.338822
2025-01-23,29.6175,144.371,3.38836,4.97239,-0.0340809,114.754,0.338822
2025-01-24,28.9745,143.913,3.36642,4.96921,-0.0298245,114.938,0.338822
2025-01-27,28.7894,145.617,3.36001,4.98098,-0.0158802,116.827,0.338822
2025-01-28,28.4484,144.56,3.34809,4.9737,-0.0191245,116.112,0.338822
2025-01-29,28.4289,144.67,3.34741,4.97446,-0.0181342,116.241,0.338822
2025-01-30,26.7629,145.358,3.28702,4.9792,0.00706898,118.595,0.338822
2025-01-31,25.9445,138.561,3.25596,4.93131,-0.0302975,112.616,0.338822
2025-02-03,24.8923,138.361,3.21456,4.92987,-0.0177095,113.469,0.338822
2025-02-04,25.7886,142.298,3.24993,4.95792,-0.00164033,116.509,0.338822
2025-02-05,25.9932,142.258,3.25784,4.95764,-0.00459802,116.265,0.338822
2025-02-06,25.623,141.451,3.24349,4.95195,-0.00542832,115.828,0.338822
2025-02-07,26.1296,142.458,3.26307,4.95904,-0.00497112,116.328,0.338822
2025-02-10,27.3085,145.338,3.3072,4.97906,9.41536e-05,118.029,0.338822
2025-02-11,27.9905,146.504,3.33186,4.98705,-0.00027238,118.513,0.338822
2025-02-12,26.9675,144.311,3.29463,4.97197,-0.00273651,117.344,0.338822
2025-02-13,27.2013,145.358,3.30327,4.9792,0.00156355,118.156,0.338822
2025-02-14,27.5326,146.055,3.31537,4.98399,0.00225045,118.523,0.338822
2025-02-18,27.7839,147.471,3.32446,4.99363,0.00881437,119.687,0.338822
