Date,MUR Raw Price,HES Raw Price,MUR Log Price,HES Log Price,Residual,Spread,Beta
2025-02-19,27.981,148.766,3.33153,5.00238,0.0151663,120.785,0.338822
2025-02-20,27.7938,150.45,3.32481,5.01363,0.0286996,122.657,0.338822
2025-02-21,26.9166,147.61,3.29274,4.99457,0.0205056,120.693,0.338822
2025-02-24,27.3108,148.248,3.30728,4.99889,0.0198908,120.937,0.338822
2025-02-25,27.2615,146.454,3.30548,4.98671,0.00832806,119.192,0.338822
2025-02-26,26.542,144.979,3.27873,4.97659,0.00726781,118.437,0.338822
2025-02-27,26.3351,146.414,3.2709,4.98644,0.0197707,120.079,0.338822
2025-02-28,26.1084,148.437,3.26226,5.00016,0.0364231,122.329,0.338822
2025-03-03,24.1076,143.604,3.18253,4.96706,0.0303313,119.496,0.338822
2025-03-04,24.0781,141.909,3.1813,4.95519,0.0188788,117.831,0.338822
2025-03-05,23.674,140.863,3.16438,4.94779,0.0172119,117.189,0.338822
2025-03-06,23.812,142.856,3.17019,4.96184,0.029294,119.044,0.338822
2025-03-07,24.9947,146.932,3.21866,4.98997,0.0410037,121.938,0.338822
2025-03-10,25.2805,147.74,3.23003,4.99545,0.0426303,122.459,0.338822
2025-03-11,24.8862,144.122,3.21432,4.97066,0.0231636,119.236,0.338822
2025-03-12,24.768,143.544,3.20955,4.96664,0.0207588,118.776,0.338822
2025-03-13,24.5216,143.434,3.19955,4.96588,0.0233823,118.913,0.338822
2025-03-14,25.6649,147.63,3.24512,4.99471,0.0367751,121.965,0.338822
2025-03-17,26.2759,150.45,3.26865,5.01363,0.047724,124.174,0.338822
2025-03-18,25.724,152.82,3.24742,5.02926,0.0705469,127.096,0.338822
2025-03-19,26.7096,156.38,3.28502,5.05229,0.0808359,129.67,0.338822
2025-03-20,26.4435,157.37,3.27501,5.0586,0.0905393,130.927,0.338822
2025-03-21,26.3154,156.58,3.27015,5.05357,0.0871523,130.265,0.338822
2025-03-24,26.8673,157.35,3.29091,5.05847,0.0850251,130.483,0.338822
2025-03-25,27.3404,158.29,3.30836,5.06443,0.085067,130.95,0.338822
2025-03-26,27.9416,160.52,3.33012,5.07842,0.0916869,132.578,0.338822
2025-03-27,28.0894,159.07,3.33539,5.06934,0.0808248,130.981,0.338822
2025-03-28,27.9613,158.45,3.33082,5.06544,0.0784685,130.489,0.338822
2025-03-31,27.9909,159.73,3.33188,5.07348,0.0861562,131.739,0.338822
2025-04-01,28.3358,161.29,3.34413,5.0832,0.0917252,132.954,0.338822
2025-04-02,28.7892,160.02,3.36,5.0753,0.0784418,131.231,0.338822
2025-04-03,25.0439,148.38,3.22063,4.99978,0.0501406,123.336,0.338822
2025-04-04,21.9985,133.56,3.09097,4.89455,-0.0111537,111.562,0.338822
2025-04-07,21.1508,130.59,3.05168,4.87206,-0.0203288,109.439,0.338822
2025-04-08,19.3374,127.51,2.96204,4.84819,-0.0138242,108.173,0.338822
2025-04-09,22.8461,137.97,3.12878,4.92704,0.00852201,115.124,0.338822
2025-04-10,19.6823,127.16,2.97972,4.84545,-0.0225638,107.478,0.338822
2025-04-11,20.5693,128.5,3.0238,4.85593,-0.0270169,107.931,0.338822
2025-04-14,20.2342,127.91,3.00738,4.85133,-0.0260535,107.676,0.338822
2025-04-15,19.8302,127.21,2.9872,4.84584,-0.0247062,107.38,0.338822
2025-04-16,20.2934,127.95,3.01029,4.85164,-0.0267297,107.657,0.338822
2025-04-17,21.0621,130.64,3.04748,4.87245,-0.018522,109.578,0.338822
2025-04-21,20.5299,126.32,3.02188,4.83882,-0.0434774,105.79,0.338822
2025-04-22,21.0819,130.38,3.04841,4.87045,-0.0208311,109.298,0.338822
2025-04-23,20.2934,130.03,3.01029,4.86777,-0.010604,109.737,0.338822
2025-04-24,20.5299,132.38,3.02188,4.88568,0.00338088,111.85,0.338822
2025-04-25,20.7665,132.34,3.03334,4.88537,-0.000802904,111.574,0.338822
2025-04-28,20.9044,133.84,3.03996,4.89665,0.00822392,112.936,0.338822
2025-04-29,20.9143,132.54,3.04043,4.88688,-0.00169637,111.626,0.338822
2025-04-30,20.2342,129.05,3.00738,4.8602,-0.0171805,108.816,0.338822
2025-05-01,20.8059,129.79,3.03524,4.86592,-0.0209022,108.984,0.338822
2025-05-02,21.4662,132.31,3.06648,4.88515,-0.0122588,110.844,0.338822
2025-05-05,20.3131,128.8,3.01127,4.85826,-0.0204374,108.487,0.338822
2025-05-06,20.6975,128.87,3.03001,4.8588,-0.0262456,108.173,0.338822
2025-05-07,20.6975,129.09,3.03001,4.86051,-0.0245399,108.393,0.338822
2025-05-08,21.072,130.88,3.04795,4.87428,-0.0168451,109.808,0.338822
2025-05-09,21.5451,132.37,3.07015,4.8856,-0.0130477,110.825,0.338822
2025-05-12,22.6489,135.21,3.12011,4.90683,-0.00874899,112.561,0.338822
2025-05-13,22.9939,135.7,3.13523,4.91045,-0.0102532,112.706,0.338822
2025-05-14,22.6489,134.79,3.12011,4.90372,-0.0118602,112.141,0.338822
2025-05-15,22.235,135.07,3.10167,4.90579,-0.00353509,112.835,0.338822
2025-05-16,22.08,134.93,3.09467,4.90476,-0.00220206,112.85,0.338822
2025-05-19,21.62,132.79,3.07362,4.88877,-0.0110559,111.17,0.338822
2025-05-20,21.61,132.05,3.07316,4.88318,-0.0164874,110.44,0.338822
2025-05-21,20.93,130.16,3.04118,4.86876,-0.0200705,109.23,0.338822
2025-05-22,21,130.02,3.04452,4.86769,-0.022278,109.02,0.338822
2025-05-23,20.89,131.36,3.03927,4.87794,-0.0102452,110.47,0.338822
2025-05-27,21.43,132.58,3.06479,4.88719,-0.00964776,111.15,0.338822
2025-05-28,21.23,131.07,3.05542,4.87573,-0.0179254,109.84,0.338822
2025-05-29,21.25,133.62,3.05636,4.895,0.00102384,112.37,0.338822
2025-05-30,20.93,132.19,3.04118,4.88424,-0.00459472,111.26,0.338822
2025-06-02,21.27,133.75,3.0573,4.89597,0.00167756,112.48,0.338822
2025-06-03,22.03,135.96,3.09241,4.91236,0.00617076,113.93,0.338822
2025-06-04,21.67,133.45,3.07593,4.89373,-0.00688061,111.78,0.338822
2025-06-05,21.54,133.05,3.06991,4.89073,-0.00784372,111.51,0.338822
2025-06-06,22.5,136.13,3.11352,4.91361,0.00026777,113.63,0.338822
2025-06-09,23.02,136.63,3.13636,4.91728,-0.00380743,113.61,0.338822
2025-06-10,23.79,138.66,3.16927,4.93202,-0.000206979,114.87,0.338822
2025-06-11,24.32,140.58,3.1913,4.94578,0.00607935,116.26,0.338822
2025-06-12,24.41,141.14,3.19499,4.94975,0.00880336,116.73,0.338822
2025-06-13,25.43,142.26,3.23593,4.95766,0.00283715,116.83,0.338822
