Date,OXY Raw Price,ENB Raw Price,OXY Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,49.2819,42.98,3.89756,3.76073,-0.0189154,6.30188,-0.133904
2025-01-03,49.9745,43.09,3.91151,3.76329,-0.0144906,6.88446,-0.133904
2025-01-06,50.2317,42.99,3.91665,3.76097,-0.0161265,7.2417,-0.133904
2025-01-07,51.0034,43.64,3.93189,3.77597,0.000921641,7.36343,-0.133904
2025-01-08,50.6472,44.02,3.92488,3.78464,0.00865318,6.62725,-0.133904
2025-01-10,50.7561,43.48,3.92703,3.7723,-0.00340242,7.27608,-0.133904
2025-01-13,52.1214,43.4,3.95358,3.77046,-0.0016895,8.72145,-0.133904
2025-01-14,51.5278,44.07,3.94212,3.78578,0.0120964,7.45781,-0.133904
2025-01-15,52.1412,44.33,3.95396,3.79166,0.0195635,7.81123,-0.133904
2025-01-16,51.7455,44.03,3.94634,3.78487,0.0117528,7.71548,-0.133904
2025-01-17,51.419,44.51,3.94001,3.79571,0.0217479,6.90898,-0.133904
2025-01-21,50.014,45.31,3.9123,3.81353,0.0358522,4.70403,-0.133904
2025-01-22,49.6677,44.76,3.90536,3.80131,0.0227089,4.90775,-0.133904
2025-01-23,49.8063,44.86,3.90814,3.80355,0.0253135,4.94626,-0.133904
2025-01-24,48.7674,45.06,3.88706,3.80799,0.0269394,3.70739,-0.133904
2025-01-27,49.0345,44.7,3.89252,3.79997,0.0196495,4.33453,-0.133904
2025-01-28,48.4805,44.46,3.88116,3.79459,0.0127442,4.02047,-0.133904
2025-01-29,48.3123,44.26,3.87769,3.79008,0.00777024,4.05228,-0.133904
2025-01-30,48.4013,44.5,3.87953,3.79549,0.0134247,3.90131,-0.133904
2025-01-31,46.1554,43.24,3.83201,3.76677,-0.0216607,2.91538,-0.133904
2025-02-03,45.8784,42.92,3.82599,3.75934,-0.029895,2.95835,-0.133904
2025-02-04,47.0854,43.72,3.85196,3.77781,-0.00794968,3.36542,-0.133904
2025-02-05,46.8579,43.93,3.84712,3.7826,-0.00380663,2.92786,-0.133904
2025-02-06,46.4819,44.2,3.83906,3.78872,0.00124197,2.28188,-0.133904
2025-02-07,46.284,44.45,3.8348,3.79436,0.00631088,1.834,-0.133904
2025-02-10,47.867,44.81,3.86843,3.80243,0.0188806,3.05704,-0.133904
2025-02-11,48.0946,45.25,3.87317,3.8122,0.0292869,2.8446,-0.133904
2025-02-12,47.3229,45.1,3.85699,3.80888,0.0238004,2.22287,-0.133904
2025-02-13,47.3723,45.45,3.85804,3.81661,0.031671,1.92234,-0.133904
2025-02-14,47.5504,43.07,3.86179,3.76283,-0.0216127,4.48043,-0.133904
2025-02-18,48.3222,42.75,3.87789,3.75537,-0.0269145,5.57216,-0.133904
2025-02-19,50.4494,42.31,3.92097,3.74502,-0.0314916,8.13937,-0.133904
2025-02-20,51.5377,41.98,3.94231,3.73719,-0.0364638,9.5577,-0.133904
2025-02-21,49.8854,41.78,3.90973,3.73242,-0.0456027,8.10541,-0.133904
2025-02-24,49.3313,41.54,3.89856,3.72666,-0.0528591,7.79135,-0.133904
2025-02-25,48.3716,41.65,3.87891,3.7293,-0.0528452,6.72163,-0.133904
2025-02-26,48.0352,41.75,3.87193,3.7317,-0.0513817,6.28524,-0.133904
2025-02-27,48.1342,41.73,3.87399,3.73122,-0.0515853,6.40418,-0.133904
2025-02-28,48.3222,42.73,3.87789,3.7549,-0.0273824,5.59216,-0.133904
2025-03-03,45.9575,42.67,3.82772,3.7535,-0.035506,3.28751,-0.133904
2025-03-04,46.0367,41.55,3.82944,3.7269,-0.0618741,4.48666,-0.133904
2025-03-05,45.0275,42.49,3.80727,3.74927,-0.0424708,2.53747,-0.133904
2025-03-06,45.2253,41.6,3.81166,3.7281,-0.0630523,3.62535,-0.133904
2025-03-07,46.7391,42,3.84458,3.73767,-0.0490742,4.73913,-0.133904
2025-03-10,47.0971,42.68,3.85221,3.75373,-0.0319916,4.41713,-0.133904
2025-03-11,46.0231,42.3,3.82914,3.74479,-0.0440239,3.72313,-0.133904
2025-03-12,45.8441,42.54,3.82525,3.75044,-0.038888,3.30412,-0.133904
2025-03-13,45.1977,42.55,3.81105,3.75068,-0.0405544,2.64774,-0.133904
2025-03-14,46.2717,42.83,3.83453,3.75724,-0.0308508,3.44173,-0.133904
2025-03-17,46.9977,43.5,3.8501,3.77276,-0.0132442,3.49768,-0.133904
2025-03-18,47.3855,43.41,3.85832,3.77069,-0.0142148,3.97552,-0.133904
2025-03-19,47.6938,43.75,3.8648,3.77849,-0.00554471,3.9438,-0.133904
2025-03-20,47.6938,44.23,3.8648,3.7894,0.00536696,3.4638,-0.133904
2025-03-21,47.6739,43.87,3.86438,3.78123,-0.00286147,3.80391,-0.133904
2025-03-24,47.654,44.26,3.86397,3.79008,0.00593326,3.39402,-0.133904
2025-03-25,48.738,44.42,3.88646,3.79369,0.0125534,4.31797,-0.133904
2025-03-26,49.4739,44.52,3.90144,3.79594,0.0168089,4.95387,-0.133904
2025-03-27,49.2352,44.36,3.89661,3.79234,0.012561,4.87519,-0.133904
2025-03-28,48.559,44.46,3.88278,3.79459,0.0129608,4.09898,-0.133904
2025-03-31,49.086,44.31,3.89357,3.79121,0.0110269,4.77603,-0.133904
2025-04-01,48.917,44.57,3.89012,3.79706,0.0164155,4.34697,-0.133904
2025-04-02,49.0562,45.14,3.89297,3.80977,0.0295039,3.9162,-0.133904
2025-04-03,43.6563,45.34,3.77635,3.81419,0.0183091,1.68366,-0.133904
2025-04-04,40.315,43.35,3.69672,3.76931,-0.037236,3.03501,-0.133904
2025-04-07,38.5349,41.95,3.65156,3.73648,-0.0761111,3.41508,-0.133904
