Date,OXY Raw Price,ENB Raw Price,OXY Log Price,ENB Log Price,Residual,Spread,Beta
2025-04-08,35.9096,41.09,3.581,3.71576,-0.106273,5.18043,-0.133904
2025-04-09,40.0067,41.77,3.68905,3.73218,-0.0753921,1.76329,-0.133904
2025-04-10,36.2676,41.82,3.59092,3.73337,-0.0873348,5.55242,-0.133904
2025-04-11,37.4609,43.24,3.6233,3.76677,-0.0496085,5.77909,-0.133904
2025-04-14,37.6896,44.02,3.62939,3.78464,-0.0309154,6.33036,-0.133904
2025-04-15,37.5902,44.28,3.62674,3.79053,-0.0253802,6.68981,-0.133904
2025-04-16,38.2366,44.57,3.64379,3.79706,-0.0165692,6.33341,-0.133904
2025-04-17,39.4896,45.37,3.67604,3.81485,0.00553849,5.88041,-0.133904
2025-04-21,38.8034,44.99,3.65851,3.80644,-0.00521946,6.18658,-0.133904
2025-04-22,39.7481,45.64,3.68256,3.82078,0.0123458,5.89185,-0.133904
2025-04-23,39.6089,45.61,3.67905,3.82013,0.0112185,6.00107,-0.133904
2025-04-24,40.1459,46.36,3.69252,3.83644,0.0293317,6.21407,-0.133904
2025-04-25,40.136,46.19,3.69227,3.83276,0.0256248,6.05401,-0.133904
2025-04-28,40.2851,46.64,3.69598,3.84246,0.0358168,6.35485,-0.133904
2025-04-29,40.126,46.64,3.69203,3.84246,0.0352868,6.51396,-0.133904
2025-04-30,39.1913,46.69,3.66845,3.84353,0.0332019,7.49874,-0.133904
2025-05-01,40.2155,46.48,3.69425,3.83902,0.0321488,6.26446,-0.133904
2025-05-02,40.3846,46.86,3.69845,3.84716,0.0408528,6.4754,-0.133904
2025-05-05,38.5946,46.59,3.65311,3.84139,0.0290036,7.99541,-0.133904
2025-05-06,39.062,46.16,3.66515,3.83211,0.0213432,7.09802,-0.133904
2025-05-07,38.7935,46.69,3.65825,3.84353,0.0318359,7.89652,-0.133904
2025-05-08,41.21,45.78,3.71868,3.82385,0.0202448,4.57001,-0.133904
2025-05-09,41.926,46.1,3.73591,3.83081,0.029517,4.174,-0.133904
2025-05-12,43.6166,44.55,3.77544,3.79661,0.000609565,0.933441,-0.133904
2025-05-13,44.1436,44.57,3.78745,3.79706,0.00266679,0.426384,-0.133904
2025-05-14,43.5768,44.87,3.77452,3.80377,0.00764464,1.29322,-0.133904
2025-05-15,43.1293,44.92,3.7642,3.80488,0.00737613,1.79072,-0.133904
2025-05-16,42.8011,44.85,3.75656,3.80332,0.00479384,2.04889,-0.133904
2025-05-19,42.0752,44.94,3.73946,3.80533,0.0045079,2.86484,-0.133904
2025-05-20,41.6674,45.61,3.72972,3.82013,0.0180028,3.94256,-0.133904
2025-05-21,40.9017,45.57,3.71117,3.81925,0.0146417,4.66829,-0.133904
2025-05-22,40.852,45.17,3.70996,3.81043,0.00566233,4.31801,-0.133904
2025-05-23,41.0608,46.06,3.71505,3.82994,0.0258569,4.99918,-0.133904
2025-05-27,41.389,46.04,3.72301,3.82951,0.0264885,4.65101,-0.133904
2025-05-28,40.8918,45.57,3.71093,3.81925,0.0146091,4.67823,-0.133904
2025-05-29,41.2299,45.85,3.71916,3.82538,0.0218373,4.62012,-0.133904
2025-05-30,40.5536,46.48,3.70263,3.83902,0.0332698,5.92635,-0.133904
2025-06-02,41.21,47.16,3.71868,3.85355,0.0499436,5.95001,-0.133904
2025-06-03,42.453,47.07,3.7484,3.85164,0.0520128,4.61695,-0.133904
2025-06-04,41.6774,46.66,3.72996,3.84289,0.040795,4.98262,-0.133904
2025-06-05,41.5879,46.87,3.72781,3.84738,0.0449976,5.28212,-0.133904
2025-06-06,42.3039,46.52,3.74488,3.83988,0.0397879,4.21611,-0.133904
2025-06-09,43,45.82,3.7612,3.82472,0.0268117,2.82,-0.133904
2025-06-10,43.91,45.85,3.78214,3.82538,0.0302704,1.94,-0.133904
2025-06-11,44.84,45.87,3.8031,3.82581,0.033513,1.03,-0.133904
2025-06-12,44.76,46.81,3.80131,3.8461,0.0535595,2.05,-0.133904
2025-06-13,46.45,46.67,3.83838,3.8431,0.0555268,0.219997,-0.133904
