Date,MPC Raw Price,KMI Raw Price,MPC Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,139.888,27.5159,4.94084,3.31476,0.0217467,112.372,0.253792
2025-01-03,141.124,27.6725,4.94964,3.32044,0.0251902,113.451,0.253792
2025-01-06,138.939,27.2418,4.93403,3.30475,0.0134637,111.697,0.253792
2025-01-07,140.056,27.2222,4.94204,3.30403,0.0107122,112.834,0.253792
2025-01-08,140.718,27.6921,4.94676,3.32115,0.0266274,113.026,0.253792
2025-01-10,140.659,27.5648,4.94634,3.31654,0.0221286,113.094,0.253792
2025-01-13,145.088,27.9172,4.97734,3.32924,0.0269631,117.171,0.253792
2025-01-14,147.728,28.5045,4.99537,3.35006,0.0432067,119.223,0.253792
2025-01-15,150.229,28.8178,5.01216,3.36099,0.0498745,121.412,0.253792
2025-01-16,149.982,29.4247,5.01052,3.38183,0.0711334,120.558,0.253792
2025-01-17,150.971,29.6694,5.01709,3.39012,0.0777483,121.302,0.253792
2025-01-21,149.112,30.5601,5.0047,3.4197,0.110474,118.552,0.253792
2025-01-22,145.939,30.1294,4.98319,3.4055,0.10174,115.809,0.253792
2025-01-23,152.563,29.8358,5.02758,3.39571,0.0806794,122.727,0.253792
2025-01-24,149.893,29.6302,5.00992,3.38879,0.0782459,120.263,0.253792
2025-01-27,150.872,26.8796,5.01643,3.29137,-0.0208327,123.992,0.253792
2025-01-28,148.934,26.8796,5.0035,3.29137,-0.0175519,122.055,0.253792
2025-01-29,149.676,26.723,5.00847,3.28552,-0.0246561,122.953,0.253792
2025-01-30,148.262,27.5061,4.99898,3.31441,0.00663551,120.756,0.253792
2025-01-31,144.06,26.8992,4.97023,3.2921,-0.00837903,117.161,0.253792
2025-02-03,145.335,27.283,4.97904,3.30626,0.0035521,118.052,0.253792
2025-02-04,155.133,27.2039,5.04428,3.30336,-0.0159102,127.929,0.253792
2025-02-05,155.529,27.3424,5.04683,3.30844,-0.0114783,128.186,0.253792
2025-02-06,150.21,26.4916,5.01203,3.27683,-0.0342553,123.718,0.253792
2025-02-07,148.42,26.7488,5.00005,3.28649,-0.0215518,121.671,0.253792
2025-02-10,152.039,26.7785,5.02413,3.2876,-0.0265563,125.26,0.253792
2025-02-11,153.541,26.5015,5.03397,3.2772,-0.0394499,127.04,0.253792
2025-02-12,147.52,25.997,4.99397,3.25798,-0.0485177,121.523,0.253792
2025-02-13,152.345,26.274,5.02615,3.26858,-0.0460872,126.071,0.253792
2025-02-14,154.293,26.2641,5.03885,3.2682,-0.0496879,128.029,0.253792
2025-02-18,157.229,26.462,5.0577,3.27571,-0.0469677,130.767,0.253792
2025-02-19,155.758,26.6004,5.0483,3.28093,-0.039361,129.157,0.253792
2025-02-20,157.378,26.3037,5.05865,3.26971,-0.0532076,131.075,0.253792
2025-02-21,152.874,26.1256,5.02961,3.26292,-0.0526301,126.748,0.253792
2025-02-24,151.84,26.185,5.02283,3.26519,-0.0486382,125.655,0.253792
2025-02-25,149.742,25.819,5.00891,3.25111,-0.0591835,123.923,0.253792
2025-02-26,145.476,25.8882,4.98001,3.25379,-0.0491701,119.588,0.253792
2025-02-27,147.146,25.9278,4.99143,3.25531,-0.0505406,121.219,0.253792
2025-02-28,149.334,26.8082,5.00618,3.28871,-0.0208931,122.526,0.253792
2025-03-03,144.999,26.8478,4.97672,3.29018,-0.0119411,118.151,0.253792
2025-03-04,141.817,26.6994,4.95453,3.28464,-0.0118519,115.117,0.253792
2025-03-05,134.359,26.4422,4.90051,3.27496,-0.00782183,107.917,0.253792
2025-03-06,136.785,26.0267,4.91841,3.25912,-0.0282014,110.758,0.253792
2025-03-07,136.775,25.8585,4.91834,3.25264,-0.0346653,110.917,0.253792
2025-03-10,135.492,25.8585,4.90892,3.25264,-0.0322739,109.634,0.253792
2025-03-11,133.961,26.1256,4.89755,3.26292,-0.0191132,107.835,0.253792
2025-03-12,136.348,26.2344,4.91521,3.26707,-0.0194381,110.113,0.253792
2025-03-13,136.248,26.2542,4.91448,3.26783,-0.0184991,109.994,0.253792
2025-03-14,140.355,26.8082,4.94417,3.28871,-0.00515513,113.547,0.253792
2025-03-17,145.337,27.4908,4.97905,3.31385,0.0111354,117.846,0.253792
2025-03-18,145.177,27.2237,4.97796,3.30409,0.00165016,117.954,0.253792
2025-03-19,148.727,27.5501,5.00212,3.31601,0.00743902,121.177,0.253792
2025-03-20,151.094,27.7578,5.0179,3.32352,0.0109445,123.336,0.253792
2025-03-21,149.115,27.6292,5.00472,3.31887,0.00964658,121.486,0.253792
2025-03-24,147.842,28.4008,4.99615,3.34642,0.0393662,119.442,0.253792
2025-03-25,148.25,28.5196,4.9989,3.35059,0.0428384,119.731,0.253792
2025-03-26,148.966,28.1733,5.00372,3.33838,0.0294012,120.793,0.253792
2025-03-27,146.52,27.926,4.98716,3.32956,0.0247865,118.594,0.253792
2025-03-28,143.288,28.0645,4.96486,3.33451,0.0353939,115.224,0.253792
2025-03-31,144.869,28.2228,4.97583,3.34013,0.0382328,116.646,0.253792
2025-04-01,145.804,28.3217,4.98226,3.34363,0.0400995,117.482,0.253792
2025-04-02,147.067,28.6086,4.99089,3.35371,0.0479891,118.458,0.253792
2025-04-03,127.866,27.4215,4.85098,3.31133,0.0411172,100.444,0.253792
2025-04-04,120.388,25.0177,4.79072,3.21958,-0.0353343,95.3703,0.253792
2025-04-07,120.975,25.0968,4.79558,3.22274,-0.0334098,95.8778,0.253792
2025-04-08,117.882,24.9385,4.76969,3.21641,-0.0331644,92.9436,0.253792
2025-04-09,130.68,25.9673,4.87275,3.25684,-0.0188958,104.712,0.253792
2025-04-10,120.845,25.5123,4.79451,3.23916,-0.016719,95.3331,0.253792
2025-04-11,122.735,26.185,4.81002,3.26519,0.00536907,96.5497,0.253792
2025-04-14,124.147,26.5114,4.82146,3.27758,0.0148559,97.6352,0.253792
2025-04-15,121.541,26.9269,4.80025,3.29313,0.0357885,94.6145,0.253792
2025-04-16,123.371,26.6598,4.8152,3.28316,0.0220279,96.7112,0.253792
2025-04-17,127,26.8082,4.84419,3.28871,0.0202197,100.192,0.253792
2025-04-21,126.006,25.5123,4.83633,3.23916,-0.0273322,100.494,0.253792
2025-04-22,130.65,26.3136,4.87252,3.27008,-0.00559264,104.336,0.253792
2025-04-23,133.543,26.3136,4.89443,3.27008,-0.0111522,107.23,0.253792
2025-04-24,136.765,26.5807,4.91827,3.28018,-0.00710304,110.184,0.253792
2025-04-25,136.666,26.5609,4.91754,3.27944,-0.00766308,110.105,0.253792
2025-04-28,136.805,26.7785,4.91856,3.2876,0.000238801,110.026,0.253792
2025-04-29,137.531,26.917,4.92385,3.29276,0.00405411,110.614,0.253792
2025-04-30,136.636,26.3,4.91732,3.26957,-0.0174781,110.336,0.253792
2025-05-01,136.944,26.3,4.91957,3.26957,-0.01805,110.644,0.253792
2025-05-02,140.753,26.83,4.947,3.28952,-0.0050599,113.923,0.253792
2025-05-05,142.523,26.87,4.9595,3.29101,-0.00674166,115.653,0.253792
2025-05-06,143.736,27.21,4.96798,3.30358,0.00368133,116.526,0.253792
2025-05-07,143.875,27.62,4.96894,3.31854,0.0183913,116.255,0.253792
2025-05-08,149.125,27.04,5.00479,3.29732,-0.0119279,122.085,0.253792
2025-05-09,150.04,27.31,5.0109,3.30725,-0.00354445,122.73,0.253792
2025-05-12,157.249,27.31,5.05783,3.30725,-0.0154548,129.939,0.253792
2025-05-13,161.923,27.5,5.08712,3.31419,-0.0159546,134.423,0.253792
2025-05-14,162.599,27.46,5.09129,3.31273,-0.0184679,135.139,0.253792
2025-05-15,164.359,28,5.10205,3.3322,-0.00172613,136.359,0.253792
2025-05-16,163.195,28.09,5.09495,3.33541,0.00328585,135.105,0.253792
2025-05-19,161.356,28,5.08361,3.3322,0.00295376,133.356,0.253792
2025-05-20,160.62,27.98,5.07904,3.33149,0.00339923,132.64,0.253792
2025-05-21,156.7,27.47,5.05433,3.31309,-0.00872551,129.23,0.253792
2025-05-22,158.89,27.34,5.06821,3.30835,-0.0169915,131.55,0.253792
2025-05-23,159.11,27.86,5.0696,3.32719,0.00149846,131.25,0.253792
2025-05-27,162.33,28.19,5.08963,3.33897,0.00818894,134.14,0.253792
2025-05-28,158.61,27.95,5.06645,3.33042,0.00552249,130.66,0.253792
2025-05-29,159.92,27.92,5.07467,3.32934,0.00236102,132,0.253792
2025-05-30,160.74,28.04,5.07979,3.33363,0.00535181,132.7,0.253792
2025-06-02,158.75,28.65,5.06733,3.35515,0.0300348,130.1,0.253792
2025-06-03,161.97,28.56,5.08741,3.35201,0.0217922,133.41,0.253792
2025-06-04,156.95,28.03,5.05593,3.33328,0.0110508,128.92,0.253792
2025-06-05,158.21,28.24,5.06392,3.34074,0.0164855,129.97,0.253792
2025-06-06,160.12,28.14,5.07592,3.33719,0.00989258,131.98,0.253792
2025-06-09,160.27,27.53,5.07686,3.31528,-0.0122608,132.74,0.253792
2025-06-10,162.64,27.38,5.09154,3.30981,-0.0214498,135.26,0.253792
2025-06-11,164.66,27.52,5.10388,3.31491,-0.0194823,137.14,0.253792
2025-06-12,165.07,27.66,5.10637,3.31999,-0.0150391,137.41,0.253792
2025-06-13,166.15,27.64,5.11289,3.31926,-0.0174175,138.51,0.253792
