Date,VLO Raw Price,ET Raw Price,VLO Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,121.125,19.0293,4.79682,2.94598,0.081591,102.095,0.758524
2025-01-03,122.216,18.9617,4.80579,2.94242,0.071227,103.255,0.758524
2025-01-06,120.112,18.9424,4.78842,2.9414,0.0833852,101.169,0.758524
2025-01-07,121.951,18.8169,4.80362,2.93475,0.0652102,103.134,0.758524
2025-01-08,123.131,19.0486,4.81325,2.94699,0.0701431,104.083,0.758524
2025-01-10,125.059,18.7493,4.82879,2.93116,0.0425227,106.31,0.758524
2025-01-13,131.157,18.7976,4.8764,2.93373,0.00898088,112.359,0.758524
2025-01-14,131.855,19.2417,4.88171,2.95708,0.0283043,112.614,0.758524
2025-01-15,135.642,19.3479,4.91002,2.96258,0.0123317,116.294,0.758524
2025-01-16,137.078,19.5506,4.92055,2.97301,0.0147683,117.527,0.758524
2025-01-17,138.73,19.5893,4.93253,2.97498,0.00765274,119.141,0.758524
2025-01-21,137.235,20.1878,4.9217,3.00508,0.0459706,117.048,0.758524
2025-01-22,132.859,20.1975,4.88928,3.00556,0.0710345,112.661,0.758524
2025-01-23,138.396,20.3327,4.93012,3.01223,0.0467308,118.063,0.758524
2025-01-24,137.334,20.323,4.92241,3.01175,0.0521002,117.011,0.758524
2025-01-27,138.986,19.1258,4.93437,2.95104,-0.0176854,119.86,0.758524
2025-01-28,135.858,19.6472,4.91161,2.97793,0.0264734,116.211,0.758524
2025-01-29,137.186,19.821,4.92134,2.98674,0.0279023,117.365,0.758524
2025-01-30,134.281,20.352,4.89993,3.01318,0.0705765,113.929,0.758524
2025-01-31,131.881,19.7727,4.8819,2.9843,0.0553781,112.109,0.758524
2025-02-03,135.034,20.043,4.90553,2.99788,0.0510347,114.991,0.758524
2025-02-04,141.787,20.0527,4.95433,2.99836,0.0145024,121.734,0.758524
2025-02-05,139.358,20.072,4.93704,2.99932,0.0285742,119.286,0.758524
2025-02-06,133.16,19.6665,4.89155,2.97892,0.042671,113.494,0.758524
2025-02-07,131.961,19.5537,4.8825,2.97316,0.0437829,112.407,0.758524
2025-02-10,135.659,19.7106,4.91015,2.98116,0.0308113,115.948,0.758524
2025-02-11,135.738,19.4359,4.91073,2.96712,0.0163325,116.303,0.758524
2025-02-12,129.809,19.2789,4.86606,2.95901,0.0421044,110.53,0.758524
2025-02-13,129.888,19.4457,4.86667,2.96763,0.0502552,110.442,0.758524
2025-02-14,134.172,19.6125,4.89912,2.97617,0.0341837,114.559,0.758524
2025-02-18,137.028,19.9167,4.92018,2.99156,0.0335971,117.111,0.758524
2025-02-19,135.996,19.7401,4.91263,2.98265,0.0304207,116.256,0.758524
2025-02-20,137.97,19.5635,4.92703,2.97366,0.0105072,118.406,0.758524
2025-02-21,133.607,19.0239,4.8949,2.94569,0.00691103,114.583,0.758524
2025-02-24,133.924,18.6118,4.89727,2.9238,-0.016787,115.312,0.758524
2025-02-25,132.536,18.5627,4.88685,2.92116,-0.0115225,113.973,0.758524
2025-02-26,129.065,18.7982,4.86032,2.93376,0.02121,110.267,0.758524
2025-02-27,128.54,18.5824,4.85624,2.92221,0.0127563,109.957,0.758524
2025-02-28,129.63,18.9257,4.86469,2.94052,0.0246577,110.705,0.758524
2025-03-03,127.32,18.6707,4.8467,2.92695,0.0247286,108.649,0.758524
2025-03-04,126.537,18.1212,4.84053,2.89708,-0.000458931,108.415,0.758524
2025-03-05,120.736,17.8563,4.7936,2.88236,0.0204101,102.879,0.758524
2025-03-06,124.94,17.3658,4.82783,2.8545,-0.0334112,107.574,0.758524
2025-03-07,125.783,17.1303,4.83456,2.84085,-0.0521632,108.653,0.758524
2025-03-10,125.733,16.9341,4.83416,2.82933,-0.063385,108.799,0.758524
2025-03-11,121.995,17.4933,4.80398,2.86182,-0.00799983,104.502,0.758524
2025-03-12,124.127,18.0526,4.8213,2.89329,0.0103274,106.074,0.758524
2025-03-13,124.742,17.8269,4.82625,2.88071,-0.00599902,106.915,0.758524
2025-03-14,128.054,18.3763,4.85245,2.91106,0.00447931,109.677,0.758524
2025-03-17,131.832,18.5431,4.88153,2.9201,-0.00854007,113.288,0.758524
2025-03-18,130.919,18.3273,4.87458,2.90839,-0.0149814,112.592,0.758524
2025-03-19,132.714,18.5824,4.8882,2.92221,-0.0114866,114.132,0.758524
2025-03-20,133.696,18.4941,4.89557,2.91745,-0.02184,115.202,0.758524
2025-03-21,130.404,18.2488,4.87064,2.9041,-0.0162798,112.155,0.758524
2025-03-24,130.84,18.5235,4.87398,2.91904,-0.00387194,112.317,0.758524
2025-03-25,130.89,18.5235,4.87435,2.91904,-0.00415938,112.366,0.758524
2025-03-26,133.388,18.5725,4.89327,2.92168,-0.015859,114.816,0.758524
2025-03-27,132.109,18.5235,4.88363,2.91904,-0.0111947,113.586,0.758524
2025-03-28,130.374,18.3567,4.87041,2.90999,-0.0102102,112.017,0.758524
2025-03-31,130.959,18.239,4.87488,2.90356,-0.0200407,112.72,0.758524
2025-04-01,132.615,18.3763,4.88745,2.91106,-0.0220695,114.239,0.758524
2025-04-02,132.496,18.5725,4.88655,2.92168,-0.010767,113.923,0.758524
2025-04-03,113.329,17.3952,4.73029,2.85619,0.0422708,95.9334,0.758524
2025-04-04,103.809,15.8548,4.64256,2.76348,0.0161012,87.9545,0.758524
2025-04-07,105.773,15.5703,4.66129,2.74537,-0.0162193,90.2023,0.758524
2025-04-08,104.295,15.3545,4.64723,2.73141,-0.0195089,88.9407,0.758524
2025-04-09,114.925,16.3552,4.74428,2.79455,-0.0299873,98.5698,0.758524
2025-04-10,108.093,15.6096,4.68299,2.74788,-0.0301617,92.4834,0.758524
2025-04-11,109.769,16.0216,4.69838,2.77394,-0.0157749,93.7471,0.758524
2025-04-14,109.402,16.5024,4.69503,2.8035,0.0163293,92.8995,0.758524
2025-04-15,106.645,16.7869,4.66951,2.8206,0.0527814,89.8584,0.758524
2025-04-16,106.229,16.6005,4.6656,2.80943,0.0445826,89.6283,0.758524
2025-04-17,109.134,16.9439,4.69258,2.82991,0.0445902,92.1903,0.758524
2025-04-21,107.924,16.2473,4.68143,2.78793,0.0110644,91.6771,0.758524
2025-04-22,111.514,16.6594,4.71415,2.81297,0.0112926,94.8546,0.758524
2025-04-23,113.537,16.7771,4.73213,2.82001,0.00469875,96.7597,0.758524
2025-04-24,112.406,17.2578,4.72212,2.84827,0.0405408,95.1486,0.758524
2025-04-25,112.912,17.1205,4.72661,2.84028,0.029145,95.7916,0.758524
2025-04-28,113.785,16.9537,4.73431,2.83049,0.0135157,96.831,0.758524
2025-04-29,114.548,16.7182,4.741,2.8165,-0.00554336,97.83,0.758524
2025-04-30,115.113,16.2277,4.74592,2.78672,-0.0390587,98.8858,0.758524
2025-05-01,113.914,16.2179,4.73544,2.78611,-0.031716,97.6957,0.758524
2025-05-02,117.93,16.3552,4.77009,2.79455,-0.0495628,101.574,0.758524
2025-05-05,118.336,15.8843,4.77353,2.76533,-0.0813901,102.452,0.758524
2025-05-06,116.016,15.5115,4.75373,2.74158,-0.0901206,100.504,0.758524
2025-05-07,115.966,16.5711,4.7533,2.80766,-0.0237173,99.3951,0.758524
2025-05-08,120.706,17.042,4.79336,2.83568,-0.02608,103.664,0.758524
2025-05-09,121.896,17.21,4.80317,2.84549,-0.0237113,104.686,0.758524
2025-05-12,129.392,17.44,4.86285,2.85877,-0.0557052,111.952,0.758524
2025-05-13,133.973,18,4.89764,2.89037,-0.050491,115.973,0.758524
2025-05-14,133.19,18.16,4.89178,2.89922,-0.0371933,115.03,0.758524
2025-05-15,134.231,17.97,4.89956,2.8887,-0.0536173,116.261,0.758524
2025-05-16,134.598,17.95,4.90229,2.88759,-0.0568013,116.648,0.758524
2025-05-19,133.2,18,4.89185,2.89037,-0.0460993,115.2,0.758524
