Date,SHEL Raw Price,HES Raw Price,SHEL Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,61.7661,134.963,4.12335,4.905,0.02611,73.1968,0.984971
2025-01-03,63.1561,135.93,4.14561,4.91214,0.0113273,72.7736,0.984971
2025-01-06,63.3812,135.461,4.14917,4.90869,0.00437038,72.08,0.984971
2025-01-07,64.5363,138.142,4.16723,4.92828,0.00617971,73.6059,0.984971
2025-01-08,63.3518,139.338,4.1487,4.9369,0.0330446,75.9862,0.984971
2025-01-10,63.5672,141.929,4.1521,4.95533,0.0481281,78.3621,0.984971
2025-01-13,63.5868,144.341,4.15241,4.97218,0.0646752,80.7544,0.984971
2025-01-14,64.5167,146.185,4.16692,4.98487,0.0630675,81.6682,0.984971
2025-01-15,64.9572,148.417,4.17373,5.00003,0.0715214,83.4602,0.984971
2025-01-16,65.0453,149.225,4.17508,5.00545,0.0756109,84.1793,0.984971
2025-01-17,65.3096,150.839,4.17914,5.01621,0.0823784,85.5296,0.984971
2025-01-21,65.3585,148.158,4.17989,4.99828,0.0637073,82.7997,0.984971
2025-01-22,64.5558,145.099,4.16753,4.97741,0.0550112,80.5427,0.984971
2025-01-23,65.2508,144.371,4.17824,4.97239,0.0394372,79.1202,0.984971
2025-01-24,64.0077,143.913,4.159,4.96921,0.0552032,79.9049,0.984971
2025-01-27,63.763,145.617,4.15517,4.98098,0.0707488,81.8539,0.984971
2025-01-28,63.2148,144.56,4.14654,4.9737,0.0719718,81.3456,0.984971
2025-01-29,63.4106,144.67,4.14963,4.97446,0.0696843,81.2595,0.984971
2025-01-30,65.241,145.358,4.17809,4.9792,0.0463959,80.1167,0.984971
2025-01-31,64.458,138.561,4.16601,4.93131,0.0104011,74.1028,0.984971
2025-02-03,63.7923,138.361,4.15563,4.92987,0.0191858,74.5691,0.984971
2025-02-04,65.2215,142.298,4.17779,4.95792,0.0254179,77.0766,0.984971
2025-02-05,65.1236,142.258,4.17629,4.95764,0.0266171,77.1346,0.984971
2025-02-06,64.7614,141.451,4.17071,4.95195,0.0264193,76.6895,0.984971
2025-02-07,64.4971,142.458,4.16662,4.95904,0.0375383,77.9604,0.984971
2025-02-10,64.732,145.338,4.17026,4.97906,0.0539737,80.6057,0.984971
2025-02-11,65.9556,146.504,4.18898,4.98705,0.0435203,80.5482,0.984971
2025-02-12,65.3487,144.311,4.17974,4.97197,0.0375465,78.9625,0.984971
2025-02-13,65.9458,145.358,4.18883,4.9792,0.0358126,79.4119,0.984971
2025-02-14,66.4168,146.055,4.19595,4.98399,0.0335917,79.6386,0.984971
2025-02-18,67.0994,147.471,4.20618,4.99363,0.033162,80.3711,0.984971
2025-02-19,66.8818,148.766,4.20293,5.00238,0.0451097,81.8844,0.984971
2025-02-20,67.6535,150.45,4.2144,5.01363,0.0450678,82.797,0.984971
2025-02-21,65.9913,147.61,4.18952,4.99457,0.0505097,81.6187,0.984971
2025-02-24,66.1793,148.248,4.19237,4.99889,0.0520197,82.0686,0.984971
2025-02-25,66.1892,146.454,4.19252,4.98671,0.0396978,80.2648,0.984971
2025-02-26,66.6839,144.979,4.19996,4.97659,0.0222411,78.2951,0.984971
2025-02-27,66.5553,146.414,4.19803,4.98644,0.0339931,79.8588,0.984971
2025-02-28,66.7433,148.437,4.20085,5.00016,0.0449384,81.694,0.984971
2025-03-03,65.7539,143.604,4.18592,4.96706,0.026543,77.8498,0.984971
2025-03-04,65.4966,141.909,4.182,4.95519,0.0185356,76.4127,0.984971
2025-03-05,65.3977,140.863,4.18049,4.94779,0.0126232,75.4652,0.984971
