Date,SHEL Raw Price,HES Raw Price,SHEL Log Price,HES Log Price,Residual,Spread,Beta
2025-03-06,65.3087,142.856,4.17912,4.96184,0.0280163,77.5475,0.984971
2025-03-07,66.0804,146.932,4.19087,4.98997,0.0445797,80.852,0.984971
2025-03-10,66.0804,147.74,4.19087,4.99545,0.0500589,81.6593,0.984971
2025-03-11,66.1002,144.122,4.19117,4.97066,0.024972,78.0217,0.984971
2025-03-12,66.6641,143.544,4.19967,4.96664,0.0125852,76.8797,0.984971
2025-03-13,67.0203,143.434,4.205,4.96588,0.00657267,76.4139,0.984971
2025-03-14,68.0393,147.63,4.22009,4.99471,0.0205415,79.5907,0.984971
2025-03-17,69.3552,150.45,4.23924,5.01363,0.0205957,81.0948,0.984971
2025-03-18,70.216,152.82,4.25158,5.02926,0.0240767,82.604,0.984971
2025-03-19,70.7601,156.38,4.2593,5.05229,0.0395011,85.6199,0.984971
2025-03-20,71.1855,157.37,4.26529,5.0586,0.0399076,86.1844,0.984971
2025-03-21,70.2555,156.58,4.25214,5.05357,0.047828,86.3245,0.984971
2025-03-24,70.5227,157.35,4.25593,5.05847,0.0489956,86.8273,0.984971
2025-03-25,71.2647,158.29,4.2664,5.06443,0.044642,87.0253,0.984971
2025-03-26,72.2541,160.52,4.28019,5.07842,0.0450515,88.2659,0.984971
2025-03-27,72.5113,159.07,4.28374,5.06934,0.0324768,86.5587,0.984971
2025-03-28,71.9573,158.45,4.27607,5.06544,0.0361264,86.4927,0.984971
2025-03-31,72.5014,159.73,4.28361,5.07348,0.0367517,87.2286,0.984971
2025-04-01,72.2739,161.29,4.28046,5.0832,0.0495671,89.0161,0.984971
2025-04-02,71.9474,160.02,4.27593,5.0753,0.0461216,88.0726,0.984971
2025-04-03,69.0287,148.38,4.23452,4.99978,0.0113894,79.3513,0.984971
2025-04-04,63.4486,133.56,4.15023,4.89455,-0.0108115,70.1114,0.984971
2025-04-07,61.6579,130.59,4.1216,4.87206,-0.0051001,68.9321,0.984971
2025-04-08,59.1152,127.51,4.07949,4.84819,0.0125124,68.3948,0.984971
2025-04-09,63.2112,137.97,4.14648,4.92704,0.0253671,74.7588,0.984971
2025-04-10,59.1449,127.16,4.07999,4.84545,0.00926927,68.0151,0.984971
2025-04-11,61.4303,128.5,4.1179,4.85593,-0.017592,67.0697,0.984971
2025-04-14,61.8755,127.91,4.12512,4.85133,-0.0293068,66.0345,0.984971
2025-04-15,62.113,127.21,4.12895,4.84584,-0.0385671,65.097,0.984971
2025-04-16,63.3497,127.95,4.14867,4.85164,-0.0521856,64.6003,0.984971
2025-04-17,64.349,130.64,4.16432,4.87245,-0.0467953,66.291,0.984971
2025-04-21,63.9631,126.32,4.15831,4.83882,-0.0744984,62.3569,0.984971
2025-04-22,64.4776,130.38,4.16632,4.87045,-0.0507542,65.9024,0.984971
2025-04-23,63.8246,130.03,4.15614,4.86777,-0.0434164,66.2054,0.984971
2025-04-24,64.3589,132.38,4.16447,4.88568,-0.0337156,68.0211,0.984971
2025-04-25,65.1603,132.34,4.17685,4.88537,-0.0462069,67.1797,0.984971
2025-04-28,65.3186,133.84,4.17928,4.89665,-0.0373261,68.5214,0.984971
2025-04-29,64.814,132.54,4.17152,4.88688,-0.0394485,67.726,0.984971
2025-04-30,63.7949,129.05,4.15567,4.8602,-0.0505234,65.2551,0.984971
2025-05-01,64.1115,129.79,4.16062,4.86592,-0.0496817,65.6785,0.984971
2025-05-02,65.932,132.31,4.18862,4.88515,-0.0580304,66.378,0.984971
2025-05-05,64.4281,128.8,4.16555,4.85826,-0.0621907,64.3719,0.984971
2025-05-06,64.4083,128.87,4.16524,4.8588,-0.0613449,64.4617,0.984971
2025-05-07,64.3589,129.09,4.16447,4.86051,-0.0588824,64.7311,0.984971
2025-05-08,64.3885,130.88,4.16494,4.87428,-0.0455654,66.4915,0.984971
2025-05-09,65.4472,132.37,4.18124,4.8856,-0.0503078,66.9228,0.984971
2025-05-12,65.6747,135.21,4.18471,4.90683,-0.0324983,69.5353,0.984971
2025-05-13,66.8917,135.7,4.20307,4.91045,-0.0469652,68.8083,0.984971
2025-05-14,66.3772,134.79,4.19535,4.90372,-0.0460888,68.4128,0.984971
2025-05-15,66.674,135.07,4.19982,4.90579,-0.0484083,68.396,0.984971
2025-05-16,66.62,134.93,4.199,4.90476,-0.0486473,68.31,0.984971
2025-05-19,66.67,132.79,4.19976,4.88877,-0.0653734,66.12,0.984971
2025-05-20,66.62,132.05,4.199,4.88318,-0.0702228,65.43,0.984971
2025-05-21,66.36,130.16,4.19509,4.86876,-0.0807873,63.8,0.984971
2025-05-22,65.95,130.02,4.1889,4.86769,-0.075759,64.07,0.984971
2025-05-23,66.3,131.36,4.19419,4.87794,-0.0707192,65.06,0.984971
2025-05-27,66.69,132.58,4.20006,4.88719,-0.0672516,65.89,0.984971
2025-05-28,66.04,131.07,4.19026,4.87573,-0.069059,65.03,0.984971
2025-05-29,66.44,133.62,4.1963,4.895,-0.0557386,67.18,0.984971
2025-05-30,66.22,132.19,4.19298,4.88424,-0.0632313,65.97,0.984971
2025-06-02,67.45,133.75,4.21139,4.89597,-0.0696266,66.3,0.984971
2025-06-03,67.83,135.96,4.217,4.91236,-0.0587718,68.13,0.984971
2025-06-04,67.27,133.45,4.20871,4.89373,-0.0692401,66.18,0.984971
2025-06-05,67.53,133.05,4.21257,4.89073,-0.0760415,65.52,0.984971
2025-06-06,68.02,136.13,4.2198,4.91361,-0.0602774,68.11,0.984971
2025-06-09,68.26,136.63,4.22332,4.91728,-0.0600804,68.37,0.984971
2025-06-10,70.05,138.66,4.24921,4.93202,-0.0708284,68.61,0.984971
2025-06-11,71.02,140.58,4.26296,4.94578,-0.070622,69.56,0.984971
2025-06-12,71.44,141.14,4.26886,4.94975,-0.0724544,69.7,0.984971
2025-06-13,72.54,142.26,4.28414,4.95766,-0.0796008,69.72,0.984971
