Date,PSX Raw Price,APA Raw Price,PSX Log Price,APA Log Price,Residual,Spread,Beta
2025-02-26,124.243,21.655,4.82224,3.07524,0.0264171,102.588,1.28985
2025-02-27,126.194,20.0906,4.83782,3.00025,-0.0686644,106.103,1.28985
2025-02-28,128.452,20.3661,4.85556,3.01387,-0.0779233,108.086,1.28985
2025-03-03,123.797,18.5853,4.81864,2.92237,-0.121812,105.212,1.28985
2025-03-04,121.123,18.2705,4.79681,2.90529,-0.110729,102.852,1.28985
2025-03-05,118.597,18.241,4.77573,2.90367,-0.0851647,100.356,1.28985
2025-03-06,121.618,18.4476,4.80089,2.91493,-0.106345,103.17,1.28985
2025-03-07,124.976,18.5361,4.82812,2.91972,-0.136684,106.44,1.28985
2025-03-10,124.926,18.7132,4.82772,2.92923,-0.126664,106.213,1.28985
2025-03-11,122.371,18.8903,4.80706,2.93865,-0.0905874,103.48,1.28985
2025-03-12,122.797,19.3331,4.81053,2.96182,-0.0719018,103.464,1.28985
2025-03-13,121.331,18.7329,4.79852,2.93028,-0.0879468,102.598,1.28985
2025-03-14,125.52,19.2937,4.83247,2.95978,-0.102237,106.227,1.28985
2025-03-17,127.957,19.7069,4.85169,2.98097,-0.105843,108.25,1.28985
2025-03-18,127.184,19.8447,4.84564,2.98794,-0.091067,107.34,1.28985
2025-03-19,127.769,20.4744,4.85022,3.01917,-0.0657426,107.294,1.28985
2025-03-20,127.591,20.2382,4.84883,3.00757,-0.0755415,107.352,1.28985
2025-03-21,124.292,20.2776,4.82264,3.00952,-0.0398174,104.015,1.28985
2025-03-24,125.263,20.5039,4.83042,3.02061,-0.0387534,104.759,1.28985
2025-03-25,124.292,20.5531,4.82264,3.02301,-0.0263233,103.739,1.28985
2025-03-26,125.362,20.7597,4.83121,3.03301,-0.0273741,104.602,1.28985
2025-03-27,123.53,20.8581,4.81648,3.03774,-0.00365379,102.672,1.28985
2025-03-28,120.598,20.5826,4.79246,3.02445,0.0140321,100.015,1.28985
2025-03-31,122.301,20.681,4.80649,3.02921,0.000707707,101.621,1.28985
2025-04-01,123.163,20.7892,4.81351,3.03443,-0.00312897,102.374,1.28985
2025-04-02,122.876,20.8974,4.81118,3.03963,0.00507505,101.979,1.28985
2025-04-03,106.157,17.4539,4.66492,2.85956,0.0136593,88.7032,1.28985
2025-04-04,97.8669,14.9352,4.58361,2.70372,-0.0373048,82.9318,1.28985
2025-04-07,95.6681,14.7187,4.56089,2.68912,-0.0225934,80.9494,1.28985
2025-04-08,91.9836,13.8037,4.52161,2.62494,-0.0361172,78.1799,1.28985
2025-04-09,102.146,16.4405,4.6264,2.79975,0.00352893,85.7052,1.28985
2025-04-10,96.0643,14.3645,4.56502,2.66476,-0.0522824,81.6998,1.28985
2025-04-11,96.4506,14.7974,4.56903,2.69445,-0.0277668,81.6532,1.28985
2025-04-14,96.8864,14.9548,4.57354,2.70503,-0.0229997,81.9315,1.28985
2025-04-15,95.2917,14.6498,4.55694,2.68443,-0.0221991,80.6419,1.28985
2025-04-16,95.6483,15.1221,4.56068,2.71616,0.00471125,80.5262,1.28985
2025-04-17,98.1542,15.8502,4.58654,2.76318,0.0183767,82.304,1.28985
2025-04-21,96.0841,15.25,4.56522,2.72458,0.00727003,80.8341,1.28985
2025-04-22,99.937,15.86,4.60454,2.7638,-0.00422102,84.077,1.28985
2025-04-23,101.799,15.65,4.623,2.75047,-0.0413621,86.149,1.28985
2025-04-24,103.691,16.26,4.64141,2.78871,-0.0268747,87.4308,1.28985
2025-04-25,102.978,16.35,4.63451,2.79423,-0.0124533,86.6277,1.28985
2025-04-28,104.77,16.55,4.65177,2.80639,-0.0225569,88.2204,1.28985
2025-04-29,104.988,16.24,4.65385,2.78748,-0.0441455,88.7483,1.28985
2025-04-30,103.067,15.54,4.63538,2.74342,-0.06438,87.5268,1.28985
2025-05-01,102.473,16.22,4.62959,2.78625,-0.0140936,86.2526,1.28985
2025-05-02,106.127,16.46,4.66464,2.80093,-0.044608,89.6673,1.28985
2025-05-05,105.88,15.5,4.6623,2.74084,-0.101688,90.3797,1.28985
2025-05-06,104.384,15.73,4.64808,2.75557,-0.0686089,88.6541,1.28985
2025-05-07,104.543,15.48,4.64959,2.73955,-0.0865866,89.0626,1.28985
2025-05-08,108.148,16.18,4.6835,2.78378,-0.0860915,91.9679,1.28985
2025-05-09,109.861,16.72,4.69922,2.81661,-0.073538,93.1414,1.28985
2025-05-12,117.547,17.71,4.76684,2.87413,-0.103236,99.8373,1.28985
2025-05-13,124.372,18.46,4.82327,2.91561,-0.134549,105.912,1.28985
2025-05-14,123.51,18.17,4.81632,2.89977,-0.141416,105.34,1.28985
2025-05-15,123.579,17.76,4.81688,2.87695,-0.164963,105.819,1.28985
2025-05-16,124.53,17.59,4.82455,2.86733,-0.184467,106.94,1.28985
2025-05-19,122.18,17.32,4.8055,2.85186,-0.175363,104.86,1.28985
2025-05-20,120.9,17.25,4.79496,2.84781,-0.165828,103.65,1.28985
2025-05-21,111.78,16.71,4.71653,2.81601,-0.0964682,95.07,1.28985
2025-05-22,112.98,16.74,4.72721,2.8178,-0.108448,96.24,1.28985
2025-05-23,113.13,16.85,4.72854,2.82435,-0.103609,96.28,1.28985
2025-05-27,114.33,17.31,4.73909,2.85128,-0.0902856,97.02,1.28985
2025-05-28,112.77,17.18,4.72535,2.84375,-0.0801031,95.59,1.28985
2025-05-29,114.68,17.34,4.74215,2.85302,-0.0924966,97.34,1.28985
2025-05-30,113.48,17.01,4.73163,2.8338,-0.0981431,96.47,1.28985
2025-06-02,114.28,17.33,4.73865,2.85244,-0.0885666,96.95,1.28985
2025-06-03,115.97,18.27,4.75333,2.90526,-0.0546803,97.7,1.28985
2025-06-04,112.48,17.92,4.72278,2.88592,-0.0346104,94.56,1.28985
2025-06-05,112.23,17.85,4.72055,2.882,-0.0356543,94.38,1.28985
2025-06-06,114.29,18.5,4.73874,2.91777,-0.0233478,95.79,1.28985
2025-06-09,116.1,18.63,4.75445,2.92477,-0.0366126,97.47,1.28985
2025-06-10,118.7,19.28,4.7766,2.95907,-0.0308844,99.42,1.28985
2025-06-11,120.95,19.61,4.79538,2.97604,-0.0381338,101.34,1.28985
2025-06-12,121.52,19.95,4.80008,2.99323,-0.0270087,101.57,1.28985
2025-06-13,122.15,21.01,4.80525,3.045,0.0180908,101.14,1.28985
