Date,PSX Raw Price,APA Raw Price,PSX Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,112.306,22.7603,4.72123,3.12502,0.206484,89.5459,1.28985
2025-01-03,113.955,22.7992,4.73581,3.12673,0.189391,91.156,1.28985
2025-01-06,113.052,23.0328,4.72785,3.13692,0.209849,90.0193,1.28985
2025-01-07,113.072,23.0328,4.72802,3.13692,0.209625,90.0389,1.28985
2025-01-08,114.112,23.0523,4.73718,3.13777,0.198654,91.06,1.28985
2025-01-10,111.835,23.0523,4.71702,3.13777,0.224656,88.7826,1.28985
2025-01-13,113.847,23.7337,4.73486,3.1669,0.230786,90.1135,1.28985
2025-01-14,115.114,24.1913,4.74592,3.18599,0.235613,90.9222,1.28985
2025-01-15,116.812,24.7754,4.76056,3.20985,0.240582,92.0363,1.28985
2025-01-16,117.43,24.4833,4.76584,3.19799,0.221914,92.9468,1.28985
2025-01-17,118.314,23.7532,4.77334,3.16772,0.181971,94.5603,1.28985
2025-01-21,118.274,23.0718,4.77301,3.13861,0.153291,95.2025,1.28985
2025-01-22,116.37,22.9832,4.75677,3.13476,0.170383,93.3868,1.28985
2025-01-23,120.365,23.1308,4.79053,3.14117,0.133244,97.2343,1.28985
2025-01-24,119.619,22.9439,4.78431,3.13305,0.133149,96.6752,1.28985
2025-01-27,120.817,23.0029,4.79427,3.13562,0.122869,97.8138,1.28985
2025-01-28,118.952,22.9635,4.77872,3.13391,0.141224,95.9881,1.28985
2025-01-29,119.914,22.8061,4.78677,3.12703,0.123956,97.1075,1.28985
2025-01-30,118.618,22.6192,4.77591,3.1188,0.129739,95.9987,1.28985
2025-01-31,115.702,21.5763,4.75102,3.0716,0.114633,94.1262,1.28985
2025-02-03,115.693,21.1237,4.75094,3.0504,0.0935435,94.569,1.28985
2025-02-04,121.337,22.0289,4.79857,3.09235,0.0740606,99.3081,1.28985
2025-02-05,121.052,21.8321,4.79622,3.08338,0.0681176,99.2202,1.28985
2025-02-06,118.598,21.291,4.77574,3.05828,0.0694364,97.3073,1.28985
2025-02-07,118.088,21.3205,4.77143,3.05967,0.0763852,96.7673,1.28985
2025-02-10,121.435,22.6192,4.79938,3.1188,0.0994624,98.8159,1.28985
2025-02-11,127.168,22.934,4.84551,3.13262,0.0537887,104.234,1.28985
2025-02-12,122.741,22.0092,4.81007,3.09146,0.0583307,100.731,1.28985
2025-02-13,123.231,22.1273,4.81406,3.09681,0.0585332,101.104,1.28985
2025-02-14,125.685,22.7668,4.83378,3.1253,0.0615915,102.919,1.28985
2025-02-18,127.884,23.1898,4.85113,3.14371,0.0576331,104.694,1.28985
2025-02-19,127.57,23.2095,4.84867,3.14456,0.0616534,104.361,1.28985
2025-02-20,129.131,23.239,4.86083,3.14583,0.0472394,105.892,1.28985
2025-02-21,126.412,22.4224,4.83955,3.11006,0.0389174,103.989,1.28985
2025-02-24,125.867,22.5011,4.83523,3.11357,0.047992,103.366,1.28985
2025-02-25,125.055,22.019,4.82875,3.09191,0.0346835,103.036,1.28985
