Date,MPC Raw Price,ENB Raw Price,MPC Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,139.888,42.98,4.94084,3.76073,-0.0250285,96.9078,0.155278
2025-01-03,141.124,43.09,4.94964,3.76329,-0.0238382,98.0337,0.155278
2025-01-06,138.939,42.99,4.93403,3.76097,-0.0237387,95.9487,0.155278
2025-01-07,140.056,43.64,4.94204,3.77597,-0.00997571,96.4159,0.155278
2025-01-08,140.718,44.02,4.94676,3.78464,-0.00203845,96.6983,0.155278
2025-01-10,140.659,43.48,4.94634,3.7723,-0.014316,97.179,0.155278
2025-01-13,145.088,43.4,4.97734,3.77046,-0.0209718,101.688,0.155278
2025-01-14,147.728,44.07,4.99537,3.78578,-0.00845178,103.658,0.155278
2025-01-15,150.229,44.33,5.01216,3.79166,-0.00517655,105.899,0.155278
2025-01-16,149.982,44.03,5.01052,3.78487,-0.0117114,105.952,0.155278
2025-01-17,150.971,44.51,5.01709,3.79571,-0.00188893,106.461,0.155278
2025-01-21,149.112,45.31,5.0047,3.81353,0.0178486,103.802,0.155278
2025-01-22,145.939,44.76,4.98319,3.80131,0.00897625,101.179,0.155278
2025-01-23,152.563,44.86,5.02758,3.80355,0.00431514,107.703,0.155278
2025-01-24,149.893,45.06,5.00992,3.80799,0.0115046,104.833,0.155278
2025-01-27,150.872,44.7,5.01643,3.79997,0.00247246,106.172,0.155278
2025-01-28,148.934,44.46,5.0035,3.79459,-0.000903855,104.474,0.155278
2025-01-29,149.676,44.26,5.00847,3.79008,-0.00618361,105.416,0.155278
2025-01-30,148.262,44.5,4.99898,3.79549,0.000697958,103.762,0.155278
2025-01-31,144.06,43.24,4.97023,3.76677,-0.0235609,100.82,0.155278
2025-02-03,145.335,42.92,4.97904,3.75934,-0.0323577,102.415,0.155278
2025-02-04,155.133,43.72,5.04428,3.77781,-0.0240202,111.413,0.155278
2025-02-05,155.529,43.93,5.04683,3.7826,-0.0196238,111.599,0.155278
2025-02-06,150.21,44.2,5.01203,3.78872,-0.00809298,106.01,0.155278
2025-02-07,148.42,44.45,5.00005,3.79436,-0.000591822,103.97,0.155278
2025-02-10,152.039,44.81,5.02413,3.80243,0.00373422,107.229,0.155278
2025-02-11,153.541,45.25,5.03397,3.8122,0.0119782,108.291,0.155278
2025-02-12,147.52,45.1,4.99397,3.80888,0.0148695,102.42,0.155278
2025-02-13,152.345,45.45,5.02615,3.81661,0.017603,106.895,0.155278
2025-02-14,154.293,43.07,5.03885,3.76283,-0.0381558,111.223,0.155278
2025-02-18,157.229,42.75,5.0577,3.75537,-0.0485406,114.479,0.155278
2025-02-19,155.758,42.31,5.0483,3.74502,-0.0574261,113.448,0.155278
2025-02-20,157.378,41.98,5.05865,3.73719,-0.0668638,115.398,0.155278
2025-02-21,152.874,41.78,5.02961,3.73242,-0.0671301,111.094,0.155278
2025-02-24,151.84,41.54,5.02283,3.72666,-0.071837,110.3,0.155278
2025-02-25,149.742,41.65,5.00891,3.7293,-0.0670319,108.092,0.155278
2025-02-26,145.476,41.75,4.98001,3.7317,-0.060146,103.726,0.155278
2025-02-27,147.146,41.73,4.99143,3.73122,-0.0623981,105.416,0.155278
2025-02-28,149.334,42.73,5.00618,3.7549,-0.0410087,106.604,0.155278
2025-03-03,144.999,42.67,4.97672,3.7535,-0.0378391,102.329,0.155278
2025-03-04,141.817,41.55,4.95453,3.7269,-0.0609922,100.267,0.155278
2025-03-05,134.359,42.49,4.90051,3.74927,-0.0302327,91.8688,0.155278
2025-03-06,136.785,41.6,4.91841,3.7281,-0.0541803,95.185,0.155278
2025-03-07,136.775,42,4.91834,3.73767,-0.0445996,94.7751,0.155278
2025-03-10,135.492,42.68,4.90892,3.75373,-0.0270756,92.8124,0.155278
2025-03-11,133.961,42.3,4.89755,3.74479,-0.034254,91.661,0.155278
2025-03-12,136.348,42.54,4.91521,3.75044,-0.0313381,93.8075,0.155278
2025-03-13,136.248,42.55,4.91448,3.75068,-0.0309899,93.6981,0.155278
2025-03-14,140.355,42.83,4.94417,3.75724,-0.029042,97.5248,0.155278
2025-03-17,145.337,43.5,4.97905,3.77276,-0.0189359,101.837,0.155278
2025-03-18,145.177,43.41,4.97796,3.77069,-0.0208369,101.767,0.155278
2025-03-19,148.727,43.75,5.00212,3.77849,-0.0167863,104.977,0.155278
2025-03-20,151.094,44.23,5.0179,3.7894,-0.00832603,106.864,0.155278
2025-03-21,149.115,43.87,5.00472,3.78123,-0.0144516,105.245,0.155278
2025-03-24,147.842,44.26,4.99615,3.79008,-0.0042699,103.582,0.155278
2025-03-25,148.25,44.42,4.9989,3.79369,-0.00108904,103.83,0.155278
2025-03-26,148.966,44.52,5.00372,3.79594,0.000411644,104.446,0.155278
2025-03-27,146.52,44.36,4.98716,3.79234,-0.000617759,102.16,0.155278
2025-03-28,143.288,44.46,4.96486,3.79459,0.00509716,98.8282,0.155278
2025-03-31,144.869,44.31,4.97583,3.79121,1.37304e-05,100.559,0.155278
2025-04-01,145.804,44.57,4.98226,3.79706,0.00486564,101.234,0.155278
2025-04-02,147.067,45.14,4.99089,3.80977,0.0162343,101.927,0.155278
2025-04-03,127.866,45.34,4.85098,3.81419,0.0423798,82.5256,0.155278
2025-04-04,120.388,43.35,4.79072,3.76931,0.00685391,77.0379,0.155278
2025-04-07,120.975,41.95,4.79558,3.73648,-0.0267292,79.0246,0.155278
2025-04-08,117.882,41.09,4.76969,3.71576,-0.0434218,76.7921,0.155278
2025-04-09,130.68,41.77,4.87275,3.73218,-0.0430118,88.9096,0.155278
2025-04-10,120.845,41.82,4.79451,3.73337,-0.0296669,79.0253,0.155278
2025-04-11,122.735,43.24,4.81002,3.76677,0.00131557,79.4946,0.155278
2025-04-14,124.147,44.02,4.82146,3.78464,0.0174174,80.1266,0.155278
2025-04-15,121.541,44.28,4.80025,3.79053,0.0265996,77.2614,0.155278
2025-04-16,123.371,44.57,4.8152,3.79706,0.0308075,78.801,0.155278
2025-04-17,127,45.37,4.84419,3.81485,0.0440953,81.6305,0.155278
2025-04-21,126.006,44.99,4.83633,3.80644,0.0369051,81.0161,0.155278
2025-04-22,130.65,45.64,4.87252,3.82078,0.0456298,85.0098,0.155278
2025-04-23,133.543,45.61,4.89443,3.82013,0.0415708,87.9334,0.155278
2025-04-24,136.765,46.36,4.91827,3.83644,0.0541792,90.4051,0.155278
2025-04-25,136.666,46.19,4.91754,3.83276,0.0506183,90.4757,0.155278
2025-04-28,136.805,46.64,4.91856,3.84246,0.0601555,90.1649,0.155278
2025-04-29,137.531,46.64,4.92385,3.84246,0.0593338,90.8908,0.155278
2025-04-30,136.636,46.69,4.91732,3.84353,0.0614189,89.9459,0.155278
2025-05-01,136.944,46.48,4.91957,3.83902,0.0565611,90.4641,0.155278
2025-05-02,140.753,46.86,4.947,3.84716,0.0604441,93.8926,0.155278
2025-05-05,142.523,46.59,4.9595,3.84139,0.0527251,95.9325,0.155278
2025-05-06,143.736,46.16,4.96798,3.83211,0.0421367,97.5757,0.155278
2025-05-07,143.875,46.69,4.96894,3.84353,0.0534028,97.1849,0.155278
2025-05-08,149.125,45.78,5.00479,3.82385,0.0281546,103.345,0.155278
2025-05-09,150.04,46.1,5.0109,3.83081,0.0341706,103.94,0.155278
2025-05-12,157.249,44.55,5.05783,3.79661,-0.00731733,112.699,0.155278
2025-05-13,161.923,44.57,5.08712,3.79706,-0.0114162,117.353,0.155278
2025-05-14,162.599,44.87,5.09129,3.80377,-0.00535484,117.729,0.155278
2025-05-15,164.359,44.92,5.10205,3.80488,-0.0059129,119.439,0.155278
2025-05-16,163.195,44.85,5.09495,3.80332,-0.0063694,118.345,0.155278
2025-05-19,161.356,44.94,5.08361,3.80533,-0.00260445,116.416,0.155278
2025-05-20,160.62,45.61,5.07904,3.82013,0.0129041,115.01,0.155278
2025-05-21,156.7,45.57,5.05433,3.81925,0.0158633,111.13,0.155278
2025-05-22,158.89,45.17,5.06821,3.81043,0.0048917,113.72,0.155278
2025-05-23,159.11,46.06,5.0696,3.82994,0.0241887,113.05,0.155278
2025-05-27,162.33,46.04,5.08963,3.82951,0.0206433,116.29,0.155278
2025-05-28,158.61,45.57,5.06645,3.81925,0.0139821,113.04,0.155278
2025-05-29,159.92,45.85,5.07467,3.82538,0.0188304,114.07,0.155278
2025-05-30,160.74,46.48,5.07979,3.83902,0.0316832,114.26,0.155278
2025-06-02,158.75,47.16,5.06733,3.85355,0.0481415,111.59,0.155278
2025-06-03,161.97,47.07,5.08741,3.85164,0.0431133,114.9,0.155278
2025-06-04,156.95,46.66,5.05593,3.84289,0.0392534,110.29,0.155278
2025-06-05,158.21,46.87,5.06392,3.84738,0.0425023,111.34,0.155278
2025-06-06,160.12,46.52,5.07592,3.83988,0.0331435,113.6,0.155278
2025-06-09,160.27,45.82,5.07686,3.82472,0.0178364,114.45,0.155278
2025-06-10,162.64,45.85,5.09154,3.82538,0.0162116,116.79,0.155278
2025-06-11,164.66,45.87,5.10388,3.82581,0.014731,118.79,0.155278
2025-06-12,165.07,46.81,5.10637,3.8461,0.0346304,118.26,0.155278
2025-06-13,166.15,46.67,5.11289,3.8431,0.0306225,119.48,0.155278
