Date,OKE Raw Price,ET Raw Price,OKE Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,99.4384,19.0293,4.59954,2.94598,-0.00787345,80.4091,0.618836
2025-01-03,100.542,18.9617,4.61058,2.94242,-0.0182646,81.5808,0.618836
2025-01-06,99.2918,18.9424,4.59806,2.9414,-0.0115373,80.3494,0.618836
2025-01-07,99.282,18.8169,4.59796,2.93475,-0.0181244,80.4652,0.618836
2025-01-08,100.494,19.0486,4.61009,2.94699,-0.0133918,81.445,0.618836
2025-01-10,99.4188,18.7493,4.59934,2.93116,-0.0225745,80.6695,0.618836
2025-01-13,101.598,18.7976,4.62102,2.93373,-0.0334193,82.8002,0.618836
2025-01-14,103.611,19.2417,4.64064,2.95708,-0.0222082,84.3689,0.618836
2025-01-15,104.431,19.3479,4.64853,2.96258,-0.0215868,85.0834,0.618836
2025-01-16,106.171,19.5506,4.66505,2.97301,-0.0213837,86.6199,0.618836
2025-01-17,106.464,19.5893,4.6678,2.97498,-0.0211165,86.8744,0.618836
2025-01-21,107.333,20.1878,4.67594,3.00508,0.00394861,87.1454,0.618836
2025-01-22,103.865,20.1975,4.64309,3.00556,0.0247559,83.6671,0.618836
2025-01-23,102.487,20.3327,4.62973,3.01223,0.039689,82.1542,0.618836
2025-01-24,102.135,20.323,4.6263,3.01175,0.0413417,81.8121,0.618836
2025-01-27,98.1486,19.1258,4.58648,2.95104,0.00526634,79.0228,0.618836
2025-01-28,98.2952,19.6472,4.58798,2.97793,0.0312371,78.648,0.618836
2025-01-29,98.0802,19.821,4.58579,2.98674,0.0413982,78.2593,0.618836
2025-01-30,97.5819,20.352,4.58069,3.01318,0.0709877,77.2299,0.618836
2025-01-31,94.9438,19.7727,4.55328,2.9843,0.0590724,75.1711,0.618836
2025-02-03,96.4152,20.043,4.56866,2.99788,0.0631344,76.3722,0.618836
2025-02-04,95.8128,20.0527,4.5624,2.99836,0.0674947,75.7601,0.618836
2025-02-05,96.6917,20.072,4.57153,2.99932,0.0628062,76.6198,0.618836
2025-02-06,94.6278,19.6665,4.54995,2.97892,0.0557501,74.9613,0.618836
2025-02-07,94.6179,19.5537,4.54985,2.97316,0.0500611,75.0642,0.618836
2025-02-10,97.462,19.7106,4.57946,2.98116,0.0397293,77.7514,0.618836
2025-02-11,97.6991,19.4359,4.58189,2.96712,0.0241909,78.2631,0.618836
2025-02-12,96.4054,19.2789,4.56856,2.95901,0.0243305,77.1264,0.618836
2025-02-13,97.7386,19.4457,4.5823,2.96763,0.0244454,78.2928,0.618836
2025-02-14,96.6325,19.6125,4.57092,2.97617,0.040029,77.02,0.618836
2025-02-18,97.4127,19.9167,4.57896,2.99156,0.0504416,77.496,0.618836
2025-02-19,97.9657,19.7401,4.58462,2.98265,0.0380318,78.2256,0.618836
2025-02-20,97.4028,19.5635,4.57885,2.97366,0.0326113,77.8393,0.618836
2025-02-21,96.8794,19.0239,4.57347,2.94569,0.00797528,77.8555,0.618836
2025-02-24,96.8991,18.6118,4.57367,2.9238,-0.0140496,78.2874,0.618836
2025-02-25,94.5784,18.5627,4.54943,2.92116,-0.00168709,76.0156,0.618836
2025-02-26,94.5685,18.7982,4.54932,2.93376,0.0109827,75.7703,0.618836
2025-02-27,95.4375,18.5824,4.55847,2.92221,-0.00622684,76.8552,0.618836
2025-02-28,99.1409,18.9257,4.59654,2.94052,-0.0114751,80.2151,0.618836
2025-03-03,95.5561,18.6707,4.55971,2.92695,-0.00225423,76.8854,0.618836
2025-03-04,92.623,18.1212,4.52854,2.89708,-0.0128306,74.5018,0.618836
2025-03-05,90.7269,17.8563,4.50785,2.88236,-0.0147569,72.8706,0.618836
2025-03-06,88.6234,17.3658,4.4844,2.8545,-0.0280972,71.2576,0.618836
2025-03-07,88.4555,17.1303,4.4825,2.84085,-0.040576,71.3252,0.618836
2025-03-10,90.2825,16.9341,4.50294,2.82933,-0.0647482,73.3484,0.618836
2025-03-11,91.4676,17.4933,4.51598,2.86182,-0.0403276,73.9743,0.618836
2025-03-12,91.8132,18.0526,4.51976,2.89329,-0.0111935,73.7607,0.618836
2025-03-13,92.3366,17.8269,4.52544,2.88071,-0.02729,74.5097,0.618836
2025-03-14,95.2302,18.3763,4.5563,2.91106,-0.0160303,76.8538,0.618836
