Date,DVN Raw Price,WMB Raw Price,DVN Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,32.9309,54.9218,3.49441,4.00591,-0.0403205,21.9908,0.0195337
2025-01-03,33.4535,55.6294,3.51016,4.01871,-0.0278257,22.1759,0.0195337
2025-01-06,33.276,54.853,3.50484,4.00466,-0.0417777,21.5769,0.0195337
2025-01-07,34.2028,54.5974,3.53231,3.99999,-0.0469838,20.3946,0.0195337
2025-01-08,34.6564,55.423,3.54548,4.01499,-0.0322328,20.7667,0.0195337
2025-01-10,35.4846,54.5679,3.5691,3.99945,-0.0482426,19.0834,0.0195337
2025-01-13,36.2536,55.0692,3.59054,4.00859,-0.0395176,18.8156,0.0195337
2025-01-14,36.6578,57.0644,3.60163,4.04418,-0.00414448,20.4065,0.0195337
2025-01-15,37.8903,57.0152,3.63469,4.04332,-0.005652,19.1249,0.0195337
2025-01-16,37.8804,58.1652,3.63443,4.06329,0.0143214,20.2847,0.0195337
2025-01-17,37.417,58.1259,3.62213,4.06261,0.0138857,20.7088,0.0195337
2025-01-21,36.2142,59.5903,3.58945,4.08749,0.0394062,23.3761,0.0195337
2025-01-22,35.948,58.1848,3.58207,4.06362,0.0156821,22.2369,0.0195337
2025-01-23,35.9381,58.4699,3.5818,4.06851,0.0205742,22.5318,0.0195337
2025-01-24,35.455,58.5485,3.56826,4.06986,0.0221824,23.0935,0.0195337
2025-01-27,34.8338,53.6146,3.55059,3.98182,-0.0655067,18.7807,0.0195337
2025-01-28,34.3901,54.2534,3.53777,3.99367,-0.0534111,19.8633,0.0195337
2025-01-29,34.5775,54.3812,3.5432,3.99602,-0.0511649,19.8037,0.0195337
2025-01-30,34.5578,55.6196,3.54263,4.01854,-0.0286367,21.0618,0.0195337
2025-01-31,33.6211,54.4795,3.51515,3.99782,-0.0488113,20.8584,0.0195337
2025-02-03,33.276,55.2363,3.50484,4.01162,-0.034814,21.9603,0.0195337
2025-02-04,33.9366,54.7645,3.52449,4.00304,-0.0437755,20.8279,0.0195337
2025-02-05,33.6605,55.8751,3.51633,4.02312,-0.023539,22.2146,0.0195337
2025-02-06,32.9506,55.0495,3.49501,4.00823,-0.0380086,22.0989,0.0195337
2025-02-07,32.6844,54.9807,3.4869,4.00698,-0.0391007,22.2963,0.0195337
2025-02-10,33.7789,55.2068,3.51983,4.01109,-0.0356409,21.4279,0.0195337
2025-02-11,34.6268,54.2927,3.54463,3.99439,-0.0528206,19.666,0.0195337
2025-02-12,33.4929,53.8799,3.51133,3.98676,-0.0598025,20.387,0.0195337
2025-02-13,33.7394,56.4747,3.51867,4.03379,-0.0129118,22.7353,0.0195337
2025-02-14,34.1535,56.0029,3.53087,4.0254,-0.0215389,21.8494,0.0195337
2025-02-18,34.3901,56.8088,3.53777,4.03969,-0.00738532,22.4187,0.0195337
2025-02-19,37.0424,57.2708,3.61206,4.04779,-0.000737841,20.2284,0.0195337
2025-02-20,38.0086,57.4477,3.63781,4.05087,0.00184349,19.4391,0.0195337
2025-02-21,36.9635,56.455,3.60993,4.03344,-0.0150427,19.4915,0.0195337
2025-02-24,36.786,56.3469,3.60512,4.03153,-0.0168655,19.5609,0.0195337
2025-02-25,35.3761,55.2166,3.56604,4.01126,-0.0363654,19.8405,0.0195337
2025-02-26,34.962,55.9243,3.55426,4.024,-0.0234008,20.9623,0.0195337
2025-02-27,35.3761,55.2952,3.56604,4.01269,-0.0349424,19.9191,0.0195337
2025-02-28,35.7113,57.1823,3.57547,4.04624,-0.00156872,21.471,0.0195337
2025-03-03,33.9267,56.6123,3.5242,4.03623,-0.0105865,22.6855,0.0195337
2025-03-04,33.769,55.826,3.51954,4.02224,-0.0244817,22.057,0.0195337
2025-03-05,33.1873,55.2559,3.50217,4.01198,-0.034406,22.0687,0.0195337
2025-03-06,33.3943,53.6735,3.50839,3.98292,-0.063583,20.2792,0.0195337
2025-03-07,34.2225,53.4475,3.53288,3.9787,-0.0682822,19.2249,0.0195337
2025-03-10,33.7296,53.0937,3.51837,3.97206,-0.0746409,19.3641,0.0195337
2025-03-11,33.9267,54.0077,3.5242,3.98913,-0.0576854,20.081,0.0195337
2025-03-12,34.262,55.3346,3.53404,4.0134,-0.0336065,21.0726,0.0195337
2025-03-13,33.3155,55.2166,3.50602,4.01126,-0.035193,21.9012,0.0195337
2025-03-14,34.3085,56.7934,3.53539,4.03942,-0.00761086,22.4849,0.0195337
2025-03-17,34.8645,57.9041,3.55147,4.05879,0.0114428,23.0395,0.0195337
2025-03-18,35.1227,57.914,3.55885,4.05896,0.0114699,22.7913,0.0195337
2025-03-19,35.798,58.8263,3.57789,4.07459,0.0267286,23.0284,0.0195337
2025-03-20,35.8774,59.2527,3.58011,4.08181,0.033908,23.3753,0.0195337
2025-03-21,35.8973,59.104,3.58066,4.0793,0.0313835,23.2067,0.0195337
2025-03-24,36.7016,60.5816,3.60282,4.10399,0.0556433,23.88,0.0195337
2025-03-25,36.7115,60.4031,3.60309,4.10104,0.0526872,23.6915,0.0195337
2025-03-26,37.208,59.4511,3.61653,4.08515,0.0365383,22.243,0.0195337
2025-03-27,36.6222,58.9354,3.60065,4.07644,0.0281366,22.3132,0.0195337
2025-03-28,36.503,58.6974,3.59739,4.0724,0.0241537,22.1944,0.0195337
2025-03-31,37.1385,59.2627,3.61466,4.08198,0.0334004,22.1241,0.0195337
2025-04-01,37.3074,60.0659,3.61919,4.09544,0.0467751,22.7586,0.0195337
2025-04-02,37.6549,61.0873,3.62846,4.1123,0.0634561,23.4324,0.0195337
2025-04-03,32.9282,58.5387,3.49433,4.06969,0.0234601,25.6106,0.0195337
2025-04-04,29.1051,54.1159,3.37091,3.99113,-0.0526906,25.0108,0.0195337
2025-04-07,28.41,54.3935,3.34674,3.99625,-0.0471006,25.9835,0.0195337
2025-04-08,26.6126,53.8779,3.28139,3.98672,-0.0553495,27.2652,0.0195337
2025-04-09,30.8528,55.9505,3.42923,4.02447,-0.0204903,25.0977,0.0195337
2025-04-10,27.556,54.6117,3.31622,4.00025,-0.0425014,27.0557,0.0195337
2025-04-11,28.0326,55.9207,3.33337,4.02393,-0.0191497,27.8881,0.0195337
2025-04-14,28.5291,56.8826,3.35093,4.04099,-0.00243727,28.3535,0.0195337
2025-04-15,28.3305,58.0528,3.34394,4.06135,0.0180623,29.7223,0.0195337
2025-04-16,29.0952,57.7751,3.37057,4.05656,0.0127475,28.68,0.0195337
2025-04-17,30.0981,58.1321,3.40446,4.06272,0.0182457,28.034,0.0195337
2025-04-21,29.2739,55.9703,3.3767,4.02482,-0.0191098,26.6964,0.0195337
2025-04-22,30.9819,57.7156,3.4334,4.05553,0.0104898,26.7338,0.0195337
2025-04-23,30.8627,57.9933,3.42955,4.06033,0.0153646,27.1306,0.0195337
2025-04-24,31.25,59.1139,3.44202,4.07947,0.0342595,27.8639,0.0195337
2025-04-25,31.1308,58.5387,3.4382,4.06969,0.0245566,27.4079,0.0195337
2025-04-28,31.3294,59.1635,3.44456,4.0803,0.0350483,27.8341,0.0195337
2025-04-29,31.0812,59.1734,3.4366,4.08047,0.0353713,28.0922,0.0195337
2025-04-30,30.1974,58.0826,3.40776,4.06187,0.017328,27.8852,0.0195337
2025-05-01,30.9422,58.3106,3.43212,4.06578,0.0207713,27.3685,0.0195337
2025-05-02,31.2202,59.5007,3.44107,4.08599,0.0407993,28.2805,0.0195337
2025-05-05,30.4059,59.6693,3.41464,4.08882,0.0441449,29.2633,0.0195337
2025-05-06,30.3761,58.2115,3.41366,4.06408,0.0194299,27.8353,0.0195337
2025-05-07,30.0782,58.4495,3.4038,4.06816,0.0237026,28.3712,0.0195337
2025-05-08,31.7068,56.5851,3.45653,4.03575,-0.00974398,24.8784,0.0195337
2025-05-09,32.3026,57.1801,3.47515,4.04621,0.000352755,24.8776,0.0195337
2025-05-12,33.3155,56.6546,3.50602,4.03697,-0.00948465,23.3391,0.0195337
2025-05-13,34.0503,57.5867,3.52784,4.05329,0.00640895,23.5364,0.0195337
2025-05-14,33.7226,57.7156,3.51817,4.05553,0.00883402,23.9931,0.0195337
2025-05-15,33.1665,58.2809,3.50154,4.06527,0.018905,25.1144,0.0195337
2025-05-16,33.0275,58.3007,3.49734,4.06561,0.0193273,25.2733,0.0195337
2025-05-19,32.4615,58.0528,3.48005,4.06135,0.0154035,25.5914,0.0195337
2025-05-20,31.9451,58.2809,3.46402,4.06527,0.0196379,26.3358,0.0195337
2025-05-21,31.2798,57.4479,3.44297,4.05088,0.00565289,26.1681,0.0195337
2025-05-22,30.9223,57.2694,3.43148,4.04777,0.0027654,26.3471,0.0195337
