Date,APA Raw Price,HES Raw Price,APA Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,22.7603,134.963,3.12502,4.905,-0.0917916,112.203,0.306698
2025-01-03,22.7992,135.93,3.12673,4.91214,-0.0851785,113.13,0.306698
2025-01-06,23.0328,135.461,3.13692,4.90869,-0.0917574,112.428,0.306698
2025-01-07,23.0328,138.142,3.13692,4.92828,-0.0721596,115.109,0.306698
2025-01-08,23.0523,139.338,3.13777,4.9369,-0.0637987,116.286,0.306698
2025-01-10,23.0523,141.929,3.13777,4.95533,-0.0453728,118.877,0.306698
2025-01-13,23.7337,144.341,3.1669,4.97218,-0.0374572,120.607,0.306698
2025-01-14,24.1913,146.185,3.18599,4.98487,-0.0306208,121.994,0.306698
2025-01-15,24.7754,148.417,3.20985,5.00003,-0.0227821,123.642,0.306698
2025-01-16,24.4833,149.225,3.19799,5.00545,-0.0137209,124.741,0.306698
2025-01-17,23.7532,150.839,3.16772,5.01621,0.00632576,127.086,0.306698
2025-01-21,23.0718,148.158,3.13861,4.99828,-0.00268009,125.086,0.306698
2025-01-22,22.9832,145.099,3.13476,4.97741,-0.0223682,122.115,0.306698
2025-01-23,23.1308,144.371,3.14117,4.97239,-0.029358,121.24,0.306698
2025-01-24,22.9439,143.913,3.13305,4.96921,-0.0300498,120.969,0.306698
2025-01-27,23.0029,145.617,3.13562,4.98098,-0.0190653,122.614,0.306698
2025-01-28,22.9635,144.56,3.13391,4.9737,-0.0258214,121.597,0.306698
2025-01-29,22.8061,144.67,3.12703,4.97446,-0.0229536,121.864,0.306698
2025-01-30,22.6192,145.358,3.1188,4.9792,-0.0156872,122.739,0.306698
2025-01-31,21.5763,138.561,3.0716,4.93131,-0.0490988,116.984,0.306698
2025-02-03,21.1237,138.361,3.0504,4.92987,-0.0440367,117.238,0.306698
2025-02-04,22.0289,142.298,3.09235,4.95792,-0.0288503,120.269,0.306698
2025-02-05,21.8321,142.258,3.08338,4.95764,-0.0263786,120.426,0.306698
2025-02-06,21.291,141.451,3.05828,4.95195,-0.0243718,120.16,0.306698
2025-02-07,21.3205,142.458,3.05967,4.95904,-0.0177057,121.137,0.306698
2025-02-10,22.6192,145.338,3.1188,4.97906,-0.0158243,122.719,0.306698
2025-02-11,22.934,146.504,3.13262,4.98705,-0.0120728,123.57,0.306698
2025-02-12,22.0092,144.311,3.09146,4.97197,-0.0145277,122.302,0.306698
2025-02-13,22.1273,145.358,3.09681,4.9792,-0.00894333,123.23,0.306698
2025-02-14,22.7668,146.055,3.1253,4.98399,-0.0128937,123.289,0.306698
2025-02-18,23.1898,147.471,3.14371,4.99363,-0.00889787,124.281,0.306698
2025-02-19,23.2095,148.766,3.14456,5.00238,-0.000410742,125.557,0.306698
2025-02-20,23.239,150.45,3.14583,5.01363,0.0104576,127.211,0.306698
2025-02-21,22.4224,147.61,3.11006,4.99457,0.00236907,125.188,0.306698
2025-02-24,22.5011,148.248,3.11357,4.99889,0.0056062,125.747,0.306698
2025-02-25,22.019,146.454,3.09191,4.98671,7.41117e-05,124.435,0.306698
2025-02-26,21.655,144.979,3.07524,4.97659,-0.00493552,123.324,0.306698
2025-02-27,20.0906,146.414,3.00025,4.98644,0.0279117,126.323,0.306698
2025-02-28,20.3661,148.437,3.01387,5.00016,0.0374582,128.071,0.306698
2025-03-03,18.5853,143.604,2.92237,4.96706,0.032416,125.018,0.306698
2025-03-04,18.2705,141.909,2.90529,4.95519,0.0257877,123.639,0.306698
2025-03-05,18.241,140.863,2.90367,4.94779,0.0188821,122.622,0.306698
2025-03-06,18.4476,142.856,2.91493,4.96184,0.0294788,124.409,0.306698
2025-03-07,18.5361,146.932,2.91972,4.98997,0.0561442,128.396,0.306698
2025-03-10,18.7132,147.74,2.92923,4.99545,0.058707,129.026,0.306698
2025-03-11,18.8903,144.122,2.93865,4.97066,0.031026,125.232,0.306698
2025-03-12,19.3331,143.544,2.96182,4.96664,0.0199018,124.211,0.306698
2025-03-13,18.7329,143.434,2.93028,4.96588,0.0288096,124.701,0.306698
2025-03-14,19.2937,147.63,2.95978,4.99471,0.0485955,128.336,0.306698
2025-03-17,19.7069,150.45,2.98097,5.01363,0.0610177,130.743,0.306698
2025-03-18,19.8447,152.82,2.98794,5.02926,0.0745115,132.975,0.306698
2025-03-19,20.4744,156.38,3.01917,5.05229,0.0879593,135.906,0.306698
2025-03-20,20.2382,157.37,3.00757,5.0586,0.0978276,137.132,0.306698
2025-03-21,20.2776,156.58,3.00952,5.05357,0.0921992,136.302,0.306698
2025-03-24,20.5039,157.35,3.02061,5.05847,0.0937011,136.846,0.306698
2025-03-25,20.5531,158.29,3.02301,5.06443,0.0989222,137.737,0.306698
2025-03-26,20.7597,160.52,3.03301,5.07842,0.109844,139.76,0.306698
2025-03-27,20.8581,159.07,3.03774,5.06934,0.09932,138.212,0.306698
