Date,BP Raw Price,EOG Raw Price,BP Log Price,EOG Log Price,Residual,Spread,Beta
2025-01-02,29.0449,122.706,3.36884,4.80979,0.0565926,93.661,0.799615
2025-01-03,29.5689,124.536,3.38672,4.82459,0.057099,94.9671,0.799615
2025-01-06,30.1026,124.359,3.40461,4.82317,0.041371,94.2563,0.799615
2025-01-07,30.8887,125.51,3.43039,4.83239,0.0299737,94.6214,0.799615
2025-01-08,30.1997,126.396,3.40783,4.83942,0.0550427,96.196,0.799615
2025-01-10,30.3646,129.298,3.41328,4.86212,0.0733911,98.9336,0.799615
2025-01-13,30.2967,132.329,3.41104,4.88529,0.0983496,102.032,0.799615
2025-01-14,30.1706,133.588,3.40687,4.89476,0.111159,103.418,0.799615
2025-01-15,30.3743,134.857,3.4136,4.90422,0.115232,104.483,0.799615
2025-01-16,30.8402,135.832,3.42882,4.91142,0.11026,104.991,0.799615
2025-01-17,30.7528,135.341,3.42598,4.9078,0.10891,104.588,0.799615
2025-01-21,30.5878,134.806,3.4206,4.90384,0.109249,104.218,0.799615
2025-01-22,30.2094,132.804,3.40815,4.88888,0.104245,102.595,0.799615
2025-01-23,30.5587,132.765,3.41965,4.88858,0.0947524,102.206,0.799615
2025-01-24,30.5199,130.624,3.41838,4.87232,0.0795156,100.104,0.799615
2025-01-27,30.5199,130.763,3.41838,4.87339,0.0805771,100.243,0.799615
2025-01-28,30.2385,129.068,3.40912,4.86034,0.0749413,98.8299,0.799615
2025-01-29,30.2094,129.049,3.40815,4.86019,0.0755579,98.8392,0.799615
2025-01-30,30.6752,128.603,3.42345,4.85673,0.0598613,97.9275,0.799615
2025-01-31,30.1414,124.649,3.4059,4.8255,0.0426698,94.5075,0.799615
2025-02-03,29.9571,125.253,3.39977,4.83034,0.0524138,95.2963,0.799615
2025-02-04,30.7043,126.958,3.4244,4.84385,0.0462293,96.2535,0.799615
2025-02-05,30.7334,126.542,3.42535,4.84057,0.042188,95.8082,0.799615
2025-02-06,31.0148,125.531,3.43447,4.83255,0.0268798,94.516,0.799615
2025-02-07,31.3157,125.352,3.44412,4.83113,0.0177392,94.0368,0.799615
2025-02-10,33.4021,129.376,3.50862,4.86272,-0.0022452,95.9735,0.799615
2025-02-11,33.5282,131.09,3.51239,4.87588,0.00790405,97.5617,0.799615
2025-02-12,33.6544,127.671,3.51614,4.84946,-0.0215242,94.0168,0.799615
2025-02-13,33.47,127.85,3.51065,4.85085,-0.0157352,94.3796,0.799615
2025-02-14,33.9649,128.137,3.52533,4.8531,-0.0252274,94.172,0.799615
