Date,APA Raw Price,FANG Raw Price,APA Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,22.7603,164.468,3.12502,5.10271,-0.00250065,141.707,0.625124
2025-01-03,22.7992,168.59,3.12673,5.12747,0.0211848,145.791,0.625124
2025-01-06,23.0328,167.288,3.13692,5.11972,0.00706022,144.255,0.625124
2025-01-07,23.0328,170.029,3.13692,5.13597,0.0233151,146.997,0.625124
2025-01-08,23.0523,168.619,3.13777,5.12764,0.0144586,145.567,0.625124
2025-01-10,23.0523,172.347,3.13777,5.14951,0.0363243,149.295,0.625124
2025-01-13,23.7337,175.148,3.1669,5.16563,0.0342323,151.414,0.625124
2025-01-14,24.1913,175.217,3.18599,5.16602,0.02269,151.025,0.625124
2025-01-15,24.7754,177.07,3.20985,5.17655,0.0183009,152.295,0.625124
2025-01-16,24.4833,176.637,3.19799,5.17409,0.0232602,152.153,0.625124
2025-01-17,23.7532,177.682,3.16772,5.17999,0.0480859,153.929,0.625124
2025-01-21,23.0718,174.497,3.13861,5.16191,0.0481929,151.425,0.625124
2025-01-22,22.9832,175.128,3.13476,5.16552,0.0542071,152.145,0.625124
2025-01-23,23.1308,174.181,3.14117,5.1601,0.0447855,151.05,0.625124
2025-01-24,22.9439,170.858,3.13305,5.14083,0.0305942,147.914,0.625124
2025-01-27,23.0029,169.221,3.13562,5.1312,0.0193609,146.218,0.625124
2025-01-28,22.9635,166.903,3.13391,5.11742,0.00664186,143.94,0.625124
2025-01-29,22.8061,168.491,3.12703,5.12688,0.0204096,145.685,0.625124
2025-01-30,22.6192,168.047,3.1188,5.12425,0.0229174,145.428,0.625124
2025-01-31,21.5763,162.081,3.0716,5.0881,0.0162776,140.505,0.625124
2025-02-03,21.1237,162.2,3.0504,5.08883,0.0302594,141.076,0.625124
2025-02-04,22.0289,163.994,3.09235,5.09983,0.0150349,141.965,0.625124
2025-02-05,21.8321,162.476,3.08338,5.09053,0.0113403,140.644,0.625124
2025-02-06,21.291,157.811,3.05828,5.0614,-0.00209862,136.52,0.625124
2025-02-07,21.3205,155.938,3.05967,5.04946,-0.0149084,134.617,0.625124
2025-02-10,22.6192,159.419,3.1188,5.07153,-0.0297944,136.799,0.625124
2025-02-11,22.934,159.764,3.13262,5.0737,-0.0362729,136.83,0.625124
2025-02-12,22.0092,153.305,3.09146,5.03243,-0.0518113,131.295,0.625124
2025-02-13,22.1273,154.005,3.09681,5.03698,-0.050599,131.878,0.625124
2025-02-14,22.7668,154.813,3.1253,5.04222,-0.063173,132.047,0.625124
2025-02-18,23.1898,154.587,3.14371,5.04075,-0.076149,131.397,0.625124
2025-02-19,23.2095,158.038,3.14456,5.06284,-0.0545977,134.829,0.625124
2025-02-20,23.239,159.843,3.14583,5.07419,-0.0440379,136.604,0.625124
2025-02-21,22.4224,153.955,3.11006,5.03666,-0.0592029,131.533,0.625124
2025-02-24,22.5011,153.078,3.11357,5.03095,-0.0671105,130.577,0.625124
2025-02-25,22.019,149.814,3.09191,5.00939,-0.0751251,127.795,0.625124
2025-02-26,21.655,150.317,3.07524,5.01274,-0.0613525,128.662,0.625124
2025-02-27,20.0906,153.433,3.00025,5.03326,0.00603947,133.342,0.625124
2025-02-28,20.3661,156.756,3.01387,5.05469,0.0189542,136.39,0.625124
2025-03-03,18.5853,145.948,2.92237,4.98325,0.00471348,127.363,0.625124
2025-03-04,18.2705,143.029,2.90529,4.96305,-0.00480891,124.759,0.625124
2025-03-05,18.241,140.722,2.90367,4.94678,-0.0200633,122.481,0.625124
2025-03-06,18.4476,138.934,2.91493,4.934,-0.0398884,120.486,0.625124
2025-03-07,18.5361,139.143,2.91972,4.9355,-0.0413818,120.606,0.625124
2025-03-10,18.7132,139.609,2.92923,4.93885,-0.043977,120.896,0.625124
2025-03-11,18.8903,143.651,2.93865,4.96739,-0.021325,124.761,0.625124
2025-03-12,19.3331,145.538,2.96182,4.98044,-0.0227576,126.205,0.625124
2025-03-13,18.7329,144.793,2.93028,4.97531,-0.00817501,126.06,0.625124
2025-03-14,19.2937,149.163,2.95978,5.00504,0.00311724,129.869,0.625124
2025-03-17,19.7069,151.973,2.98097,5.0237,0.00853626,132.266,0.625124
2025-03-18,19.8447,153.93,2.98794,5.0365,0.0169733,134.085,0.625124
2025-03-19,20.4744,156.512,3.01917,5.05313,0.0140812,136.037,0.625124
2025-03-20,20.2382,157.386,3.00757,5.0587,0.0269007,137.147,0.625124
2025-03-21,20.2776,157.406,3.00952,5.05883,0.0258125,137.128,0.625124
2025-03-24,20.5039,159.898,3.02061,5.07454,0.0345868,139.394,0.625124
2025-03-25,20.5531,160.484,3.02301,5.0782,0.0367466,139.931,0.625124
2025-03-26,20.7597,161.964,3.03301,5.08737,0.0396718,141.204,0.625124
2025-03-27,20.8581,159.124,3.03774,5.06968,0.0190242,138.266,0.625124
2025-03-28,20.5826,156.452,3.02445,5.05275,0.0104047,135.87,0.625124
2025-03-31,20.681,158.776,3.02921,5.06749,0.0221678,138.095,0.625124
2025-04-01,20.7892,159.759,3.03443,5.07367,0.0250781,138.97,0.625124
2025-04-02,20.8974,160.375,3.03963,5.07751,0.0256789,139.477,0.625124
2025-04-03,17.4539,140.304,2.85956,4.94381,0.00454176,122.851,0.625124
2025-04-04,14.9352,122.518,2.70372,4.80826,-0.0335928,107.583,0.625124
2025-04-07,14.7187,123.67,2.68912,4.81762,-0.015108,108.951,0.625124
2025-04-08,13.8037,118.427,2.62494,4.77429,-0.0183108,104.623,0.625124
2025-04-09,16.4405,133.998,2.79975,4.89783,-0.00405439,117.558,0.625124
2025-04-10,14.3645,122.31,2.66476,4.80656,-0.0109432,107.945,0.625124
2025-04-11,14.7974,128.119,2.69445,4.85296,0.0169012,113.322,0.625124
2025-04-14,14.9548,126.759,2.70503,4.84228,-0.000389976,111.804,0.625124
2025-04-15,14.6498,126.262,2.68443,4.83836,0.00856604,111.612,0.625124
2025-04-16,15.1221,129.321,2.71616,4.8623,0.0126689,114.199,0.625124
2025-04-17,15.8502,136.69,2.76318,4.91771,0.0386901,120.839,0.625124
2025-04-21,15.25,131.436,2.72458,4.87852,0.0236284,116.186,0.625124
2025-04-22,15.86,135.597,2.7638,4.90969,0.0302782,119.737,0.625124
2025-04-23,15.65,134.604,2.75047,4.90234,0.0312598,118.954,0.625124
2025-04-24,16.26,135.22,2.78871,4.9069,0.0119208,118.96,0.625124
2025-04-25,16.35,135.816,2.79423,4.9113,0.012867,119.466,0.625124
2025-04-28,16.55,136.868,2.80639,4.91902,0.0129878,120.318,0.625124
2025-04-29,16.24,135.706,2.78748,4.91049,0.0162824,119.466,0.625124
2025-04-30,15.54,131.098,2.74342,4.87595,0.0092801,115.558,0.625124
2025-05-01,16.22,133.899,2.78625,4.89709,0.00364464,117.679,0.625124
2025-05-02,16.46,135.865,2.80093,4.91166,0.00904108,119.405,0.625124
2025-05-05,15.5,132.161,2.74084,4.88402,0.0189641,116.661,0.625124
2025-05-06,15.73,131.069,2.75557,4.87572,0.00145604,115.339,0.625124
2025-05-07,15.48,128.675,2.73955,4.85729,-0.00695793,113.195,0.625124
2025-05-08,16.18,135.24,2.78378,4.90705,0.0151509,119.06,0.625124
2025-05-09,16.72,136.938,2.81661,4.91953,0.00710702,120.218,0.625124
2025-05-12,17.71,141.933,2.87413,4.95536,0.0069763,124.223,0.625124
2025-05-13,18.46,145.161,2.91561,4.97784,0.00353345,126.701,0.625124
2025-05-14,18.17,143.82,2.89977,4.96856,0.00415317,125.65,0.625124
2025-05-15,17.76,141.95,2.87695,4.95547,0.00533275,124.19,0.625124
2025-05-16,17.59,141.13,2.86733,4.94968,0.00555193,123.54,0.625124
2025-05-19,17.32,139.35,2.85186,4.93699,0.00252908,122.03,0.625124
2025-05-20,17.25,138.35,2.84781,4.92979,-0.00214138,121.1,0.625124
2025-05-21,16.71,136.31,2.81601,4.91493,0.00288553,119.6,0.625124
2025-05-22,16.74,136.29,2.8178,4.91478,0.00161744,119.55,0.625124
