Date,APA Raw Price,FANG Raw Price,APA Log Price,FANG Log Price,Residual,Spread,Beta
2025-05-23,16.85,135.86,2.82435,4.91162,-0.00563686,119.01,0.625124
2025-05-27,17.31,137.49,2.85128,4.92355,-0.0105475,120.18,0.625124
2025-05-28,17.18,136.28,2.84375,4.91471,-0.0146747,119.1,0.625124
2025-05-29,17.34,137.81,2.85302,4.92588,-0.00930526,120.47,0.625124
2025-05-30,17.01,134.55,2.8338,4.90194,-0.0212338,117.54,0.625124
2025-06-02,17.33,137.59,2.85244,4.92428,-0.0105423,120.26,0.625124
2025-06-03,18.27,142.28,2.90526,4.9578,-0.0100435,124.01,0.625124
2025-06-04,17.92,139.35,2.88592,4.93699,-0.0187598,121.43,0.625124
2025-06-05,17.85,137.45,2.882,4.92326,-0.0300418,119.6,0.625124
2025-06-06,18.5,140.56,2.91777,4.94563,-0.0300265,122.06,0.625124
2025-06-09,18.63,142.13,2.92477,4.95674,-0.0232961,123.5,0.625124
2025-06-10,19.28,145.57,2.95907,4.98066,-0.0208199,126.29,0.625124
2025-06-11,19.61,148.92,2.97604,5.00341,-0.00867696,129.31,0.625124
2025-06-12,19.95,149.33,2.99323,5.00616,-0.0166731,129.38,0.625124
2025-06-13,21.01,154.91,3.045,5.04284,-0.0123497,133.9,0.625124
