Date,BP Raw Price,ENB Raw Price,BP Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,29.0449,42.98,3.36884,3.76073,-0.0381974,13.9351,-0.147731
2025-01-03,29.5689,43.09,3.38672,3.76329,-0.0329997,13.5211,-0.147731
2025-01-06,30.1026,42.99,3.40461,3.76097,-0.0326802,12.8874,-0.147731
2025-01-07,30.8887,43.64,3.43039,3.77597,-0.0138656,12.7513,-0.147731
2025-01-08,30.1997,44.02,3.40783,3.78464,-0.00852822,13.8203,-0.147731
2025-01-10,30.3646,43.48,3.41328,3.7723,-0.0200664,13.1154,-0.147731
2025-01-13,30.2967,43.4,3.41104,3.77046,-0.0222389,13.1033,-0.147731
2025-01-14,30.1706,44.07,3.40687,3.78578,-0.00753553,13.8994,-0.147731
2025-01-15,30.3743,44.33,3.4136,3.79166,-0.000658597,13.9557,-0.147731
2025-01-16,30.8402,44.03,3.42882,3.78487,-0.00520077,13.1898,-0.147731
2025-01-17,30.7528,44.51,3.42598,3.79571,0.00522292,13.7572,-0.147731
2025-01-21,30.5878,45.31,3.4206,3.81353,0.0222422,14.7222,-0.147731
2025-01-22,30.2094,44.76,3.40815,3.80131,0.00819,14.5506,-0.147731
2025-01-23,30.5587,44.86,3.41965,3.80355,0.0121203,14.3013,-0.147731
2025-01-24,30.5199,45.06,3.41838,3.80799,0.016381,14.5401,-0.147731
2025-01-27,30.5199,44.7,3.41838,3.79997,0.00835952,14.1801,-0.147731
2025-01-28,30.2385,44.46,3.40912,3.79459,0.00160734,14.2215,-0.147731
2025-01-29,30.2094,44.26,3.40815,3.79008,-0.00304355,14.0506,-0.147731
2025-01-30,30.6752,44.5,3.42345,3.79549,0.00462486,13.8248,-0.147731
2025-01-31,30.1414,43.24,3.4059,3.76677,-0.0266914,13.0986,-0.147731
2025-02-03,29.9571,42.92,3.39977,3.75934,-0.035026,12.9629,-0.147731
2025-02-04,30.7043,43.72,3.4244,3.77781,-0.0129185,13.0157,-0.147731
2025-02-05,30.7334,43.93,3.42535,3.7826,-0.00798672,13.1966,-0.147731
2025-02-06,31.0148,44.2,3.43447,3.78872,-0.000512772,13.1852,-0.147731
2025-02-07,31.3157,44.45,3.44412,3.79436,0.00655343,13.1343,-0.147731
2025-02-10,33.4021,44.81,3.50862,3.80243,0.0241484,11.4079,-0.147731
2025-02-11,33.5282,45.25,3.51239,3.8122,0.0344766,11.7218,-0.147731
2025-02-12,33.6544,45.1,3.51614,3.80888,0.031711,11.4456,-0.147731
2025-02-13,33.47,45.45,3.51065,3.81661,0.03863,11.98,-0.147731
2025-02-14,33.9649,43.07,3.52533,3.76283,-0.0129876,9.10507,-0.147731
2025-02-18,34.2658,42.75,3.53415,3.75537,-0.0191424,8.48424,-0.147731
2025-02-19,33.5185,42.31,3.5121,3.74502,-0.0327453,8.79147,-0.147731
2025-02-20,33.6253,41.98,3.51528,3.73719,-0.0401057,8.35472,-0.147731
2025-02-21,33.3497,41.78,3.50705,3.73242,-0.0460969,8.43026,-0.147731
2025-02-24,33.2021,41.54,3.50261,3.72666,-0.0525131,8.33787,-0.147731
2025-02-25,32.7003,41.65,3.48738,3.7293,-0.0521186,8.94974,-0.147731
2025-02-26,32.159,41.75,3.47069,3.7317,-0.0521862,9.59097,-0.147731
2025-02-27,32.592,41.73,3.48407,3.73122,-0.0506896,9.13799,-0.147731
2025-02-28,32.592,42.73,3.48407,3.7549,-0.0270086,10.138,-0.147731
2025-03-03,31.3029,42.67,3.44371,3.7535,-0.0343757,11.3671,-0.147731
2025-03-04,30.9388,41.55,3.43201,3.7269,-0.0627027,10.6112,-0.147731
2025-03-05,31.3718,42.49,3.44591,3.74927,-0.0382782,11.1182,-0.147731
2025-03-06,31.2045,41.6,3.44056,3.7281,-0.0602368,10.3955,-0.147731
2025-03-07,31.5588,42,3.45185,3.73767,-0.0489996,10.4412,-0.147731
2025-03-10,31.6965,42.68,3.45621,3.75373,-0.0322953,10.9835,-0.147731
2025-03-11,31.4702,42.3,3.44904,3.74479,-0.0422973,10.8298,-0.147731
2025-03-12,31.6867,42.54,3.4559,3.75044,-0.0356267,10.8533,-0.147731
2025-03-13,31.854,42.55,3.46116,3.75068,-0.0346138,10.696,-0.147731
2025-03-14,32.8577,42.83,3.49219,3.75724,-0.0234716,9.97229,-0.147731
2025-03-17,33.2218,43.5,3.50321,3.77276,-0.00632145,10.2782,-0.147731
2025-03-18,33.6745,43.41,3.51674,3.77069,-0.00639321,9.73552,-0.147731
2025-03-19,34.0583,43.75,3.52807,3.77849,0.00308272,9.69174,-0.147731
2025-03-20,34.196,44.23,3.53211,3.7894,0.0145908,10.034,-0.147731
2025-03-21,33.9992,43.87,3.52634,3.78123,0.00556546,9.87078,-0.147731
2025-03-24,33.5662,44.26,3.51352,3.79008,0.0125226,10.6938,-0.147731
2025-03-25,33.7434,44.42,3.51878,3.79369,0.0169086,10.6766,-0.147731
2025-03-26,33.8713,44.52,3.52257,3.79594,0.0197164,10.6487,-0.147731
2025-03-27,33.8615,44.36,3.52228,3.79234,0.0160731,10.4986,-0.147731
2025-03-28,33.3202,44.46,3.50616,3.79459,0.0159445,11.1398,-0.147731
2025-03-31,33.2513,44.31,3.50409,3.79121,0.0122593,11.0587,-0.147731
2025-04-01,33.271,44.57,3.50469,3.79706,0.0181973,11.299,-0.147731
2025-04-02,33.271,45.14,3.50469,3.80977,0.030905,11.869,-0.147731
2025-04-03,30.8404,45.34,3.42883,3.81419,0.0241188,14.4996,-0.147731
2025-04-04,27.9276,43.35,3.32961,3.76931,-0.0354206,15.4224,-0.147731
2025-04-07,26.7369,41.95,3.28604,3.73648,-0.0746857,15.2131,-0.147731
2025-04-08,25.6938,41.09,3.24625,3.71576,-0.101278,15.3962,-0.147731
2025-04-09,27.4552,41.77,3.31256,3.73218,-0.0750689,14.3148,-0.147731
2025-04-10,25.8119,41.82,3.25083,3.73337,-0.082991,16.0081,-0.147731
2025-04-11,26.1661,43.24,3.26447,3.76677,-0.0475858,17.0739,-0.147731
2025-04-14,26.481,44.02,3.27643,3.78464,-0.0279405,17.539,-0.147731
2025-04-15,26.7762,44.28,3.28751,3.79053,-0.0204137,17.5038,-0.147731
2025-04-16,27.2191,44.57,3.30392,3.79706,-0.0114626,17.3509,-0.147731
2025-04-17,27.8685,45.37,3.3275,3.81485,0.00981112,17.5015,-0.147731
2025-04-21,27.6324,44.99,3.31899,3.80644,0.000143036,17.3576,-0.147731
2025-04-22,28.4098,45.64,3.34673,3.82078,0.0185861,17.2302,-0.147731
2025-04-23,28.1441,45.61,3.33734,3.82013,0.0165405,17.4659,-0.147731
2025-04-24,28.5377,46.36,3.35123,3.83644,0.0349024,17.8223,-0.147731
2025-04-25,28.7247,46.19,3.35776,3.83276,0.0321934,17.4653,-0.147731
2025-04-28,28.6656,46.64,3.3557,3.84246,0.0415846,17.9744,-0.147731
2025-04-29,27.6225,46.64,3.31863,3.84246,0.0361087,19.0175,-0.147731
2025-04-30,27.0222,46.69,3.29666,3.84353,0.0339343,19.6678,-0.147731
2025-05-01,27.4355,46.48,3.31184,3.83902,0.0316689,19.0445,-0.147731
2025-05-02,27.6717,46.86,3.32041,3.84716,0.0410775,19.1883,-0.147731
2025-05-05,28.7148,46.59,3.35741,3.84139,0.0407654,17.8752,-0.147731
2025-05-06,27.9473,46.16,3.33032,3.83211,0.0274904,18.2127,-0.147731
2025-05-07,27.6816,46.69,3.32077,3.84353,0.0374956,19.0084,-0.147731
2025-05-08,28.1342,45.78,3.33699,3.82385,0.0202091,17.6458,-0.147731
2025-05-09,29.2954,46.1,3.37743,3.83081,0.0331496,16.8046,-0.147731
2025-05-12,29.7087,44.55,3.39144,3.79661,0.00101848,14.8413,-0.147731
2025-05-13,30.0728,44.57,3.40362,3.79706,0.00326685,14.4972,-0.147731
2025-05-14,29.876,44.87,3.39706,3.80377,0.00900528,14.994,-0.147731
2025-05-15,29.63,44.92,3.38879,3.80488,0.00889744,15.29,-0.147731
2025-05-16,29.76,44.85,3.39317,3.80332,0.00798465,15.09,-0.147731
2025-05-19,29.4,44.94,3.38099,3.80533,0.00819136,15.54,-0.147731
2025-05-20,29.2,45.61,3.37417,3.82013,0.0219817,16.41,-0.147731
2025-05-21,28.88,45.57,3.36315,3.81925,0.0194764,16.69,-0.147731
2025-05-22,28.94,45.17,3.36522,3.81043,0.0109665,16.23,-0.147731
2025-05-23,29.09,46.06,3.37039,3.82994,0.0312421,16.97,-0.147731
2025-05-27,29.15,46.04,3.37245,3.82951,0.0311121,16.89,-0.147731
2025-05-28,28.94,45.57,3.36522,3.81925,0.019783,16.63,-0.147731
2025-05-29,29.17,45.85,3.37314,3.82538,0.027078,16.68,-0.147731
2025-05-30,29.1,46.48,3.37074,3.83902,0.04037,17.38,-0.147731
2025-06-02,29.58,47.16,3.3871,3.85355,0.0573109,17.58,-0.147731
2025-06-03,29.56,47.07,3.38642,3.85164,0.0553008,17.51,-0.147731
2025-06-04,28.92,46.66,3.36453,3.84289,0.0433186,17.74,-0.147731
2025-06-05,29.05,46.87,3.36902,3.84738,0.0484717,17.82,-0.147731
2025-06-06,29.29,46.52,3.37725,3.83988,0.0421917,17.23,-0.147731
2025-06-09,29.46,45.82,3.38303,3.82472,0.027885,16.36,-0.147731
2025-06-10,30.23,45.85,3.40883,3.82538,0.0323511,15.62,-0.147731
2025-06-11,30.81,45.87,3.42784,3.82581,0.0355948,15.06,-0.147731
2025-06-12,30.92,46.81,3.4314,3.8461,0.0564069,15.89,-0.147731
2025-06-13,31.72,46.67,3.45695,3.8431,0.0571852,14.95,-0.147731
