Date,COP Raw Price,ET Raw Price,COP Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,98.4366,19.0293,4.58941,2.94598,0.0118479,79.4074,0.802034
2025-01-03,99.4301,18.9617,4.59945,2.94242,0.000236715,80.4684,0.802034
2025-01-06,98.3481,18.9424,4.58851,2.9414,0.00799285,79.4057,0.802034
2025-01-07,100.001,18.8169,4.60518,2.93475,-0.0120187,81.1837,0.802034
2025-01-08,99.9514,19.0486,4.60468,2.94699,0.000614651,80.9028,0.802034
2025-01-10,100.246,18.7493,4.60763,2.93116,-0.0175863,81.4971,0.802034
2025-01-13,102.519,18.7976,4.63004,2.93373,-0.0329901,83.7209,0.802034
2025-01-14,103.158,19.2417,4.63626,2.95708,-0.0146249,83.9161,0.802034
2025-01-15,103.748,19.3479,4.64196,2.96258,-0.0136958,84.4001,0.802034
2025-01-16,103.876,19.5506,4.6432,2.97301,-0.00425931,84.3252,0.802034
2025-01-17,104.112,19.5893,4.64547,2.97498,-0.00410649,84.5226,0.802034
2025-01-21,102.568,20.1878,4.63052,3.00508,0.037978,82.3798,0.802034
2025-01-22,101.368,20.1975,4.61875,3.00556,0.0478947,81.1702,0.802034
2025-01-23,102.282,20.3327,4.62774,3.01223,0.0473595,81.9498,0.802034
2025-01-24,100.158,20.323,4.60675,3.01175,0.0637192,79.8349,0.802034
2025-01-27,101.004,19.1258,4.61516,2.95104,-0.00373965,81.878,0.802034
2025-01-28,99.7153,19.6472,4.60232,2.97793,0.0334518,80.0681,0.802034
2025-01-29,99.8923,19.821,4.60409,2.98674,0.0408354,80.0714,0.802034
2025-01-30,99.794,20.352,4.60311,3.01318,0.0680629,79.442,0.802034
2025-01-31,97.2072,19.7727,4.57684,2.9843,0.0602511,77.4345,0.802034
2025-02-03,96.8629,20.043,4.5733,2.99788,0.0766757,76.8199,0.802034
2025-02-04,98.9284,20.0527,4.5944,2.99836,0.0602345,78.8758,0.802034
2025-02-05,98.5645,20.072,4.59071,2.99932,0.0641529,78.4925,0.802034
2025-02-06,98.2989,19.6665,4.58801,2.97892,0.0459078,78.6325,0.802034
2025-02-07,96.7449,19.5537,4.57208,2.97316,0.0529353,77.1912,0.802034
2025-02-10,97.8465,19.7106,4.5834,2.98116,0.0518502,78.1359,0.802034
2025-02-11,100.04,19.4359,4.60557,2.96712,0.0200347,80.604,0.802034
2025-02-12,96.7842,19.2789,4.57248,2.95901,0.0384603,77.5053,0.802034
2025-02-13,95.3089,19.4457,4.55712,2.96763,0.0593947,75.8631,0.802034
2025-02-14,95.4477,19.6125,4.55858,2.97617,0.0667681,75.8352,0.802034
2025-02-18,96.6276,19.9167,4.57086,2.99156,0.0723026,76.711,0.802034
2025-02-19,98.7297,19.7401,4.59239,2.98265,0.0461351,78.9897,0.802034
2025-02-20,101.139,19.5635,4.6165,2.97366,0.01781,81.5758,0.802034
2025-02-21,97.1135,19.0239,4.57588,2.94569,0.0224164,78.0896,0.802034
2025-02-24,97.9861,18.6118,4.58483,2.9238,-0.00665646,79.3743,0.802034
2025-02-25,96.2608,18.5627,4.56706,2.92116,0.00495221,77.698,0.802034
2025-02-26,95.3188,18.7982,4.55723,2.93376,0.0254446,76.5206,0.802034
2025-02-27,96.5483,18.5824,4.57004,2.92221,0.00361642,77.966,0.802034
2025-02-28,98.3133,18.9257,4.58816,2.94052,0.0073978,79.3875,0.802034
2025-03-03,91.8483,18.6707,4.52014,2.92695,0.0483826,73.1777,0.802034
2025-03-04,89.8751,18.1212,4.49842,2.89708,0.0359319,71.7539,0.802034
2025-03-05,88.13,17.8563,4.47881,2.88236,0.0369325,70.2736,0.802034
2025-03-06,87.8523,17.3658,4.47566,2.8545,0.0116061,70.4865,0.802034
2025-03-07,89.8652,17.1303,4.49831,2.84085,-0.0202149,72.7349,0.802034
2025-03-10,92.116,16.9341,4.52305,2.82933,-0.0515767,75.182,0.802034
2025-03-11,94.6049,17.4933,4.54971,2.86182,-0.040468,77.1115,0.802034
2025-03-12,96.9251,18.0526,4.57394,2.89329,-0.0284329,78.8726,0.802034
2025-03-13,95.3783,17.8269,4.55785,2.88071,-0.0281087,77.5514,0.802034
2025-03-14,98.115,18.3763,4.58614,2.91106,-0.0204431,79.7387,0.802034
2025-03-17,98.5215,18.5431,4.59028,2.9201,-0.0147241,79.9784,0.802034
2025-03-18,99.6816,18.3273,4.60198,2.90839,-0.0358216,81.3544,0.802034
2025-03-19,100.475,18.5824,4.60991,2.92221,-0.0283561,81.8925,0.802034
2025-03-20,101.447,18.4941,4.61953,2.91745,-0.0408388,82.9526,0.802034
2025-03-21,101.06,18.2488,4.61571,2.9041,-0.0511268,82.8111,0.802034
2025-03-24,101.328,18.5235,4.61836,2.91904,-0.0383073,82.8042,0.802034
2025-03-25,101.685,18.5235,4.62188,2.91904,-0.0411278,83.1611,0.802034
2025-03-26,102.329,18.5725,4.62819,2.92168,-0.0435505,83.7566,0.802034
2025-03-27,101.952,18.5235,4.62451,2.91904,-0.0432366,83.4288,0.802034
2025-03-28,101.506,18.3567,4.62012,2.90999,-0.0487637,83.1494,0.802034
2025-03-31,104.134,18.239,4.64568,2.90356,-0.0756956,85.8948,0.802034
2025-04-01,104.501,18.3763,4.64919,2.91106,-0.0710138,86.1243,0.802034
2025-04-02,105.205,18.5725,4.65591,2.92168,-0.0657774,86.6321,0.802034
2025-04-03,94.4462,17.3952,4.54803,2.85619,-0.0447462,77.051,0.802034
2025-04-04,85.5618,15.8548,4.44924,2.76348,-0.0582314,69.707,0.802034
2025-04-07,84.947,15.5703,4.44203,2.74537,-0.0705564,69.3767,0.802034
2025-04-08,81.9624,15.3545,4.40626,2.73141,-0.0558298,66.608,0.802034
2025-04-09,90.7378,16.3552,4.50797,2.79455,-0.0742667,74.3825,0.802034
2025-04-10,82.5871,15.6096,4.41385,2.74788,-0.0454424,66.9776,0.802034
2025-04-11,85.661,16.0216,4.4504,2.77394,-0.0486954,69.6393,0.802034
2025-04-14,85.7205,16.5024,4.45109,2.8035,-0.0196875,69.2181,0.802034
2025-04-15,84.9966,16.7869,4.44261,2.8206,0.00420822,68.2097,0.802034
2025-04-16,85.6312,16.6005,4.45005,2.80943,-0.0129244,69.0307,0.802034
2025-04-17,88.2291,16.9439,4.47994,2.82991,-0.0164203,71.2852,0.802034
2025-04-21,86.8112,16.2473,4.46374,2.78793,-0.0454068,70.5639,0.802034
2025-04-22,89.0025,16.6594,4.48866,2.81297,-0.040355,72.3432,0.802034
2025-04-23,89.1711,16.7771,4.49056,2.82001,-0.0348302,72.394,0.802034
2025-04-24,91.0253,17.2578,4.51114,2.84827,-0.0230846,73.7675,0.802034
2025-04-25,90.946,17.1205,4.51027,2.84028,-0.0303762,73.8255,0.802034
2025-04-28,92.1458,16.9537,4.52337,2.83049,-0.0506776,75.1921,0.802034
2025-04-29,91.1046,16.7182,4.51201,2.8165,-0.0555501,74.3864,0.802034
2025-04-30,88.3679,16.2277,4.48151,2.78672,-0.0608703,72.1403,0.802034
2025-05-01,89.885,16.2179,4.49853,2.78611,-0.0751275,73.6672,0.802034
2025-05-02,90.6386,16.3552,4.50688,2.79455,-0.0733899,74.2834,0.802034
2025-05-05,86.8707,15.8843,4.46442,2.76533,-0.0685526,70.9864,0.802034
2025-05-06,86.8905,15.5115,4.46465,2.74158,-0.0924868,71.379,0.802034
2025-05-07,86.9698,16.5711,4.46556,2.80766,-0.0271397,70.3988,0.802034
2025-05-08,88.0705,17.042,4.47814,2.83568,-0.00920303,71.0285,0.802034
2025-05-09,87.8424,17.21,4.47554,2.84549,0.00268617,70.6324,0.802034
2025-05-12,91.4913,17.44,4.51624,2.85877,-0.0166808,74.0513,0.802034
2025-05-13,93.3753,18,4.53663,2.89037,-0.001423,75.3753,0.802034
2025-05-14,91.7888,18.16,4.51949,2.89922,0.0211707,73.6288,0.802034
2025-05-15,92.1755,17.97,4.52369,2.8887,0.00728104,74.2055,0.802034
2025-05-16,91.65,17.95,4.51798,2.88759,0.0107533,73.7,0.802034
2025-05-19,90.41,18,4.50435,2.89037,0.0244603,72.41,0.802034
2025-05-20,89.69,18.14,4.49636,2.89812,0.0386207,71.55,0.802034
2025-05-21,87.15,17.76,4.46763,2.87695,0.0404913,69.39,0.802034
2025-05-22,86.13,17.88,4.45586,2.88368,0.0566676,68.25,0.802034
2025-05-23,85.19,17.85,4.44488,2.882,0.0637897,67.34,0.802034
2025-05-27,85.55,17.95,4.4491,2.88759,0.0659941,67.6,0.802034
2025-05-28,84.58,17.76,4.4377,2.87695,0.0644985,66.82,0.802034
2025-05-29,85.6,17.68,4.44969,2.87243,0.0503695,67.92,0.802034
2025-05-30,85.35,17.48,4.44676,2.86106,0.0413386,67.87,0.802034
2025-06-02,86.72,17.48,4.46268,2.86106,0.0285669,69.24,0.802034
2025-06-03,87.91,17.9,4.47631,2.8848,0.0413793,70.01,0.802034
2025-06-04,85.95,17.53,4.45377,2.86391,0.0385765,68.42,0.802034
2025-06-05,85.35,17.67,4.44676,2.87187,0.0521495,67.68,0.802034
2025-06-06,87.22,17.93,4.46843,2.88648,0.0493739,69.29,0.802034
2025-06-09,88.04,17.71,4.47779,2.87413,0.0295229,70.33,0.802034
2025-06-10,91.18,17.99,4.51284,2.88982,0.0171028,73.19,0.802034
2025-06-11,93.35,18.25,4.53636,2.90417,0.0125878,75.1,0.802034
2025-06-12,94.69,18.45,4.55061,2.91506,0.0120561,76.24,0.802034
2025-06-13,96.96,18.32,4.5743,2.90799,-0.0140152,78.64,0.802034
