Date,OXY Raw Price,HES Raw Price,OXY Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,49.2819,134.963,3.89756,4.905,-0.0913269,85.681,0.546026
2025-01-03,49.9745,135.93,3.91151,4.91214,-0.0918096,85.9552,0.546026
2025-01-06,50.2317,135.461,3.91665,4.90869,-0.098065,85.2295,0.546026
2025-01-07,51.0034,138.142,3.93189,4.92828,-0.0867923,87.1387,0.546026
2025-01-08,50.6472,139.338,3.92488,4.9369,-0.0743457,88.6908,0.546026
2025-01-10,50.7561,141.929,3.92703,4.95533,-0.0570918,91.1732,0.546026
2025-01-13,52.1214,144.341,3.95358,4.97218,-0.0547357,92.2197,0.546026
2025-01-14,51.5278,146.185,3.94212,4.98487,-0.0357884,94.6571,0.546026
2025-01-15,52.1412,148.417,3.95396,5.00003,-0.0270944,96.2761,0.546026
2025-01-16,51.7455,149.225,3.94634,5.00545,-0.0175097,97.4791,0.546026
2025-01-17,51.419,150.839,3.94001,5.01621,-0.00329213,99.4202,0.546026
2025-01-21,50.014,148.158,3.9123,4.99828,-0.00609843,98.1442,0.546026
2025-01-22,49.6677,145.099,3.90536,4.97741,-0.0231721,95.4308,0.546026
2025-01-23,49.8063,144.371,3.90814,4.97239,-0.0297195,94.5648,0.546026
2025-01-24,48.7674,143.913,3.88706,4.96921,-0.0213905,95.1452,0.546026
2025-01-27,49.0345,145.617,3.89252,4.98098,-0.0126007,96.5823,0.546026
2025-01-28,48.4805,144.56,3.88116,4.9737,-0.0136771,96.0799,0.546026
2025-01-29,48.3123,144.67,3.87769,4.97446,-0.0110214,96.3578,0.546026
2025-01-30,48.4013,145.358,3.87953,4.9792,-0.00728468,96.9564,0.546026
2025-01-31,46.1554,138.561,3.83201,4.93131,-0.0292301,92.4053,0.546026
2025-02-03,45.8784,138.361,3.82599,4.92987,-0.0273825,92.483,0.546026
2025-02-04,47.0854,142.298,3.85196,4.95792,-0.0135079,95.2126,0.546026
2025-02-05,46.8579,142.258,3.84712,4.95764,-0.0111428,95.4003,0.546026
2025-02-06,46.4819,141.451,3.83906,4.95195,-0.0124348,94.969,0.546026
2025-02-07,46.284,142.458,3.8348,4.95904,-0.00301438,96.1735,0.546026
2025-02-10,47.867,145.338,3.86843,4.97906,-0.00136104,97.4707,0.546026
2025-02-11,48.0946,146.504,3.87317,4.98705,0.00404028,98.4092,0.546026
2025-02-12,47.3229,144.311,3.85699,4.97197,-0.00220611,96.9884,0.546026
2025-02-13,47.3723,145.358,3.85804,4.9792,0.00444851,97.9854,0.546026
2025-02-14,47.5504,146.055,3.86179,4.98399,0.0071877,98.5049,0.546026
2025-02-18,48.3222,147.471,3.87789,4.99363,0.00803979,99.1484,0.546026
2025-02-19,50.4494,148.766,3.92097,5.00238,-0.00673571,98.3168,0.546026
2025-02-20,51.5377,150.45,3.94231,5.01363,-0.00713159,98.9128,0.546026
2025-02-21,49.8854,147.61,3.90973,4.99457,-0.00839904,97.7247,0.546026
2025-02-24,49.3313,148.248,3.89856,4.99889,0.00201129,98.9166,0.546026
2025-02-25,48.3716,146.454,3.87891,4.98671,0.000563904,98.0823,0.546026
2025-02-26,48.0352,144.979,3.87193,4.97659,-0.00574808,96.9437,0.546026
2025-02-27,48.1342,146.414,3.87399,4.98644,0.00297878,98.2799,0.546026
2025-02-28,48.3222,148.437,3.87789,5.00016,0.0145739,100.115,0.546026
2025-03-03,45.9575,143.604,3.82772,4.96706,0.00886423,97.6461,0.546026
2025-03-04,46.0367,141.909,3.82944,4.95519,-0.00394368,95.8727,0.546026
2025-03-05,45.0275,140.863,3.80727,4.94779,0.000757596,95.8354,0.546026
2025-03-06,45.2253,142.856,3.81166,4.96184,0.0124144,97.6308,0.546026
2025-03-07,46.7391,146.932,3.84458,4.98997,0.0225711,100.193,0.546026
2025-03-10,47.0971,147.74,3.85221,4.99545,0.0238839,100.643,0.546026
2025-03-11,46.0231,144.122,3.82914,4.97066,0.0116875,98.0988,0.546026
2025-03-12,45.8441,143.544,3.82525,4.96664,0.00979647,97.6997,0.546026
2025-03-13,45.1977,143.434,3.81105,4.96588,0.016786,98.2365,0.546026
2025-03-14,46.2717,147.63,3.83453,4.99471,0.0327957,101.358,0.546026
2025-03-17,46.9977,150.45,3.8501,5.01363,0.0432173,103.452,0.546026
2025-03-18,47.3855,152.82,3.85832,5.02926,0.0543598,105.434,0.546026
2025-03-19,47.6938,156.38,3.8648,5.05229,0.0738473,108.686,0.546026
2025-03-20,47.6938,157.37,3.8648,5.0586,0.080158,109.676,0.546026
2025-03-21,47.6739,156.58,3.86438,5.05357,0.0753531,108.906,0.546026
2025-03-24,47.654,157.35,3.86397,5.05847,0.0804865,109.696,0.546026
