Date,HES Raw Price,RRC Raw Price,HES Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,134.963,35.8827,4.905,3.58026,-0.0216271,99.0802,0.604685
2025-01-03,135.93,35.7434,4.91214,3.57636,-0.029834,100.186,0.604685
2025-01-06,135.461,36.6392,4.90869,3.60112,-0.00299278,98.822,0.604685
2025-01-07,138.142,36.6093,4.92828,3.6003,-0.0156587,101.533,0.604685
2025-01-08,139.338,37.3459,4.9369,3.62022,-0.000951156,101.992,0.604685
2025-01-10,141.929,37.9929,4.95533,3.6374,0.00508272,103.936,0.604685
2025-01-13,144.341,38.3114,4.97218,3.64575,0.00324223,106.03,0.604685
2025-01-14,146.185,39.4361,4.98487,3.67468,0.0245026,106.749,0.604685
2025-01-15,148.417,40.1429,5.00003,3.69244,0.0330997,108.274,0.604685
2025-01-16,149.225,41.0984,5.00545,3.71597,0.0533443,108.126,0.604685
2025-01-17,150.839,40.8794,5.01621,3.71063,0.0414946,109.96,0.604685
2025-01-21,148.158,40.7799,4.99828,3.70819,0.0499008,107.378,0.604685
2025-01-22,145.099,40.8097,4.97741,3.70892,0.0632509,104.289,0.604685
2025-01-23,144.371,40.3718,4.97239,3.69813,0.0555008,103.999,0.604685
2025-01-24,143.913,39.9836,4.96921,3.68847,0.047762,103.929,0.604685
2025-01-27,145.617,37.0971,4.98098,3.61354,-0.0342883,108.52,0.604685
2025-01-28,144.56,37.2264,4.9737,3.61702,-0.0264034,107.334,0.604685
2025-01-29,144.67,37.4156,4.97446,3.62209,-0.0217945,107.254,0.604685
2025-01-30,145.358,37.3957,4.9792,3.62155,-0.0251942,107.962,0.604685
2025-01-31,138.561,36.8681,4.93131,3.60735,-0.0104439,101.693,0.604685
2025-02-03,138.361,37.2663,4.92987,3.61809,0.00116783,101.095,0.604685
2025-02-04,142.298,37.5649,4.95792,3.62607,-0.00781557,104.733,0.604685
2025-02-05,142.258,38.7593,4.95764,3.65737,0.0236552,103.499,0.604685
2025-02-06,141.451,37.4554,4.95195,3.62315,-0.007124,103.996,0.604685
2025-02-07,142.458,37.0771,4.95904,3.613,-0.0215615,105.38,0.604685
2025-02-10,145.338,39.5257,4.97906,3.67695,0.0302858,105.812,0.604685
2025-02-11,146.504,39.3864,4.98705,3.67342,0.021922,107.117,0.604685
2025-02-12,144.311,38.3014,4.97197,3.64549,0.00310755,106.01,0.604685
2025-02-13,145.358,38.6199,4.9792,3.65377,0.00702015,106.738,0.604685
2025-02-14,146.055,38.4906,4.98399,3.65041,0.00076871,107.565,0.604685
2025-02-18,147.471,38.7394,4.99363,3.65686,0.00138213,108.731,0.604685
2025-02-19,148.766,39.7148,5.00238,3.68173,0.0209608,109.051,0.604685
2025-02-20,150.45,39.4859,5.01363,3.67594,0.00837206,110.965,0.604685
2025-02-21,147.61,38.3014,4.99457,3.64549,-0.0105593,109.309,0.604685
2025-02-24,148.248,37.8137,4.99889,3.63267,-0.0259824,110.434,0.604685
2025-02-25,146.454,37.326,4.98671,3.61969,-0.0316025,109.128,0.604685
2025-02-26,144.979,38.3711,4.97659,3.6473,0.00213363,106.608,0.604685
