Date,SHEL Raw Price,PSX Raw Price,SHEL Log Price,PSX Log Price,Residual,Spread,Beta
2025-02-07,64.4971,118.088,4.16662,4.77143,0.0521568,53.5907,1.28487
2025-02-10,64.732,121.435,4.17026,4.79938,0.0754366,56.7031,1.28487
2025-02-11,65.9556,127.168,4.18898,4.84551,0.0975032,61.2121,1.28487
2025-02-12,65.3487,122.741,4.17974,4.81007,0.0739476,57.3919,1.28487
2025-02-13,65.9458,123.231,4.18883,4.81406,0.0662514,57.2856,1.28487
2025-02-14,66.4168,125.685,4.19595,4.83378,0.0768265,59.2687,1.28487
2025-02-18,67.0994,127.884,4.20618,4.85113,0.0810306,60.7849,1.28487
2025-02-19,66.8818,127.57,4.20293,4.84867,0.0827462,60.6884,1.28487
2025-02-20,67.6535,129.131,4.2144,4.86083,0.0801658,61.4774,1.28487
2025-02-21,65.9913,126.412,4.18952,4.83955,0.0908462,60.4205,1.28487
2025-02-24,66.1793,125.867,4.19237,4.83523,0.0828726,59.6878,1.28487
2025-02-25,66.1892,125.055,4.19252,4.82875,0.076207,58.8657,1.28487
2025-02-26,66.6839,124.243,4.19996,4.82224,0.060124,57.5589,1.28487
2025-02-27,66.5553,126.194,4.19803,4.83782,0.0781874,59.6387,1.28487
2025-02-28,66.7433,128.452,4.20085,4.85556,0.0923003,61.709,1.28487
2025-03-03,65.7539,123.797,4.18592,4.81864,0.0745759,58.0432,1.28487
2025-03-04,65.4966,121.123,4.182,4.79681,0.057774,55.6262,1.28487
2025-03-05,65.3977,118.597,4.18049,4.77573,0.0386438,53.1995,1.28487
2025-03-06,65.3087,121.618,4.17912,4.80089,0.0655473,56.3094,1.28487
2025-03-07,66.0804,124.976,4.19087,4.82812,0.0776876,58.8953,1.28487
2025-03-10,66.0804,124.926,4.19087,4.82772,0.0772912,58.8458,1.28487
2025-03-11,66.1002,122.371,4.19117,4.80706,0.0562395,56.2707,1.28487
2025-03-12,66.6641,122.797,4.19967,4.81053,0.0487981,56.1326,1.28487
2025-03-13,67.0203,121.331,4.205,4.79852,0.0299423,54.3105,1.28487
2025-03-14,68.0393,125.52,4.22009,4.83247,0.0445005,57.4811,1.28487
2025-03-17,69.3552,127.957,4.23924,4.85169,0.0391138,58.6018,1.28487
2025-03-18,70.216,127.184,4.25158,4.84564,0.0172097,56.9685,1.28487
2025-03-19,70.7601,127.769,4.2593,4.85022,0.0118748,57.0087,1.28487
2025-03-20,71.1855,127.591,4.26529,4.84883,0.00277665,56.405,1.28487
2025-03-21,70.2555,124.292,4.25214,4.82264,-0.00651651,54.0368,1.28487
2025-03-24,70.5227,125.263,4.25593,4.83042,-0.00361356,54.7403,1.28487
2025-03-25,71.2647,124.292,4.2664,4.82264,-0.0248413,53.0276,1.28487
2025-03-26,72.2541,125.362,4.28019,4.83121,-0.0339872,53.1079,1.28487
2025-03-27,72.5113,123.53,4.28374,4.81648,-0.0532778,51.0183,1.28487
2025-03-28,71.9573,120.598,4.27607,4.79246,-0.0674419,48.6406,1.28487
2025-03-31,72.5014,122.301,4.28361,4.80649,-0.0630944,49.8001,1.28487
2025-04-01,72.2739,123.163,4.28046,4.81351,-0.0520344,50.8893,1.28487
2025-04-02,71.9474,122.876,4.27593,4.81118,-0.0485518,50.9286,1.28487
2025-04-03,69.0287,106.157,4.23452,4.66492,-0.141598,37.1283,1.28487
2025-04-04,63.4486,97.8669,4.15023,4.58361,-0.114604,34.4183,1.28487
2025-04-07,61.6579,95.6681,4.1216,4.56089,-0.100542,34.0102,1.28487
2025-04-08,59.1152,91.9836,4.07949,4.52161,-0.0857068,32.8685,1.28487
2025-04-09,63.2112,102.146,4.14648,4.6264,-0.0669954,38.9345,1.28487
2025-04-10,59.1449,96.0643,4.07999,4.56502,-0.0429446,36.9194,1.28487
2025-04-11,61.4303,96.4506,4.1179,4.56903,-0.087646,35.0203,1.28487
2025-04-14,61.8755,96.8864,4.12512,4.57354,-0.0924163,35.0109,1.28487
2025-04-15,62.113,95.2917,4.12895,4.55694,-0.113933,33.1788,1.28487
2025-04-16,63.3497,95.6483,4.14867,4.56068,-0.13553,32.2986,1.28487
2025-04-17,64.349,98.1542,4.16432,4.58654,-0.129778,33.8052,1.28487
2025-04-21,63.9631,96.0841,4.15831,4.56522,-0.143366,32.121,1.28487
2025-04-22,64.4776,99.937,4.16632,4.60454,-0.114343,35.4594,1.28487
2025-04-23,63.8246,101.799,4.15614,4.623,-0.0828036,37.9744,1.28487
2025-04-24,64.3589,103.691,4.16447,4.64141,-0.0751013,39.3319,1.28487
2025-04-25,65.1603,102.978,4.17685,4.63451,-0.0979029,37.8174,1.28487
2025-04-28,65.3186,104.77,4.17928,4.65177,-0.0837614,39.4519,1.28487
2025-04-29,64.814,104.988,4.17152,4.65385,-0.0717199,40.1743,1.28487
2025-04-30,63.7949,103.067,4.15567,4.63538,-0.069829,39.2719,1.28487
2025-05-01,64.1115,102.473,4.16062,4.62959,-0.0819723,38.361,1.28487
2025-05-02,65.932,106.127,4.18862,4.66464,-0.0829033,40.1954,1.28487
2025-05-05,64.4281,105.88,4.16555,4.6623,-0.055593,41.4516,1.28487
2025-05-06,64.4083,104.384,4.16524,4.64808,-0.0694244,39.9758,1.28487
2025-05-07,64.3589,104.543,4.16447,4.64959,-0.0669201,40.1837,1.28487
2025-05-08,64.3885,108.148,4.16494,4.6835,-0.0336078,43.7593,1.28487
2025-05-09,65.4472,109.861,4.18124,4.69922,-0.0388413,44.4142,1.28487
2025-05-12,65.6747,117.547,4.18471,4.76684,0.0243207,51.8726,1.28487
2025-05-13,66.8917,124.372,4.20307,4.82327,0.0571628,57.4799,1.28487
2025-05-14,66.3772,123.51,4.19535,4.81632,0.0601307,57.1326,1.28487
2025-05-15,66.674,123.579,4.19982,4.81688,0.0549591,56.9052,1.28487
2025-05-16,66.62,124.53,4.199,4.82455,0.063665,57.91,1.28487
2025-05-19,66.67,122.18,4.19976,4.8055,0.0436498,55.51,1.28487
2025-05-20,66.62,120.9,4.199,4.79496,0.034082,54.28,1.28487
2025-05-21,66.36,111.78,4.19509,4.71653,-0.0393247,45.42,1.28487
2025-05-22,65.95,112.98,4.1889,4.72721,-0.0206833,47.03,1.28487
2025-05-23,66.3,113.13,4.19419,4.72854,-0.0261576,46.83,1.28487
2025-05-27,66.69,114.33,4.20006,4.73909,-0.0231421,47.64,1.28487
2025-05-28,66.04,112.77,4.19026,4.72535,-0.0242962,46.73,1.28487
2025-05-29,66.44,114.68,4.1963,4.74215,-0.0152598,48.24,1.28487
2025-05-30,66.22,113.48,4.19298,4.73163,-0.0215172,47.26,1.28487
2025-06-02,67.45,114.28,4.21139,4.73865,-0.038139,46.83,1.28487
2025-06-03,67.83,115.97,4.217,4.75333,-0.0306775,48.14,1.28487
2025-06-04,67.27,112.48,4.20871,4.72278,-0.0505817,45.21,1.28487
2025-06-05,67.53,112.23,4.21257,4.72055,-0.0577633,44.7,1.28487
2025-06-06,68.02,114.29,4.2198,4.73874,-0.0488639,46.27,1.28487
2025-06-09,68.26,116.1,4.22332,4.75445,-0.0376768,47.84,1.28487
2025-06-10,70.05,118.7,4.24921,4.7766,-0.0487887,48.65,1.28487
2025-06-11,71.02,120.95,4.26296,4.79538,-0.0476806,49.93,1.28487
2025-06-12,71.44,121.52,4.26886,4.80008,-0.0505552,50.08,1.28487
2025-06-13,72.54,122.15,4.28414,4.80525,-0.0650173,49.61,1.28487
