Date,SHEL Raw Price,PSX Raw Price,SHEL Log Price,PSX Log Price,Residual,Spread,Beta
2025-01-02,61.7661,112.306,4.12335,4.72123,0.0575478,50.54,1.28487
2025-01-03,63.1561,113.955,4.14561,4.73581,0.0435308,50.7991,1.28487
2025-01-06,63.3812,113.052,4.14917,4.72785,0.0310022,49.6709,1.28487
2025-01-07,64.5363,113.072,4.16723,4.72802,0.00797124,48.5355,1.28487
2025-01-08,63.3518,114.112,4.1487,4.73718,0.0409313,50.7604,1.28487
2025-01-10,63.5672,111.835,4.1521,4.71702,0.0164124,48.2677,1.28487
2025-01-13,63.5868,113.847,4.15241,4.73486,0.0338502,50.2605,1.28487
2025-01-14,64.5167,115.114,4.16692,4.74592,0.0262568,50.5968,1.28487
2025-01-15,64.9572,116.812,4.17373,4.76056,0.0321588,51.8545,1.28487
2025-01-16,65.0453,117.43,4.17508,4.76584,0.0356976,52.3848,1.28487
2025-01-17,65.3096,118.314,4.17914,4.77334,0.0379825,53.004,1.28487
2025-01-21,65.3585,118.274,4.17989,4.77301,0.0366881,52.9158,1.28487
2025-01-22,64.5558,116.37,4.16753,4.75677,0.0363334,51.8141,1.28487
2025-01-23,65.2508,120.365,4.17824,4.79053,0.05633,55.1143,1.28487
2025-01-24,64.0077,119.619,4.159,4.78431,0.0748281,55.6114,1.28487
2025-01-27,63.763,120.817,4.15517,4.79427,0.0897117,57.0537,1.28487
2025-01-28,63.2148,118.952,4.14654,4.77872,0.0852477,55.7368,1.28487
2025-01-29,63.4106,119.914,4.14963,4.78677,0.0893295,56.503,1.28487
2025-01-30,65.241,118.618,4.17809,4.77591,0.0419,53.3768,1.28487
2025-01-31,64.458,115.702,4.16601,4.75102,0.0325306,51.2445,1.28487
2025-02-03,63.7923,115.693,4.15563,4.75094,0.0457831,51.9004,1.28487
2025-02-04,65.2215,121.337,4.17779,4.79857,0.0649497,56.1155,1.28487
2025-02-05,65.1236,121.052,4.17629,4.79622,0.0645308,55.9287,1.28487
2025-02-06,64.7614,118.598,4.17071,4.77574,0.0512156,53.8368,1.28487
