Date,FANG Raw Price,ENB Raw Price,FANG Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,164.468,42.98,5.10271,3.76073,-0.0248189,121.488,-0.0652687
2025-01-03,168.59,43.09,5.12747,3.76329,-0.0206472,125.5,-0.0652687
2025-01-06,167.288,42.99,5.11972,3.76097,-0.0234765,124.298,-0.0652687
2025-01-07,170.029,43.64,5.13597,3.77597,-0.00740898,126.389,-0.0652687
2025-01-08,168.619,44.02,5.12764,3.78464,0.000717387,124.599,-0.0652687
2025-01-10,172.347,43.48,5.14951,3.7723,-0.0101985,128.867,-0.0652687
2025-01-13,175.148,43.4,5.16563,3.77046,-0.010988,131.748,-0.0652687
2025-01-14,175.217,44.07,5.16602,3.78578,0.00435752,131.147,-0.0652687
2025-01-15,177.07,44.33,5.17655,3.79166,0.0109269,132.74,-0.0652687
2025-01-16,176.637,44.03,5.17409,3.78487,0.00397628,132.607,-0.0652687
2025-01-17,177.682,44.51,5.17999,3.79571,0.015204,133.172,-0.0652687
2025-01-21,174.497,45.31,5.16191,3.81353,0.0318373,129.187,-0.0652687
2025-01-22,175.128,44.76,5.16552,3.80131,0.01986,130.368,-0.0652687
2025-01-23,174.181,44.86,5.1601,3.80355,0.0217379,129.321,-0.0652687
2025-01-24,170.858,45.06,5.14083,3.80799,0.024929,125.798,-0.0652687
2025-01-27,169.221,44.7,5.1312,3.79997,0.0162793,124.521,-0.0652687
2025-01-28,166.903,44.46,5.11742,3.79459,0.0099956,122.443,-0.0652687
2025-01-29,168.491,44.26,5.12688,3.79008,0.00610495,124.231,-0.0652687
2025-01-30,168.047,44.5,5.12425,3.79549,0.0113407,123.547,-0.0652687
2025-01-31,162.081,43.24,5.0881,3.76677,-0.0197418,118.841,-0.0652687
2025-02-03,162.2,42.92,5.08883,3.75934,-0.0271223,119.28,-0.0652687
2025-02-04,163.994,43.72,5.09983,3.77781,-0.00793624,120.274,-0.0652687
2025-02-05,162.476,43.93,5.09053,3.7826,-0.0037517,118.546,-0.0652687
2025-02-06,157.811,44.2,5.0614,3.78872,0.000474459,113.611,-0.0652687
2025-02-07,155.938,44.45,5.04946,3.79436,0.00533508,111.488,-0.0652687
2025-02-10,159.419,44.81,5.07153,3.80243,0.0148425,114.609,-0.0652687
2025-02-11,159.764,45.25,5.0737,3.8122,0.0247549,114.514,-0.0652687
2025-02-12,153.305,45.1,5.03243,3.80888,0.0187409,108.205,-0.0652687
2025-02-13,154.005,45.45,5.03698,3.81661,0.0267689,108.555,-0.0652687
2025-02-14,154.813,43.07,5.04222,3.76283,-0.0266754,111.743,-0.0652687
2025-02-18,154.587,42.75,5.04075,3.75537,-0.0342286,111.837,-0.0652687
2025-02-19,158.038,42.31,5.06284,3.74502,-0.0431331,115.728,-0.0652687
2025-02-20,159.843,41.98,5.07419,3.73719,-0.0502222,117.863,-0.0652687
2025-02-21,153.955,41.78,5.03666,3.73242,-0.0574471,112.175,-0.0652687
2025-02-24,153.078,41.54,5.03095,3.72666,-0.0635812,111.538,-0.0652687
2025-02-25,149.814,41.65,5.00939,3.7293,-0.0623434,108.164,-0.0652687
2025-02-26,150.317,41.75,5.01274,3.7317,-0.0597266,108.567,-0.0652687
2025-02-27,153.433,41.73,5.03326,3.73122,-0.0588665,111.703,-0.0652687
2025-02-28,156.756,42.73,5.05469,3.7549,-0.033787,114.026,-0.0652687
2025-03-03,145.948,42.67,4.98325,3.7535,-0.039855,103.278,-0.0652687
2025-03-04,143.029,41.55,4.96305,3.7269,-0.0677721,101.479,-0.0652687
2025-03-05,140.722,42.49,4.94678,3.74927,-0.0464624,98.2315,-0.0652687
2025-03-06,138.934,41.6,4.934,3.7281,-0.0684655,97.334,-0.0652687
2025-03-07,139.143,42,4.9355,3.73767,-0.0587981,97.1425,-0.0652687
2025-03-10,139.609,42.68,4.93885,3.75373,-0.0425187,96.9293,-0.0652687
2025-03-11,143.651,42.3,4.96739,3.74479,-0.0495993,101.351,-0.0652687
2025-03-12,145.538,42.54,4.98044,3.75044,-0.0430898,102.998,-0.0652687
2025-03-13,144.793,42.55,4.97531,3.75068,-0.0431897,102.243,-0.0652687
2025-03-14,149.163,42.83,5.00504,3.75724,-0.0346901,106.333,-0.0652687
2025-03-17,151.973,43.5,5.0237,3.77276,-0.0179497,108.473,-0.0652687
2025-03-18,153.93,43.41,5.0365,3.77069,-0.019186,110.52,-0.0652687
2025-03-19,156.512,43.75,5.05313,3.77849,-0.0102984,112.762,-0.0652687
2025-03-20,157.386,44.23,5.0587,3.7894,0.000976674,113.156,-0.0652687
2025-03-21,157.406,43.87,5.05883,3.78123,-0.00718768,113.536,-0.0652687
2025-03-24,159.898,44.26,5.07454,3.79008,0.00268842,115.638,-0.0652687
2025-03-25,160.484,44.42,5.0782,3.79369,0.00653563,116.064,-0.0652687
2025-03-26,161.964,44.52,5.08737,3.79594,0.00938343,117.444,-0.0652687
2025-03-27,159.124,44.36,5.06968,3.79234,0.00462834,114.764,-0.0652687
2025-03-28,156.452,44.46,5.05275,3.79459,0.005775,111.992,-0.0652687
2025-03-31,158.776,44.31,5.06749,3.79121,0.00335786,114.466,-0.0652687
2025-04-01,159.759,44.57,5.07367,3.79706,0.00961133,115.189,-0.0652687
2025-04-02,160.375,45.14,5.07751,3.80977,0.0225702,115.235,-0.0652687
2025-04-03,140.304,45.34,4.94381,3.81419,0.0182647,94.9644,-0.0652687
2025-04-04,122.518,43.35,4.80826,3.76931,-0.0354658,79.1681,-0.0652687
2025-04-07,123.67,41.95,4.81762,3.73648,-0.0676832,81.7201,-0.0652687
2025-04-08,118.427,41.09,4.77429,3.71576,-0.0912246,77.3366,-0.0652687
2025-04-09,133.998,41.77,4.89783,3.73218,-0.0667481,92.2283,-0.0652687
2025-04-10,122.31,41.82,4.80656,3.73337,-0.071509,80.4896,-0.0652687
