Date,SHEL Raw Price,OKE Raw Price,SHEL Log Price,OKE Log Price,Residual,Spread,Beta
2025-03-07,66.0804,88.4555,4.19087,4.4825,-0.0247171,22.3751,0.41755
2025-03-10,66.0804,90.2825,4.19087,4.50294,-0.00427336,24.2021,0.41755
2025-03-11,66.1002,91.4676,4.19117,4.51598,0.00864253,25.3674,0.41755
2025-03-12,66.6641,91.8132,4.19967,4.51976,0.00886703,25.1491,0.41755
2025-03-13,67.0203,92.3366,4.205,4.52544,0.0123266,25.3163,0.41755
2025-03-14,68.0393,95.2302,4.22009,4.5563,0.0368814,27.1908,0.41755
2025-03-17,69.3552,97.2152,4.23924,4.57693,0.0495131,27.8599,0.41755
2025-03-18,70.216,96.7905,4.25158,4.57255,0.0399851,26.5745,0.41755
2025-03-19,70.7601,98.8051,4.2593,4.59315,0.0573622,28.045,0.41755
2025-03-20,71.1855,99.3977,4.26529,4.59913,0.0608384,28.2121,0.41755
2025-03-21,70.2555,98.104,4.25214,4.58603,0.0532285,27.8484,0.41755
2025-03-24,70.5227,101.027,4.25593,4.61539,0.0810053,30.5045,0.41755
2025-03-25,71.2647,101.106,4.2664,4.61617,0.0774165,29.8414,0.41755
2025-03-26,72.2541,100,4.28019,4.60517,0.0606597,27.746,0.41755
2025-03-27,72.5113,97.4522,4.28374,4.57936,0.0333665,24.9408,0.41755
2025-03-28,71.9573,97.2547,4.27607,4.57733,0.0345404,25.2974,0.41755
2025-03-31,72.5014,97.9855,4.28361,4.58482,0.0388809,25.484,0.41755
2025-04-01,72.2739,98.262,4.28046,4.58764,0.0430115,25.9881,0.41755
2025-04-02,71.9474,99.1211,4.27593,4.59634,0.0536077,27.1738,0.41755
2025-04-03,69.0287,91.5466,4.23452,4.51685,-0.00859546,22.5179,0.41755
2025-04-04,63.4486,79.8539,4.15023,4.3802,-0.110049,16.4053,0.41755
2025-04-07,61.6579,79.9033,4.1216,4.38082,-0.097476,18.2454,0.41755
2025-04-08,59.1152,77.7306,4.07949,4.35325,-0.107459,18.6155,0.41755
2025-04-09,63.2112,83.8041,4.14648,4.42848,-0.0601995,20.5929,0.41755
2025-04-10,59.1449,80.2292,4.07999,4.38489,-0.076031,21.0843,0.41755
2025-04-11,61.4303,81.5327,4.1179,4.401,-0.0757444,20.1024,0.41755
2025-04-14,61.8755,82.3425,4.12512,4.41089,-0.0688765,20.467,0.41755
2025-04-15,62.113,83.1128,4.12895,4.4202,-0.0611644,20.9999,0.41755
2025-04-16,63.3497,83.7449,4.14867,4.42777,-0.0618207,20.3952,0.41755
2025-04-17,64.349,85.1571,4.16432,4.4445,-0.051633,20.8081,0.41755
2025-04-21,63.9631,80.8019,4.15831,4.392,-0.101618,16.8388,0.41755
2025-04-22,64.4776,83.0042,4.16632,4.41889,-0.0780731,18.5266,0.41755
2025-04-23,63.8246,83.6066,4.15614,4.42612,-0.0665915,19.782,0.41755
2025-04-24,64.3589,85.2065,4.16447,4.44508,-0.0511177,20.8476,0.41755
2025-04-25,65.1603,85.2361,4.17685,4.44542,-0.0559372,20.0758,0.41755
2025-04-28,65.3186,86.7767,4.17928,4.46334,-0.0390373,21.4581,0.41755
2025-04-29,64.814,86.7668,4.17152,4.46322,-0.0359132,21.9528,0.41755
2025-04-30,63.7949,81.1377,4.15567,4.39615,-0.096372,17.3428,0.41755
2025-05-01,64.1115,79.923,4.16062,4.38106,-0.113523,15.8115,0.41755
2025-05-02,65.932,81.75,4.18862,4.40367,-0.102612,15.818,0.41755
2025-05-05,64.4281,80.15,4.16555,4.3839,-0.112744,15.7219,0.41755
2025-05-06,64.4083,79.29,4.16524,4.37311,-0.123404,14.8817,0.41755
2025-05-07,64.3589,80.25,4.16447,4.38515,-0.111048,15.8911,0.41755
2025-05-08,64.3885,82.25,4.16494,4.40976,-0.0866239,17.8615,0.41755
2025-05-09,65.4472,82.3,4.18124,4.41037,-0.0928254,16.8528,0.41755
2025-05-12,65.6747,85.04,4.18471,4.44312,-0.0615241,19.3653,0.41755
2025-05-13,66.8917,86.51,4.20307,4.46026,-0.0520521,19.6183,0.41755
2025-05-14,66.3772,86.61,4.19535,4.46142,-0.0476729,20.2328,0.41755
2025-05-15,66.674,86.03,4.19982,4.4547,-0.0562552,19.356,0.41755
2025-05-16,66.62,85.67,4.199,4.4505,-0.0601102,19.05,0.41755
2025-05-19,66.67,84.73,4.19976,4.43947,-0.0714564,18.06,0.41755
2025-05-20,66.62,83.71,4.199,4.42736,-0.0832545,17.09,0.41755
2025-05-21,66.36,81.83,4.19509,4.40464,-0.104336,15.47,0.41755
2025-05-22,65.95,81.37,4.1889,4.39901,-0.107386,15.42,0.41755
2025-05-23,66.3,81.14,4.19419,4.39618,-0.112426,14.84,0.41755
2025-05-27,66.69,81.74,4.20006,4.40354,-0.107508,15.05,0.41755
2025-05-28,66.04,80.59,4.19026,4.38937,-0.117587,14.55,0.41755
2025-05-29,66.44,80.68,4.1963,4.39049,-0.118992,14.24,0.41755
2025-05-30,66.22,80.84,4.19298,4.39247,-0.115626,14.62,0.41755
2025-06-02,67.45,82.51,4.21139,4.41292,-0.102863,15.06,0.41755
2025-06-03,67.83,83.24,4.217,4.42173,-0.0964007,15.41,0.41755
2025-06-04,67.27,80.52,4.20871,4.38851,-0.126162,13.25,0.41755
2025-06-05,67.53,81.19,4.21257,4.39679,-0.119486,13.66,0.41755
2025-06-06,68.02,81.72,4.2198,4.4033,-0.115998,13.7,0.41755
2025-06-09,68.26,81.12,4.22332,4.39593,-0.124838,12.86,0.41755
2025-06-10,70.05,81.72,4.24921,4.4033,-0.128277,11.67,0.41755
2025-06-11,71.02,82.9,4.26296,4.41764,-0.119683,11.88,0.41755
2025-06-12,71.44,82.65,4.26886,4.41461,-0.125165,11.21,0.41755
2025-06-13,72.54,83.75,4.28414,4.42784,-0.118324,11.21,0.41755
