Date,SHEL Raw Price,OKE Raw Price,SHEL Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,61.7661,99.4384,4.12335,4.59954,0.120513,37.6723,0.41755
2025-01-03,63.1561,100.542,4.14561,4.61058,0.122263,37.3864,0.41755
2025-01-06,63.3812,99.2918,4.14917,4.59806,0.10826,35.9106,0.41755
2025-01-07,64.5363,99.282,4.16723,4.59796,0.100621,34.7458,0.41755
2025-01-08,63.3518,100.494,4.1487,4.61009,0.120485,37.1418,0.41755
2025-01-10,63.5672,99.4188,4.1521,4.59934,0.108315,35.8517,0.41755
2025-01-13,63.5868,101.598,4.15241,4.62102,0.129866,38.011,0.41755
2025-01-14,64.5167,103.611,4.16692,4.64064,0.143422,39.0939,0.41755
2025-01-15,64.9572,104.431,4.17373,4.64853,0.148471,39.4741,0.41755
2025-01-16,65.0453,106.171,4.17508,4.66505,0.164422,41.1253,0.41755
2025-01-17,65.3096,106.464,4.17914,4.6678,0.165486,41.1541,0.41755
2025-01-21,65.3585,107.333,4.17989,4.67594,0.173308,41.9748,0.41755
2025-01-22,64.5558,103.865,4.16753,4.64309,0.145617,39.3088,0.41755
2025-01-23,65.2508,102.487,4.17824,4.62973,0.127793,37.2361,0.41755
2025-01-24,64.0077,102.135,4.159,4.6263,0.132387,38.1275,0.41755
2025-01-27,63.763,98.1486,4.15517,4.58648,0.0941722,34.3857,0.41755
2025-01-28,63.2148,98.2952,4.14654,4.58798,0.0992694,35.0804,0.41755
2025-01-29,63.4106,98.0802,4.14963,4.58579,0.0957891,34.6697,0.41755
2025-01-30,65.241,97.5819,4.17809,4.58069,0.0788128,32.3409,0.41755
2025-01-31,64.458,94.9438,4.16601,4.55328,0.0564476,30.4858,0.41755
2025-02-03,63.7923,96.4152,4.15563,4.56866,0.0761612,32.6229,0.41755
2025-02-04,65.2215,95.8128,4.17779,4.5624,0.0606424,30.5914,0.41755
2025-02-05,65.1236,96.6917,4.17629,4.57153,0.0704012,31.5682,0.41755
2025-02-06,64.7614,94.6278,4.17071,4.54995,0.0511526,29.8664,0.41755
2025-02-07,64.4971,94.6179,4.16662,4.54985,0.0527557,30.1208,0.41755
2025-02-10,64.732,97.462,4.17026,4.57946,0.0808541,32.73,0.41755
2025-02-11,65.9556,97.6991,4.18898,4.58189,0.0754641,31.7434,0.41755
2025-02-12,65.3487,96.4054,4.17974,4.56856,0.0659938,31.0566,0.41755
2025-02-13,65.9458,97.7386,4.18883,4.5823,0.0759303,31.7927,0.41755
2025-02-14,66.4168,96.6325,4.19595,4.57092,0.0615779,30.2157,0.41755
2025-02-18,67.0994,97.4127,4.20618,4.57896,0.0653491,30.3132,0.41755
2025-02-19,66.8818,97.9657,4.20293,4.58462,0.072367,31.0839,0.41755
2025-02-20,67.6535,97.4028,4.2144,4.57885,0.0618142,29.7493,0.41755
2025-02-21,65.9913,96.8794,4.18952,4.57347,0.0668128,30.8881,0.41755
2025-02-24,66.1793,96.8991,4.19237,4.57367,0.065829,30.7198,0.41755
2025-02-25,66.1892,94.5784,4.19252,4.54943,0.0415247,28.3892,0.41755
2025-02-26,66.6839,94.5685,4.19996,4.54932,0.0383112,27.8846,0.41755
2025-02-27,66.5553,95.4375,4.19803,4.55847,0.0482651,28.8823,0.41755
2025-02-28,66.7433,99.1409,4.20085,4.59654,0.0851572,32.3976,0.41755
2025-03-03,65.7539,95.5561,4.18592,4.55971,0.0545643,29.8022,0.41755
2025-03-04,65.4966,92.623,4.182,4.52854,0.0250255,27.1264,0.41755
2025-03-05,65.3977,90.7269,4.18049,4.50785,0.00497313,25.3292,0.41755
2025-03-06,65.3087,88.6234,4.17912,4.4844,-0.017916,23.3147,0.41755
