Date,PSX Raw Price,KMI Raw Price,PSX Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,112.306,27.5159,4.72123,3.31476,0.0146929,84.7902,0.130617
2025-01-03,113.955,27.6725,4.73581,3.32044,0.0184647,86.2827,0.130617
2025-01-06,113.052,27.2418,4.72785,3.30475,0.00381733,85.8103,0.130617
2025-01-07,113.072,27.2222,4.72802,3.30403,0.00307568,85.8496,0.130617
2025-01-08,114.112,27.6921,4.73718,3.32115,0.018992,86.4202,0.130617
2025-01-10,111.835,27.5648,4.71702,3.31654,0.0170192,84.2701,0.130617
2025-01-13,113.847,27.9172,4.73486,3.32924,0.0273929,85.93,0.130617
2025-01-14,115.114,28.5045,4.74592,3.35006,0.0467678,86.609,0.130617
2025-01-15,116.812,28.8178,4.76056,3.36099,0.055784,87.9939,0.130617
2025-01-16,117.43,29.4247,4.76584,3.38183,0.0759354,88.0055,0.130617
2025-01-17,118.314,29.6694,4.77334,3.39012,0.0832387,88.6442,0.130617
2025-01-21,118.274,30.5601,4.77301,3.4197,0.112863,87.7142,0.130617
2025-01-22,116.37,30.1294,4.75677,3.4055,0.10079,86.2405,0.130617
2025-01-23,120.365,29.8358,4.79053,3.39571,0.0865862,90.5294,0.130617
2025-01-24,119.619,29.6302,4.78431,3.38879,0.0804848,89.9889,0.130617
2025-01-27,120.817,26.8796,4.79427,3.29137,-0.0182431,93.9371,0.130617
2025-01-28,118.952,26.8796,4.77872,3.29137,-0.0162111,92.072,0.130617
2025-01-29,119.914,26.723,4.78677,3.28552,-0.0231069,93.1906,0.130617
2025-01-30,118.618,27.5061,4.77591,3.31441,0.00719515,91.1118,0.130617
2025-01-31,115.702,26.8992,4.75102,3.2921,-0.0118656,88.8033,0.130617
2025-02-03,115.693,27.283,4.75094,3.30626,0.00231358,88.4097,0.130617
2025-02-04,121.337,27.2039,4.79857,3.30336,-0.00681312,94.1331,0.130617
2025-02-05,121.052,27.3424,4.79622,3.30844,-0.00142833,93.7099,0.130617
2025-02-06,118.598,26.4916,4.77574,3.27683,-0.0303618,92.1066,0.130617
2025-02-07,118.088,26.7488,4.77143,3.28649,-0.0201365,91.339,0.130617
2025-02-10,121.435,26.7785,4.79938,3.2876,-0.0226786,94.6566,0.130617
2025-02-11,127.168,26.5015,4.84551,3.2772,-0.0391009,100.666,0.130617
2025-02-12,122.741,25.997,4.81007,3.25798,-0.0536933,96.7436,0.130617
2025-02-13,123.231,26.274,4.81406,3.26858,-0.0436165,96.9574,0.130617
2025-02-14,125.685,26.2641,4.83378,3.2682,-0.0465686,99.4214,0.130617
2025-02-18,127.884,26.462,4.85113,3.27571,-0.0413292,101.422,0.130617
2025-02-19,127.57,26.6004,4.84867,3.28093,-0.035788,100.97,0.130617
2025-02-20,129.131,26.3037,4.86083,3.26971,-0.0485955,102.827,0.130617
2025-02-21,126.412,26.1256,4.83955,3.26292,-0.0526083,100.286,0.130617
2025-02-24,125.867,26.185,4.83523,3.26519,-0.049775,99.6822,0.130617
2025-02-25,125.055,25.819,4.82875,3.25111,-0.0630061,99.236,0.130617
2025-02-26,124.243,25.8882,4.82224,3.25379,-0.0594766,98.3546,0.130617
2025-02-27,126.194,25.9278,4.83782,3.25531,-0.0599847,100.266,0.130617
2025-02-28,128.452,26.8082,4.85556,3.28871,-0.0289087,101.644,0.130617
2025-03-03,123.797,26.8478,4.81864,3.29018,-0.0226122,96.9493,0.130617
2025-03-04,121.123,26.6994,4.79681,3.28464,-0.025302,94.4235,0.130617
2025-03-05,118.597,26.4422,4.77573,3.27496,-0.0322295,92.155,0.130617
2025-03-06,121.618,26.0267,4.80089,3.25912,-0.0513524,95.5914,0.130617
2025-03-07,124.976,25.8585,4.82812,3.25264,-0.0613919,99.1172,0.130617
2025-03-10,124.926,25.8585,4.82772,3.25264,-0.0613402,99.0677,0.130617
2025-03-11,122.371,26.1256,4.80706,3.26292,-0.0483646,96.2452,0.130617
2025-03-12,122.797,26.2344,4.81053,3.26707,-0.044662,96.5623,0.130617
2025-03-13,121.331,26.2542,4.79852,3.26783,-0.0423395,95.0766,0.130617
2025-03-14,125.52,26.8082,4.83247,3.28871,-0.025893,98.7123,0.130617
2025-03-17,127.957,27.4908,4.85169,3.31385,-0.00326157,100.466,0.130617
2025-03-18,127.184,27.2237,4.84564,3.30409,-0.0122338,99.9608,0.130617
2025-03-19,127.769,27.5501,4.85022,3.31601,-0.00091265,100.219,0.130617
2025-03-20,127.591,27.7578,4.84883,3.32352,0.00678184,99.8327,0.130617
2025-03-21,124.292,27.6292,4.82264,3.31887,0.00555905,96.663,0.130617
2025-03-24,125.263,28.4008,4.83042,3.34642,0.032087,96.8621,0.130617
2025-03-25,124.292,28.5196,4.82264,3.35059,0.0372742,95.7727,0.130617
2025-03-26,125.362,28.1733,4.83121,3.33838,0.0239403,97.1887,0.130617
2025-03-27,123.53,27.926,4.81648,3.32956,0.0170468,95.6036,0.130617
2025-03-28,120.598,28.0645,4.79246,3.33451,0.0251312,92.5334,0.130617
2025-03-31,122.301,28.2228,4.80649,3.34013,0.0289229,94.0787,0.130617
2025-04-01,123.163,28.3217,4.81351,3.34363,0.0315047,94.8415,0.130617
2025-04-02,122.876,28.6086,4.81118,3.35371,0.041888,94.2674,0.130617
2025-04-03,106.157,27.4215,4.66492,3.31133,0.0186122,78.7355,0.130617
2025-04-04,97.8669,25.0177,4.58361,3.21958,-0.0625123,72.8493,0.130617
