Date,CVX Raw Price,HES Raw Price,CVX Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,143.354,134.963,4.96532,4.905,-0.0175252,8.39159,0.97521
2025-01-03,144.468,135.93,4.97306,4.91214,-0.0179363,8.53879,0.97521
2025-01-06,143.892,135.461,4.96906,4.90869,-0.0174888,8.43068,0.97521
2025-01-07,146.169,138.142,4.98476,4.92828,-0.0132004,8.02647,0.97521
2025-01-08,146.862,139.338,4.9895,4.9369,-0.00919811,7.52431,0.97521
2025-01-10,149.637,141.929,5.00822,4.95533,-0.00902734,7.70811,0.97521
2025-01-13,151.797,144.341,5.02254,4.97218,-0.00614981,7.45573,0.97521
2025-01-14,153.311,146.185,5.03247,4.98487,-0.003139,7.12653,0.97521
2025-01-15,154.709,148.417,5.04154,5.00003,0.00316891,6.2914,0.97521
2025-01-16,155.735,149.225,5.04815,5.00545,0.00214736,6.51012,0.97521
2025-01-17,157.777,150.839,5.06118,5.01621,0.000203767,6.93776,0.97521
2025-01-21,154.621,148.158,5.04098,4.99828,0.00197603,6.46257,0.97521
2025-01-22,152.833,145.099,5.02934,4.97741,-0.00754755,7.73405,0.97521
2025-01-23,152.442,144.371,5.02678,4.97239,-0.0100771,8.07074,0.97521
2025-01-24,152.09,143.913,5.02447,4.96921,-0.0110047,8.17743,0.97521
2025-01-27,153.634,145.617,5.03457,4.98098,-0.00908157,8.01706,0.97521
2025-01-28,152.637,144.56,5.02806,4.9737,-0.0100157,8.07681,0.97521
2025-01-29,152.129,144.67,5.02473,4.97446,-0.00600591,7.45908,0.97521
2025-01-30,152.745,145.358,5.02877,4.9792,-0.00520201,7.38699,0.97521
2025-01-31,145.778,138.561,4.98208,4.93131,-0.00756381,7.21706,0.97521
2025-02-03,145.924,138.361,4.98309,4.92987,-0.00998335,7.56294,0.97521
2025-02-04,149.716,142.298,5.00874,4.95792,-0.00694184,7.41753,0.97521
2025-02-05,149.491,142.258,5.00724,4.95764,-0.00575713,7.23267,0.97521
2025-02-06,148.426,141.451,5.00009,4.95195,-0.00447499,6.97485,0.97521
2025-02-07,149.129,142.458,5.00481,4.95904,-0.00199547,6.67178,0.97521
2025-02-10,152.207,145.338,5.02524,4.97906,-0.0019018,6.86949,0.97521
2025-02-11,153.839,146.504,5.03591,4.98705,-0.00431043,7.33527,0.97521
2025-02-12,151.357,144.311,5.01964,4.97197,-0.00352792,7.04591,0.97521
2025-02-13,152.315,145.358,5.02595,4.9792,-0.00245321,6.95706,0.97521
2025-02-14,153.471,146.055,5.03351,4.98399,-0.00503808,7.41533,0.97521
2025-02-18,154.281,147.471,5.03877,4.99363,-0.000529661,6.81027,0.97521
2025-02-19,155.338,148.766,5.0456,5.00238,0.00155838,6.57176,0.97521
2025-02-20,156.879,150.45,5.05548,5.01363,0.0031884,6.4287,0.97521
2025-02-21,155.032,147.61,5.04363,4.99457,-0.00431862,7.4216,0.97521
2025-02-24,155.99,148.248,5.04979,4.99889,-0.00601647,7.74208,0.97521
2025-02-25,154.538,146.454,5.04044,4.98671,-0.00906911,8.08369,0.97521
2025-02-26,153.273,144.979,5.03222,4.97659,-0.0111786,8.29411,0.97521
2025-02-27,154.785,146.414,5.04203,4.98644,-0.0108987,8.37054,0.97521
2025-02-28,156.711,148.437,5.0544,5.00016,-0.00923836,8.27393,0.97521
2025-03-03,151.248,143.604,5.01892,4.96706,-0.00773808,7.6441,0.97521
2025-03-04,150.171,141.909,5.01177,4.95519,-0.0126381,8.26149,0.97521
2025-03-05,148.995,140.863,5.00391,4.94779,-0.0123747,8.13228,0.97521
2025-03-06,151.109,142.856,5.018,4.96184,-0.0120646,8.25327,0.97521
2025-03-07,154.459,146.932,5.03993,4.98997,-0.00530912,7.52628,0.97521
2025-03-10,155.674,147.74,5.04776,4.99545,-0.0074724,7.9342,0.97521
2025-03-11,152.226,144.122,5.02537,4.97066,-0.010422,8.10396,0.97521
2025-03-12,150.833,143.544,5.01617,4.96664,-0.00547552,7.28897,0.97521
2025-03-13,151.761,143.434,5.02231,4.96588,-0.0122256,8.32729,0.97521
2025-03-14,155.13,147.63,5.04427,4.99471,-0.00480482,7.50046,0.97521
2025-03-17,156.81,150.45,5.05503,5.01363,0.00361533,6.36,0.97521
2025-03-18,158.875,152.82,5.06812,5.02926,0.00648775,6.05484,0.97521
2025-03-19,162.076,156.38,5.08806,5.05229,0.0100627,5.69586,0.97521
2025-03-20,162.787,157.37,5.09244,5.0586,0.0121026,5.41721,0.97521
2025-03-21,162.767,156.58,5.09232,5.05357,0.00718841,6.18744,0.97521
2025-03-24,163.034,157.35,5.09396,5.05847,0.0104971,5.68419,0.97521
2025-03-25,163.943,158.29,5.09952,5.06443,0.0110314,5.65312,0.97521
2025-03-26,165.949,160.52,5.11168,5.07842,0.0131636,5.42868,0.97521
2025-03-27,164.645,159.07,5.10379,5.06934,0.0117835,5.57455,0.97521
2025-03-28,164.091,158.45,5.10042,5.06544,0.0111606,5.64131,0.97521
2025-03-31,165.277,159.73,5.10762,5.07348,0.0121859,5.54688,0.97521
2025-04-01,166.482,161.29,5.11489,5.0832,0.0148188,5.1922,0.97521
2025-04-02,164.467,160.02,5.10271,5.0753,0.0187917,4.44673,0.97521
2025-04-03,154.241,148.38,5.03852,4.99978,0.00586837,5.86128,0.97521
2025-04-04,141.556,133.56,4.95269,4.89455,-0.0156608,7.9958,0.97521
2025-04-07,138.463,130.59,4.93061,4.87206,-0.016609,7.87346,0.97521
2025-04-08,135.282,127.51,4.90736,4.84819,-0.0178096,7.77221,0.97521
2025-04-09,144.273,137.97,4.97171,4.92704,-0.00171536,6.3027,0.97521
2025-04-10,133.356,127.16,4.89302,4.84545,-0.00657067,6.19568,0.97521
2025-04-11,133.998,128.5,4.89782,4.85593,-0.000772837,5.49786,0.97521
2025-04-14,133.692,127.91,4.89554,4.85133,-0.00314338,5.7816,0.97521
2025-04-15,132.921,127.21,4.88975,4.84584,-0.00299344,5.71098,0.97521
2025-04-16,133.731,127.95,4.89583,4.85164,-0.00311888,5.78111,0.97521
2025-04-17,136.211,130.64,4.9142,4.87245,-0.000230831,5.57091,0.97521
2025-04-21,132.121,126.32,4.88372,4.83882,-0.00412536,5.80073,0.97521
2025-04-22,135.648,130.38,4.91006,4.87045,0.00181722,5.26776,0.97521
2025-04-23,135.035,130.03,4.90554,4.86777,0.00354286,5.00522,0.97521
2025-04-24,137.396,132.38,4.92287,4.88568,0.00454896,5.01646,0.97521
2025-04-25,137.061,132.34,4.92042,4.88537,0.00663391,4.72055,0.97521
2025-04-28,138.414,133.84,4.93025,4.89665,0.00832124,4.57408,0.97521
2025-04-29,137.624,132.54,4.92452,4.88688,0.00414526,5.08371,0.97521
2025-04-30,134.423,129.05,4.90099,4.8602,0.000411344,5.37268,0.97521
2025-05-01,134.62,129.79,4.90246,4.86592,0.00469671,4.83028,0.97521
2025-05-02,136.833,132.31,4.91876,4.88515,0.00802525,4.52333,0.97521
2025-05-05,133.869,128.8,4.89686,4.85826,0.00249426,5.06943,0.97521
2025-05-06,133.968,128.87,4.8976,4.8588,0.00231805,5.09824,0.97521
2025-05-07,134.156,129.09,4.899,4.86051,0.00265837,5.06593,0.97521
2025-05-08,135.391,130.88,4.90817,4.87428,0.00749338,4.51088,0.97521
2025-05-09,136.823,132.37,4.91869,4.8856,0.00854897,4.45346,0.97521
2025-05-12,139.916,135.21,4.94104,4.90683,0.00798204,4.70576,0.97521
2025-05-13,140.637,135.7,4.94618,4.91045,0.00658542,4.937,0.97521
2025-05-14,139.965,134.79,4.94139,4.90372,0.00452651,5.17519,0.97521
2025-05-15,140.548,135.07,4.94555,4.90579,0.00254893,5.47806,0.97521
2025-05-16,140.39,134.93,4.94442,4.90476,0.00260906,5.46002,0.97521
2025-05-19,138.49,132.79,4.9308,4.88877,-8.9721e-05,5.70001,0.97521
2025-05-20,137.27,132.05,4.92195,4.88318,0.00295105,5.22,0.97521
2025-05-21,135.56,130.16,4.90941,4.86876,0.000759609,5.39999,0.97521
2025-05-22,135.29,130.02,4.90742,4.86769,0.00162777,5.26999,0.97521
2025-05-23,136.54,131.36,4.91662,4.87794,0.0029121,5.17999,0.97521
2025-05-27,137.83,132.58,4.92602,4.88719,0.00298633,5.25,0.97521
2025-05-28,136.02,131.07,4.9128,4.87573,0.00442305,4.95,0.97521
2025-05-29,137.91,133.62,4.9266,4.895,0.0102341,4.29001,0.97521
2025-05-30,136.7,132.19,4.91779,4.88424,0.00806863,4.50999,0.97521
2025-06-02,137.84,133.75,4.92609,4.89597,0.0117017,4.09,0.97521
2025-06-03,139.55,135.96,4.93842,4.91236,0.0160664,3.59,0.97521
2025-06-04,137.37,133.45,4.92268,4.89373,0.0127871,3.92,0.97521
2025-06-05,136.9,133.05,4.91925,4.89073,0.0131276,3.84999,0.97521
2025-06-06,140.21,136.13,4.94314,4.91361,0.0127145,4.08,0.97521
2025-06-09,140.76,136.63,4.94706,4.91728,0.0125629,4.12999,0.97521
2025-06-10,143.35,138.66,4.96529,4.93202,0.00953028,4.69,0.97521
2025-06-11,144.78,140.58,4.97522,4.94578,0.0136021,4.2,0.97521
2025-06-12,144.97,141.14,4.97653,4.94975,0.0162986,3.83,0.97521
2025-06-13,145.91,142.26,4.98299,4.95766,0.0178997,3.65001,0.97521
