Date,MTDR Raw Price,ENB Raw Price,MTDR Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,57.3103,42.98,4.04848,3.76073,-0.02246,14.3303,-0.0559855
2025-01-03,58.2872,43.09,4.06538,3.76329,-0.0189576,15.1972,-0.0559855
2025-01-06,57.5767,42.99,4.05312,3.76097,-0.0219676,14.5867,-0.0559855
2025-01-07,58.9286,43.64,4.07633,3.77597,-0.00566175,15.2886,-0.0559855
2025-01-08,59.2838,44.02,4.08234,3.78464,0.00334466,15.2638,-0.0559855
2025-01-10,60.4383,43.48,4.10162,3.7723,-0.00791859,16.9583,-0.0559855
2025-01-13,61.1389,43.4,4.11315,3.77046,-0.00911493,17.7389,-0.0559855
2025-01-14,61.8987,44.07,4.1255,3.78578,0.00689633,17.8287,-0.0559855
2025-01-15,62.7769,44.33,4.13959,3.79166,0.0135675,18.4469,-0.0559855
2025-01-16,62.5401,44.03,4.13581,3.78487,0.00656539,18.5101,-0.0559855
2025-01-17,62.9249,44.51,4.14194,3.79571,0.0177515,18.4149,-0.0559855
2025-01-21,61.8888,45.31,4.12534,3.81353,0.0346359,16.5788,-0.0559855
2025-01-22,62.2046,44.76,4.13043,3.80131,0.0227079,17.4446,-0.0559855
2025-01-23,61.3757,44.86,4.11701,3.80355,0.0241886,16.5157,-0.0559855
2025-01-24,60.31,45.06,4.0995,3.80799,0.0276564,15.25,-0.0559855
2025-01-27,58.8102,44.7,4.07431,3.79997,0.018225,14.1102,-0.0559855
2025-01-28,59.4811,44.46,4.08566,3.79459,0.0134765,15.0211,-0.0559855
2025-01-29,59.4614,44.26,4.08533,3.79008,0.00894935,15.2014,-0.0559855
2025-01-30,58.751,44.5,4.07331,3.79549,0.0136843,14.251,-0.0559855
2025-01-31,57.2314,43.24,4.0471,3.76677,-0.016506,13.9914,-0.0559855
2025-02-03,56.7775,42.92,4.03914,3.75934,-0.0243799,13.8575,-0.0559855
2025-02-04,57.5965,43.72,4.05346,3.77781,-0.00511032,13.8765,-0.0559855
2025-02-05,57.2018,43.93,4.04658,3.7826,-0.000703519,13.2718,-0.0559855
2025-02-06,55.7216,44.2,4.02037,3.78872,0.0039561,11.5216,-0.0559855
2025-02-07,55.9289,44.45,4.02408,3.79436,0.00980408,11.4789,-0.0559855
2025-02-10,58.4747,44.81,4.06859,3.80243,0.0203626,13.6647,-0.0559855
2025-02-11,58.5832,45.25,4.07045,3.8122,0.0302377,13.3332,-0.0559855
2025-02-12,55.6723,45.1,4.01948,3.80888,0.0240639,10.5723,-0.0559855
2025-02-13,56.363,45.45,4.03181,3.81661,0.0324849,10.913,-0.0559855
2025-02-14,56.4321,43.07,4.03304,3.76283,-0.0212327,13.3621,-0.0559855
2025-02-18,57.034,42.75,4.04365,3.75537,-0.0280962,14.284,-0.0559855
2025-02-19,55.8795,42.31,4.0232,3.74502,-0.0395868,13.5695,-0.0559855
2025-02-20,55.7315,41.98,4.02055,3.73719,-0.0475655,13.7515,-0.0559855
2025-02-21,52.4062,41.78,3.95902,3.73242,-0.0557854,10.6262,-0.0559855
2025-02-24,52.6923,41.54,3.96447,3.72666,-0.0612414,11.1523,-0.0559855
2025-02-25,51.7648,41.65,3.94671,3.7293,-0.0595911,10.1148,-0.0559855
2025-02-26,51.4392,41.75,3.9404,3.7317,-0.0575463,9.68916,-0.0559855
2025-02-27,51.8141,41.73,3.94766,3.73122,-0.0576189,10.0841,-0.0559855
2025-02-28,51.9561,42.73,3.9504,3.7549,-0.0337848,9.22607,-0.0559855
2025-03-03,47.3898,42.67,3.85841,3.7535,-0.0403401,4.71981,-0.0559855
2025-03-04,46.0894,41.55,3.83058,3.7269,-0.0684964,4.53942,-0.0559855
2025-03-05,45.3846,42.49,3.81517,3.74927,-0.0469879,2.89463,-0.0559855
2025-03-06,44.4614,41.6,3.79462,3.7281,-0.0693071,2.86145,-0.0559855
2025-03-07,44.9379,42,3.80528,3.73767,-0.0591408,2.93793,-0.0559855
2025-03-10,44.6898,42.68,3.79974,3.75373,-0.04339,2.00976,-0.0559855
2025-03-11,46.6552,42.3,3.84279,3.74479,-0.0499237,4.35524,-0.0559855
2025-03-12,47.9258,42.54,3.86965,3.75044,-0.0427616,5.38585,-0.0559855
2025-03-13,46.5858,42.55,3.84129,3.75068,-0.0441144,4.03575,-0.0559855
2025-03-14,48.2634,42.83,3.87667,3.75724,-0.0355748,5.43335,-0.0559855
2025-03-17,49.9906,43.5,3.91183,3.77276,-0.0180841,6.49059,-0.0559855
2025-03-18,50.1891,43.41,3.9158,3.77069,-0.0199333,6.77913,-0.0559855
2025-03-19,52.234,43.75,3.95573,3.77849,-0.0098957,8.48401,-0.0559855
2025-03-20,51.9263,44.23,3.94983,3.7894,0.000685173,7.69629,-0.0559855
2025-03-21,51.1322,43.87,3.93441,3.78123,-0.00835025,7.26215,-0.0559855
2025-03-24,52.5814,44.26,3.96236,3.79008,0.00206514,8.32145,-0.0559855
2025-03-25,51.9362,44.42,3.95002,3.79369,0.00498237,7.51622,-0.0559855
2025-03-26,51.8568,44.52,3.94849,3.79594,0.00714546,7.3368,-0.0559855
2025-03-27,51.1222,44.36,3.93422,3.79234,0.00274637,6.76223,-0.0559855
2025-03-28,50.1395,44.46,3.91481,3.79459,0.00391137,5.67949,-0.0559855
2025-03-31,50.7152,44.31,3.92623,3.79121,0.00117112,6.40524,-0.0559855
2025-04-01,50.7351,44.57,3.92662,3.79706,0.00704359,6.16509,-0.0559855
2025-04-02,51.8469,45.14,3.94829,3.80977,0.020965,6.70687,-0.0559855
2025-04-03,44.2431,45.34,3.7897,3.81419,0.0165068,1.09694,-0.0559855
2025-04-04,38.0985,43.35,3.64017,3.76931,-0.0367474,5.25153,-0.0559855
2025-04-07,38.0488,41.95,3.63887,3.73648,-0.0696486,3.90117,-0.0559855
