Date,BP Raw Price,PSX Raw Price,BP Log Price,PSX Log Price,Residual,Spread,Beta
2025-01-02,29.0449,112.306,3.36884,4.72123,0.0187712,83.2613,1.05106
2025-01-03,29.5689,113.955,3.38672,4.73581,0.0145541,84.3863,1.05106
2025-01-06,30.1026,113.052,3.40461,4.72785,-0.0122054,82.9495,1.05106
2025-01-07,30.8887,113.072,3.43039,4.72802,-0.0391249,82.1831,1.05106
2025-01-08,30.1997,114.112,3.40783,4.73718,-0.00625445,83.9126,1.05106
2025-01-10,30.3646,111.835,3.41328,4.71702,-0.0321394,81.4703,1.05106
2025-01-13,30.2967,113.847,3.41104,4.73486,-0.0119518,83.5505,1.05106
2025-01-14,30.1706,115.114,3.40687,4.74592,0.00349516,84.943,1.05106
2025-01-15,30.3743,116.812,3.4136,4.76056,0.0110641,86.4374,1.05106
2025-01-16,30.8402,117.43,3.42882,4.76584,0.000348073,86.59,1.05106
2025-01-17,30.7528,118.314,3.42598,4.77334,0.0108239,87.5608,1.05106
2025-01-21,30.5878,118.274,3.4206,4.77301,0.0161456,87.6865,1.05106
2025-01-22,30.2094,116.37,3.40815,4.75677,0.0129996,86.1606,1.05106
2025-01-23,30.5587,120.365,3.41965,4.79053,0.0346698,89.8064,1.05106
2025-01-24,30.5199,119.619,3.41838,4.78431,0.0297884,89.0992,1.05106
2025-01-27,30.5199,120.817,3.41838,4.79427,0.0397502,90.2968,1.05106
2025-01-28,30.2385,118.952,3.40912,4.77872,0.0339294,88.7131,1.05106
2025-01-29,30.2094,119.914,3.40815,4.78677,0.0429965,89.7042,1.05106
2025-01-30,30.6752,118.618,3.42345,4.77591,0.0160493,87.9427,1.05106
2025-01-31,30.1414,115.702,3.4059,4.75102,0.00961325,85.561,1.05106
2025-02-03,29.9571,115.693,3.39977,4.75094,0.0159777,85.7356,1.05106
2025-02-04,30.7043,121.337,3.4244,4.79857,0.0377164,90.6326,1.05106
2025-02-05,30.7334,121.052,3.42535,4.79622,0.0343714,90.3189,1.05106
2025-02-06,31.0148,118.598,3.43447,4.77574,0.00430995,87.5834,1.05106
2025-02-07,31.3157,118.088,3.44412,4.77143,-0.010149,86.7721,1.05106
2025-02-10,33.4021,121.435,3.50862,4.79938,-0.0499906,88.033,1.05106
2025-02-11,33.5282,127.168,3.51239,4.84551,-0.00782602,93.6395,1.05106
2025-02-12,33.6544,122.741,3.51614,4.81007,-0.0472066,89.0863,1.05106
2025-02-13,33.47,123.231,3.51065,4.81406,-0.0374417,89.7614,1.05106
