Date,BP Raw Price,PSX Raw Price,BP Log Price,PSX Log Price,Residual,Spread,Beta
2025-02-14,33.9649,125.685,3.52533,4.83378,-0.0331517,91.7205,1.05106
2025-02-18,34.2658,127.884,3.53415,4.85113,-0.0250767,93.6185,1.05106
2025-02-19,33.5185,127.57,3.5121,4.84867,-0.00436191,94.0516,1.05106
2025-02-20,33.6253,129.131,3.51528,4.86083,0.00445615,95.5056,1.05106
2025-02-21,33.3497,126.412,3.50705,4.83955,-0.00817698,93.0621,1.05106
2025-02-24,33.2021,125.867,3.50261,4.83523,-0.00783328,92.665,1.05106
2025-02-25,32.7003,125.055,3.48738,4.82875,0.00170198,92.3547,1.05106
2025-02-26,32.159,124.243,3.47069,4.82224,0.0127282,92.0837,1.05106
2025-02-27,32.592,126.194,3.48407,4.83782,0.014254,93.602,1.05106
2025-02-28,32.592,128.452,3.48407,4.85556,0.0319907,95.8602,1.05106
2025-03-03,31.3029,123.797,3.44371,4.81864,0.0374946,92.4942,1.05106
2025-03-04,30.9388,121.123,3.43201,4.79681,0.0279533,90.184,1.05106
2025-03-05,31.3718,118.597,3.44591,4.77573,-0.00772678,87.2254,1.05106
2025-03-06,31.2045,121.618,3.44056,4.80089,0.0230459,90.4136,1.05106
2025-03-07,31.5588,124.976,3.45185,4.82812,0.0384144,93.417,1.05106
2025-03-10,31.6965,124.926,3.45621,4.82772,0.0334397,93.2297,1.05106
2025-03-11,31.4702,122.371,3.44904,4.80706,0.0203047,90.9006,1.05106
2025-03-12,31.6867,122.797,3.4559,4.81053,0.0165732,91.11,1.05106
2025-03-13,31.854,121.331,3.46116,4.79852,-0.00097053,89.4769,1.05106
2025-03-14,32.8577,125.52,3.49219,4.83247,0.000368851,92.6628,1.05106
2025-03-17,33.2218,127.957,3.50321,4.85169,0.00801138,94.7352,1.05106
2025-03-18,33.6745,127.184,3.51674,4.84564,-0.0122693,93.5099,1.05106
2025-03-19,34.0583,127.769,3.52807,4.85022,-0.0195961,93.7105,1.05106
2025-03-20,34.196,127.591,3.53211,4.84883,-0.0252354,93.3945,1.05106
2025-03-21,33.9992,124.292,3.52634,4.82264,-0.0453588,90.2931,1.05106
2025-03-24,33.5662,125.263,3.51352,4.83042,-0.0241084,91.6967,1.05106
2025-03-25,33.7434,124.292,3.51878,4.82264,-0.0374194,90.5489,1.05106
2025-03-26,33.8713,125.362,3.52257,4.83121,-0.032827,91.4907,1.05106
2025-03-27,33.8615,123.53,3.52228,4.81648,-0.047246,89.6682,1.05106
2025-03-28,33.3202,120.598,3.50616,4.79246,-0.0543298,87.2777,1.05106
2025-03-31,33.2513,122.301,3.50409,4.80649,-0.0381273,89.0501,1.05106
2025-04-01,33.271,123.163,3.50469,4.81351,-0.0317284,89.8922,1.05106
2025-04-02,33.271,122.876,3.50469,4.81118,-0.0340632,89.6049,1.05106
2025-04-03,30.8404,106.157,3.42883,4.66492,-0.100584,75.3167,1.05106
2025-04-04,27.9276,97.8669,3.32961,4.58361,-0.0776186,69.9394,1.05106
2025-04-07,26.7369,95.6681,3.28604,4.56089,-0.0545463,68.9312,1.05106
2025-04-08,25.6938,91.9836,3.24625,4.52161,-0.0519938,66.2899,1.05106
2025-04-09,27.4552,102.146,3.31256,4.6264,-0.0168982,74.6905,1.05106
2025-04-10,25.8119,96.0643,3.25083,4.56502,-0.0134061,70.2524,1.05106
2025-04-11,26.1661,96.4506,3.26447,4.56903,-0.0237207,70.2845,1.05106
2025-04-14,26.481,96.8864,3.27643,4.57354,-0.0317859,70.4054,1.05106
2025-04-15,26.7762,95.2917,3.28751,4.55694,-0.0600344,68.5155,1.05106
2025-04-16,27.2191,95.6483,3.30392,4.56068,-0.0735399,68.4293,1.05106
2025-04-17,27.8685,98.1542,3.3275,4.58654,-0.0724635,70.2856,1.05106
2025-04-21,27.6324,96.0841,3.31899,4.56522,-0.0848336,68.4518,1.05106
2025-04-22,28.4098,99.937,3.34673,4.60454,-0.0746798,71.5272,1.05106
2025-04-23,28.1441,101.799,3.33734,4.623,-0.046343,73.655,1.05106
2025-04-24,28.5377,103.691,3.35123,4.64141,-0.0425284,75.1531,1.05106
2025-04-25,28.7247,102.978,3.35776,4.63451,-0.0562934,74.253,1.05106
2025-04-28,28.6656,104.77,3.3557,4.65177,-0.0368716,76.1048,1.05106
2025-04-29,27.6225,104.988,3.31863,4.65385,0.00416579,77.3658,1.05106
2025-04-30,27.0222,103.067,3.29666,4.63538,0.0087872,76.0446,1.05106
2025-05-01,27.4355,102.473,3.31184,4.62959,-0.0129497,75.037,1.05106
2025-05-02,27.6717,106.127,3.32041,4.66464,0.0130858,78.4556,1.05106
2025-05-05,28.7148,105.88,3.35741,4.6623,-0.0281418,77.1649,1.05106
2025-05-06,27.9473,104.384,3.33032,4.64808,-0.0138901,76.4369,1.05106
2025-05-07,27.6816,104.543,3.32077,4.64959,-0.00233269,76.861,1.05106
2025-05-08,28.1342,108.148,3.33699,4.6835,0.0145233,80.0136,1.05106
2025-05-09,29.2954,109.861,3.37743,4.69922,-0.0122662,80.5659,1.05106
2025-05-12,29.7087,117.547,3.39144,4.76684,0.0406305,87.8386,1.05106
2025-05-13,30.0728,124.372,3.40362,4.82327,0.08426,94.2987,1.05106
2025-05-14,29.876,123.51,3.39706,4.81632,0.0842086,93.6338,1.05106
2025-05-15,29.63,123.579,3.38879,4.81688,0.0934606,93.9492,1.05106
2025-05-16,29.76,124.53,3.39317,4.82455,0.096524,94.77,1.05106
2025-05-19,29.4,122.18,3.38099,4.8055,0.0902646,92.78,1.05106
2025-05-20,29.2,120.9,3.37417,4.79496,0.0869075,91.7,1.05106
2025-05-21,28.88,111.78,3.36315,4.71653,0.0200585,82.9,1.05106
2025-05-22,28.94,112.98,3.36522,4.72721,0.0285552,84.04,1.05106
2025-05-23,29.09,113.13,3.37039,4.72854,0.0244483,84.04,1.05106
2025-05-27,29.15,114.33,3.37245,4.73909,0.0328341,85.18,1.05106
2025-05-28,28.94,112.77,3.36522,4.72535,0.0266947,83.83,1.05106
2025-05-29,29.17,114.68,3.37314,4.74215,0.0351698,85.51,1.05106
2025-05-30,29.1,113.48,3.37074,4.73163,0.0271761,84.38,1.05106
2025-06-02,29.58,114.28,3.3871,4.73865,0.0170054,84.7,1.05106
2025-06-03,29.56,115.97,3.38642,4.75333,0.0323963,86.41,1.05106
2025-06-04,28.92,112.48,3.36453,4.72278,0.0248465,83.56,1.05106
2025-06-05,29.05,112.23,3.36902,4.72055,0.0179073,83.18,1.05106
2025-06-06,29.29,114.29,3.37725,4.73874,0.0274482,85,1.05106
2025-06-09,29.46,116.1,3.38303,4.75445,0.0370783,86.64,1.05106
2025-06-10,30.23,118.7,3.40883,4.7766,0.0321069,88.47,1.05106
2025-06-11,30.81,120.95,3.42784,4.79538,0.03091,90.14,1.05106
2025-06-12,30.92,121.52,3.4314,4.80008,0.0318657,90.6,1.05106
2025-06-13,31.72,122.15,3.45695,4.80525,0.0101883,90.43,1.05106
