Date,APA Raw Price,MTDR Raw Price,APA Log Price,MTDR Log Price,Residual,Spread,Beta
2025-03-28,20.5826,50.1395,3.02445,3.91481,-0.03837,29.5569,0.976246
2025-03-31,20.681,50.7152,3.02921,3.92623,-0.031608,30.0343,0.976246
2025-04-01,20.7892,50.7351,3.03443,3.92662,-0.036312,29.9459,0.976246
2025-04-02,20.8974,51.8469,3.03963,3.94829,-0.0197041,30.9495,0.976246
2025-04-03,17.4539,44.2431,2.85956,3.7897,-0.00251328,26.7892,0.976246
2025-04-04,14.9352,38.0985,2.70372,3.64017,0.00010353,23.1633,0.976246
2025-04-07,14.7187,38.0488,2.68912,3.63887,0.0130519,23.3301,0.976246
2025-04-08,13.8037,36.401,2.62494,3.5946,0.0314354,22.5973,0.976246
2025-04-09,16.4405,42.1882,2.79975,3.74214,0.00832369,25.7478,0.976246
2025-04-10,14.3645,37.5624,2.66476,3.626,0.0239657,23.1979,0.976246
2025-04-11,14.7974,39.1209,2.69445,3.66666,0.035632,24.3235,0.976246
2025-04-14,14.9548,38.9422,2.70503,3.66208,0.0207234,23.9874,0.976246
2025-04-15,14.6498,38.6643,2.68443,3.65492,0.0336765,24.0144,0.976246
2025-04-16,15.1221,39.8356,2.71616,3.68476,0.0325479,24.7135,0.976246
2025-04-17,15.8502,41.1658,2.76318,3.71761,0.0194883,25.3156,0.976246
2025-04-21,15.25,39.7364,2.72458,3.68227,0.0218304,24.4864,0.976246
2025-04-22,15.86,40.7191,2.7638,3.7067,0.00797209,24.8591,0.976246
2025-04-23,15.65,40.5404,2.75047,3.7023,0.016587,24.8904,0.976246
2025-04-24,16.26,40.4511,2.78871,3.70009,-0.0229481,24.1911,0.976246
2025-04-25,16.35,40.7687,2.79423,3.70792,-0.0205147,24.4187,0.976246
2025-04-28,16.55,41.2353,2.80639,3.71929,-0.0210051,24.6853,0.976246
2025-04-29,16.24,40.7191,2.78748,3.7067,-0.0151426,24.4791,0.976246
2025-04-30,15.54,39.25,2.74342,3.66995,-0.00887615,23.71,0.976246
2025-05-01,16.22,40.193,2.78625,3.69369,-0.0269443,23.973,0.976246
2025-05-02,16.46,40.7886,2.80093,3.7084,-0.0265738,24.3286,0.976246
2025-05-05,15.5,39.3592,2.74084,3.67273,-0.00358195,23.8592,0.976246
2025-05-06,15.73,40.0342,2.75557,3.68973,-0.000957002,24.3042,0.976246
2025-05-07,15.48,39.7463,2.73955,3.68252,0.00746655,24.2663,0.976246
2025-05-08,16.18,42.357,2.78378,3.74613,0.0279071,26.177,0.976246
2025-05-09,16.72,42.75,2.81661,3.75537,0.00509287,26.03,0.976246
2025-05-12,17.71,44.69,2.87413,3.79975,-0.00668401,26.98,0.976246
2025-05-13,18.46,46.36,2.91561,3.83644,-0.0104882,27.9,0.976246
2025-05-14,18.17,45.89,2.89977,3.82625,-0.0052199,27.72,0.976246
2025-05-15,17.76,44.59,2.87695,3.79751,-0.0116765,26.83,0.976246
2025-05-16,17.59,44.54,2.86733,3.79639,-0.00340872,26.95,0.976246
2025-05-19,17.32,44.29,2.85186,3.79076,0.00606377,26.97,0.976246
2025-05-20,17.25,44.28,2.84781,3.79053,0.00979146,27.03,0.976246
2025-05-21,16.71,43.55,2.81601,3.77391,0.0242174,26.84,0.976246
2025-05-22,16.74,43.6,2.8178,3.77506,0.0236137,26.86,0.976246
2025-05-23,16.85,43.4,2.82435,3.77046,0.012622,26.55,0.976246
2025-05-27,17.31,44.16,2.85128,3.78782,0.00368806,26.85,0.976246
2025-05-28,17.18,43.83,2.84375,3.78032,0.00354655,26.65,0.976246
2025-05-29,17.34,44.04,2.85302,3.7851,-0.000723515,26.7,0.976246
2025-05-30,17.01,43.01,2.8338,3.76143,-0.0056311,26,0.976246
2025-06-02,17.33,43.51,2.85244,3.77299,-0.0122679,26.18,0.976246
2025-06-03,18.27,45.8,2.90526,3.82428,-0.0125412,27.53,0.976246
2025-06-04,17.92,45.01,2.88592,3.80688,-0.0110571,27.09,0.976246
2025-06-05,17.85,44.77,2.882,3.80154,-0.0125825,26.92,0.976246
2025-06-06,18.5,45.79,2.91777,3.82407,-0.0249727,27.29,0.976246
2025-06-09,18.63,46.66,2.92477,3.84289,-0.0129872,28.03,0.976246
2025-06-10,19.28,47.93,2.95907,3.86974,-0.0196134,28.65,0.976246
2025-06-11,19.61,49.02,2.97604,3.89223,-0.0136948,29.41,0.976246
2025-06-12,19.95,49.5,2.99323,3.90197,-0.0207318,29.55,0.976246
2025-06-13,21.01,51.64,3.045,3.9443,-0.0289475,30.63,0.976246
