Date,APA Raw Price,MTDR Raw Price,APA Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,22.7603,57.3103,3.12502,4.04848,-0.00288028,34.55,0.976246
2025-01-03,22.7992,58.2872,3.12673,4.06538,0.0123527,35.488,0.976246
2025-01-06,23.0328,57.5767,3.13692,4.05312,-0.00986445,34.5439,0.976246
2025-01-07,23.0328,58.9286,3.13692,4.07633,0.0133432,35.8957,0.976246
2025-01-08,23.0523,59.2838,3.13777,4.08234,0.0185283,36.2315,0.976246
2025-01-10,23.0523,60.4383,3.13777,4.10162,0.0378152,37.386,0.976246
2025-01-13,23.7337,61.1389,3.1669,4.11315,0.0209001,37.4051,0.976246
2025-01-14,24.1913,61.8987,3.18599,4.1255,0.0146098,37.7074,0.976246
2025-01-15,24.7754,62.7769,3.20985,4.13959,0.00540659,38.0015,0.976246
2025-01-16,24.4833,62.5401,3.19799,4.13581,0.0132033,38.0567,0.976246
2025-01-17,23.7532,62.9249,3.16772,4.14194,0.0488933,39.1717,0.976246
2025-01-21,23.0718,61.8888,3.13861,4.12534,0.0607075,38.817,0.976246
2025-01-22,22.9832,62.2046,3.13476,4.13043,0.0695506,39.2213,0.976246
2025-01-23,23.1308,61.3757,3.14117,4.11701,0.0498875,38.2449,0.976246
2025-01-24,22.9439,60.31,3.13305,4.0995,0.0402934,37.3661,0.976246
2025-01-27,23.0029,58.8102,3.13562,4.07431,0.0126012,35.8073,0.976246
2025-01-28,22.9635,59.4811,3.13391,4.08566,0.0256177,36.5176,0.976246
2025-01-29,22.8061,59.4614,3.12703,4.08533,0.0320012,36.6553,0.976246
2025-01-30,22.6192,58.751,3.1188,4.07331,0.0280161,36.1318,0.976246
2025-01-31,21.5763,57.2314,3.0716,4.0471,0.0478932,35.6551,0.976246
2025-02-03,21.1237,56.7775,3.0504,4.03914,0.060626,35.6537,0.976246
2025-02-04,22.0289,57.5965,3.09235,4.05346,0.0339865,35.5676,0.976246
2025-02-05,21.8321,57.2018,3.08338,4.04658,0.0358696,35.3697,0.976246
2025-02-06,21.291,55.7216,3.05828,4.02037,0.0341556,34.4307,0.976246
2025-02-07,21.3205,55.9289,3.05967,4.02408,0.036515,34.6084,0.976246
2025-02-10,22.6192,58.4747,3.1188,4.06859,0.0233023,35.8555,0.976246
2025-02-11,22.934,58.5832,3.13262,4.07045,0.011662,35.6492,0.976246
2025-02-12,22.0092,55.6723,3.09146,4.01948,0.000880431,33.6631,0.976246
2025-02-13,22.1273,56.363,3.09681,4.03181,0.00798828,34.2358,0.976246
2025-02-14,22.7668,56.4321,3.1253,4.03304,-0.0186021,33.6653,0.976246
2025-02-18,23.1898,57.034,3.14371,4.04365,-0.025967,33.8442,0.976246
2025-02-19,23.2095,55.8795,3.14456,4.0232,-0.047245,32.67,0.976246
2025-02-20,23.239,55.7315,3.14583,4.02055,-0.051138,32.4925,0.976246
2025-02-21,22.4224,52.4062,3.11006,3.95902,-0.0777372,29.9837,0.976246
2025-02-24,22.5011,52.6923,3.11357,3.96447,-0.0757126,30.1912,0.976246
2025-02-25,22.019,51.7648,3.09191,3.94671,-0.0723284,29.7457,0.976246
2025-02-26,21.655,51.4392,3.07524,3.9404,-0.062364,29.7842,0.976246
2025-02-27,20.0906,51.8141,3.00025,3.94766,0.0180999,31.7235,0.976246
2025-02-28,20.3661,51.9561,3.01387,3.9504,0.00754035,31.5899,0.976246
2025-03-03,18.5853,47.3898,2.92237,3.85841,0.0048768,28.8045,0.976246
2025-03-04,18.2705,46.0894,2.90529,3.83058,-0.0062676,27.8189,0.976246
2025-03-05,18.241,45.3846,2.90367,3.81517,-0.0200993,27.1437,0.976246
2025-03-06,18.4476,44.4614,2.91493,3.79462,-0.0516458,26.0139,0.976246
2025-03-07,18.5361,44.9379,2.91972,3.80528,-0.0456609,26.4018,0.976246
2025-03-10,18.7132,44.6898,2.92923,3.79974,-0.0604816,25.9765,0.976246
2025-03-11,18.8903,46.6552,2.93865,3.84279,-0.0266363,27.7649,0.976246
2025-03-12,19.3331,47.9258,2.96182,3.86965,-0.0223833,28.5928,0.976246
2025-03-13,18.7329,46.5858,2.93028,3.84129,-0.0199574,27.8528,0.976246
2025-03-14,19.2937,48.2634,2.95978,3.87667,-0.0133764,28.9696,0.976246
2025-03-17,19.7069,49.9906,2.98097,3.91183,0.00109777,30.2837,0.976246
2025-03-18,19.8447,50.1891,2.98794,3.9158,-0.00173842,30.3444,0.976246
2025-03-19,20.4744,52.234,3.01917,3.95573,0.00770183,31.7597,0.976246
2025-03-20,20.2382,51.9263,3.00757,3.94983,0.0131175,31.6881,0.976246
2025-03-21,20.2776,51.1322,3.00952,3.93441,-0.0041908,30.8546,0.976246
2025-03-24,20.5039,52.5814,3.02061,3.96236,0.0129249,32.0776,0.976246
2025-03-25,20.5531,51.9362,3.02301,3.95002,-0.00176155,31.3832,0.976246
2025-03-26,20.7597,51.8568,3.03301,3.94849,-0.0130566,31.0971,0.976246
2025-03-27,20.8581,51.1222,3.03774,3.93422,-0.0319391,30.2642,0.976246
