Date,EOG Raw Price,FANG Raw Price,EOG Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,122.706,164.468,4.80979,5.10271,0.0780904,41.7618,1.23438
2025-01-03,124.536,168.59,4.82459,5.12747,0.0845702,44.0537,1.23438
2025-01-06,124.359,167.288,4.82317,5.11972,0.0785757,42.9291,1.23438
2025-01-07,125.51,170.029,4.83239,5.13597,0.0834565,44.5194,1.23438
2025-01-08,126.396,168.619,4.83942,5.12764,0.0664496,42.2237,1.23438
2025-01-10,129.298,172.347,4.86212,5.14951,0.0602892,43.0487,1.23438
2025-01-13,132.329,175.148,4.88529,5.16563,0.0478109,42.8188,1.23438
2025-01-14,133.588,175.217,4.89476,5.16602,0.0365123,41.6284,1.23438
2025-01-15,134.857,177.07,4.90422,5.17655,0.0353649,42.2131,1.23438
2025-01-16,135.832,176.637,4.91142,5.17409,0.0240273,40.8051,1.23438
2025-01-17,135.341,177.682,4.9078,5.17999,0.0343932,42.3409,1.23438
2025-01-21,134.806,174.497,4.90384,5.16191,0.0211942,39.6908,1.23438
2025-01-22,132.804,175.128,4.88888,5.16552,0.0432707,42.3236,1.23438
2025-01-23,132.765,174.181,4.88858,5.1601,0.0382188,41.4165,1.23438
2025-01-24,130.624,170.858,4.87232,5.14083,0.0390174,40.2336,1.23438
2025-01-27,130.763,169.221,4.87339,5.1312,0.0280801,38.4579,1.23438
2025-01-28,129.068,166.903,4.86034,5.11742,0.030391,37.835,1.23438
2025-01-29,129.049,168.491,4.86019,5.12688,0.0400483,39.4425,1.23438
2025-01-30,128.603,168.047,4.85673,5.12425,0.0416836,39.4446,1.23438
2025-01-31,124.649,162.081,4.8255,5.0881,0.0440812,37.4323,1.23438
2025-02-03,125.253,162.2,4.83034,5.08883,0.0388396,36.9462,1.23438
2025-02-04,126.958,163.994,4.84385,5.09983,0.0331604,37.0366,1.23438
2025-02-05,126.542,162.476,4.84057,5.09053,0.0279099,35.9341,1.23438
2025-02-06,125.531,157.811,4.83255,5.0614,0.00868049,32.2804,1.23438
2025-02-07,125.352,155.938,4.83113,5.04946,-0.00150805,30.5852,1.23438
2025-02-10,129.376,159.419,4.86272,5.07153,-0.0184249,30.043,1.23438
2025-02-11,131.09,159.764,4.87588,5.0737,-0.0325111,28.6739,1.23438
2025-02-12,127.671,153.305,4.84946,5.03243,-0.0411619,25.6334,1.23438
2025-02-13,127.85,154.005,4.85085,5.03698,-0.0383286,26.1552,1.23438
2025-02-14,128.137,154.813,4.8531,5.04222,-0.035863,26.6765,1.23438
2025-02-18,129.752,154.587,4.86563,5.04075,-0.0527918,24.8344,1.23438
2025-02-19,133.31,158.038,4.89267,5.06284,-0.0640977,24.7285,1.23438
2025-02-20,134.439,159.843,4.90111,5.07419,-0.0631594,25.4034,1.23438
2025-02-21,131.873,153.955,4.88184,5.03666,-0.0768937,22.0827,1.23438
2025-02-24,132.418,153.078,4.88596,5.03095,-0.0877017,20.66,1.23438
2025-02-25,130.129,149.814,4.86852,5.00939,-0.0877308,19.685,1.23438
2025-02-26,128.662,150.317,4.85719,5.01274,-0.0703887,21.6545,1.23438
2025-02-27,129.425,153.433,4.8631,5.03326,-0.0571686,24.0076,1.23438
2025-02-28,125.788,156.756,4.8346,5.05469,-0.000559001,30.9676,1.23438
2025-03-03,119.447,145.948,4.78287,4.98325,-0.00814142,26.5015,1.23438
2025-03-04,121.002,143.029,4.79581,4.96305,-0.0443178,22.0268,1.23438
2025-03-05,120.745,140.722,4.79368,4.94678,-0.0579518,19.9769,1.23438
2025-03-06,121.082,138.934,4.79646,4.934,-0.0741756,17.8524,1.23438
2025-03-07,124.124,139.143,4.82128,4.9355,-0.103306,15.0188,1.23438
2025-03-10,124.748,139.609,4.8263,4.93885,-0.10615,14.8613,1.23438
2025-03-11,123.361,143.651,4.81511,4.96739,-0.0638052,20.2905,1.23438
2025-03-12,123.143,145.538,4.81334,4.98044,-0.0485722,22.3954,1.23438
2025-03-13,119.992,144.793,4.78742,4.97531,-0.0217049,24.8017,1.23438
2025-03-14,122.796,149.163,4.81052,5.00504,-0.0204897,26.367,1.23438
2025-03-17,122.459,151.973,4.80778,5.0237,0.001568,29.5144,1.23438
2025-03-18,121.458,153.93,4.79957,5.0365,0.0244889,32.4716,1.23438
2025-03-19,123.807,156.512,4.81872,5.05313,0.017484,32.7051,1.23438
2025-03-20,123.172,157.386,4.81359,5.0587,0.0293915,34.2132,1.23438
2025-03-21,124.035,157.406,4.82056,5.05883,0.0209082,33.371,1.23438
2025-03-24,127.106,159.898,4.84502,5.07454,0.00642139,32.7918,1.23438
2025-03-25,126.224,160.484,4.83806,5.0782,0.0186738,34.2597,1.23438
2025-03-26,128.008,161.964,4.85209,5.08737,0.0105311,33.9557,1.23438
2025-03-27,125.58,159.124,4.83295,5.06968,0.0164747,33.5432,1.23438
2025-03-28,125.442,156.452,4.83184,5.05275,0.000908316,31.0105,1.23438
2025-03-31,127.077,158.776,4.84479,5.06749,-0.000332734,31.6993,1.23438
2025-04-01,128.127,159.759,4.85302,5.07367,-0.00432079,31.6321,1.23438
2025-04-02,128.791,160.375,4.85819,5.07751,-0.00685388,31.5839,1.23438
2025-04-03,118.802,140.304,4.77746,4.94381,-0.0409033,21.502,1.23438
2025-04-04,109.547,122.518,4.69636,4.80826,-0.0763427,12.971,1.23438
2025-04-07,108.041,123.67,4.68251,4.81762,-0.0498943,15.6292,1.23438
2025-04-08,104.008,118.427,4.64447,4.77429,-0.0462585,14.4187,1.23438
2025-04-09,113.015,133.998,4.72752,4.89783,-0.0252491,20.9829,1.23438
2025-04-10,103.661,122.31,4.64113,4.80656,-0.00987318,18.6485,1.23438
2025-04-11,107.555,128.119,4.67801,4.85296,-0.00899109,20.5638,1.23438
2025-04-14,106.664,126.759,4.66968,4.84228,-0.00938911,20.0951,1.23438
2025-04-15,106.505,126.262,4.66819,4.83836,-0.011478,19.7571,1.23438
2025-04-16,108.24,129.321,4.68435,4.8623,-0.00748778,21.0808,1.23438
2025-04-17,110.5,136.69,4.70502,4.91771,0.0224206,26.1896,1.23438
2025-04-21,109.11,131.436,4.69236,4.87852,-0.00114507,22.3261,1.23438
2025-04-22,111.32,135.597,4.71241,4.90969,0.00527032,24.2772,1.23438
2025-04-23,111.57,134.604,4.71465,4.90234,-0.00484958,23.0341,1.23438
2025-04-24,113.46,135.22,4.73145,4.9069,-0.0210208,21.7598,1.23438
2025-04-25,113.07,135.816,4.72801,4.9113,-0.0123738,22.7456,1.23438
2025-04-28,114.14,136.868,4.73743,4.91902,-0.0162789,22.7283,1.23438
2025-04-29,112.93,135.706,4.72677,4.91049,-0.0116491,22.7764,1.23438
2025-04-30,110.33,131.098,4.70348,4.87595,-0.0174429,20.7684,1.23438
2025-05-01,111.68,133.899,4.71564,4.89709,-0.0113179,22.219,1.23438
2025-05-02,110.86,135.865,4.70827,4.91166,0.0123572,25.0053,1.23438
2025-05-05,108.52,132.161,4.68693,4.88402,0.0110484,23.6411,1.23438
2025-05-06,108.72,131.069,4.68878,4.87572,0.00047529,22.3486,1.23438
2025-05-07,107.97,128.675,4.68185,4.85729,-0.00940889,20.7053,1.23438
2025-05-08,109.71,135.24,4.69784,4.90705,0.0206132,25.5297,1.23438
2025-05-09,111.12,136.938,4.71061,4.91953,0.0173287,25.8178,1.23438
2025-05-12,114.06,141.933,4.73672,4.95536,0.0209231,27.8731,1.23438
2025-05-13,116.65,145.161,4.75918,4.97784,0.0156924,28.5107,1.23438
2025-05-14,115.59,143.82,4.75005,4.96856,0.0176818,28.23,1.23438
2025-05-15,115.86,141.95,4.75238,4.95547,0.00171414,26.09,1.23438
2025-05-16,115.5,141.13,4.74927,4.94968,-0.000237803,25.63,1.23438
2025-05-19,113.95,139.35,4.73576,4.93699,0.00374694,25.4,1.23438
2025-05-20,112.58,138.35,4.72366,4.92979,0.0114755,25.77,1.23438
2025-05-21,111.38,136.31,4.71295,4.91493,0.00984841,24.93,1.23438
2025-05-22,110.79,136.29,4.70764,4.91478,0.0162577,25.5,1.23438
2025-05-23,110.18,135.86,4.70212,4.91162,0.0199129,25.68,1.23438
2025-05-27,111.23,137.49,4.7116,4.92355,0.0201314,26.26,1.23438
2025-05-28,110.45,136.28,4.70456,4.91471,0.0199784,25.83,1.23438
2025-05-29,109.88,137.81,4.69939,4.92588,0.0375295,27.93,1.23438
2025-05-30,108.57,134.55,4.6874,4.90194,0.0283942,25.98,1.23438
2025-06-02,111.34,137.59,4.71259,4.92428,0.0196383,26.25,1.23438
2025-06-03,112.82,142.28,4.72579,4.9578,0.036857,29.46,1.23438
2025-06-04,110.77,139.35,4.70746,4.93699,0.0386845,28.58,1.23438
2025-06-05,111.03,137.45,4.7098,4.92326,0.0220619,26.42,1.23438
2025-06-06,114.05,140.56,4.73664,4.94563,0.0113097,26.51,1.23438
2025-06-09,114.33,142.13,4.73909,4.95674,0.0193907,27.8,1.23438
2025-06-10,117.88,145.57,4.76967,4.98066,0.00556072,27.69,1.23438
2025-06-11,119.92,148.92,4.78682,5.00341,0.00713376,29,1.23438
2025-06-12,120.59,149.33,4.7924,5.00616,0.00300583,28.74,1.23438
2025-06-13,125.28,154.91,4.83055,5.04284,-0.00740601,29.63,1.23438
