Date,COP Raw Price,MUR Raw Price,COP Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,98.4366,30.1631,4.58941,3.40662,0.108059,68.2736,1.97762
2025-01-03,99.4301,30.0559,4.59945,3.40306,0.0846416,69.3742,1.97762
2025-01-06,98.3481,29.9682,4.58851,3.40014,0.103357,68.3799,1.97762
2025-01-07,100.001,30.8256,4.60518,3.42834,0.0986128,69.175,1.97762
2025-01-08,99.9514,31.9265,4.60468,3.46344,0.134677,68.0249,1.97762
2025-01-10,100.246,32.3746,4.60763,3.47738,0.142787,67.8718,1.97762
2025-01-13,102.519,32.9592,4.63004,3.49527,0.11636,69.5593,1.97762
2025-01-14,103.158,33.0274,4.63626,3.49734,0.106132,70.1304,1.97762
2025-01-15,103.748,32.5987,4.64196,3.48427,0.0817866,71.1493,1.97762
2025-01-16,103.876,32.1993,4.6432,3.47194,0.0670218,71.6766,1.97762
2025-01-17,104.112,31.4101,4.64547,3.44713,0.0377191,72.7018,1.97762
2025-01-21,102.568,30.6794,4.63052,3.42359,0.0437335,71.8882,1.97762
2025-01-22,101.368,30.0656,4.61875,3.40338,0.0467974,71.3021,1.97762
2025-01-23,102.282,29.6175,4.62774,3.38836,0.0140134,72.665,1.97762
2025-01-24,100.158,28.9745,4.60675,3.36642,0.0335739,71.1834,1.97762
2025-01-27,101.004,28.7894,4.61516,3.36001,0.0105327,72.2144,1.97762
2025-01-28,99.7153,28.4484,4.60232,3.34809,0.0240084,71.2669,1.97762
2025-01-29,99.8923,28.4289,4.60409,3.34741,0.0198151,71.4634,1.97762
2025-01-30,99.794,26.7629,4.60311,3.28702,-0.0386259,73.0311,1.97762
2025-01-31,97.2072,25.9445,4.57684,3.25596,-0.0177431,71.2626,1.97762
2025-02-03,96.8629,24.8923,4.5733,3.21456,-0.0521282,71.9706,1.97762
2025-02-04,98.9284,25.7886,4.5944,3.24993,-0.058481,73.1398,1.97762
2025-02-05,98.5645,25.9932,4.59071,3.25784,-0.0432903,72.5713,1.97762
2025-02-06,98.2989,25.623,4.58801,3.24349,-0.0523001,72.6759,1.97762
2025-02-07,96.7449,26.1296,4.57208,3.26307,-0.00120612,70.6152,1.97762
2025-02-10,97.8465,27.3085,4.5834,3.3072,0.0205297,70.538,1.97762
2025-02-11,100.04,27.9905,4.60557,3.33186,0.00135457,72.0494,1.97762
2025-02-12,96.7842,26.9675,4.57248,3.29463,0.029552,69.8167,1.97762
2025-02-13,95.3089,27.2013,4.55712,3.30327,0.0685637,68.1075,1.97762
2025-02-14,95.4477,27.5326,4.55858,3.31537,0.0777896,67.9151,1.97762
2025-02-18,96.6276,27.7839,4.57086,3.32446,0.0625785,68.8437,1.97762
2025-02-19,98.7297,27.981,4.59239,3.33153,0.0270868,70.7487,1.97762
2025-02-20,101.139,27.7938,4.6165,3.32481,-0.0273121,73.3455,1.97762
2025-02-21,97.1135,26.9166,4.57588,3.29274,0.020945,70.1969,1.97762
2025-02-24,97.9861,27.3108,4.58483,3.30728,0.0177957,70.6753,1.97762
2025-02-25,96.2608,27.2615,4.56706,3.30548,0.0511214,68.9992,1.97762
2025-02-26,95.3188,26.542,4.55723,3.27873,0.0438228,68.7767,1.97762
2025-02-27,96.5483,26.3351,4.57004,3.2709,0.0106474,70.2132,1.97762
2025-02-28,98.3133,26.1084,4.58816,3.26226,-0.0338234,72.2049,1.97762
2025-03-03,91.8483,24.1076,4.52014,3.18253,0.0209674,67.7407,1.97762
2025-03-04,89.8751,24.0781,4.49842,3.1813,0.0626889,65.797,1.97762
2025-03-05,88.13,23.674,4.47881,3.16438,0.0845421,64.456,1.97762
2025-03-06,87.8523,23.812,4.47566,3.17019,0.0965935,64.0404,1.97762
2025-03-07,89.8652,24.9947,4.49831,3.21866,0.100268,64.8705,1.97762
2025-03-10,92.116,25.2805,4.52305,3.23003,0.0627158,66.8356,1.97762
2025-03-11,94.6049,24.8862,4.54971,3.21432,-0.00572442,69.7186,1.97762
2025-03-12,96.9251,24.768,4.57394,3.20955,-0.0584053,72.1571,1.97762
2025-03-13,95.3783,24.5216,4.55785,3.19955,-0.036588,70.8567,1.97762
2025-03-14,98.115,25.6649,4.58614,3.24512,-0.0469636,72.4501,1.97762
2025-03-17,98.5215,26.2759,4.59028,3.26865,-0.0316106,72.2456,1.97762
2025-03-18,99.6816,25.724,4.60198,3.24742,-0.0759905,73.9576,1.97762
2025-03-19,100.475,26.7096,4.60991,3.28502,-0.0540675,73.7653,1.97762
2025-03-20,101.447,26.4435,4.61953,3.27501,-0.0831148,75.0031,1.97762
2025-03-21,101.06,26.3154,4.61571,3.27015,-0.0804189,74.7446,1.97762
2025-03-24,101.328,26.8673,4.61836,3.29091,-0.0648941,74.4603,1.97762
2025-03-25,101.685,27.3404,4.62188,3.30836,-0.0543938,74.3442,1.97762
2025-03-26,102.329,27.9416,4.62819,3.33012,-0.0451374,74.3875,1.97762
2025-03-27,101.952,28.0894,4.62451,3.33539,-0.032565,73.8629,1.97762
2025-03-28,101.506,27.9613,4.62012,3.33082,-0.0284627,73.5448,1.97762
2025-03-31,104.134,27.9909,4.64568,3.33188,-0.0779479,76.1429,1.97762
2025-04-01,104.501,28.3358,4.64919,3.34413,-0.0726545,76.1648,1.97762
2025-04-02,105.205,28.7892,4.65591,3.36,-0.0700593,76.4154,1.97762
2025-04-03,94.4462,25.0439,4.54803,3.22063,0.00391152,69.4023,1.97762
2025-04-04,85.5618,21.9985,4.44924,3.09097,0.0696231,63.5634,1.97762
2025-04-07,84.947,21.1508,4.44203,3.05168,0.0445913,63.7962,1.97762
2025-04-08,81.9624,19.3374,4.40626,2.96204,0.0256832,62.6251,1.97762
2025-04-09,90.7378,22.8461,4.50797,3.12878,-0.00872447,67.8917,1.97762
2025-04-10,82.5871,19.6823,4.41385,2.97972,0.0283495,62.9048,1.97762
2025-04-11,85.661,20.5693,4.4504,3.0238,0.000162191,65.0916,1.97762
2025-04-14,85.7205,20.2342,4.45109,3.00738,-0.0176362,65.4862,1.97762
2025-04-15,84.9966,19.8302,4.44261,2.9872,-0.0210389,65.1665,1.97762
2025-04-16,85.6312,20.2934,4.45005,3.01029,-0.0126582,65.3378,1.97762
2025-04-17,88.2291,21.0621,4.47994,3.04748,-0.0345807,67.167,1.97762
2025-04-21,86.8112,20.5299,4.46374,3.02188,-0.0281339,66.2813,1.97762
2025-04-22,89.0025,21.0819,4.48866,3.04841,-0.0509055,67.9207,1.97762
2025-04-23,89.1711,20.2934,4.49056,3.01029,-0.0927653,68.8777,1.97762
2025-04-24,91.0253,20.5299,4.51114,3.02188,-0.121877,70.4954,1.97762
2025-04-25,90.946,20.7665,4.51027,3.03334,-0.108697,70.1795,1.97762
2025-04-28,92.1458,20.9044,4.52337,3.03996,-0.127994,71.2413,1.97762
2025-04-29,91.1046,20.9143,4.51201,3.04043,-0.10505,70.1903,1.97762
2025-04-30,88.3679,20.2342,4.48151,3.00738,-0.0777906,68.1337,1.97762
2025-05-01,89.885,20.8059,4.49853,3.03524,-0.0835943,69.0791,1.97762
2025-05-02,90.6386,21.4662,4.50688,3.06648,-0.06886,69.1724,1.97762
2025-05-05,86.8707,20.3131,4.46442,3.01127,-0.0401066,66.5576,1.97762
2025-05-06,86.8905,20.6975,4.46465,3.03001,-0.021812,66.193,1.97762
2025-05-07,86.9698,20.6975,4.46556,3.03001,-0.0236167,66.2724,1.97762
2025-05-08,88.0705,21.072,4.47814,3.04795,-0.0305536,66.9985,1.97762
2025-05-09,87.8424,21.5451,4.47554,3.07015,-0.00322315,66.2973,1.97762
2025-05-12,91.4913,22.6489,4.51624,3.12011,-0.0337466,68.8424,1.97762
2025-05-13,93.3753,22.9939,4.53663,3.13523,-0.0589396,70.3814,1.97762
2025-05-14,91.7888,22.6489,4.51949,3.12011,-0.0401661,69.1399,1.97762
2025-05-15,92.1755,22.235,4.52369,3.10167,-0.0669262,69.9405,1.97762
2025-05-16,91.65,22.08,4.51798,3.09467,-0.0626142,69.57,1.97762
2025-05-19,90.41,21.62,4.50435,3.07362,-0.0567283,68.79,1.97762
2025-05-20,89.69,21.61,4.49636,3.07316,-0.0413787,68.08,1.97762
2025-05-21,87.15,20.93,4.46763,3.04118,-0.0165374,66.22,1.97762
2025-05-22,86.13,21,4.45586,3.04452,0.010084,65.13,1.97762
2025-05-23,85.19,20.89,4.44488,3.03927,0.0265338,64.3,1.97762
2025-05-27,85.55,21.43,4.4491,3.06479,0.0437156,64.12,1.97762
2025-05-28,84.58,21.23,4.4377,3.05542,0.0568901,63.35,1.97762
2025-05-29,85.6,21.25,4.44969,3.05636,0.0341253,64.35,1.97762
2025-05-30,85.35,20.93,4.44676,3.04118,0.0247361,64.42,1.97762
2025-06-02,86.72,21.27,4.46268,3.0573,0.00935846,65.45,1.97762
2025-06-03,87.91,22.03,4.47631,3.09241,0.017513,65.88,1.97762
2025-06-04,85.95,21.67,4.45377,3.07593,0.0456277,64.28,1.97762
2025-06-05,85.35,21.54,4.44676,3.06991,0.0534643,63.81,1.97762
2025-06-06,87.22,22.5,4.46843,3.11352,0.0542066,64.72,1.97762
2025-06-09,88.04,23.02,4.47779,3.13636,0.058549,65.02,1.97762
2025-06-10,91.18,23.79,4.51284,3.16927,0.0221467,67.39,1.97762
2025-06-11,93.35,24.32,4.53636,3.1913,-0.00233366,69.03,1.97762
2025-06-12,94.69,24.41,4.55061,3.19499,-0.0268259,70.28,1.97762
2025-06-13,96.96,25.43,4.5743,3.23593,-0.0327391,71.53,1.97762
