Date,MUR Raw Price,FANG Raw Price,MUR Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,30.1631,164.468,3.40662,5.10271,-0.0253293,134.305,0.643293
2025-01-03,30.0559,168.59,3.40306,5.12747,0.00171443,138.534,0.643293
2025-01-06,29.9682,167.288,3.40014,5.11972,-0.00415724,137.32,0.643293
2025-01-07,30.8256,170.029,3.42834,5.13597,-0.00604771,139.204,0.643293
2025-01-08,31.9265,168.619,3.46344,5.12764,-0.0369501,136.693,0.643293
2025-01-10,32.3746,172.347,3.47738,5.14951,-0.0240516,139.972,0.643293
2025-01-13,32.9592,175.148,3.49527,5.16563,-0.019444,142.188,0.643293
2025-01-14,33.0274,175.217,3.49734,5.16602,-0.0203796,142.189,0.643293
2025-01-15,32.5987,177.07,3.48427,5.17655,-0.00145012,144.472,0.643293
2025-01-16,32.1993,176.637,3.47194,5.17409,0.00402758,144.437,0.643293
2025-01-17,31.4101,177.682,3.44713,5.17999,0.0258903,146.272,0.643293
2025-01-21,30.6794,174.497,3.42359,5.16191,0.0229431,143.817,0.643293
2025-01-22,30.0656,175.128,3.40338,5.16552,0.0395538,145.062,0.643293
2025-01-23,29.6175,174.181,3.38836,5.1601,0.0437946,144.564,0.643293
2025-01-24,28.9745,170.858,3.36642,5.14083,0.0386508,141.883,0.643293
2025-01-27,28.7894,169.221,3.36001,5.1312,0.0331468,140.432,0.643293
2025-01-28,28.4484,166.903,3.34809,5.11742,0.0270222,138.455,0.643293
2025-01-29,28.4289,168.491,3.34741,5.12688,0.0369307,140.062,0.643293
2025-01-30,26.7629,168.047,3.28702,5.12425,0.0731413,141.284,0.643293
2025-01-31,25.9445,162.081,3.25596,5.0881,0.0569714,136.137,0.643293
2025-02-03,24.8923,162.2,3.21456,5.08883,0.0843342,137.307,0.643293
2025-02-04,25.7886,163.994,3.24993,5.09983,0.0725823,138.206,0.643293
2025-02-05,25.9932,162.476,3.25784,5.09053,0.0581953,136.482,0.643293
2025-02-06,25.623,157.811,3.24349,5.0614,0.038295,132.188,0.643293
2025-02-07,26.1296,155.938,3.26307,5.04946,0.0137563,129.808,0.643293
2025-02-10,27.3085,159.419,3.3072,5.07153,0.00744716,132.11,0.643293
2025-02-11,27.9905,159.764,3.33186,5.0737,-0.00625797,131.773,0.643293
2025-02-12,26.9675,153.305,3.29463,5.03243,-0.0235765,126.337,0.643293
2025-02-13,27.2013,154.005,3.30327,5.03698,-0.0245735,126.803,0.643293
2025-02-14,27.5326,154.813,3.31537,5.04222,-0.027123,127.281,0.643293
2025-02-18,27.7839,154.587,3.32446,5.04075,-0.0344348,126.803,0.643293
2025-02-19,27.981,158.038,3.33153,5.06284,-0.0169011,130.057,0.643293
2025-02-20,27.7938,159.843,3.32481,5.07419,-0.00122716,132.049,0.643293
2025-02-21,26.9166,153.955,3.29274,5.03666,-0.0181242,127.039,0.643293
2025-02-24,27.3108,153.078,3.30728,5.03095,-0.0331949,125.767,0.643293
2025-02-25,27.2615,149.814,3.30548,5.00939,-0.053587,122.552,0.643293
2025-02-26,26.542,150.317,3.27873,5.01274,-0.0330298,123.775,0.643293
2025-02-27,26.3351,153.433,3.2709,5.03326,-0.0074749,127.098,0.643293
2025-02-28,26.1084,156.756,3.26226,5.05469,0.0195147,130.648,0.643293
2025-03-03,24.1076,145.948,3.18253,4.98325,-0.00063699,121.84,0.643293
2025-03-04,24.0781,143.029,3.1813,4.96305,-0.0200503,118.951,0.643293
2025-03-05,23.674,140.722,3.16438,4.94678,-0.0254276,117.048,0.643293
2025-03-06,23.812,138.934,3.17019,4.934,-0.0419504,115.122,0.643293
2025-03-07,24.9947,139.143,3.21866,4.9355,-0.0716339,114.148,0.643293
2025-03-10,25.2805,139.609,3.23003,4.93885,-0.0755994,114.329,0.643293
2025-03-11,24.8862,143.651,3.21432,4.96739,-0.0369483,118.765,0.643293
2025-03-12,24.768,145.538,3.20955,4.98044,-0.020834,120.77,0.643293
2025-03-13,24.5216,144.793,3.19955,4.97531,-0.0195332,120.272,0.643293
2025-03-14,25.6649,149.163,3.24512,5.00504,-0.019116,123.498,0.643293
2025-03-17,26.2759,151.973,3.26865,5.0237,-0.0155867,125.697,0.643293
2025-03-18,25.724,153.93,3.24742,5.0365,0.0108609,128.206,0.643293
2025-03-19,26.7096,156.512,3.28502,5.05313,0.00330917,129.802,0.643293
2025-03-20,26.4435,157.386,3.27501,5.0587,0.0153187,130.942,0.643293
2025-03-21,26.3154,157.406,3.27015,5.05883,0.0185695,131.09,0.643293
2025-03-24,26.8673,159.898,3.29091,5.07454,0.0209285,133.031,0.643293
2025-03-25,27.3404,160.484,3.30836,5.0782,0.0133576,133.144,0.643293
2025-03-26,27.9416,161.964,3.33012,5.08737,0.00854294,134.022,0.643293
2025-03-27,28.0894,159.124,3.33539,5.06968,-0.0125437,131.034,0.643293
2025-03-28,27.9613,156.452,3.33082,5.05275,-0.0265335,128.491,0.643293
2025-03-31,27.9909,158.776,3.33188,5.06749,-0.0124692,130.785,0.643293
2025-04-01,28.3358,159.759,3.34413,5.07367,-0.0141757,131.423,0.643293
2025-04-02,28.7892,160.375,3.36,5.07751,-0.0205402,131.586,0.643293
2025-04-03,25.0439,140.304,3.22063,4.94381,-0.064585,115.26,0.643293
2025-04-04,21.9985,122.518,3.09097,4.80826,-0.116732,100.52,0.643293
2025-04-07,21.1508,123.67,3.05168,4.81762,-0.0820963,102.519,0.643293
2025-04-08,19.3374,118.427,2.96204,4.77429,-0.0677553,99.0892,0.643293
2025-04-09,22.8461,133.998,3.12878,4.89783,-0.0514843,111.152,0.643293
2025-04-10,19.6823,122.31,2.97972,4.80656,-0.0468674,102.627,0.643293
2025-04-11,20.5693,128.119,3.0238,4.85296,-0.0288194,107.55,0.643293
2025-04-14,20.2342,126.759,3.00738,4.84228,-0.0289291,106.524,0.643293
2025-04-15,19.8302,126.262,2.9872,4.83836,-0.019877,106.432,0.643293
2025-04-16,20.2934,129.321,3.01029,4.8623,-0.0107948,109.027,0.643293
2025-04-17,21.0621,136.69,3.04748,4.91771,0.0207021,115.627,0.643293
2025-04-21,20.5299,131.436,3.02188,4.87852,-0.00202512,110.906,0.643293
2025-04-22,21.0819,135.597,3.04841,4.90969,0.0120764,114.515,0.643293
2025-04-23,20.2934,134.604,3.01029,4.90234,0.0292465,114.311,0.643293
2025-04-24,20.5299,135.22,3.02188,4.9069,0.0263556,114.69,0.643293
2025-04-25,20.7665,135.816,3.03334,4.9113,0.0233829,115.049,0.643293
2025-04-28,20.9044,136.868,3.03996,4.91902,0.0268437,115.964,0.643293
2025-04-29,20.9143,135.706,3.04043,4.91049,0.0180148,114.792,0.643293
2025-04-30,20.2342,131.098,3.00738,4.87595,0.00473479,110.864,0.643293
2025-05-01,20.8059,133.899,3.03524,4.89709,0.00795002,113.093,0.643293
2025-05-02,21.4662,135.865,3.06648,4.91166,0.00242847,114.399,0.643293
2025-05-05,20.3131,132.161,3.01127,4.88402,0.0103058,111.848,0.643293
2025-05-06,20.6975,131.069,3.03001,4.87572,-0.0100536,110.371,0.643293
2025-05-07,20.6975,128.675,3.03001,4.85729,-0.0284826,107.978,0.643293
2025-05-08,21.072,135.24,3.04795,4.90705,0.00973714,114.168,0.643293
2025-05-09,21.5451,136.938,3.07015,4.91953,0.00793311,115.393,0.643293
2025-05-12,22.6489,141.933,3.12011,4.95536,0.0116193,119.284,0.643293
2025-05-13,22.9939,145.161,3.13523,4.97784,0.0243806,122.167,0.643293
2025-05-14,22.6489,143.82,3.12011,4.96856,0.0248259,121.171,0.643293
2025-05-15,22.235,141.95,3.10167,4.95547,0.0236043,119.715,0.643293
2025-05-16,22.08,141.13,3.09467,4.94968,0.0223109,119.05,0.643293
2025-05-19,21.62,139.35,3.07362,4.93699,0.0231617,117.73,0.643293
2025-05-20,21.61,138.35,3.07316,4.92979,0.0162573,116.74,0.643293
2025-05-21,20.93,136.31,3.04118,4.91493,0.02197,115.38,0.643293
2025-05-22,21,136.29,3.04452,4.91478,0.0196754,115.29,0.643293
2025-05-23,20.89,135.86,3.03927,4.91162,0.0198939,114.97,0.643293
2025-05-27,21.43,137.49,3.06479,4.92355,0.0154025,116.06,0.643293
2025-05-28,21.23,136.28,3.05542,4.91471,0.0125948,115.05,0.643293
2025-05-29,21.25,137.81,3.05636,4.92588,0.0231534,116.56,0.643293
2025-05-30,20.93,134.55,3.04118,4.90194,0.00897426,113.62,0.643293
2025-06-02,21.27,137.59,3.0573,4.92428,0.0209505,116.32,0.643293
2025-06-03,22.03,142.28,3.09241,4.9578,0.0318848,120.25,0.643293
2025-06-04,21.67,139.35,3.07593,4.93699,0.0216758,117.68,0.643293
2025-06-05,21.54,137.45,3.06991,4.92326,0.0118179,115.91,0.643293
2025-06-06,22.5,140.56,3.11352,4.94563,0.00614224,118.06,0.643293
2025-06-09,23.02,142.13,3.13636,4.95674,0.00255194,119.11,0.643293
2025-06-10,23.79,145.57,3.16927,4.98066,0.00530129,121.78,0.643293
2025-06-11,24.32,148.92,3.1913,5.00341,0.0138793,124.6,0.643293
2025-06-12,24.41,149.33,3.19499,5.00616,0.0142525,124.92,0.643293
2025-06-13,25.43,154.91,3.23593,5.04284,0.0246038,129.48,0.643293
