Date,EOG Raw Price,APA Raw Price,EOG Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,122.706,22.7603,4.80979,3.12502,0.129086,99.9456,1.96665
2025-01-03,124.536,22.7992,4.82459,3.12673,0.101681,101.737,1.96665
2025-01-06,124.359,23.0328,4.82317,3.13692,0.114675,101.326,1.96665
2025-01-07,125.51,23.0328,4.83239,3.13692,0.0965535,102.477,1.96665
2025-01-08,126.396,23.0523,4.83942,3.13777,0.0835712,103.343,1.96665
2025-01-10,129.298,23.0523,4.86212,3.13777,0.0389193,106.246,1.96665
2025-01-13,132.329,23.7337,4.88529,3.1669,0.0224891,108.595,1.96665
2025-01-14,133.588,24.1913,4.89476,3.18599,0.0229545,109.397,1.96665
2025-01-15,134.857,24.7754,4.90422,3.20985,0.0282154,110.082,1.96665
2025-01-16,135.832,24.4833,4.91142,3.19799,0.00220297,111.348,1.96665
2025-01-17,135.341,23.7532,4.9078,3.16772,-0.020957,111.588,1.96665
2025-01-21,134.806,23.0718,4.90384,3.13861,-0.0422739,111.734,1.96665
2025-01-22,132.804,22.9832,4.88888,3.13476,-0.0166986,109.821,1.96665
2025-01-23,132.765,23.1308,4.88858,3.14117,-0.00971072,109.634,1.96665
2025-01-24,130.624,22.9439,4.87232,3.13305,0.0141388,107.68,1.96665
2025-01-27,130.763,23.0029,4.87339,3.13562,0.0146208,107.76,1.96665
2025-01-28,129.068,22.9635,4.86034,3.13391,0.03856,106.105,1.96665
2025-01-29,129.049,22.8061,4.86019,3.12703,0.0319833,106.242,1.96665
2025-01-30,128.603,22.6192,4.85673,3.1188,0.03056,105.984,1.96665
2025-01-31,124.649,21.5763,4.8255,3.0716,0.0447684,103.073,1.96665
2025-02-03,125.253,21.1237,4.83034,3.0504,0.0140556,104.13,1.96665
2025-02-04,126.958,22.0289,4.84385,3.09235,0.0294327,104.929,1.96665
2025-02-05,126.542,21.8321,4.84057,3.08338,0.0269175,104.709,1.96665
2025-02-06,125.531,21.291,4.83255,3.05828,0.0175907,104.24,1.96665
2025-02-07,125.352,21.3205,4.83113,3.05967,0.0217725,104.032,1.96665
2025-02-10,129.376,22.6192,4.86272,3.1188,0.0187756,106.756,1.96665
2025-02-11,131.09,22.934,4.87588,3.13262,0.00671051,108.156,1.96665
2025-02-12,127.671,22.0092,4.84946,3.09146,0.0175179,105.662,1.96665
2025-02-13,127.85,22.1273,4.85085,3.09681,0.0201221,105.722,1.96665
2025-02-14,128.137,22.7668,4.8531,3.1253,0.0441986,105.37,1.96665
2025-02-18,129.752,23.1898,4.86563,3.14371,0.0379752,106.562,1.96665
2025-02-19,133.31,23.2095,4.89267,3.14456,-0.0143705,110.1,1.96665
2025-02-20,134.439,23.239,4.90111,3.14583,-0.0296946,111.2,1.96665
2025-02-21,131.873,22.4224,4.88184,3.11006,-0.0275595,109.45,1.96665
2025-02-24,132.418,22.5011,4.88596,3.11357,-0.0321664,109.917,1.96665
2025-02-25,130.129,22.019,4.86852,3.09191,-0.019531,108.11,1.96665
2025-02-26,128.662,21.655,4.85719,3.07524,-0.0139113,107.007,1.96665
2025-02-27,129.425,20.0906,4.8631,3.00025,-0.100522,109.335,1.96665
2025-02-28,125.788,20.3661,4.8346,3.01387,-0.0308511,105.422,1.96665
2025-03-03,119.447,18.5853,4.78287,2.92237,-0.020612,100.861,1.96665
2025-03-04,121.002,18.2705,4.79581,2.90529,-0.0631469,102.732,1.96665
2025-03-05,120.745,18.241,4.79368,2.90367,-0.0605717,102.504,1.96665
2025-03-06,121.082,18.4476,4.79646,2.91493,-0.0547886,102.634,1.96665
2025-03-07,124.124,18.5361,4.82128,2.91972,-0.0988012,105.588,1.96665
2025-03-10,124.748,18.7132,4.8263,2.92923,-0.0991588,106.035,1.96665
2025-03-11,123.361,18.8903,4.81511,2.93865,-0.0677462,104.47,1.96665
2025-03-12,123.143,19.3331,4.81334,2.96182,-0.0411007,103.81,1.96665
2025-03-13,119.992,18.7329,4.78742,2.93028,-0.0216554,101.259,1.96665
2025-03-14,122.796,19.2937,4.81052,2.95978,-0.0375916,103.502,1.96665
2025-03-17,122.459,19.7069,4.80778,2.98097,-0.0109968,102.752,1.96665
2025-03-18,121.458,19.8447,4.79957,2.98794,0.0121075,101.613,1.96665
2025-03-19,123.807,20.4744,4.81872,3.01917,0.00568081,103.332,1.96665
2025-03-20,123.172,20.2382,4.81359,3.00757,0.00418088,102.934,1.96665
2025-03-21,124.035,20.2776,4.82056,3.00952,-0.00759334,103.757,1.96665
2025-03-24,127.106,20.5039,4.84502,3.02061,-0.0446089,106.603,1.96665
2025-03-25,126.224,20.5531,4.83806,3.02301,-0.0285193,105.671,1.96665
2025-03-26,128.008,20.7597,4.85209,3.03301,-0.0461127,107.248,1.96665
2025-03-27,125.58,20.8581,4.83295,3.03774,-0.00372762,104.722,1.96665
2025-03-28,125.442,20.5826,4.83184,3.02445,-0.0148494,104.859,1.96665
2025-03-31,127.077,20.681,4.84479,3.02921,-0.0355487,106.396,1.96665
2025-04-01,128.127,20.7892,4.85302,3.03443,-0.0465183,107.338,1.96665
2025-04-02,128.791,20.8974,4.85819,3.03963,-0.0514903,107.894,1.96665
2025-04-03,118.802,17.4539,4.77746,2.85956,-0.072789,101.349,1.96665
2025-04-04,109.547,14.9352,4.69636,2.70372,-0.0691238,94.612,1.96665
2025-04-07,108.041,14.7187,4.68251,2.68912,-0.0564948,93.3222,1.96665
2025-04-08,104.008,13.8037,4.64447,2.62494,-0.0458582,90.2041,1.96665
2025-04-09,113.015,16.4405,4.72752,2.79975,-0.0343939,96.5749,1.96665
2025-04-10,103.661,14.3645,4.64113,2.66476,0.000534393,89.2965,1.96665
2025-04-11,107.555,14.7974,4.67801,2.69445,-0.042303,92.758,1.96665
2025-04-14,106.664,14.9548,4.66968,2.70503,-0.0153457,91.7087,1.96665
2025-04-15,106.505,14.6498,4.66819,2.68443,-0.0330259,91.8552,1.96665
2025-04-16,108.24,15.1221,4.68435,2.71616,-0.0330773,93.1179,1.96665
2025-04-17,110.5,15.8502,4.70502,2.76318,-0.0266944,94.6498,1.96665
2025-04-21,109.11,15.25,4.69236,2.72458,-0.040399,93.86,1.96665
2025-04-22,111.32,15.86,4.71241,2.7638,-0.0406142,95.46,1.96665
2025-04-23,111.57,15.65,4.71465,2.75047,-0.0583552,95.92,1.96665
2025-04-24,113.46,16.26,4.73145,2.78871,-0.053154,97.2,1.96665
2025-04-25,113.07,16.35,4.72801,2.79423,-0.0408626,96.72,1.96665
2025-04-28,114.14,16.55,4.73743,2.80639,-0.0472276,97.59,1.96665
2025-04-29,112.93,16.24,4.72677,2.78748,-0.0451766,96.69,1.96665
2025-04-30,110.33,15.54,4.70348,2.74342,-0.043429,94.79,1.96665
2025-05-01,111.68,16.22,4.71564,2.78625,-0.0245192,95.46,1.96665
2025-05-02,110.86,16.46,4.70827,2.80093,0.00466217,94.4,1.96665
2025-05-05,108.52,15.5,4.68693,2.74084,-0.0134751,93.02,1.96665
2025-05-06,108.72,15.73,4.68878,2.75557,-0.00236668,92.99,1.96665
2025-05-07,107.97,15.48,4.68185,2.73955,-0.00477369,92.49,1.96665
2025-05-08,109.71,16.18,4.69784,2.78378,0.00801244,93.53,1.96665
2025-05-09,111.12,16.72,4.71061,2.81661,0.0157276,94.4,1.96665
2025-05-12,114.06,17.71,4.73672,2.87413,0.0218946,96.35,1.96665
2025-05-13,116.65,18.46,4.75918,2.91561,0.0192135,98.19,1.96665
2025-05-14,115.59,18.17,4.75005,2.89977,0.0213319,97.42,1.96665
2025-05-15,115.86,17.76,4.75238,2.87695,-0.00607972,98.1,1.96665
2025-05-16,115.5,17.59,4.74927,2.86733,-0.00957762,97.91,1.96665
2025-05-19,113.95,17.32,4.73576,2.85186,0.00152468,96.63,1.96665
2025-05-20,112.58,17.25,4.72366,2.84781,0.0212628,95.33,1.96665
2025-05-21,111.38,16.71,4.71295,2.81601,0.0105332,94.67,1.96665
2025-05-22,110.79,16.74,4.70764,2.8178,0.0227723,94.05,1.96665
2025-05-23,110.18,16.85,4.70212,2.82435,0.04018,93.33,1.96665
2025-05-27,111.23,17.31,4.7116,2.85128,0.0484605,93.92,1.96665
2025-05-28,110.45,17.18,4.70456,2.84375,0.0547619,93.27,1.96665
2025-05-29,109.88,17.34,4.69939,2.85302,0.0742075,92.54,1.96665
2025-05-30,108.57,17.01,4.6874,2.8338,0.0785803,91.56,1.96665
2025-06-02,111.34,17.33,4.71259,2.85244,0.0476714,94.01,1.96665
2025-06-03,112.82,18.27,4.72579,2.90526,0.074523,94.55,1.96665
2025-06-04,110.77,17.92,4.70746,2.88592,0.0912437,92.85,1.96665
2025-06-05,111.03,17.85,4.7098,2.882,0.0827191,93.18,1.96665
2025-06-06,114.05,18.5,4.73664,2.91777,0.0657083,95.55,1.96665
2025-06-09,114.33,18.63,4.73909,2.92477,0.0678884,95.7,1.96665
2025-06-10,117.88,19.28,4.76967,2.95907,0.0420472,98.6,1.96665
2025-06-11,119.92,19.61,4.78682,2.97604,0.0252754,100.31,1.96665
2025-06-12,120.59,19.95,4.7924,2.99323,0.0315078,100.64,1.96665
2025-06-13,125.28,21.01,4.83055,3.045,0.00823991,104.27,1.96665
