Date,BP Raw Price,DVN Raw Price,BP Log Price,DVN Log Price,Residual,Spread,Beta
2025-01-02,29.0449,32.9309,3.36884,3.49441,0.0320818,3.88607,0.93004
2025-01-03,29.5689,33.4535,3.38672,3.51016,0.031195,3.88459,0.93004
2025-01-06,30.1026,33.276,3.40461,3.50484,0.00923787,3.17339,0.93004
2025-01-07,30.8887,34.2028,3.43039,3.53231,0.0127351,3.31414,0.93004
2025-01-08,30.1997,34.6564,3.40783,3.54548,0.0468887,4.45668,0.93004
2025-01-10,30.3646,35.4846,3.41328,3.5691,0.0654384,5.11991,0.93004
2025-01-13,30.2967,36.2536,3.41104,3.59054,0.0889626,5.95689,0.93004
2025-01-14,30.1706,36.6578,3.40687,3.60163,0.103932,6.48729,0.93004
2025-01-15,30.3743,37.8903,3.4136,3.63469,0.130739,7.51594,0.93004
2025-01-16,30.8402,37.8804,3.42882,3.63443,0.116324,7.04028,0.93004
2025-01-17,30.7528,37.417,3.42598,3.62213,0.106653,6.66422,0.93004
2025-01-21,30.5878,36.2142,3.4206,3.58945,0.0789799,5.62632,0.93004
2025-01-22,30.2094,35.948,3.40815,3.58207,0.083181,5.73858,0.93004
2025-01-23,30.5587,35.9381,3.41965,3.5818,0.0722131,5.37937,0.93004
2025-01-24,30.5199,35.455,3.41838,3.56826,0.0598608,4.93506,0.93004
2025-01-27,30.5199,34.8338,3.41838,3.55059,0.0421862,4.31392,0.93004
2025-01-28,30.2385,34.3901,3.40912,3.53777,0.0379831,4.15166,0.93004
2025-01-29,30.2094,34.5775,3.40815,3.5432,0.0443113,4.3681,0.93004
2025-01-30,30.6752,34.5578,3.42345,3.54263,0.0295098,3.88258,0.93004
2025-01-31,30.1414,33.6211,3.4059,3.51515,0.0183563,3.47965,0.93004
2025-02-03,29.9571,33.276,3.39977,3.50484,0.013746,3.31895,0.93004
2025-02-04,30.7043,33.9366,3.4244,3.52449,0.0104898,3.23232,0.93004
2025-02-05,30.7334,33.6605,3.42535,3.51633,0.00144022,2.92713,0.93004
2025-02-06,31.0148,32.9506,3.43447,3.49501,-0.0283525,1.93582,0.93004
2025-02-07,31.3157,32.6844,3.44412,3.4869,-0.0454419,1.36878,0.93004
2025-02-10,33.4021,33.7789,3.50862,3.51983,-0.0724934,0.376778,0.93004
2025-02-11,33.5282,34.6268,3.51239,3.54463,-0.0512073,1.09854,0.93004
2025-02-12,33.6544,33.4929,3.51614,3.51133,-0.087993,0.161461,0.93004
2025-02-13,33.47,33.7394,3.51065,3.51867,-0.0755513,0.269405,0.93004
2025-02-14,33.9649,34.1535,3.52533,3.53087,-0.0770042,0.188587,0.93004
2025-02-18,34.2658,34.3901,3.53415,3.53777,-0.0783008,0.12439,0.93004
2025-02-19,33.5185,37.0424,3.5121,3.61206,0.0164972,3.52384,0.93004
2025-02-20,33.6253,38.0086,3.51528,3.63781,0.03929,4.38332,0.93004
2025-02-21,33.3497,36.9635,3.50705,3.60993,0.0190608,3.61375,0.93004
2025-02-24,33.2021,36.786,3.50261,3.60512,0.0183734,3.58389,0.93004
2025-02-25,32.7003,35.3761,3.48738,3.56604,-0.00654245,2.67584,0.93004
2025-02-26,32.159,34.962,3.47069,3.55426,-0.00279515,2.80297,0.93004
2025-02-27,32.592,35.3761,3.48407,3.56604,-0.00345868,2.78409,0.93004
2025-02-28,32.592,35.7113,3.48407,3.57547,0.00597271,3.11931,0.93004
2025-03-03,31.3029,33.9267,3.44371,3.5242,-0.00775825,2.62385,0.93004
2025-03-04,30.9388,33.769,3.43201,3.51954,-0.00153768,2.8302,0.93004
2025-03-05,31.3718,33.1873,3.44591,3.50217,-0.0318397,1.8155,0.93004
2025-03-06,31.2045,33.3943,3.44056,3.50839,-0.0206475,2.18984,0.93004
2025-03-07,31.5588,34.2225,3.45185,3.53288,-0.00664844,2.66378,0.93004
2025-03-10,31.6965,33.7296,3.45621,3.51837,-0.0252094,2.03304,0.93004
2025-03-11,31.4702,33.9267,3.44904,3.5242,-0.0127154,2.45656,0.93004
2025-03-12,31.6867,34.262,3.4559,3.53404,-0.00925918,2.57529,0.93004
2025-03-13,31.854,33.3155,3.46116,3.50602,-0.042171,1.46148,0.93004
2025-03-14,32.8577,34.3085,3.49219,3.53539,-0.0416544,1.45075,0.93004
2025-03-17,33.2218,34.8645,3.50321,3.55147,-0.035825,1.64274,0.93004
2025-03-18,33.6745,35.1227,3.51674,3.55885,-0.0410339,1.44825,0.93004
2025-03-19,34.0583,35.798,3.52807,3.57789,-0.0325307,1.73971,0.93004
2025-03-20,34.196,35.8774,3.53211,3.58011,-0.0340683,1.68139,0.93004
2025-03-21,33.9992,35.8973,3.52634,3.58066,-0.0281467,1.89806,0.93004
2025-03-24,33.5662,36.7016,3.51352,3.60282,0.00593275,3.13538,0.93004
2025-03-25,33.7434,36.7115,3.51878,3.60309,0.00130827,2.96818,0.93004
2025-03-26,33.8713,37.208,3.52257,3.61653,0.011223,3.33676,0.93004
2025-03-27,33.8615,36.6222,3.52228,3.60065,-0.00437807,2.76072,0.93004
2025-03-28,33.3202,36.503,3.50616,3.59739,0.00734828,3.18279,0.93004
2025-03-31,33.2513,37.1385,3.50409,3.61466,0.0265335,3.8872,0.93004
2025-04-01,33.271,37.3074,3.50469,3.61919,0.0305183,4.03633,0.93004
2025-04-02,33.271,37.6549,3.50469,3.62846,0.039791,4.38388,0.93004
