Date,BP Raw Price,DVN Raw Price,BP Log Price,DVN Log Price,Residual,Spread,Beta
2025-04-03,30.8404,32.9282,3.42883,3.49433,-0.023789,2.08779,0.93004
2025-04-04,27.9276,29.1051,3.32961,3.37091,-0.0549348,1.17752,0.93004
2025-04-07,26.7369,28.41,3.28604,3.34674,-0.0385842,1.67312,0.93004
2025-04-08,25.6938,26.6126,3.24625,3.28139,-0.0669277,0.918875,0.93004
2025-04-09,27.4552,30.8528,3.31256,3.42923,0.0192438,3.39756,0.93004
2025-04-10,25.8119,27.556,3.25083,3.31622,-0.0363583,1.74415,0.93004
2025-04-11,26.1661,28.0326,3.26447,3.33337,-0.0318867,1.86653,0.93004
2025-04-14,26.481,28.5291,3.27643,3.35093,-0.0254559,2.04814,0.93004
2025-04-15,26.7762,28.3305,3.28751,3.34394,-0.0427525,1.55432,0.93004
2025-04-16,27.2191,29.0952,3.30392,3.37057,-0.0313765,1.87611,0.93004
2025-04-17,27.8685,30.0981,3.3275,3.40446,-0.0194175,2.22957,0.93004
2025-04-21,27.6324,29.2739,3.31899,3.3767,-0.0392678,1.64155,0.93004
2025-04-22,28.4098,30.9819,3.34673,3.4334,-0.00836618,2.57211,0.93004
2025-04-23,28.1441,30.8627,3.33734,3.42955,-0.00348086,2.71865,0.93004
2025-04-24,28.5377,31.25,3.35123,3.44202,-0.0039281,2.7123,0.93004
2025-04-25,28.7247,31.1308,3.35776,3.4382,-0.0138221,2.40617,0.93004
2025-04-28,28.6656,31.3294,3.3557,3.44456,-0.00554904,2.66381,0.93004
2025-04-29,27.6225,31.0812,3.31863,3.4366,0.0209694,3.45866,0.93004
2025-04-30,27.0222,30.1974,3.29666,3.40776,0.0125568,3.17516,0.93004
2025-05-01,27.4355,30.9422,3.31184,3.43212,0.0228032,3.50661,0.93004
2025-05-02,27.6717,31.2202,3.32041,3.44107,0.0237771,3.54848,0.93004
2025-05-05,28.7148,30.4059,3.35741,3.41464,-0.0370642,1.69111,0.93004
2025-05-06,27.9473,30.3761,3.33032,3.41366,-0.0128456,2.42889,0.93004
2025-05-07,27.6816,30.0782,3.32077,3.4038,-0.0138168,2.39668,0.93004
2025-05-08,28.1342,31.7068,3.33699,3.45653,0.0238259,3.57255,0.93004
2025-05-09,29.2954,32.3026,3.37743,3.47515,0.00482785,3.00716,0.93004
2025-05-12,29.7087,33.3155,3.39144,3.50602,0.0226725,3.60673,0.93004
2025-05-13,30.0728,34.0503,3.40362,3.52784,0.0331605,3.97746,0.93004
2025-05-14,29.876,33.7226,3.39706,3.51817,0.0295967,3.84657,0.93004
2025-05-15,29.63,33.1665,3.38879,3.50154,0.0206594,3.5365,0.93004
2025-05-16,29.76,33.0275,3.39317,3.49734,0.0123873,3.26748,0.93004
2025-05-19,29.4,32.4615,3.38099,3.48005,0.00642017,3.06146,0.93004
2025-05-20,29.2,31.9451,3.37417,3.46402,-0.00326634,2.7451,0.93004
2025-05-21,28.88,31.2798,3.36315,3.44297,-0.0140645,2.39979,0.93004
2025-05-22,28.94,30.9223,3.36522,3.43148,-0.0274892,1.9823,0.93004
2025-05-23,29.09,30.9422,3.37039,3.43212,-0.0316552,1.85216,0.93004
2025-05-27,29.15,31.1308,3.37245,3.4382,-0.0274924,1.98083,0.93004
2025-05-28,28.94,30.6443,3.36522,3.42245,-0.0365215,1.70426,0.93004
2025-05-29,29.17,30.8925,3.37314,3.43051,-0.0358153,1.72251,0.93004
2025-05-30,29.1,30.0485,3.37074,3.40281,-0.0612833,0.948454,0.93004
2025-06-02,29.58,30.9223,3.3871,3.43148,-0.0478327,1.3423,0.93004
2025-06-03,29.56,31.7862,3.38642,3.45903,-0.0196485,2.22622,0.93004
2025-06-04,28.92,31.3394,3.36453,3.44487,-0.0134489,2.41936,0.93004
2025-06-05,29.05,31.2003,3.36902,3.44043,-0.022066,2.15034,0.93004
2025-06-06,29.29,32.0643,3.37725,3.46774,-0.00240518,2.77426,0.93004
2025-06-09,29.46,32.4217,3.38303,3.47883,0.00329976,2.96175,0.93004
2025-06-10,30.23,33.236,3.40883,3.50363,0.00410815,3.00602,0.93004
2025-06-11,30.81,34.229,3.42784,3.53307,0.015873,3.41902,0.93004
2025-06-12,30.92,34.09,3.4314,3.529,0.0084886,3.17,0.93004
2025-06-13,31.72,35.11,3.45695,3.55849,0.0142134,3.39,0.93004
