Date,OXY Raw Price,EOG Raw Price,OXY Log Price,EOG Log Price,Residual,Spread,Beta
2025-01-02,49.2819,122.706,3.89756,4.80979,-0.0483774,73.424,0.731147
2025-01-03,49.9745,124.536,3.91151,4.82459,-0.0437765,74.5616,0.731147
2025-01-06,50.2317,124.359,3.91665,4.82317,-0.0489536,74.1272,0.731147
2025-01-07,51.0034,125.51,3.93189,4.83239,-0.0508866,74.5067,0.731147
2025-01-08,50.6472,126.396,3.92488,4.83942,-0.0387319,75.7484,0.731147
2025-01-10,50.7561,129.298,3.92703,4.86212,-0.0175968,78.5422,0.731147
2025-01-13,52.1214,132.329,3.95358,4.88529,-0.0138375,80.2073,0.731147
2025-01-14,51.5278,133.588,3.94212,4.89476,0.00401018,82.0604,0.731147
2025-01-15,52.1412,134.857,3.95396,4.90422,0.00481381,82.7162,0.731147
2025-01-16,51.7455,135.832,3.94634,4.91142,0.0175818,84.0861,0.731147
2025-01-17,51.419,135.341,3.94001,4.9078,0.018592,83.922,0.731147
2025-01-21,50.014,134.806,3.9123,4.90384,0.0348858,84.7919,0.731147
2025-01-22,49.6677,132.804,3.90536,4.88888,0.025006,83.1365,0.731147
2025-01-23,49.8063,132.765,3.90814,4.88858,0.0226712,82.9583,0.731147
2025-01-24,48.7674,130.624,3.88706,4.87232,0.0218297,81.8568,0.731147
2025-01-27,49.0345,130.763,3.89252,4.87339,0.0188971,81.7284,0.731147
2025-01-28,48.4805,129.068,3.88116,4.86034,0.0141625,80.588,0.731147
2025-01-29,48.3123,129.049,3.87769,4.86019,0.0165498,80.7363,0.731147
2025-01-30,48.4013,128.603,3.87953,4.85673,0.0117422,80.2014,0.731147
2025-01-31,46.1554,124.649,3.83201,4.8255,0.0152546,78.4935,0.731147
2025-02-03,45.8784,125.253,3.82599,4.83034,0.0244939,79.375,0.731147
2025-02-04,47.0854,126.958,3.85196,4.84385,0.0190218,79.8723,0.731147
