Date,OXY Raw Price,EOG Raw Price,OXY Log Price,EOG Log Price,Residual,Spread,Beta
2025-02-05,46.8579,126.542,3.84712,4.84057,0.0192805,79.6837,0.731147
2025-02-06,46.4819,125.531,3.83906,4.83255,0.0171511,79.0489,0.731147
2025-02-07,46.284,125.352,3.8348,4.83113,0.0188485,79.0685,0.731147
2025-02-10,47.867,129.376,3.86843,4.86272,0.0258499,81.5086,0.731147
2025-02-11,48.0946,131.09,3.87317,4.87588,0.0355459,82.9953,0.731147
2025-02-12,47.3229,127.671,3.85699,4.84946,0.0209479,80.3484,0.731147
2025-02-13,47.3723,127.85,3.85804,4.85085,0.0215801,80.4773,0.731147
2025-02-14,47.5504,128.137,3.86179,4.8531,0.0210818,80.5865,0.731147
2025-02-18,48.3222,129.752,3.87789,4.86563,0.0218374,81.43,0.731147
2025-02-19,50.4494,133.31,3.92097,4.89267,0.0173876,82.8602,0.731147
2025-02-20,51.5377,134.439,3.94231,4.90111,0.0102206,82.9016,0.731147
2025-02-21,49.8854,131.873,3.90973,4.88184,0.0147702,81.9874,0.731147
2025-02-24,49.3313,132.418,3.89856,4.88596,0.0270606,83.0864,0.731147
2025-02-25,48.3716,130.129,3.87891,4.86852,0.0239871,81.7571,0.731147
2025-02-26,48.0352,128.662,3.87193,4.85719,0.0177553,80.6269,0.731147
2025-02-27,48.1342,129.425,3.87399,4.8631,0.0221638,81.291,0.731147
2025-02-28,48.3222,125.788,3.87789,4.8346,-0.00918732,77.4663,0.731147
2025-03-03,45.9575,119.447,3.82772,4.78287,-0.0242362,73.489,0.731147
2025-03-04,46.0367,121.002,3.82944,4.79581,-0.0125538,74.9656,0.731147
2025-03-05,45.0275,120.745,3.80727,4.79368,0.00152073,75.7172,0.731147
2025-03-06,45.2253,121.082,3.81166,4.79646,0.00110112,75.8562,0.731147
2025-03-07,46.7391,124.124,3.84458,4.82128,0.00184327,77.3846,0.731147
2025-03-10,47.0971,124.748,3.85221,4.8263,0.00128125,77.6509,0.731147
2025-03-11,46.0231,123.361,3.82914,4.81511,0.00696424,77.3376,0.731147
2025-03-12,45.8441,123.143,3.82525,4.81334,0.00804473,77.2986,0.731147
2025-03-13,45.1977,119.992,3.81105,4.78742,-0.00749549,74.7938,0.731147
2025-03-14,46.2717,122.796,3.83453,4.81052,-0.00156388,76.5241,0.731147
2025-03-17,46.9977,122.459,3.8501,4.80778,-0.0156931,75.4613,0.731147
2025-03-18,47.3855,121.458,3.85832,4.79957,-0.0299085,74.0726,0.731147
2025-03-19,47.6938,123.807,3.8648,4.81872,-0.0154983,76.1128,0.731147
2025-03-20,47.6938,123.172,3.8648,4.81359,-0.0206339,75.4786,0.731147
2025-03-21,47.6739,124.035,3.86438,4.82056,-0.0133542,76.3606,0.731147
2025-03-24,47.654,127.106,3.86397,4.84502,0.0114156,79.4524,0.731147
2025-03-25,48.738,126.224,3.88646,4.83806,-0.0119917,77.4865,0.731147
2025-03-26,49.4739,128.008,3.90144,4.85209,-0.00891681,78.5343,0.731147
2025-03-27,49.2352,125.58,3.89661,4.83295,-0.0245289,76.3452,0.731147
2025-03-28,48.559,125.442,3.88278,4.83184,-0.0155227,76.8827,0.731147
2025-03-31,49.086,127.077,3.89357,4.84479,-0.0104657,77.9907,0.731147
2025-04-01,48.917,128.127,3.89012,4.85302,0.000288495,79.2101,0.731147
2025-04-02,49.0562,128.791,3.89297,4.85819,0.00337889,79.7348,0.731147
2025-04-03,43.6563,118.802,3.77635,4.77746,0.00791484,75.1461,0.731147
2025-04-04,40.315,109.547,3.69672,4.69636,-0.0149742,69.2322,0.731147
2025-04-07,38.5349,108.041,3.65156,4.68251,0.00419849,69.506,0.731147
2025-04-08,35.9096,104.008,3.581,4.64447,0.0177452,68.0983,0.731147
2025-04-09,40.0067,113.015,3.68905,4.72752,0.0218073,73.0087,0.731147
2025-04-10,36.2676,103.661,3.59092,4.64113,0.0071518,67.3935,0.731147
2025-04-11,37.4609,107.555,3.6233,4.67801,0.0203613,70.0945,0.731147
2025-04-14,37.6896,106.664,3.62939,4.66968,0.00758423,68.9739,0.731147
2025-04-15,37.5902,106.505,3.62674,4.66819,0.00802856,68.9148,0.731147
2025-04-16,38.2366,108.24,3.64379,4.68435,0.0117217,70.0034,0.731147
2025-04-17,39.4896,110.5,3.67604,4.70502,0.00881097,71.0104,0.731147
2025-04-21,38.8034,109.11,3.65851,4.69236,0.00896804,70.3066,0.731147
2025-04-22,39.7481,111.32,3.68256,4.71241,0.0114328,71.5718,0.731147
2025-04-23,39.6089,111.57,3.67905,4.71465,0.0162414,71.9611,0.731147
2025-04-24,40.1459,113.46,3.69252,4.73145,0.0231936,73.3141,0.731147
2025-04-25,40.136,113.07,3.69227,4.72801,0.0199314,72.934,0.731147
2025-04-28,40.2851,114.14,3.69598,4.73743,0.0266379,73.8549,0.731147
2025-04-29,40.126,112.93,3.69203,4.72677,0.0188738,72.804,0.731147
2025-04-30,39.1913,110.33,3.66845,4.70348,0.0128159,71.1387,0.731147
2025-05-01,40.2155,111.68,3.69425,4.71564,0.00611425,71.4645,0.731147
2025-05-02,40.3846,110.86,3.69845,4.70827,-0.00432243,70.4754,0.731147
2025-05-05,38.5946,108.52,3.65311,4.68693,0.00749145,69.9254,0.731147
2025-05-06,39.062,108.72,3.66515,4.68878,0.000531619,69.658,0.731147
2025-05-07,38.7935,107.97,3.65825,4.68185,-0.00134768,69.1765,0.731147
2025-05-08,41.21,109.71,3.71868,4.69784,-0.0295428,68.5,0.731147
2025-05-09,41.926,111.12,3.73591,4.71061,-0.0293669,69.194,0.731147
2025-05-12,43.6166,114.06,3.77544,4.73672,-0.0321558,70.4434,0.731147
2025-05-13,44.1436,116.65,3.78745,4.75918,-0.0184846,72.5064,0.731147
2025-05-14,43.5768,115.59,3.77452,4.75005,-0.0181639,72.0132,0.731147
2025-05-15,43.1293,115.86,3.7642,4.75238,-0.00828354,72.7307,0.731147
2025-05-16,42.8011,115.5,3.75656,4.74927,-0.00581107,72.6989,0.731147
2025-05-19,42.0752,113.95,3.73946,4.73576,-0.00681454,71.8748,0.731147
2025-05-20,41.6674,112.58,3.72972,4.72366,-0.0117906,70.9126,0.731147
2025-05-21,40.9017,111.38,3.71117,4.71295,-0.00894551,70.4783,0.731147
2025-05-22,40.852,110.79,3.70996,4.70764,-0.0133674,69.938,0.731147
2025-05-23,41.0608,110.18,3.71505,4.70212,-0.0226166,69.1192,0.731147
2025-05-27,41.389,111.23,3.72301,4.7116,-0.0189521,69.841,0.731147
2025-05-28,40.8918,110.45,3.71093,4.70456,-0.0171526,69.5582,0.731147
2025-05-29,41.2299,109.88,3.71916,4.69939,-0.0283472,68.6501,0.731147
2025-05-30,40.5536,108.57,3.70263,4.6874,-0.0282497,68.0163,0.731147
2025-06-02,41.21,111.34,3.71868,4.71259,-0.0147947,70.13,0.731147
2025-06-03,42.453,112.82,3.7484,4.72579,-0.0233179,70.367,0.731147
2025-06-04,41.6774,110.77,3.72996,4.70746,-0.0281731,69.0926,0.731147
2025-06-05,41.5879,111.03,3.72781,4.7098,-0.0242568,69.4421,0.731147
2025-06-06,42.3039,114.05,3.74488,4.73664,-0.00990113,71.7461,0.731147
2025-06-09,43,114.33,3.7612,4.73909,-0.0193823,71.33,0.731147
2025-06-10,43.91,117.88,3.78214,4.76967,-0.0041158,73.97,0.731147
2025-06-11,44.84,119.92,3.8031,4.78682,-0.00228186,75.08,0.731147
2025-06-12,44.76,120.59,3.80131,4.7924,0.00459529,75.83,0.731147
2025-06-13,46.45,125.28,3.83838,4.83055,0.0156527,78.83,0.731147
