Date,EOG Raw Price,SM Raw Price,EOG Log Price,SM Log Price,Residual,Spread,Beta
2025-04-09,113.015,24.3994,4.72752,3.19456,-0.00210272,88.616,2.92271
2025-04-10,103.661,21.0497,4.64113,3.04689,0.10274,82.6114,2.92271
2025-04-11,107.555,21.4758,4.67801,3.06693,0.0149941,86.0796,2.92271
2025-04-14,106.664,21.7632,4.66968,3.08022,0.0526238,84.9003,2.92271
2025-04-15,106.505,21.5254,4.66819,3.06923,0.045982,84.9796,2.92271
2025-04-16,108.24,22.12,4.68435,3.09648,0.0260037,86.12,2.92271
2025-04-17,110.5,23.03,4.70502,3.1368,0.00592282,87.47,2.92271
2025-04-21,109.11,22.02,4.69236,3.09195,-0.00192532,87.09,2.92271
2025-04-22,111.32,22.88,4.71241,3.13026,-0.0222206,88.44,2.92271
2025-04-23,111.57,22.99,4.71465,3.13506,-0.0239808,88.58,2.92271
2025-04-24,113.46,23.17,4.73145,3.14286,-0.0652778,90.29,2.92271
2025-04-25,113.07,23.48,4.72801,3.15615,-0.0419236,89.59,2.92271
2025-04-28,114.14,23.6,4.73743,3.16125,-0.0643538,90.54,2.92271
2025-04-29,112.93,23.26,4.72677,3.14674,-0.0477164,89.67,2.92271
2025-04-30,110.33,22.79,4.70348,3.12632,-5.31575e-05,87.54,2.92271
2025-05-01,111.68,23.67,4.71564,3.16421,0.00228816,88.01,2.92271
2025-05-02,110.86,22.82,4.70827,3.12764,-0.0127441,88.04,2.92271
2025-05-05,108.52,21,4.68693,3.04452,-0.0335068,87.52,2.92271
2025-05-06,108.72,21.52,4.68878,3.06898,-0.0144282,87.2,2.92271
2025-05-07,107.97,21.2,4.68185,3.054,-0.00917769,86.77,2.92271
2025-05-08,109.71,22.83,4.69784,3.12808,0.018171,86.88,2.92271
2025-05-09,111.12,23.16,4.71061,3.14243,-0.00480142,87.96,2.92271
2025-05-12,114.06,24.79,4.73672,3.21044,-0.0131109,89.27,2.92271
2025-05-13,116.65,25.63,4.75918,3.24376,-0.0454125,91.02,2.92271
2025-05-14,115.59,25.46,4.75005,3.23711,-0.0253872,90.13,2.92271
2025-05-15,115.86,24.56,4.75238,3.20112,-0.0681958,91.3,2.92271
2025-05-16,115.5,24.45,4.74927,3.19663,-0.0635891,91.05,2.92271
2025-05-19,113.95,23.92,4.73576,3.17471,-0.0460163,90.03,2.92271
2025-05-20,112.58,23.73,4.72366,3.16674,-0.0186392,88.85,2.92271
2025-05-21,111.38,23.1,4.71295,3.13983,-0.0142259,88.28,2.92271
2025-05-22,110.79,23.18,4.70764,3.14329,0.0047545,87.61,2.92271
2025-05-23,110.18,23.17,4.70212,3.14286,0.0204596,87.01,2.92271
2025-05-27,111.23,23.83,4.7116,3.17095,0.0208254,87.4,2.92271
2025-05-28,110.45,23.66,4.70456,3.16379,0.0342338,86.79,2.92271
2025-05-29,109.88,23.8,4.69939,3.16969,0.0552558,86.08,2.92271
2025-05-30,108.57,23.42,4.6874,3.15359,0.0742147,85.15,2.92271
2025-06-02,111.34,23.92,4.71259,3.17471,0.0217063,87.42,2.92271
2025-06-03,112.82,25.24,4.72579,3.22843,0.0368268,87.58,2.92271
2025-06-04,110.77,24.16,4.70746,3.1847,0.0466908,86.61,2.92271
2025-06-05,111.03,24.01,4.7098,3.17847,0.0336106,87.02,2.92271
2025-06-06,114.05,24.92,4.73664,3.21567,-0.00762447,89.13,2.92271
2025-06-09,114.33,25.59,4.73909,3.2422,0.0117399,88.74,2.92271
2025-06-10,117.88,25.99,4.76967,3.25771,-0.0621208,91.89,2.92271
2025-06-11,119.92,26.8,4.78682,3.2884,-0.0815777,93.12,2.92271
2025-06-12,120.59,27.13,4.7924,3.30064,-0.0856233,93.46,2.92271
2025-06-13,125.28,28.26,4.83055,3.34145,-0.156332,97.02,2.92271
