Date,EOG Raw Price,SM Raw Price,EOG Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,122.706,39.607,4.80979,3.67901,0.241905,83.0989,2.92271
2025-01-03,124.536,40.0213,4.82459,3.68941,0.20904,84.5148,2.92271
2025-01-06,124.359,40.2974,4.82317,3.69629,0.220076,84.0615,2.92271
2025-01-07,125.51,42.0923,4.83239,3.73987,0.236724,83.4178,2.92271
2025-01-08,126.396,42.0628,4.83942,3.73916,0.215471,84.3329,2.92271
2025-01-10,129.298,42.7531,4.86212,3.75544,0.165392,86.5451,2.92271
2025-01-13,132.329,43.118,4.88529,3.76394,0.106179,89.2107,2.92271
2025-01-14,133.588,43.3153,4.89476,3.76851,0.0830574,90.2729,2.92271
2025-01-15,134.857,44.0747,4.90422,3.78588,0.0727994,90.7828,2.92271
2025-01-16,135.832,43.5125,4.91142,3.77305,0.0389273,92.319,2.92271
2025-01-17,135.341,42.615,4.9078,3.75221,0.0286596,92.726,2.92271
2025-01-21,134.806,41.3034,4.90384,3.72094,0.00897471,93.5026,2.92271
2025-01-22,132.804,41.2047,4.88888,3.71855,0.0503072,91.5995,2.92271
2025-01-23,132.765,40.6524,4.88858,3.70506,0.0376856,92.1122,2.92271
2025-01-24,130.624,39.7308,4.87232,3.68213,0.0622558,90.8934,2.92271
2025-01-27,130.763,39.3344,4.87339,3.6721,0.0491257,91.4286,2.92271
2025-01-28,129.068,39.3244,4.86034,3.67185,0.0869955,89.744,2.92271
2025-01-29,129.049,39.6911,4.86019,3.68113,0.0967256,89.3575,2.92271
2025-01-30,128.603,39.2551,4.85673,3.67008,0.0957951,89.3476,2.92271
2025-01-31,124.649,37.6199,4.8255,3.62753,0.144513,87.029,2.92271
2025-02-03,125.253,37.0451,4.83034,3.61213,0.114977,88.2083,2.92271
2025-02-04,126.958,37.9271,4.84385,3.63567,0.0990052,89.0307,2.92271
2025-02-05,126.542,37.5108,4.84057,3.62463,0.0975665,89.0307,2.92271
2025-02-06,125.531,36.9063,4.83255,3.60838,0.104758,88.6245,2.92271
2025-02-07,125.352,37.0451,4.83113,3.61213,0.112666,88.3074,2.92271
2025-02-10,129.376,39.0569,4.86272,3.66502,0.0732198,90.3188,2.92271
2025-02-11,131.09,40.2461,4.87588,3.69501,0.0647412,90.8438,2.92271
2025-02-12,127.671,38.5613,4.84946,3.65225,0.0992112,89.1099,2.92271
2025-02-13,127.85,38.6208,4.85085,3.65379,0.0966714,89.2288,2.92271
2025-02-14,128.137,38.1748,4.8531,3.64218,0.078495,89.9621,2.92271
2025-02-18,129.752,38.2739,4.86563,3.64477,0.044476,91.4782,2.92271
2025-02-19,133.31,38.4821,4.89267,3.65019,-0.0291544,94.8276,2.92271
2025-02-20,134.439,36.7775,4.90111,3.60489,-0.0991236,97.6618,2.92271
2025-02-21,131.873,34.0422,4.88184,3.5276,-0.120073,97.8306,2.92271
2025-02-24,132.418,33.517,4.88596,3.51205,-0.147677,98.9008,2.92271
2025-02-25,130.129,32.7836,4.86852,3.48993,-0.118835,97.3451,2.92271
2025-02-26,128.662,32.0799,4.85719,3.46823,-0.107405,96.5822,2.92271
2025-02-27,129.425,32.2286,4.8631,3.47285,-0.120064,97.1966,2.92271
2025-02-28,125.788,32.4169,4.8346,3.47868,-0.0309373,93.3716,2.92271
2025-03-03,119.447,29.7411,4.78287,3.39253,0.0341126,89.7054,2.92271
2025-03-04,121.002,28.5915,4.79581,3.35311,-0.0431298,92.4108,2.92271
2025-03-05,120.745,27.2734,4.79368,3.30591,-0.0840969,93.4712,2.92271
2025-03-06,121.082,26.9067,4.79646,3.29238,-0.105777,94.1748,2.92271
2025-03-07,124.124,27.3428,4.82128,3.30845,-0.162226,96.7809,2.92271
2025-03-10,124.748,27.1248,4.8263,3.30045,-0.184895,97.6232,2.92271
2025-03-11,123.361,28.8095,4.81511,3.36071,-0.0919503,94.5512,2.92271
2025-03-12,123.143,29.5132,4.81334,3.38484,-0.0626504,93.6295,2.92271
2025-03-13,119.992,28.5122,4.78742,3.35033,-0.0213902,91.4793,2.92271
2025-03-14,122.796,29.7213,4.81052,3.39186,-0.0473802,93.0746,2.92271
2025-03-17,122.459,29.9889,4.80778,3.40083,-0.0303874,92.4701,2.92271
2025-03-18,121.458,30.0285,4.79957,3.40215,-0.00508147,91.4296,2.92271
2025-03-19,123.807,30.9204,4.81872,3.43142,-0.0317848,92.8862,2.92271
2025-03-20,123.172,30.6529,4.81359,3.42273,-0.0254664,92.5196,2.92271
2025-03-21,124.035,30.3952,4.82056,3.41428,-0.0542933,93.6393,2.92271
2025-03-24,127.106,31.525,4.84502,3.45078,-0.0893006,95.5814,2.92271
2025-03-25,126.224,30.2564,4.83806,3.40971,-0.110021,95.968,2.92271
2025-03-26,128.008,30.5141,4.85209,3.41819,-0.142553,97.494,2.92271
2025-03-27,125.58,29.9789,4.83295,3.4005,-0.104283,95.6014,2.92271
2025-03-28,125.442,29.1366,4.83184,3.37199,-0.129554,96.3051,2.92271
2025-03-31,127.077,29.6816,4.84479,3.39053,-0.148868,97.3951,2.92271
2025-04-01,128.127,29.5032,4.85302,3.3845,-0.178955,98.6238,2.92271
2025-04-02,128.791,30.2465,4.85819,3.40938,-0.16918,98.5445,2.92271
2025-04-03,118.802,25.103,4.77746,3.22299,-0.119626,93.6994,2.92271
2025-04-04,109.547,22.0605,4.69636,3.09379,-0.0117724,87.4866,2.92271
2025-04-07,108.041,21.6146,4.68251,3.07337,0.00826911,86.4264,2.92271
2025-04-08,104.008,20.2073,4.64447,3.00604,0.0521359,83.8006,2.92271
