Date,DVN Raw Price,MUR Raw Price,DVN Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,32.9309,30.1631,3.49441,3.40662,0.215746,2.76787,1.57738
2025-01-03,33.4535,30.0559,3.51016,3.40306,0.187353,3.39759,1.57738
2025-01-06,33.276,29.9682,3.50484,3.40014,0.192822,3.3078,1.57738
2025-01-07,34.2028,30.8256,3.53231,3.42834,0.177696,3.37725,1.57738
2025-01-08,34.6564,31.9265,3.54548,3.46344,0.192009,2.72987,1.57738
2025-01-10,35.4846,32.3746,3.5691,3.47738,0.168696,3.10992,1.57738
2025-01-13,36.2536,32.9592,3.59054,3.49527,0.15277,3.29441,1.57738
2025-01-14,36.6578,33.0274,3.60163,3.49734,0.137346,3.63045,1.57738
2025-01-15,37.8903,32.5987,3.63469,3.48427,0.0721211,5.29158,1.57738
2025-01-16,37.8804,32.1993,3.63443,3.47194,0.0602027,5.68116,1.57738
2025-01-17,37.417,31.4101,3.62213,3.44713,0.0548045,6.00691,1.57738
2025-01-21,36.2142,30.6794,3.58945,3.42359,0.0828085,5.53474,1.57738
2025-01-22,35.948,30.0656,3.58207,3.40338,0.0742375,5.88231,1.57738
2025-01-23,35.9381,29.6175,3.5818,3.38836,0.0596518,6.32062,1.57738
2025-01-24,35.455,28.9745,3.56826,3.36642,0.0590512,6.4805,1.57738
2025-01-27,34.8338,28.7894,3.55059,3.36001,0.0805215,6.04447,1.57738
2025-01-28,34.3901,28.4484,3.53777,3.34809,0.0888268,5.94178,1.57738
2025-01-29,34.5775,28.4289,3.5432,3.34741,0.0795727,6.14859,1.57738
2025-01-30,34.5578,26.7629,3.54263,3.28702,0.0200835,7.79486,1.57738
2025-01-31,33.6211,25.9445,3.51515,3.25596,0.0323711,7.67657,1.57738
2025-02-03,33.276,24.8923,3.50484,3.21456,0.00724377,8.38369,1.57738
2025-02-04,33.9366,25.7886,3.52449,3.24993,0.0116112,8.14796,1.57738
2025-02-05,33.6605,25.9932,3.51633,3.25784,0.0323977,7.6673,1.57738
2025-02-06,32.9506,25.623,3.49501,3.24349,0.0516747,7.32763,1.57738
2025-02-07,32.6844,26.1296,3.4869,3.26307,0.0840491,6.55481,1.57738
2025-02-10,33.7789,27.3085,3.51983,3.3072,0.0762241,6.47037,1.57738
2025-02-11,34.6268,27.9905,3.54463,3.33186,0.0617837,6.6363,1.57738
2025-02-12,33.4929,26.9675,3.51133,3.29463,0.0770677,6.52543,1.57738
2025-02-13,33.7394,27.2013,3.51867,3.30327,0.0741348,6.5381,1.57738
2025-02-14,34.1535,27.5326,3.53087,3.31537,0.0669967,6.62095,1.57738
2025-02-18,34.3901,27.7839,3.53777,3.32446,0.0651925,6.60625,1.57738
2025-02-19,37.0424,27.981,3.61206,3.33153,-0.0449254,9.06136,1.57738
2025-02-20,38.0086,27.7938,3.63781,3.32481,-0.0922582,10.2149,1.57738
2025-02-21,36.9635,26.9166,3.60993,3.29274,-0.0803471,10.0469,1.57738
2025-02-24,36.786,27.3108,3.60512,3.30728,-0.058215,9.47521,1.57738
2025-02-25,35.3761,27.2615,3.56604,3.30548,0.00162548,8.11457,1.57738
2025-02-26,34.962,26.542,3.55426,3.27873,-0.00654755,8.41995,1.57738
2025-02-27,35.3761,26.3351,3.56604,3.2709,-0.0329496,9.04103,1.57738
2025-02-28,35.7113,26.1084,3.57547,3.26226,-0.0564715,9.60294,1.57738
2025-03-03,33.9267,24.1076,3.5242,3.18253,-0.0553363,9.81912,1.57738
2025-03-04,33.769,24.0781,3.51954,3.1813,-0.0492119,9.69093,1.57738
2025-03-05,33.1873,23.674,3.50217,3.16438,-0.0387277,9.51331,1.57738
2025-03-06,33.3943,23.812,3.50839,3.17019,-0.0427266,9.58238,1.57738
2025-03-07,34.2225,24.9947,3.53288,3.21866,-0.032895,9.22787,1.57738
2025-03-10,33.7296,25.2805,3.51837,3.23003,0.00136301,8.44907,1.57738
2025-03-11,33.9267,24.8862,3.5242,3.21432,-0.0235492,9.0405,1.57738
2025-03-12,34.262,24.768,3.53404,3.20955,-0.0438225,9.494,1.57738
2025-03-13,33.3155,24.5216,3.50602,3.19955,-0.00963075,8.79388,1.57738
2025-03-14,34.3085,25.6649,3.53539,3.24512,-0.0103898,8.64359,1.57738
2025-03-17,34.8645,26.2759,3.55147,3.26865,-0.0122213,8.58861,1.57738
2025-03-18,35.1227,25.724,3.55885,3.24742,-0.0450883,9.39873,1.57738
2025-03-19,35.798,26.7096,3.57789,3.28502,-0.0375277,9.08838,1.57738
2025-03-20,35.8774,26.4435,3.58011,3.27501,-0.0510375,9.43393,1.57738
2025-03-21,35.8973,26.3154,3.58066,3.27015,-0.0567675,9.58192,1.57738
2025-03-24,36.7016,26.8673,3.60282,3.29091,-0.0709643,9.83432,1.57738
2025-03-25,36.7115,27.3404,3.60309,3.30836,-0.0539361,9.37117,1.57738
2025-03-26,37.208,27.9416,3.61653,3.33012,-0.0533748,9.26646,1.57738
2025-03-27,36.6222,28.0894,3.60065,3.33539,-0.0230627,8.53275,1.57738
2025-03-28,36.503,27.9613,3.59739,3.33082,-0.0224935,8.54171,1.57738
2025-03-31,37.1385,27.9909,3.61466,3.33188,-0.0486631,9.14767,1.57738
2025-04-01,37.3074,28.3358,3.61919,3.34413,-0.0435682,8.97152,1.57738
2025-04-02,37.6549,28.7892,3.62846,3.36,-0.0423215,8.8657,1.57738
2025-04-03,32.9282,25.0439,3.49433,3.22063,0.0298915,7.88424,1.57738
2025-04-04,29.1051,21.9985,3.37091,3.09097,0.0949057,7.10664,1.57738
2025-04-07,28.41,21.1508,3.34674,3.05168,0.0937426,7.25914,1.57738
2025-04-08,26.6126,19.3374,3.28139,2.96204,0.107191,7.27529,1.57738
2025-04-09,30.8528,22.8461,3.42923,3.12878,0.0407289,8.00672,1.57738
2025-04-10,27.556,19.6823,3.31622,2.97972,0.0699255,7.87369,1.57738
2025-04-11,28.0326,20.5693,3.33337,3.0238,0.086956,7.4633,1.57738
2025-04-14,28.5291,20.2342,3.35093,3.00738,0.042837,8.2949,1.57738
2025-04-15,28.3305,19.8302,3.34394,2.9872,0.0336831,8.5004,1.57738
2025-04-16,29.0952,20.2934,3.37057,3.01029,0.0147665,8.80178,1.57738
2025-04-17,30.0981,21.0621,3.40446,3.04748,-0.00150882,9.03596,1.57738
2025-04-21,29.2739,20.5299,3.3767,3.02188,0.0166944,8.74398,1.57738
2025-04-22,30.9819,21.0819,3.4334,3.04841,-0.0462237,9.90003,1.57738
2025-04-23,30.8627,20.2934,3.42955,3.01029,-0.078263,10.5693,1.57738
2025-04-24,31.25,20.5299,3.44202,3.02188,-0.0863446,10.7201,1.57738
2025-04-25,31.1308,20.7665,3.4382,3.03334,-0.0688623,10.3644,1.57738
2025-04-28,31.3294,20.9044,3.44456,3.03996,-0.0722708,10.425,1.57738
2025-04-29,31.0812,20.9143,3.4366,3.04043,-0.0592507,10.1669,1.57738
2025-04-30,30.1974,20.2342,3.40776,3.00738,-0.0468053,9.96316,1.57738
2025-05-01,30.9422,20.8059,3.43212,3.03524,-0.0573766,10.1363,1.57738
2025-05-02,31.2202,21.4662,3.44107,3.06648,-0.0402423,9.75397,1.57738
2025-05-05,30.4059,20.3131,3.41464,3.01127,-0.0537715,10.0928,1.57738
2025-05-06,30.3761,20.6975,3.41366,3.03001,-0.0334793,9.67867,1.57738
2025-05-07,30.0782,20.6975,3.4038,3.03001,-0.0179334,9.38077,1.57738
2025-05-08,31.7068,21.072,3.45653,3.04795,-0.0831729,10.6348,1.57738
2025-05-09,32.3026,21.5451,3.47515,3.07015,-0.0903359,10.7575,1.57738
2025-05-12,33.3155,22.6489,3.50602,3.12011,-0.0890706,10.6665,1.57738
2025-05-13,34.0503,22.9939,3.52784,3.13523,-0.108368,11.0564,1.57738
2025-05-14,33.7226,22.6489,3.51817,3.12011,-0.10823,11.0736,1.57738
2025-05-15,33.1665,22.235,3.50154,3.10167,-0.100448,10.9315,1.57738
2025-05-16,33.0275,22.08,3.49734,3.09467,-0.100818,10.9475,1.57738
2025-05-19,32.4615,21.62,3.48005,3.07362,-0.0946042,10.8415,1.57738
2025-05-20,31.9451,21.61,3.46402,3.07316,-0.0697736,10.3351,1.57738
2025-05-21,31.2798,20.93,3.44297,3.04118,-0.0685475,10.3498,1.57738
2025-05-22,30.9223,21,3.43148,3.04452,-0.0470775,9.9223,1.57738
2025-05-23,30.9422,20.89,3.43212,3.03927,-0.0533422,10.0522,1.57738
2025-05-27,31.1308,21.43,3.4382,3.06479,-0.0374099,9.70083,1.57738
2025-05-28,30.6443,21.23,3.42245,3.05542,-0.0219372,9.41426,1.57738
2025-05-29,30.8925,21.25,3.43051,3.05636,-0.0337227,9.64251,1.57738
2025-05-30,30.0485,20.93,3.40281,3.04118,-0.00519842,9.11845,1.57738
2025-06-02,30.9223,21.27,3.43148,3.0573,-0.0343023,9.6523,1.57738
2025-06-03,31.7862,22.03,3.45903,3.09241,-0.0426598,9.75622,1.57738
2025-06-04,31.3394,21.67,3.44487,3.07593,-0.0368039,9.66936,1.57738
2025-06-05,31.2003,21.54,3.44043,3.06991,-0.0358082,9.66034,1.57738
2025-06-06,32.0643,22.5,3.46774,3.11352,-0.0352876,9.56426,1.57738
2025-06-09,32.4217,23.02,3.47883,3.13636,-0.0299284,9.40174,1.57738
2025-06-10,33.236,23.79,3.50363,3.16927,-0.0361531,9.44601,1.57738
2025-06-11,34.229,24.32,3.53307,3.1913,-0.0605573,9.90902,1.57738
2025-06-12,34.09,24.41,3.529,3.19499,-0.0504438,9.68,1.57738
2025-06-13,35.11,25.43,3.55849,3.23593,-0.0560114,9.68,1.57738
